Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,491
CNAG_05641R,CNAG_05641,2
CNAG_05387R,CNAG_05387,361
CNAG_05638R,CNAG_05638,232
CNAG_05639R,CNAG_05639,214
CNAG_06346R,CNAG_06346,291
CNAG_06347R,CNAG_06347,284
CNAG_06517R,CNAG_06517,365
CNAG_06201R,CNAG_06201,218
CNAG_06104R,CNAG_06104,57
CNAG_07902R,CNAG_07902,305
CNAG_06241R,CNAG_06241,178
CNAG_06242R,CNAG_06242,229
CNAG_07911R,CNAG_07911,288
CNAG_01683R,CNAG_01683,329
CNAG_01902R,CNAG_01902,12
CNAG_01680R,CNAG_01680,257
CNAG_01989R,CNAG_01989,216
CNAG_01965R,CNAG_01965,69
CNAG_01925R,CNAG_01925,286
CNAG_04837R,CNAG_04837,324
CNAG_04836R,CNAG_04836,310
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,194
CNAG_04874R,CNAG_04874,3
CNAG_04868R,CNAG_04868,50
CNAG_04753R,CNAG_04753,7
CNAG_04908R,CNAG_04908,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,257
CNAG_04517R,CNAG_04517,288
CNAG_07770R,CNAG_07770,294
CNAG_03333R,CNAG_03333,401
CNAG_07742R,CNAG_07742,581
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,178
CNAG_03143R,CNAG_03143,1
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,257
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,219
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,343
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,309
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,326
CNAG_07633R,CNAG_07633,1
CNAG_06719R,CNAG_06719,217
CNAG_03669R,CNAG_03669,258
CNAG_07332R,CNAG_07332,151
CNAG_00285R,CNAG_00285,304
CNAG_00830R,CNAG_00830,265
CNAG_00841R,CNAG_00841,351
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,478
CNAG_03279R,CNAG_03279,258
CNAG_03336R,CNAG_03336,367
CNAG_06339R,CNAG_06339,335
CNAG_03768R,CNAG_03768,308
CNAG_04534R,CNAG_04534,249
CNAG_01973R,CNAG_01973,200
CNAG_07867R,CNAG_07867,265
CNAG_05333R,CNAG_05333,267
CNAG_06425R,CNAG_06425,262
CNAG_03849R,CNAG_03849,391
CNAG_02603R,CNAG_02603,269
CNAG_02555R,CNAG_02555,363
CNAG_02525R,CNAG_02525,120
CNAG_03431R,CNAG_03431,269
CNAG_05049R,CNAG_05049,244
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,222
CNAG_02476R,CNAG_02476,276
CNAG_07583R,CNAG_07583,282
CNAG_05112R,CNAG_05112,274
CNAG_03366R,CNAG_03366,366
CNAG_04090R,CNAG_04090,943
CNAG_00791R,CNAG_00791,284
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,3871
CNAG_02516R,CNAG_02516,288
CNAG_04804R,CNAG_04804,257
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,221
CNAG_00193R,CNAG_00193,2
CNAG_01883R,CNAG_01883,565
CNAG_03401R,CNAG_03401,297
CNAG_02435R,CNAG_02435,255
CNAG_01708R,CNAG_01708,288
CNAG_03700R,CNAG_03700,281
CNAG_05215R,CNAG_05215,390
CNAG_01438R,CNAG_01438,124
CNAG_07464R,CNAG_07464,160
CNAG_01858R,CNAG_01858,429
CNAG_04586R,CNAG_04586,310
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,293
CNAG_01014R,CNAG_01014,195
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,296
CNAG_06327R,CNAG_06327,44
CNAG_03788R,CNAG_03788,278
CNAG_00871R,CNAG_00871,316
CNAG_00559R,CNAG_00559,9159
CNAG_07370R,CNAG_07370,347
CNAG_02589R,CNAG_02589,29
CNAG_01645R,CNAG_01645,597
CNAG_01242R,CNAG_01242,178
CNAG_02788R,CNAG_02788,34
CNAG_07435R,CNAG_07435,11
CNAG_07924R,CNAG_07924,183
CNAG_01071R,CNAG_01071,251
CNAG_00883R,CNAG_00883,270
CNAG_03741R,CNAG_03741,405
CNAG_03745R,CNAG_03745,293
CNAG_00192R,CNAG_00192,260
CNAG_00670R,CNAG_00670,388
CNAG_06871R,CNAG_06871,341
CNAG_04457R,CNAG_04457,291
CNAG_04588R,CNAG_04588,88
CNAG_03894R,CNAG_03894,349
CNAG_04012R,CNAG_04012,238
CNAG_01487R,CNAG_01487,339
CNAG_05170R,CNAG_05170,303
CNAG_02364R,CNAG_02364,269
CNAG_04093R,CNAG_04093,353
CNAG_02322R,CNAG_02322,292
CNAG_04184R,CNAG_04184,3
CNAG_05255R,CNAG_05255,305
CNAG_03018R,CNAG_03018,242
CNAG_07901R,CNAG_07901,242
CNAG_03086R,CNAG_03086,284
CNAG_06097R,CNAG_06097,314
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,290
CNAG_03177R,CNAG_03177,374
CNAG_03183R,CNAG_03183,128
CNAG_02877R,CNAG_02877,1
CNAG_04359R,CNAG_04359,2
CNAG_04774R,CNAG_04774,349
CNAG_04768R,CNAG_04768,344
CNAG_06276R,CNAG_06276,267
CNAG_05222R,CNAG_05222,70
CNAG_03409R,CNAG_03409,480
CNAG_05622R,CNAG_05622,371
CNAG_04637R,CNAG_04637,203
CNAG_07680R,CNAG_07680,12
CNAG_02215R,CNAG_02215,9
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,276
CNAG_04086R,CNAG_04086,341
CNAG_05697R,CNAG_05697,391
CNAG_04507R,CNAG_04507,214
CNAG_04506R,CNAG_04506,285
CNAG_00068R,CNAG_00068,424
CNAG_00733R,CNAG_00733,253
CNAG_03910R,CNAG_03910,361
CNAG_04059R,CNAG_04059,207
CNAG_07491R,CNAG_07491,259
CNAG_05181R,CNAG_05181,261
CNAG_03772R,CNAG_03772,325
CNAG_00445R,CNAG_00445,412
CNAG_01901R,CNAG_01901,427
CNAG_05313R,CNAG_05313,392
CNAG_05312R,CNAG_05312,279
CNAG_06200R,CNAG_06200,1
CNAG_02682R,CNAG_02682,1
CNAG_00442R,CNAG_00442,408
CNAG_07548R,CNAG_07548,3
CNAG_01277R,CNAG_01277,404
CNAG_01230R,CNAG_01230,192
CNAG_05263R,CNAG_05263,1
CNAG_00547R,CNAG_00547,260
CNAG_00598R,CNAG_00598,313
CNAG_02797R,CNAG_02797,2
CNAG_02219R,CNAG_02219,348
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,203
CNAG_07540R,CNAG_07540,479
CNAG_04980R,CNAG_04980,29
CNAG_00456R,CNAG_00456,330
CNAG_00455R,CNAG_00455,245
CNAG_02152R,CNAG_02152,1
CNAG_00107R,CNAG_00107,280
CNAG_00106R,CNAG_00106,2
CNAG_01061R,CNAG_01061,360
CNAG_01013R,CNAG_01013,41
CNAG_07523R,CNAG_07523,2
CNAG_00531R,CNAG_00531,1
CNAG_05080R,CNAG_05080,235
CNAG_00164R,CNAG_00164,267
CNAG_03727R,CNAG_03727,1
CNAG_03677R,CNAG_03677,287
CNAG_05077R,CNAG_05077,322
CNAG_05148R,CNAG_05148,1
CNAG_05147R,CNAG_05147,1
CNAG_00776R,CNAG_00776,138
CNAG_04024R,CNAG_04024,377
CNAG_04025R,CNAG_04025,330
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,11
CNAG_01803R,CNAG_01803,371
CNAG_07541R,CNAG_07541,251
CNAG_07542R,CNAG_07542,327
CNAG_05915R,CNAG_05915,348
CNAG_00917R,CNAG_00917,921
CNAG_00919R,CNAG_00919,311
CNAG_05458R,CNAG_05458,453
CNAG_05459R,CNAG_05459,388
CNAG_01985R,CNAG_01985,185
CNAG_00740R,CNAG_00740,135
CNAG_04163R,CNAG_04163,282
CNAG_04162R,CNAG_04162,119
CNAG_04755R,CNAG_04755,1563
CNAG_01777R,CNAG_01777,225
CNAG_03173R,CNAG_03173,236
CNAG_03172R,CNAG_03172,346
CNAG_07388R,CNAG_07388,334
CNAG_07389R,CNAG_07389,318
CNAG_06060R,CNAG_06060,333
CNAG_00581R,CNAG_00581,244
CNAG_02045R,CNAG_02045,378
CNAG_04950R,CNAG_04950,305
CNAG_04949R,CNAG_04949,253
CNAG_01865R,CNAG_01865,337
CNAG_00717R,CNAG_00717,120
CNAG_06896R,CNAG_06896,106
CNAG_04631R,CNAG_04631,2
CNAG_05812R,CNAG_05812,290
CNAG_06658R,CNAG_06658,250
CNAG_05994R,CNAG_05994,289
CNAG_02517R,CNAG_02517,366
CNAG_03329R,CNAG_03329,246
CNAG_04471R,CNAG_04471,308
CNAG_01919R,CNAG_01919,1
CNAG_00699R,CNAG_00699,244
CNAG_02129R,CNAG_02129,352
CNAG_05352R,CNAG_05352,135
CNAG_02293R,CNAG_02293,4
CNAG_01523R,CNAG_01523,6
CNAG_07486R,CNAG_07486,266
CNAG_07313R,CNAG_07313,1
CNAG_00126R,CNAG_00126,1
CNAG_00710R,CNAG_00710,305
CNAG_00709R,CNAG_00709,339
CNAG_03689R,CNAG_03689,213
CNAG_01704R,CNAG_01704,285
CNAG_05290R,CNAG_05290,1
CNAG_07827R,CNAG_07827,251
CNAG_07516R,CNAG_07516,263
CNAG_00157R,CNAG_00157,204
CNAG_04891R,CNAG_04891,1
CNAG_01776R,CNAG_01776,243
CNAG_07605R,CNAG_07605,190
CNAG_01846R,CNAG_01846,297
CNAG_02539R,CNAG_02539,1
CNAG_00798R,CNAG_00798,1
CNAG_00799R,CNAG_00799,178
CNAG_04657R,CNAG_04657,312
CNAG_04385R,CNAG_04385,269
CNAG_04386R,CNAG_04386,269
CNAG_07847R,CNAG_07847,241
CNAG_02226R,CNAG_02226,296
CNAG_02225R,CNAG_02225,267
CNAG_04860R,CNAG_04860,254
CNAG_01105R,CNAG_01105,412
CNAG_03524R,CNAG_03524,229
CNAG_03733R,CNAG_03733,300
CNAG_03732R,CNAG_03732,354
CNAG_03247R,CNAG_03247,321
CNAG_03193R,CNAG_03193,251
CNAG_03194R,CNAG_03194,197
CNAG_06574R,CNAG_06574,276
CNAG_04663R,CNAG_04663,194
CNAG_02944R,CNAG_02944,312
CNAG_05872R,CNAG_05872,87
CNAG_02775R,CNAG_02775,29
CNAG_07498R,CNAG_07498,424
CNAG_00475R,CNAG_00475,5559
CNAG_04524R,CNAG_04524,1
CNAG_06501R,CNAG_06501,235
CNAG_06502R,CNAG_06502,315
CNAG_00587R,CNAG_00587,371
CNAG_04691R,CNAG_04691,329
CNAG_05522R,CNAG_05522,291
CNAG_01930R,CNAG_01930,432
CNAG_04983R,CNAG_04983,1
CNAG_03002R,CNAG_03002,359
CNAG_01448R,CNAG_01448,189
CNAG_07685R,CNAG_07685,265
CNAG_03902R,CNAG_03902,65
CNAG_02010R,CNAG_02010,3431
CNAG_05156R,CNAG_05156,1
CNAG_01643R,CNAG_01643,1
CNAG_01642R,CNAG_01642,322
CNAG_05727R,CNAG_05727,2
CNAG_03857R,CNAG_03857,1
CNAG_04705R,CNAG_04705,364
CNAG_01420R,CNAG_01420,280
CNAG_07519R,CNAG_07519,553
CNAG_06240R,CNAG_06240,473
CNAG_00777R,CNAG_00777,699
CNAG_01118R,CNAG_01118,425
CNAG_03866R,CNAG_03866,372
CNAG_06595R,CNAG_06595,305
CNAG_00519R,CNAG_00519,8
CNAG_03168R,CNAG_03168,3
CNAG_01524R,CNAG_01524,300
CNAG_04594R,CNAG_04594,226
CNAG_06776R,CNAG_06776,1
