Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,900
CNAG_05387R,CNAG_05387,944
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,646
CNAG_05639R,CNAG_05639,520
CNAG_06346R,CNAG_06346,728
CNAG_06347R,CNAG_06347,642
CNAG_06517R,CNAG_06517,852
CNAG_06201R,CNAG_06201,553
CNAG_06104R,CNAG_06104,538
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,730
CNAG_06241R,CNAG_06241,480
CNAG_06242R,CNAG_06242,569
CNAG_07911R,CNAG_07911,669
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,743
CNAG_01902R,CNAG_01902,19
CNAG_01680R,CNAG_01680,657
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,420
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,125
CNAG_01925R,CNAG_01925,608
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,677
CNAG_04836R,CNAG_04836,542
CNAG_04875R,CNAG_04875,452
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,172
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,703
CNAG_04517R,CNAG_04517,629
CNAG_07770R,CNAG_07770,664
CNAG_04271R,CNAG_04271,1
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,857
CNAG_07742R,CNAG_07742,1367
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,471
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,601
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,437
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,760
CNAG_02189R,CNAG_02189,776
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,523
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,519
CNAG_03669R,CNAG_03669,691
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,498
CNAG_00285R,CNAG_00285,744
CNAG_00830R,CNAG_00830,741
CNAG_00841R,CNAG_00841,679
CNAG_06531R,CNAG_06531,1136
CNAG_03279R,CNAG_03279,783
CNAG_03336R,CNAG_03336,832
CNAG_06339R,CNAG_06339,862
CNAG_03768R,CNAG_03768,722
CNAG_04534R,CNAG_04534,673
CNAG_01973R,CNAG_01973,658
CNAG_07867R,CNAG_07867,560
CNAG_05333R,CNAG_05333,754
CNAG_06425R,CNAG_06425,519
CNAG_03849R,CNAG_03849,764
CNAG_02603R,CNAG_02603,599
CNAG_02555R,CNAG_02555,862
CNAG_02525R,CNAG_02525,114
CNAG_03431R,CNAG_03431,630
CNAG_05049R,CNAG_05049,436
CNAG_05380R,CNAG_05380,2
CNAG_03914R,CNAG_03914,694
CNAG_02476R,CNAG_02476,526
CNAG_07583R,CNAG_07583,604
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,527
CNAG_03366R,CNAG_03366,776
CNAG_04090R,CNAG_04090,913
CNAG_00791R,CNAG_00791,624
CNAG_05375R,CNAG_05375,9506
CNAG_02516R,CNAG_02516,579
CNAG_04804R,CNAG_04804,606
CNAG_06203R,CNAG_06203,661
CNAG_00193R,CNAG_00193,2
CNAG_01883R,CNAG_01883,1254
CNAG_03401R,CNAG_03401,594
CNAG_02435R,CNAG_02435,639
CNAG_05153R,CNAG_05153,17
CNAG_01708R,CNAG_01708,567
CNAG_03700R,CNAG_03700,801
CNAG_05215R,CNAG_05215,462
CNAG_01438R,CNAG_01438,716
CNAG_07464R,CNAG_07464,603
CNAG_01858R,CNAG_01858,922
CNAG_04586R,CNAG_04586,792
CNAG_05093R,CNAG_05093,2
CNAG_05176R,CNAG_05176,776
CNAG_01014R,CNAG_01014,455
CNAG_01454R,CNAG_01454,790
CNAG_06327R,CNAG_06327,240
CNAG_03788R,CNAG_03788,650
CNAG_00871R,CNAG_00871,752
CNAG_00559R,CNAG_00559,16885
CNAG_07370R,CNAG_07370,775
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,741
CNAG_01645R,CNAG_01645,1612
CNAG_01242R,CNAG_01242,482
CNAG_02788R,CNAG_02788,36
CNAG_07435R,CNAG_07435,50
CNAG_07924R,CNAG_07924,738
CNAG_01071R,CNAG_01071,571
CNAG_00883R,CNAG_00883,641
CNAG_03741R,CNAG_03741,588
CNAG_03745R,CNAG_03745,713
CNAG_00192R,CNAG_00192,642
CNAG_00670R,CNAG_00670,666
CNAG_06871R,CNAG_06871,796
CNAG_04457R,CNAG_04457,732
CNAG_04588R,CNAG_04588,249
CNAG_01977R,CNAG_01977,2
CNAG_03894R,CNAG_03894,875
CNAG_04012R,CNAG_04012,403
CNAG_01487R,CNAG_01487,781
CNAG_05170R,CNAG_05170,647
CNAG_02364R,CNAG_02364,660
CNAG_04093R,CNAG_04093,756
CNAG_02322R,CNAG_02322,629
CNAG_05255R,CNAG_05255,684
CNAG_03018R,CNAG_03018,603
CNAG_07901R,CNAG_07901,562
CNAG_03086R,CNAG_03086,577
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,623
CNAG_03115R,CNAG_03115,1
CNAG_06136R,CNAG_06136,671
CNAG_03177R,CNAG_03177,704
CNAG_03183R,CNAG_03183,249
CNAG_06188R,CNAG_06188,1
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,628
CNAG_04768R,CNAG_04768,765
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,565
CNAG_05222R,CNAG_05222,60
CNAG_03409R,CNAG_03409,282
CNAG_05622R,CNAG_05622,753
CNAG_04637R,CNAG_04637,494
CNAG_07680R,CNAG_07680,141
CNAG_02215R,CNAG_02215,68
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,874
CNAG_04086R,CNAG_04086,916
CNAG_05697R,CNAG_05697,783
CNAG_04507R,CNAG_04507,636
CNAG_04506R,CNAG_04506,604
CNAG_00068R,CNAG_00068,1043
CNAG_00733R,CNAG_00733,629
CNAG_03910R,CNAG_03910,706
CNAG_04059R,CNAG_04059,499
CNAG_07491R,CNAG_07491,887
CNAG_05181R,CNAG_05181,648
CNAG_03772R,CNAG_03772,730
CNAG_00445R,CNAG_00445,878
CNAG_01901R,CNAG_01901,1125
CNAG_05313R,CNAG_05313,123
CNAG_05312R,CNAG_05312,719
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,1077
CNAG_07548R,CNAG_07548,3
CNAG_01277R,CNAG_01277,962
CNAG_01230R,CNAG_01230,453
CNAG_01681R,CNAG_01681,1
CNAG_00547R,CNAG_00547,476
CNAG_00598R,CNAG_00598,610
CNAG_01138R,CNAG_01138,1
CNAG_02219R,CNAG_02219,937
CNAG_03013R,CNAG_03013,203
CNAG_07540R,CNAG_07540,1000
CNAG_04980R,CNAG_04980,50
CNAG_00456R,CNAG_00456,670
CNAG_00455R,CNAG_00455,755
CNAG_00107R,CNAG_00107,552
CNAG_01061R,CNAG_01061,799
CNAG_01013R,CNAG_01013,127
CNAG_00531R,CNAG_00531,1
CNAG_05080R,CNAG_05080,572
CNAG_00164R,CNAG_00164,661
CNAG_04077R,CNAG_04077,1
CNAG_03677R,CNAG_03677,783
CNAG_05077R,CNAG_05077,884
CNAG_00702R,CNAG_00702,1
CNAG_00897R,CNAG_00897,1
CNAG_01125R,CNAG_01125,1
CNAG_00776R,CNAG_00776,149
CNAG_04024R,CNAG_04024,689
CNAG_04025R,CNAG_04025,704
CNAG_02348R,CNAG_02348,1
CNAG_02347R,CNAG_02347,3
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,69
CNAG_01803R,CNAG_01803,801
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,512
