Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,460
CNAG_05387R,CNAG_05387,397
CNAG_05638R,CNAG_05638,419
CNAG_05639R,CNAG_05639,202
CNAG_06346R,CNAG_06346,385
CNAG_06347R,CNAG_06347,474
CNAG_06517R,CNAG_06517,719
CNAG_06201R,CNAG_06201,225
CNAG_06104R,CNAG_06104,207
CNAG_07902R,CNAG_07902,307
CNAG_06241R,CNAG_06241,17
CNAG_06242R,CNAG_06242,28
CNAG_07911R,CNAG_07911,335
CNAG_01683R,CNAG_01683,376
CNAG_01983R,CNAG_01983,1
CNAG_01680R,CNAG_01680,329
CNAG_01989R,CNAG_01989,231
CNAG_01965R,CNAG_01965,63
CNAG_01925R,CNAG_01925,288
CNAG_04837R,CNAG_04837,314
CNAG_04836R,CNAG_04836,298
CNAG_04875R,CNAG_04875,262
CNAG_04868R,CNAG_04868,72
CNAG_04753R,CNAG_04753,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,290
CNAG_04517R,CNAG_04517,440
CNAG_07770R,CNAG_07770,296
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,568
CNAG_07742R,CNAG_07742,588
CNAG_03223R,CNAG_03223,2
CNAG_03142R,CNAG_03142,241
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,312
CNAG_05743R,CNAG_05743,2
CNAG_05867R,CNAG_05867,218
CNAG_05684R,CNAG_05684,286
CNAG_02189R,CNAG_02189,533
CNAG_02371R,CNAG_02371,258
CNAG_06719R,CNAG_06719,344
CNAG_03669R,CNAG_03669,437
CNAG_07332R,CNAG_07332,344
CNAG_00285R,CNAG_00285,325
CNAG_00830R,CNAG_00830,346
CNAG_00841R,CNAG_00841,337
CNAG_06531R,CNAG_06531,584
CNAG_03279R,CNAG_03279,299
CNAG_03336R,CNAG_03336,595
CNAG_06339R,CNAG_06339,389
CNAG_03768R,CNAG_03768,369
CNAG_04534R,CNAG_04534,462
CNAG_01973R,CNAG_01973,723
CNAG_07867R,CNAG_07867,375
CNAG_05333R,CNAG_05333,404
CNAG_06425R,CNAG_06425,303
CNAG_03849R,CNAG_03849,410
CNAG_02603R,CNAG_02603,296
CNAG_02555R,CNAG_02555,615
CNAG_02525R,CNAG_02525,141
CNAG_03431R,CNAG_03431,111
CNAG_05049R,CNAG_05049,296
CNAG_03914R,CNAG_03914,203
CNAG_02476R,CNAG_02476,399
CNAG_07583R,CNAG_07583,450
CNAG_05112R,CNAG_05112,224
CNAG_03366R,CNAG_03366,514
CNAG_04090R,CNAG_04090,838
CNAG_00791R,CNAG_00791,251
CNAG_05375R,CNAG_05375,2498
CNAG_02516R,CNAG_02516,275
CNAG_04804R,CNAG_04804,281
CNAG_06203R,CNAG_06203,488
CNAG_01883R,CNAG_01883,145
CNAG_03401R,CNAG_03401,426
CNAG_02435R,CNAG_02435,470
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,475
CNAG_03700R,CNAG_03700,549
CNAG_05215R,CNAG_05215,204
CNAG_01438R,CNAG_01438,123
CNAG_07464R,CNAG_07464,110
CNAG_01858R,CNAG_01858,588
CNAG_04586R,CNAG_04586,1400
CNAG_05176R,CNAG_05176,320
CNAG_01014R,CNAG_01014,271
CNAG_01454R,CNAG_01454,366
CNAG_06327R,CNAG_06327,76
CNAG_03788R,CNAG_03788,330
CNAG_00871R,CNAG_00871,428
CNAG_00559R,CNAG_00559,18670
CNAG_07370R,CNAG_07370,447
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,243
CNAG_01645R,CNAG_01645,768
CNAG_01242R,CNAG_01242,442
CNAG_02788R,CNAG_02788,8
CNAG_07435R,CNAG_07435,49
CNAG_07924R,CNAG_07924,327
CNAG_01071R,CNAG_01071,341
CNAG_00883R,CNAG_00883,688
CNAG_03741R,CNAG_03741,571
CNAG_03745R,CNAG_03745,363
CNAG_00192R,CNAG_00192,503
CNAG_00670R,CNAG_00670,338
CNAG_06871R,CNAG_06871,634
CNAG_04457R,CNAG_04457,375
CNAG_04588R,CNAG_04588,34
CNAG_03894R,CNAG_03894,388
CNAG_04012R,CNAG_04012,274
CNAG_01487R,CNAG_01487,581
CNAG_03561R,CNAG_03561,1
CNAG_05170R,CNAG_05170,360
CNAG_02364R,CNAG_02364,362
CNAG_04093R,CNAG_04093,377
CNAG_02322R,CNAG_02322,193
CNAG_05255R,CNAG_05255,416
CNAG_03059R,CNAG_03059,1
CNAG_03018R,CNAG_03018,269
CNAG_07901R,CNAG_07901,244
CNAG_03086R,CNAG_03086,467
CNAG_06097R,CNAG_06097,182
CNAG_03132R,CNAG_03132,1
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,314
CNAG_03177R,CNAG_03177,285
CNAG_03183R,CNAG_03183,108
CNAG_04774R,CNAG_04774,533
CNAG_04768R,CNAG_04768,415
CNAG_06276R,CNAG_06276,250
CNAG_05222R,CNAG_05222,145
CNAG_03409R,CNAG_03409,56
CNAG_05622R,CNAG_05622,395
CNAG_04637R,CNAG_04637,200
CNAG_07680R,CNAG_07680,67
CNAG_02215R,CNAG_02215,30
CNAG_02387R,CNAG_02387,195
CNAG_04086R,CNAG_04086,633
CNAG_05697R,CNAG_05697,758
CNAG_04507R,CNAG_04507,293
CNAG_04506R,CNAG_04506,462
CNAG_00068R,CNAG_00068,876
CNAG_00733R,CNAG_00733,425
CNAG_03910R,CNAG_03910,407
CNAG_04059R,CNAG_04059,289
CNAG_07491R,CNAG_07491,273
CNAG_05181R,CNAG_05181,552
CNAG_03772R,CNAG_03772,500
CNAG_00445R,CNAG_00445,830
CNAG_01901R,CNAG_01901,752
CNAG_05313R,CNAG_05313,9
CNAG_05312R,CNAG_05312,392
CNAG_03012R,CNAG_03012,1
CNAG_03011R,CNAG_03011,2
CNAG_06200R,CNAG_06200,2
CNAG_00442R,CNAG_00442,786
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,526
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,106
CNAG_00547R,CNAG_00547,438
CNAG_00598R,CNAG_00598,353
CNAG_01138R,CNAG_01138,1
CNAG_02219R,CNAG_02219,595
CNAG_00674R,CNAG_00674,2
CNAG_03013R,CNAG_03013,66
CNAG_07540R,CNAG_07540,641
CNAG_04980R,CNAG_04980,46
CNAG_00456R,CNAG_00456,385
CNAG_00455R,CNAG_00455,432
CNAG_00107R,CNAG_00107,259
CNAG_01061R,CNAG_01061,445
CNAG_01013R,CNAG_01013,79
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,257
CNAG_00164R,CNAG_00164,526
CNAG_04658R,CNAG_04658,1
CNAG_03727R,CNAG_03727,1
CNAG_03677R,CNAG_03677,367
CNAG_05077R,CNAG_05077,425
CNAG_00546R,CNAG_00546,1
CNAG_00776R,CNAG_00776,72
CNAG_04024R,CNAG_04024,381
CNAG_04025R,CNAG_04025,420
CNAG_02348R,CNAG_02348,1
CNAG_02347R,CNAG_02347,1
CNAG_01019R,CNAG_01019,22
CNAG_01803R,CNAG_01803,376
CNAG_00654R,CNAG_00654,1
CNAG_07541R,CNAG_07541,301
CNAG_07542R,CNAG_07542,428
CNAG_05915R,CNAG_05915,250
CNAG_00917R,CNAG_00917,1018
CNAG_00919R,CNAG_00919,359
CNAG_05458R,CNAG_05458,452
CNAG_05459R,CNAG_05459,443
CNAG_01985R,CNAG_01985,172
CNAG_00740R,CNAG_00740,70
CNAG_04163R,CNAG_04163,305
CNAG_04162R,CNAG_04162,147
CNAG_04755R,CNAG_04755,739
