Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,106
CNAG_05515L,CNAG_05515,355
CNAG_05641L,CNAG_05641,206
CNAG_05387L,CNAG_05387,349
CNAG_05590L,CNAG_05590,525
CNAG_07869L,CNAG_07869,282
CNAG_05340L,CNAG_05340,221
CNAG_05638L,CNAG_05638,229
CNAG_05639L,CNAG_05639,189
CNAG_06346L,CNAG_06346,235
CNAG_06347L,CNAG_06347,285
CNAG_06517L,CNAG_06517,305
CNAG_07939L,CNAG_07939,210
CNAG_06493L,CNAG_06493,209
CNAG_06201L,CNAG_06201,269
CNAG_06104L,CNAG_06104,780
CNAG_06081L,CNAG_06081,269
CNAG_07902L,CNAG_07902,249
CNAG_06241L,CNAG_06241,102
CNAG_06242L,CNAG_06242,62
CNAG_06186L,CNAG_06186,213
CNAG_07911L,CNAG_07911,285
CNAG_01551L,CNAG_01551,528
CNAG_01683L,CNAG_01683,278
CNAG_01983L,CNAG_01983,204
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,254
CNAG_01621L,CNAG_01621,207
CNAG_01988L,CNAG_01988,193
CNAG_01989L,CNAG_01989,218
CNAG_01939L,CNAG_01939,236
CNAG_01993L,CNAG_01993,172
CNAG_01992L,CNAG_01992,225
CNAG_01965L,CNAG_01965,252
CNAG_01562L,CNAG_01562,154
CNAG_01925L,CNAG_01925,231
CNAG_04756L,CNAG_04756,263
CNAG_04807L,CNAG_04807,296
CNAG_04837L,CNAG_04837,278
CNAG_04836L,CNAG_04836,188
CNAG_04737L,CNAG_04737,330
CNAG_04875L,CNAG_04875,269
CNAG_04874L,CNAG_04874,585
CNAG_04868L,CNAG_04868,78
CNAG_04752L,CNAG_04752,248
CNAG_04753L,CNAG_04753,1813
CNAG_04909L,CNAG_04909,241
CNAG_04908L,CNAG_04908,244
CNAG_04659L,CNAG_04659,193
CNAG_04623L,CNAG_04623,213
CNAG_04518L,CNAG_04518,201
CNAG_04517L,CNAG_04517,278
CNAG_07770L,CNAG_07770,215
CNAG_04436L,CNAG_04436,192
CNAG_04271L,CNAG_04271,185
CNAG_04270L,CNAG_04270,305
CNAG_03346L,CNAG_03346,239
CNAG_03433L,CNAG_03433,241
CNAG_03333L,CNAG_03333,330
CNAG_07742L,CNAG_07742,791
CNAG_03438L,CNAG_03438,51
CNAG_03223L,CNAG_03223,256
CNAG_03142L,CNAG_03142,211
CNAG_03143L,CNAG_03143,192
CNAG_03545L,CNAG_03545,299
CNAG_03161L,CNAG_03161,28
CNAG_03566L,CNAG_03566,169
CNAG_05835L,CNAG_05835,351
CNAG_05864L,CNAG_05864,117
CNAG_06567L,CNAG_06567,273
CNAG_05742L,CNAG_05742,167
CNAG_05743L,CNAG_05743,92
CNAG_05867L,CNAG_05867,159
CNAG_05685L,CNAG_05685,575
CNAG_05684L,CNAG_05684,260
CNAG_05785L,CNAG_05785,210
CNAG_05843L,CNAG_05843,51
CNAG_06554L,CNAG_06554,253
CNAG_02189L,CNAG_02189,274
CNAG_02188L,CNAG_02188,288
CNAG_02182L,CNAG_02182,174
CNAG_07631L,CNAG_07631,312
CNAG_02371L,CNAG_02371,206
CNAG_07633L,CNAG_07633,319
CNAG_01069L,CNAG_01069,269
CNAG_00896L,CNAG_00896,820
CNAG_06719L,CNAG_06719,102
CNAG_03669L,CNAG_03669,208
CNAG_00031L,CNAG_00031,282
CNAG_07332L,CNAG_07332,198
CNAG_00285L,CNAG_00285,280
CNAG_00828L,CNAG_00828,210
CNAG_00830L,CNAG_00830,216
CNAG_00841L,CNAG_00841,220
CNAG_02774L,CNAG_02774,239
CNAG_06531L,CNAG_06531,393
CNAG_03279L,CNAG_03279,253
CNAG_03336L,CNAG_03336,345
CNAG_06339L,CNAG_06339,275
CNAG_03768L,CNAG_03768,276
CNAG_04534L,CNAG_04534,228
CNAG_01973L,CNAG_01973,4
CNAG_07867L,CNAG_07867,236
CNAG_05333L,CNAG_05333,235
CNAG_06425L,CNAG_06425,168
CNAG_03849L,CNAG_03849,558
CNAG_02603L,CNAG_02603,234
CNAG_02555L,CNAG_02555,275
CNAG_03431L,CNAG_03431,683
CNAG_05049L,CNAG_05049,158
CNAG_05380L,CNAG_05380,440
CNAG_03914L,CNAG_03914,277
CNAG_02476L,CNAG_02476,259
CNAG_07583L,CNAG_07583,191
CNAG_02466L,CNAG_02466,195
CNAG_05112L,CNAG_05112,236
CNAG_03366L,CNAG_03366,278
CNAG_03977L,CNAG_03977,153
CNAG_04090L,CNAG_04090,564
CNAG_00791L,CNAG_00791,166
CNAG_06751L,CNAG_06751,176
CNAG_05375L,CNAG_05375,3341
CNAG_02516L,CNAG_02516,226
CNAG_04804L,CNAG_04804,182
CNAG_00627L,CNAG_00627,273
CNAG_07725L,CNAG_07725,286
CNAG_06203L,CNAG_06203,252
CNAG_00193L,CNAG_00193,3
CNAG_00514L,CNAG_00514,2
CNAG_01883L,CNAG_01883,1210
CNAG_03401L,CNAG_03401,198
CNAG_02435L,CNAG_02435,249
CNAG_05153L,CNAG_05153,9
CNAG_01708L,CNAG_01708,225
CNAG_03700L,CNAG_03700,311
CNAG_07320L,CNAG_07320,88
CNAG_05215L,CNAG_05215,258
CNAG_01438L,CNAG_01438,162
CNAG_07464L,CNAG_07464,186
CNAG_01858L,CNAG_01858,332
CNAG_04586L,CNAG_04586,198
CNAG_05093L,CNAG_05093,228
CNAG_05176L,CNAG_05176,256
CNAG_01014L,CNAG_01014,258
CNAG_00998L,CNAG_00998,227
CNAG_00039L,CNAG_00039,754
CNAG_07329L,CNAG_07329,30
CNAG_01454L,CNAG_01454,288
CNAG_02700L,CNAG_02700,17
CNAG_06327L,CNAG_06327,38
CNAG_03788L,CNAG_03788,222
CNAG_00871L,CNAG_00871,291
CNAG_00559L,CNAG_00559,6906
CNAG_07370L,CNAG_07370,308
CNAG_00732L,CNAG_00732,298
CNAG_04630L,CNAG_04630,248
CNAG_07940L,CNAG_07940,289
CNAG_02589L,CNAG_02589,252
CNAG_05067L,CNAG_05067,239
CNAG_01645L,CNAG_01645,641
CNAG_06134L,CNAG_06134,104
CNAG_01242L,CNAG_01242,103
CNAG_02788L,CNAG_02788,37
CNAG_07435L,CNAG_07435,14
CNAG_03998L,CNAG_03998,122
CNAG_07924L,CNAG_07924,127
CNAG_01071L,CNAG_01071,207
CNAG_00883L,CNAG_00883,235
CNAG_03741L,CNAG_03741,165
CNAG_03745L,CNAG_03745,264
CNAG_00192L,CNAG_00192,275
CNAG_00670L,CNAG_00670,266
CNAG_06871L,CNAG_06871,298
CNAG_04457L,CNAG_04457,233
CNAG_02723L,CNAG_02723,225
CNAG_04588L,CNAG_04588,1
CNAG_01977L,CNAG_01977,232
CNAG_03894L,CNAG_03894,279
CNAG_04012L,CNAG_04012,219
CNAG_03561L,CNAG_03561,243
CNAG_05170L,CNAG_05170,177
CNAG_04041L,CNAG_04041,127
CNAG_02364L,CNAG_02364,232
CNAG_04093L,CNAG_04093,283
CNAG_02322L,CNAG_02322,228
CNAG_04184L,CNAG_04184,226
CNAG_05255L,CNAG_05255,312
CNAG_05642L,CNAG_05642,15
CNAG_03059L,CNAG_03059,223
CNAG_03018L,CNAG_03018,199
CNAG_07901L,CNAG_07901,247
CNAG_03086L,CNAG_03086,232
CNAG_04916L,CNAG_04916,158
CNAG_06097L,CNAG_06097,300
CNAG_03115L,CNAG_03115,277
CNAG_03132L,CNAG_03132,302
CNAG_04841L,CNAG_04841,279
CNAG_06136L,CNAG_06136,229
CNAG_03177L,CNAG_03177,517
CNAG_03183L,CNAG_03183,28
CNAG_06188L,CNAG_06188,225
CNAG_02877L,CNAG_02877,160
CNAG_04359L,CNAG_04359,640
CNAG_04774L,CNAG_04774,303
CNAG_04768L,CNAG_04768,272
CNAG_02066L,CNAG_02066,225
CNAG_07922L,CNAG_07922,203
CNAG_06276L,CNAG_06276,297
CNAG_05222L,CNAG_05222,157
CNAG_03409L,CNAG_03409,255
CNAG_05622L,CNAG_05622,582
CNAG_04637L,CNAG_04637,174
CNAG_07680L,CNAG_07680,40
CNAG_02215L,CNAG_02215,2
CNAG_00564L,CNAG_00564,297
CNAG_02387L,CNAG_02387,308
CNAG_04086L,CNAG_04086,345
CNAG_05697L,CNAG_05697,383
CNAG_02697L,CNAG_02697,208
CNAG_06205L,CNAG_06205,262
CNAG_05372L,CNAG_05372,143
CNAG_04507L,CNAG_04507,190
CNAG_04506L,CNAG_04506,261
CNAG_00068L,CNAG_00068,3512
CNAG_05138L,CNAG_05138,117
CNAG_00733L,CNAG_00733,215
CNAG_03910L,CNAG_03910,252
CNAG_04059L,CNAG_04059,1108
CNAG_07491L,CNAG_07491,215
CNAG_05181L,CNAG_05181,317
CNAG_03915L,CNAG_03915,207
CNAG_03772L,CNAG_03772,225
CNAG_00445L,CNAG_00445,453
CNAG_01901L,CNAG_01901,359
CNAG_05313L,CNAG_05313,336
CNAG_05312L,CNAG_05312,239
CNAG_03012L,CNAG_03012,139
CNAG_03011L,CNAG_03011,227
CNAG_06200L,CNAG_06200,309
CNAG_02682L,CNAG_02682,219
CNAG_02683L,CNAG_02683,258
CNAG_00442L,CNAG_00442,296
CNAG_00183L,CNAG_00183,98
CNAG_07548L,CNAG_07548,1711
CNAG_01277L,CNAG_01277,385
CNAG_07512L,CNAG_07512,557
CNAG_01230L,CNAG_01230,267
CNAG_05264L,CNAG_05264,369
CNAG_05263L,CNAG_05263,283
CNAG_01681L,CNAG_01681,200
CNAG_01040L,CNAG_01040,1330
CNAG_00179L,CNAG_00179,224
CNAG_00547L,CNAG_00547,328
CNAG_00598L,CNAG_00598,315
CNAG_05229L,CNAG_05229,227
CNAG_01138L,CNAG_01138,263
CNAG_00597L,CNAG_00597,237
CNAG_02797L,CNAG_02797,266
CNAG_02219L,CNAG_02219,335
CNAG_02220L,CNAG_02220,261
CNAG_00674L,CNAG_00674,223
CNAG_03013L,CNAG_03013,47
CNAG_07540L,CNAG_07540,475
CNAG_04981L,CNAG_04981,224
CNAG_04980L,CNAG_04980,79
CNAG_00456L,CNAG_00456,249
CNAG_00455L,CNAG_00455,286
CNAG_02152L,CNAG_02152,281
CNAG_00107L,CNAG_00107,242
CNAG_00106L,CNAG_00106,2160
CNAG_01061L,CNAG_01061,273
CNAG_03847L,CNAG_03847,218
CNAG_03848L,CNAG_03848,288
CNAG_01013L,CNAG_01013,44
CNAG_02777L,CNAG_02777,245
CNAG_07523L,CNAG_07523,225
CNAG_04991L,CNAG_04991,145
CNAG_00531L,CNAG_00531,234
CNAG_05159L,CNAG_05159,250
CNAG_05079L,CNAG_05079,310
CNAG_05080L,CNAG_05080,252
CNAG_04869L,CNAG_04869,258
CNAG_00164L,CNAG_00164,206
CNAG_04077L,CNAG_04077,246
CNAG_01082L,CNAG_01082,225
CNAG_04658L,CNAG_04658,267
CNAG_03727L,CNAG_03727,312
CNAG_03676L,CNAG_03676,268
CNAG_03677L,CNAG_03677,250
CNAG_03841L,CNAG_03841,89
CNAG_06761L,CNAG_06761,208
CNAG_06760L,CNAG_06760,196
CNAG_05076L,CNAG_05076,261
CNAG_05077L,CNAG_05077,330
CNAG_02553L,CNAG_02553,217
CNAG_02554L,CNAG_02554,1023
CNAG_00546L,CNAG_00546,380
CNAG_00702L,CNAG_00702,272
CNAG_00897L,CNAG_00897,186
CNAG_05148L,CNAG_05148,349
CNAG_05147L,CNAG_05147,247
CNAG_01126L,CNAG_01126,19
CNAG_00776L,CNAG_00776,54
CNAG_01446L,CNAG_01446,268
CNAG_04024L,CNAG_04024,335
CNAG_04025L,CNAG_04025,274
CNAG_02348L,CNAG_02348,264
CNAG_02347L,CNAG_02347,421
CNAG_00394L,CNAG_00394,440
CNAG_00393L,CNAG_00393,305
CNAG_06555L,CNAG_06555,194
CNAG_01019L,CNAG_01019,17
CNAG_01803L,CNAG_01803,286
CNAG_00374L,CNAG_00374,209
CNAG_00654L,CNAG_00654,220
CNAG_07541L,CNAG_07541,189
CNAG_07542L,CNAG_07542,273
CNAG_00363L,CNAG_00363,64
CNAG_05915L,CNAG_05915,282
CNAG_05916L,CNAG_05916,263
CNAG_00917L,CNAG_00917,958
CNAG_00919L,CNAG_00919,295
CNAG_05458L,CNAG_05458,373
CNAG_05459L,CNAG_05459,290
CNAG_01985L,CNAG_01985,117
CNAG_00740L,CNAG_00740,15
CNAG_04163L,CNAG_04163,17
CNAG_04162L,CNAG_04162,92
CNAG_04755L,CNAG_04755,1310
CNAG_01777L,CNAG_01777,213
CNAG_01778L,CNAG_01778,261
CNAG_05889L,CNAG_05889,217
CNAG_05888L,CNAG_05888,222
CNAG_04217L,CNAG_04217,243
CNAG_03173L,CNAG_03173,255
CNAG_03172L,CNAG_03172,223
CNAG_07388L,CNAG_07388,204
CNAG_07389L,CNAG_07389,275
CNAG_03644L,CNAG_03644,231
CNAG_06785L,CNAG_06785,224
CNAG_06060L,CNAG_06060,176
CNAG_00581L,CNAG_00581,137
CNAG_02044L,CNAG_02044,236
CNAG_02045L,CNAG_02045,304
CNAG_04950L,CNAG_04950,209
CNAG_04949L,CNAG_04949,237
CNAG_01865L,CNAG_01865,265
CNAG_05870L,CNAG_05870,211
CNAG_00717L,CNAG_00717,148
CNAG_06926L,CNAG_06926,254
CNAG_06896L,CNAG_06896,126
CNAG_04631L,CNAG_04631,181
CNAG_05812L,CNAG_05812,277
CNAG_00079L,CNAG_00079,319
CNAG_06657L,CNAG_06657,223
CNAG_06658L,CNAG_06658,239
CNAG_05993L,CNAG_05993,252
CNAG_05994L,CNAG_05994,259
CNAG_04675L,CNAG_04675,3
CNAG_01318L,CNAG_01318,363
CNAG_05430L,CNAG_05430,235
CNAG_05429L,CNAG_05429,40
CNAG_02517L,CNAG_02517,309
CNAG_07419L,CNAG_07419,241
CNAG_02040L,CNAG_02040,221
CNAG_03328L,CNAG_03328,122
CNAG_03329L,CNAG_03329,153
CNAG_04471L,CNAG_04471,277
CNAG_04472L,CNAG_04472,283
CNAG_01920L,CNAG_01920,162
CNAG_01919L,CNAG_01919,340
CNAG_03075L,CNAG_03075,77
CNAG_03884L,CNAG_03884,45
CNAG_00699L,CNAG_00699,193
CNAG_02129L,CNAG_02129,337
CNAG_05352L,CNAG_05352,168
CNAG_02293L,CNAG_02293,6
CNAG_02292L,CNAG_02292,16
CNAG_07441L,CNAG_07441,414
CNAG_07442L,CNAG_07442,142
CNAG_05415L,CNAG_05415,115
CNAG_03946L,CNAG_03946,270
CNAG_07486L,CNAG_07486,227
CNAG_07313L,CNAG_07313,226
CNAG_00126L,CNAG_00126,1366
CNAG_00710L,CNAG_00710,244
CNAG_00709L,CNAG_00709,275
CNAG_04186L,CNAG_04186,1136
CNAG_03689L,CNAG_03689,199
CNAG_01704L,CNAG_01704,260
CNAG_04618L,CNAG_04618,254
CNAG_05290L,CNAG_05290,41
CNAG_07827L,CNAG_07827,230
CNAG_07516L,CNAG_07516,181
CNAG_02849L,CNAG_02849,267
CNAG_00156L,CNAG_00156,1083
CNAG_00157L,CNAG_00157,236
CNAG_04891L,CNAG_04891,231
CNAG_04992L,CNAG_04992,97
CNAG_02090L,CNAG_02090,309
CNAG_01776L,CNAG_01776,300
CNAG_07605L,CNAG_07605,277
CNAG_01846L,CNAG_01846,275
CNAG_02539L,CNAG_02539,236
CNAG_02540L,CNAG_02540,233
CNAG_01701L,CNAG_01701,229
CNAG_03572L,CNAG_03572,265
CNAG_00798L,CNAG_00798,211
CNAG_00799L,CNAG_00799,91
CNAG_02850L,CNAG_02850,163
CNAG_04656L,CNAG_04656,243
CNAG_04657L,CNAG_04657,214
CNAG_04385L,CNAG_04385,180
CNAG_04386L,CNAG_04386,246
CNAG_07847L,CNAG_07847,217
CNAG_02226L,CNAG_02226,221
CNAG_02225L,CNAG_02225,546
CNAG_04860L,CNAG_04860,256
CNAG_01105L,CNAG_01105,343
CNAG_03524L,CNAG_03524,211
CNAG_03733L,CNAG_03733,304
CNAG_03732L,CNAG_03732,279
CNAG_03247L,CNAG_03247,270
CNAG_03193L,CNAG_03193,184
CNAG_03194L,CNAG_03194,284
CNAG_06574L,CNAG_06574,226
CNAG_04663L,CNAG_04663,204
CNAG_02944L,CNAG_02944,180
CNAG_05872L,CNAG_05872,56
CNAG_02775L,CNAG_02775,13
CNAG_01113L,CNAG_01113,167
CNAG_01112L,CNAG_01112,203
CNAG_06973L,CNAG_06973,220
CNAG_07498L,CNAG_07498,283
CNAG_03754L,CNAG_03754,243
CNAG_00475L,CNAG_00475,4943
CNAG_04524L,CNAG_04524,917
CNAG_06501L,CNAG_06501,325
CNAG_06502L,CNAG_06502,305
CNAG_00587L,CNAG_00587,308
CNAG_04691L,CNAG_04691,229
CNAG_01062L,CNAG_01062,252
CNAG_05522L,CNAG_05522,281
CNAG_02830L,CNAG_02830,3
CNAG_04633L,CNAG_04633,254
CNAG_01930L,CNAG_01930,488
CNAG_00737L,CNAG_00737,67
CNAG_04983L,CNAG_04983,219
CNAG_04982L,CNAG_04982,273
CNAG_03002L,CNAG_03002,101
CNAG_01448L,CNAG_01448,288
CNAG_02526L,CNAG_02526,211
CNAG_07685L,CNAG_07685,267
CNAG_02011L,CNAG_02011,218
CNAG_02010L,CNAG_02010,2386
CNAG_05156L,CNAG_05156,235
CNAG_01643L,CNAG_01643,128
CNAG_01642L,CNAG_01642,303
CNAG_05727L,CNAG_05727,291
CNAG_03857L,CNAG_03857,197
CNAG_04705L,CNAG_04705,292
CNAG_01420L,CNAG_01420,300
CNAG_07519L,CNAG_07519,728
CNAG_00078L,CNAG_00078,291
CNAG_06240L,CNAG_06240,550
CNAG_00777L,CNAG_00777,351
CNAG_01118L,CNAG_01118,329
CNAG_03867L,CNAG_03867,291
CNAG_03866L,CNAG_03866,319
CNAG_06594L,CNAG_06594,137
CNAG_06595L,CNAG_06595,239
CNAG_00519L,CNAG_00519,2
CNAG_00588L,CNAG_00588,323
CNAG_03168L,CNAG_03168,1
CNAG_01525L,CNAG_01525,77
CNAG_01524L,CNAG_01524,16
CNAG_04594L,CNAG_04594,243
CNAG_06993L,CNAG_06993,237
CNAG_06776L,CNAG_06776,254
CNAG_02588L,CNAG_02588,283
CNAG_06905L,CNAG_06905,297
CNAG_06904L,CNAG_06904,253
