Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,132
CNAG_05515L,CNAG_05515,565
CNAG_05641L,CNAG_05641,386
CNAG_05387L,CNAG_05387,460
CNAG_05590L,CNAG_05590,711
CNAG_07869L,CNAG_07869,629
CNAG_05340L,CNAG_05340,182
CNAG_05638L,CNAG_05638,547
CNAG_05639L,CNAG_05639,274
CNAG_06346L,CNAG_06346,510
CNAG_06347L,CNAG_06347,561
CNAG_06517L,CNAG_06517,776
CNAG_07939L,CNAG_07939,330
CNAG_06493L,CNAG_06493,341
CNAG_06201L,CNAG_06201,364
CNAG_06104L,CNAG_06104,885
CNAG_06081L,CNAG_06081,479
CNAG_07902L,CNAG_07902,323
CNAG_06241L,CNAG_06241,247
CNAG_06242L,CNAG_06242,223
CNAG_06186L,CNAG_06186,359
CNAG_07911L,CNAG_07911,403
CNAG_01551L,CNAG_01551,288
CNAG_01683L,CNAG_01683,351
CNAG_01983L,CNAG_01983,453
CNAG_01902L,CNAG_01902,8
CNAG_01680L,CNAG_01680,360
CNAG_01621L,CNAG_01621,346
CNAG_01988L,CNAG_01988,419
CNAG_01989L,CNAG_01989,452
CNAG_01939L,CNAG_01939,379
CNAG_01993L,CNAG_01993,354
CNAG_01992L,CNAG_01992,355
CNAG_01965L,CNAG_01965,348
CNAG_01562L,CNAG_01562,358
CNAG_01925L,CNAG_01925,357
CNAG_04756L,CNAG_04756,462
CNAG_04807L,CNAG_04807,449
CNAG_04837L,CNAG_04837,409
CNAG_04836L,CNAG_04836,302
CNAG_04737L,CNAG_04737,490
CNAG_04875L,CNAG_04875,209
CNAG_04874L,CNAG_04874,1181
CNAG_04868L,CNAG_04868,124
CNAG_04752L,CNAG_04752,395
CNAG_04753L,CNAG_04753,2631
CNAG_04909L,CNAG_04909,390
CNAG_04908L,CNAG_04908,406
CNAG_04659L,CNAG_04659,24
CNAG_04623L,CNAG_04623,464
CNAG_04518L,CNAG_04518,382
CNAG_04517L,CNAG_04517,619
CNAG_07770L,CNAG_07770,354
CNAG_04436L,CNAG_04436,203
CNAG_04271L,CNAG_04271,288
CNAG_04270L,CNAG_04270,505
CNAG_03346L,CNAG_03346,555
CNAG_03433L,CNAG_03433,467
CNAG_03333L,CNAG_03333,577
CNAG_07742L,CNAG_07742,1139
CNAG_03438L,CNAG_03438,105
CNAG_03223L,CNAG_03223,489
CNAG_03142L,CNAG_03142,316
CNAG_03143L,CNAG_03143,280
CNAG_03545L,CNAG_03545,494
CNAG_03161L,CNAG_03161,36
CNAG_03566L,CNAG_03566,342
CNAG_05835L,CNAG_05835,735
CNAG_05864L,CNAG_05864,373
CNAG_06567L,CNAG_06567,551
CNAG_05742L,CNAG_05742,269
CNAG_05743L,CNAG_05743,142
CNAG_05867L,CNAG_05867,265
CNAG_05685L,CNAG_05685,990
CNAG_05684L,CNAG_05684,714
CNAG_05785L,CNAG_05785,340
CNAG_05843L,CNAG_05843,9
CNAG_06554L,CNAG_06554,497
CNAG_02189L,CNAG_02189,536
CNAG_02188L,CNAG_02188,451
CNAG_02182L,CNAG_02182,384
CNAG_07631L,CNAG_07631,453
CNAG_02371L,CNAG_02371,302
CNAG_07633L,CNAG_07633,271
CNAG_01069L,CNAG_01069,378
CNAG_00896L,CNAG_00896,1243
CNAG_06719L,CNAG_06719,121
CNAG_03669L,CNAG_03669,525
CNAG_00031L,CNAG_00031,339
CNAG_07332L,CNAG_07332,333
CNAG_00285L,CNAG_00285,388
CNAG_00828L,CNAG_00828,386
CNAG_00830L,CNAG_00830,392
CNAG_00841L,CNAG_00841,367
CNAG_02774L,CNAG_02774,395
CNAG_06531L,CNAG_06531,694
CNAG_03279L,CNAG_03279,390
CNAG_03336L,CNAG_03336,740
CNAG_06339L,CNAG_06339,417
CNAG_03768L,CNAG_03768,468
CNAG_04534L,CNAG_04534,566
CNAG_01973L,CNAG_01973,10
CNAG_07867L,CNAG_07867,391
CNAG_05333L,CNAG_05333,470
CNAG_06425L,CNAG_06425,455
CNAG_03849L,CNAG_03849,868
CNAG_02603L,CNAG_02603,389
CNAG_02555L,CNAG_02555,573
CNAG_03431L,CNAG_03431,637
CNAG_05049L,CNAG_05049,336
CNAG_05380L,CNAG_05380,540
CNAG_03914L,CNAG_03914,654
CNAG_02476L,CNAG_02476,497
CNAG_07583L,CNAG_07583,505
CNAG_02466L,CNAG_02466,363
CNAG_05112L,CNAG_05112,389
CNAG_03366L,CNAG_03366,534
CNAG_03977L,CNAG_03977,180
CNAG_04090L,CNAG_04090,1308
CNAG_00791L,CNAG_00791,373
CNAG_06751L,CNAG_06751,277
CNAG_05375L,CNAG_05375,3709
CNAG_02516L,CNAG_02516,439
CNAG_04804L,CNAG_04804,329
CNAG_00627L,CNAG_00627,512
CNAG_07725L,CNAG_07725,583
CNAG_06203L,CNAG_06203,656
CNAG_00193L,CNAG_00193,2
CNAG_00514L,CNAG_00514,5
CNAG_01883L,CNAG_01883,856
CNAG_03401L,CNAG_03401,335
CNAG_02435L,CNAG_02435,672
CNAG_05153L,CNAG_05153,10
CNAG_01708L,CNAG_01708,775
CNAG_03700L,CNAG_03700,643
CNAG_07320L,CNAG_07320,170
CNAG_05215L,CNAG_05215,429
CNAG_01438L,CNAG_01438,332
CNAG_07464L,CNAG_07464,227
CNAG_01858L,CNAG_01858,691
CNAG_04586L,CNAG_04586,1100
CNAG_05093L,CNAG_05093,508
