Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,464
CNAG_05387R,CNAG_05387,550
CNAG_05638R,CNAG_05638,302
CNAG_05639R,CNAG_05639,266
CNAG_06346R,CNAG_06346,362
CNAG_06347R,CNAG_06347,336
CNAG_06517R,CNAG_06517,425
CNAG_06201R,CNAG_06201,354
CNAG_06104R,CNAG_06104,260
CNAG_07902R,CNAG_07902,349
CNAG_06241R,CNAG_06241,265
CNAG_06242R,CNAG_06242,308
CNAG_07911R,CNAG_07911,369
CNAG_01683R,CNAG_01683,368
CNAG_01902R,CNAG_01902,17
CNAG_01680R,CNAG_01680,337
CNAG_01989R,CNAG_01989,233
CNAG_01965R,CNAG_01965,27
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,277
CNAG_04807R,CNAG_04807,2
CNAG_04837R,CNAG_04837,394
CNAG_04836R,CNAG_04836,318
CNAG_04875R,CNAG_04875,249
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,75
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,355
CNAG_04517R,CNAG_04517,320
CNAG_07770R,CNAG_07770,380
CNAG_04436R,CNAG_04436,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,488
CNAG_07742R,CNAG_07742,670
CNAG_03142R,CNAG_03142,304
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,266
CNAG_05835R,CNAG_05835,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,264
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,384
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,427
CNAG_02188R,CNAG_02188,2
CNAG_02371R,CNAG_02371,291
CNAG_06719R,CNAG_06719,227
CNAG_03669R,CNAG_03669,395
CNAG_07332R,CNAG_07332,204
CNAG_00285R,CNAG_00285,341
CNAG_00830R,CNAG_00830,355
CNAG_00841R,CNAG_00841,350
CNAG_06531R,CNAG_06531,597
CNAG_03279R,CNAG_03279,371
CNAG_03336R,CNAG_03336,477
CNAG_06339R,CNAG_06339,509
CNAG_03768R,CNAG_03768,414
CNAG_04534R,CNAG_04534,346
CNAG_01973R,CNAG_01973,286
CNAG_07867R,CNAG_07867,290
CNAG_05333R,CNAG_05333,375
CNAG_06425R,CNAG_06425,273
CNAG_03849R,CNAG_03849,443
CNAG_02603R,CNAG_02603,303
CNAG_02555R,CNAG_02555,449
CNAG_02525R,CNAG_02525,60
CNAG_03431R,CNAG_03431,267
CNAG_05049R,CNAG_05049,248
CNAG_03914R,CNAG_03914,380
CNAG_02476R,CNAG_02476,289
CNAG_07583R,CNAG_07583,332
CNAG_05112R,CNAG_05112,298
CNAG_03366R,CNAG_03366,454
CNAG_04090R,CNAG_04090,445
CNAG_00791R,CNAG_00791,353
CNAG_05375R,CNAG_05375,5556
CNAG_02516R,CNAG_02516,325
CNAG_04804R,CNAG_04804,350
CNAG_00627R,CNAG_00627,1
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,337
CNAG_01883R,CNAG_01883,523
CNAG_03401R,CNAG_03401,348
CNAG_02435R,CNAG_02435,325
CNAG_05153R,CNAG_05153,7
CNAG_01708R,CNAG_01708,238
CNAG_03700R,CNAG_03700,360
CNAG_07320R,CNAG_07320,1
CNAG_05215R,CNAG_05215,266
CNAG_01438R,CNAG_01438,348
CNAG_07464R,CNAG_07464,291
CNAG_01858R,CNAG_01858,463
CNAG_04586R,CNAG_04586,388
CNAG_05176R,CNAG_05176,329
CNAG_01014R,CNAG_01014,185
CNAG_00998R,CNAG_00998,3
CNAG_01454R,CNAG_01454,384
CNAG_06327R,CNAG_06327,112
CNAG_03788R,CNAG_03788,342
CNAG_00871R,CNAG_00871,358
CNAG_00559R,CNAG_00559,9399
CNAG_07370R,CNAG_07370,423
CNAG_00732R,CNAG_00732,2
