Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,378
CNAG_05387R,CNAG_05387,431
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,285
CNAG_05639R,CNAG_05639,309
CNAG_06346R,CNAG_06346,362
CNAG_06347R,CNAG_06347,349
CNAG_06517R,CNAG_06517,440
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,210
CNAG_06104R,CNAG_06104,216
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,339
CNAG_06241R,CNAG_06241,266
CNAG_06242R,CNAG_06242,367
CNAG_07911R,CNAG_07911,344
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,382
CNAG_01902R,CNAG_01902,13
CNAG_01680R,CNAG_01680,324
CNAG_01989R,CNAG_01989,247
CNAG_01965R,CNAG_01965,72
CNAG_01925R,CNAG_01925,294
CNAG_04837R,CNAG_04837,341
CNAG_04836R,CNAG_04836,323
CNAG_04875R,CNAG_04875,270
CNAG_04868R,CNAG_04868,77
CNAG_04753R,CNAG_04753,3
CNAG_04909R,CNAG_04909,1
CNAG_04659R,CNAG_04659,2
CNAG_04518R,CNAG_04518,310
CNAG_04517R,CNAG_04517,328
CNAG_07770R,CNAG_07770,327
CNAG_03333R,CNAG_03333,385
CNAG_07742R,CNAG_07742,711
CNAG_03142R,CNAG_03142,249
CNAG_03566R,CNAG_03566,270
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,283
CNAG_05684R,CNAG_05684,518
CNAG_02189R,CNAG_02189,357
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,190
CNAG_06719R,CNAG_06719,258
CNAG_03669R,CNAG_03669,323
CNAG_07332R,CNAG_07332,232
CNAG_00285R,CNAG_00285,333
CNAG_00830R,CNAG_00830,355
CNAG_00841R,CNAG_00841,396
CNAG_06531R,CNAG_06531,568
CNAG_03279R,CNAG_03279,323
CNAG_03336R,CNAG_03336,453
CNAG_06339R,CNAG_06339,389
CNAG_03768R,CNAG_03768,325
CNAG_04534R,CNAG_04534,262
CNAG_01973R,CNAG_01973,304
CNAG_07867R,CNAG_07867,305
CNAG_05333R,CNAG_05333,385
CNAG_06425R,CNAG_06425,292
CNAG_03849R,CNAG_03849,418
CNAG_02603R,CNAG_02603,255
CNAG_02555R,CNAG_02555,434
CNAG_02525R,CNAG_02525,29
CNAG_03431R,CNAG_03431,560
CNAG_05049R,CNAG_05049,288
CNAG_03914R,CNAG_03914,381
