Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,69
CNAG_05515L,CNAG_05515,388
CNAG_05641L,CNAG_05641,287
CNAG_05387L,CNAG_05387,416
CNAG_05590L,CNAG_05590,889
CNAG_07869L,CNAG_07869,399
CNAG_05340L,CNAG_05340,179
CNAG_05638L,CNAG_05638,288
CNAG_05639L,CNAG_05639,225
CNAG_06346L,CNAG_06346,282
CNAG_06347L,CNAG_06347,274
CNAG_06517L,CNAG_06517,386
CNAG_07939L,CNAG_07939,298
CNAG_06493L,CNAG_06493,259
CNAG_06201L,CNAG_06201,267
CNAG_06104L,CNAG_06104,224
CNAG_06081L,CNAG_06081,288
CNAG_07902L,CNAG_07902,309
CNAG_06241L,CNAG_06241,210
CNAG_06242L,CNAG_06242,251
CNAG_06186L,CNAG_06186,248
CNAG_07911L,CNAG_07911,337
CNAG_01551L,CNAG_01551,333
CNAG_01683L,CNAG_01683,253
CNAG_01983L,CNAG_01983,340
CNAG_01902L,CNAG_01902,16
CNAG_01680L,CNAG_01680,279
CNAG_01621L,CNAG_01621,234
CNAG_01988L,CNAG_01988,214
CNAG_01989L,CNAG_01989,300
CNAG_01939L,CNAG_01939,299
CNAG_01993L,CNAG_01993,247
CNAG_01992L,CNAG_01992,265
CNAG_01965L,CNAG_01965,309
CNAG_01562L,CNAG_01562,175
CNAG_01925L,CNAG_01925,315
CNAG_04756L,CNAG_04756,320
CNAG_04807L,CNAG_04807,373
CNAG_04837L,CNAG_04837,326
CNAG_04836L,CNAG_04836,284
CNAG_04737L,CNAG_04737,405
CNAG_04875L,CNAG_04875,198
CNAG_04874L,CNAG_04874,662
CNAG_04868L,CNAG_04868,98
CNAG_04752L,CNAG_04752,248
CNAG_04753L,CNAG_04753,1993
CNAG_04909L,CNAG_04909,263
CNAG_04908L,CNAG_04908,277
CNAG_04659L,CNAG_04659,254
CNAG_04623L,CNAG_04623,299
CNAG_04518L,CNAG_04518,253
CNAG_04517L,CNAG_04517,357
CNAG_07770L,CNAG_07770,323
CNAG_04436L,CNAG_04436,70
CNAG_04271L,CNAG_04271,223
CNAG_04270L,CNAG_04270,242
CNAG_03346L,CNAG_03346,295
CNAG_03433L,CNAG_03433,318
CNAG_03333L,CNAG_03333,357
CNAG_07742L,CNAG_07742,755
CNAG_03438L,CNAG_03438,65
