Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,416
CNAG_05387R,CNAG_05387,446
CNAG_05638R,CNAG_05638,285
CNAG_05639R,CNAG_05639,303
CNAG_06346R,CNAG_06346,331
CNAG_06347R,CNAG_06347,307
CNAG_06517R,CNAG_06517,463
CNAG_06201R,CNAG_06201,249
CNAG_06104R,CNAG_06104,518
CNAG_07902R,CNAG_07902,294
CNAG_06241R,CNAG_06241,214
CNAG_06242R,CNAG_06242,238
CNAG_07911R,CNAG_07911,327
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,339
CNAG_01902R,CNAG_01902,14
CNAG_01680R,CNAG_01680,292
CNAG_01989R,CNAG_01989,230
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,219
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,301
CNAG_04837R,CNAG_04837,328
CNAG_04836R,CNAG_04836,271
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,135
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,78
CNAG_04518R,CNAG_04518,314
CNAG_04517R,CNAG_04517,318
CNAG_07770R,CNAG_07770,239
CNAG_03333R,CNAG_03333,352
CNAG_07742R,CNAG_07742,594
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,226
CNAG_03566R,CNAG_03566,278
CNAG_05835R,CNAG_05835,2
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,214
CNAG_05684R,CNAG_05684,229
CNAG_02189R,CNAG_02189,347
CNAG_02371R,CNAG_02371,260
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,298
CNAG_03669R,CNAG_03669,247
CNAG_07332R,CNAG_07332,203
CNAG_00285R,CNAG_00285,306
CNAG_00830R,CNAG_00830,300
CNAG_00841R,CNAG_00841,262
CNAG_06531R,CNAG_06531,460
CNAG_03279R,CNAG_03279,331
CNAG_03336R,CNAG_03336,414
CNAG_06339R,CNAG_06339,266
CNAG_03768R,CNAG_03768,369
CNAG_04534R,CNAG_04534,287
CNAG_01973R,CNAG_01973,283
CNAG_07867R,CNAG_07867,276
CNAG_05333R,CNAG_05333,357
CNAG_06425R,CNAG_06425,201
CNAG_03849R,CNAG_03849,331
CNAG_02603R,CNAG_02603,265
CNAG_02555R,CNAG_02555,374
CNAG_02525R,CNAG_02525,132
CNAG_03431R,CNAG_03431,212
CNAG_05049R,CNAG_05049,264
CNAG_03914R,CNAG_03914,295
CNAG_02476R,CNAG_02476,225
CNAG_07583R,CNAG_07583,280
CNAG_05112R,CNAG_05112,289
CNAG_03366R,CNAG_03366,394
CNAG_04090R,CNAG_04090,418
CNAG_00791R,CNAG_00791,303
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,4308
CNAG_02516R,CNAG_02516,247
CNAG_04804R,CNAG_04804,31
CNAG_06203R,CNAG_06203,303
CNAG_01883R,CNAG_01883,486
CNAG_03401R,CNAG_03401,326
CNAG_02435R,CNAG_02435,372
CNAG_05153R,CNAG_05153,8
CNAG_01708R,CNAG_01708,275
CNAG_03700R,CNAG_03700,369
CNAG_05215R,CNAG_05215,253
CNAG_01438R,CNAG_01438,205
CNAG_07464R,CNAG_07464,267
CNAG_01858R,CNAG_01858,501
CNAG_04586R,CNAG_04586,455
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,416
CNAG_01014R,CNAG_01014,164
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,334
CNAG_06327R,CNAG_06327,64
CNAG_03788R,CNAG_03788,370
CNAG_00871R,CNAG_00871,323
CNAG_00559R,CNAG_00559,7554
CNAG_07370R,CNAG_07370,384
CNAG_02589R,CNAG_02589,335
CNAG_01645R,CNAG_01645,765
CNAG_01242R,CNAG_01242,163
CNAG_02788R,CNAG_02788,28
CNAG_07435R,CNAG_07435,25
CNAG_07924R,CNAG_07924,218
CNAG_01071R,CNAG_01071,252
CNAG_00883R,CNAG_00883,249
CNAG_03741R,CNAG_03741,327
CNAG_03745R,CNAG_03745,308
CNAG_00192R,CNAG_00192,393
CNAG_00670R,CNAG_00670,296
CNAG_06871R,CNAG_06871,397
CNAG_04457R,CNAG_04457,383
CNAG_04588R,CNAG_04588,60
CNAG_03894R,CNAG_03894,365
CNAG_04012R,CNAG_04012,370
CNAG_01487R,CNAG_01487,379
CNAG_05170R,CNAG_05170,262
CNAG_02364R,CNAG_02364,278
CNAG_04093R,CNAG_04093,358
CNAG_02322R,CNAG_02322,369
CNAG_05255R,CNAG_05255,341
CNAG_03018R,CNAG_03018,279
CNAG_07901R,CNAG_07901,253
CNAG_03086R,CNAG_03086,297
CNAG_06097R,CNAG_06097,252
CNAG_06136R,CNAG_06136,304
CNAG_03177R,CNAG_03177,290
CNAG_03183R,CNAG_03183,174
CNAG_06188R,CNAG_06188,1
CNAG_04774R,CNAG_04774,293
CNAG_04768R,CNAG_04768,351
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,281
CNAG_05222R,CNAG_05222,24
CNAG_03409R,CNAG_03409,112
CNAG_05622R,CNAG_05622,366
CNAG_04637R,CNAG_04637,234
CNAG_07680R,CNAG_07680,41
CNAG_02215R,CNAG_02215,22
CNAG_00564R,CNAG_00564,2
CNAG_02387R,CNAG_02387,361
CNAG_04086R,CNAG_04086,363
CNAG_05697R,CNAG_05697,447
CNAG_06205R,CNAG_06205,1
CNAG_04507R,CNAG_04507,284
CNAG_04506R,CNAG_04506,320
CNAG_00068R,CNAG_00068,496
CNAG_00733R,CNAG_00733,367
CNAG_03910R,CNAG_03910,363
CNAG_04059R,CNAG_04059,257
CNAG_07491R,CNAG_07491,341
CNAG_05181R,CNAG_05181,372
CNAG_03772R,CNAG_03772,337
CNAG_00445R,CNAG_00445,484
CNAG_01901R,CNAG_01901,516
CNAG_05313R,CNAG_05313,263
CNAG_05312R,CNAG_05312,327
CNAG_00442R,CNAG_00442,515
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,498
CNAG_01230R,CNAG_01230,104
CNAG_01681R,CNAG_01681,1
CNAG_00547R,CNAG_00547,208
CNAG_00598R,CNAG_00598,319
CNAG_02219R,CNAG_02219,456
CNAG_03013R,CNAG_03013,48
CNAG_07540R,CNAG_07540,487
CNAG_04980R,CNAG_04980,14
CNAG_00456R,CNAG_00456,309
CNAG_00455R,CNAG_00455,297
CNAG_00107R,CNAG_00107,261
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,370
CNAG_01013R,CNAG_01013,50
CNAG_05159R,CNAG_05159,1
CNAG_05080R,CNAG_05080,287
CNAG_00164R,CNAG_00164,348
CNAG_04658R,CNAG_04658,2
CNAG_03677R,CNAG_03677,310
CNAG_05077R,CNAG_05077,391
CNAG_02554R,CNAG_02554,4
CNAG_00546R,CNAG_00546,1
CNAG_01125R,CNAG_01125,2
CNAG_00776R,CNAG_00776,45
CNAG_04024R,CNAG_04024,333
CNAG_04025R,CNAG_04025,363
CNAG_02347R,CNAG_02347,2
CNAG_00394R,CNAG_00394,1
CNAG_01019R,CNAG_01019,16
CNAG_01803R,CNAG_01803,438
CNAG_07541R,CNAG_07541,265
CNAG_07542R,CNAG_07542,354
CNAG_05915R,CNAG_05915,278
CNAG_00917R,CNAG_00917,932
CNAG_00919R,CNAG_00919,291
CNAG_05458R,CNAG_05458,431
CNAG_05459R,CNAG_05459,459
CNAG_01985R,CNAG_01985,167
CNAG_00740R,CNAG_00740,24
CNAG_04163R,CNAG_04163,310
CNAG_04162R,CNAG_04162,145
CNAG_04755R,CNAG_04755,111
