Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,975
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,1158
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,734
CNAG_05639R,CNAG_05639,598
CNAG_06346R,CNAG_06346,829
CNAG_06347R,CNAG_06347,767
CNAG_06517R,CNAG_06517,1154
CNAG_07939R,CNAG_07939,2
CNAG_06201R,CNAG_06201,787
CNAG_06104R,CNAG_06104,522
CNAG_06081R,CNAG_06081,2
CNAG_07902R,CNAG_07902,753
CNAG_06241R,CNAG_06241,612
CNAG_06242R,CNAG_06242,610
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,762
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,842
CNAG_01983R,CNAG_01983,2
CNAG_01902R,CNAG_01902,17
CNAG_01680R,CNAG_01680,760
CNAG_01621R,CNAG_01621,1
CNAG_01988R,CNAG_01988,3
CNAG_01989R,CNAG_01989,565
CNAG_01993R,CNAG_01993,1
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,142
CNAG_01925R,CNAG_01925,662
CNAG_04756R,CNAG_04756,1
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,816
CNAG_04836R,CNAG_04836,709
CNAG_04737R,CNAG_04737,2
CNAG_04875R,CNAG_04875,461
CNAG_04874R,CNAG_04874,3
CNAG_04868R,CNAG_04868,206
CNAG_04753R,CNAG_04753,2
CNAG_04659R,CNAG_04659,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,711
CNAG_04517R,CNAG_04517,843
CNAG_07770R,CNAG_07770,779
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,1139
CNAG_07742R,CNAG_07742,1620
CNAG_03438R,CNAG_03438,1
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,639
CNAG_03143R,CNAG_03143,4
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,753
CNAG_05835R,CNAG_05835,1
CNAG_05864R,CNAG_05864,2
CNAG_06567R,CNAG_06567,2
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,550
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,807
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,759
CNAG_02182R,CNAG_02182,1
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,678
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,636
CNAG_03669R,CNAG_03669,813
CNAG_07332R,CNAG_07332,484
CNAG_00285R,CNAG_00285,742
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,778
CNAG_00841R,CNAG_00841,847
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,1375
CNAG_03279R,CNAG_03279,793
CNAG_03336R,CNAG_03336,955
CNAG_06339R,CNAG_06339,1051
CNAG_03768R,CNAG_03768,953
