Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,256
CNAG_05515L,CNAG_05515,616
CNAG_05641L,CNAG_05641,453
CNAG_05387L,CNAG_05387,556
CNAG_05590L,CNAG_05590,692
CNAG_07869L,CNAG_07869,594
CNAG_05340L,CNAG_05340,262
CNAG_05638L,CNAG_05638,495
CNAG_05639L,CNAG_05639,437
CNAG_06346L,CNAG_06346,609
CNAG_06347L,CNAG_06347,551
CNAG_06517L,CNAG_06517,739
CNAG_07939L,CNAG_07939,546
CNAG_06493L,CNAG_06493,414
CNAG_06201L,CNAG_06201,545
CNAG_06104L,CNAG_06104,355
CNAG_06081L,CNAG_06081,596
CNAG_07902L,CNAG_07902,493
CNAG_06241L,CNAG_06241,378
CNAG_06242L,CNAG_06242,417
CNAG_06186L,CNAG_06186,479
CNAG_07911L,CNAG_07911,585
CNAG_01551L,CNAG_01551,237
CNAG_01683L,CNAG_01683,462
CNAG_01983L,CNAG_01983,523
CNAG_01902L,CNAG_01902,25
CNAG_01680L,CNAG_01680,499
CNAG_01621L,CNAG_01621,492
CNAG_01988L,CNAG_01988,421
CNAG_01989L,CNAG_01989,507
CNAG_01939L,CNAG_01939,546
CNAG_01993L,CNAG_01993,420
CNAG_01992L,CNAG_01992,442
CNAG_01965L,CNAG_01965,520
CNAG_01562L,CNAG_01562,426
CNAG_01925L,CNAG_01925,486
CNAG_04756L,CNAG_04756,514
CNAG_04807L,CNAG_04807,601
CNAG_04837L,CNAG_04837,537
CNAG_04836L,CNAG_04836,442
CNAG_04737L,CNAG_04737,672
CNAG_04875L,CNAG_04875,321
CNAG_04874L,CNAG_04874,1031
CNAG_04868L,CNAG_04868,128
CNAG_04752L,CNAG_04752,234
CNAG_04753L,CNAG_04753,1874
CNAG_04909L,CNAG_04909,584
CNAG_04908L,CNAG_04908,547
CNAG_04659L,CNAG_04659,398
CNAG_04623L,CNAG_04623,531
CNAG_04518L,CNAG_04518,436
CNAG_04517L,CNAG_04517,541
CNAG_07770L,CNAG_07770,495
CNAG_04436L,CNAG_04436,330
CNAG_04271L,CNAG_04271,414
CNAG_04270L,CNAG_04270,300
CNAG_03346L,CNAG_03346,548
CNAG_03433L,CNAG_03433,539
CNAG_03333L,CNAG_03333,734
CNAG_07742L,CNAG_07742,1316
CNAG_03438L,CNAG_03438,214
CNAG_03223L,CNAG_03223,355
CNAG_03142L,CNAG_03142,413
CNAG_03143L,CNAG_03143,446
CNAG_03545L,CNAG_03545,600
CNAG_03161L,CNAG_03161,222
CNAG_03566L,CNAG_03566,448
CNAG_05835L,CNAG_05835,372
CNAG_05864L,CNAG_05864,365
CNAG_06567L,CNAG_06567,488
CNAG_05742L,CNAG_05742,471
CNAG_05743L,CNAG_05743,141
CNAG_05867L,CNAG_05867,386
CNAG_05685L,CNAG_05685,1261
CNAG_05684L,CNAG_05684,550
CNAG_05785L,CNAG_05785,417
CNAG_05843L,CNAG_05843,12
CNAG_06554L,CNAG_06554,489
CNAG_02189L,CNAG_02189,624
CNAG_02188L,CNAG_02188,552
CNAG_02182L,CNAG_02182,533
CNAG_07631L,CNAG_07631,608
CNAG_02371L,CNAG_02371,431
CNAG_07633L,CNAG_07633,557
CNAG_01069L,CNAG_01069,476
CNAG_00896L,CNAG_00896,1572
CNAG_06719L,CNAG_06719,168
CNAG_03669L,CNAG_03669,541
CNAG_00031L,CNAG_00031,477
CNAG_07332L,CNAG_07332,394
CNAG_00285L,CNAG_00285,499
CNAG_00828L,CNAG_00828,434
CNAG_00830L,CNAG_00830,530
CNAG_00841L,CNAG_00841,483
CNAG_02774L,CNAG_02774,402
CNAG_06531L,CNAG_06531,902
CNAG_03279L,CNAG_03279,567
CNAG_03336L,CNAG_03336,652
CNAG_06339L,CNAG_06339,632
CNAG_03768L,CNAG_03768,581
CNAG_04534L,CNAG_04534,531
CNAG_01973L,CNAG_01973,2
CNAG_07867L,CNAG_07867,440
CNAG_05333L,CNAG_05333,676
CNAG_06425L,CNAG_06425,419
CNAG_03849L,CNAG_03849,1259
CNAG_02603L,CNAG_02603,468
CNAG_02555L,CNAG_02555,563
CNAG_03431L,CNAG_03431,457
CNAG_05049L,CNAG_05049,369
CNAG_05380L,CNAG_05380,357
CNAG_03914L,CNAG_03914,579
CNAG_02476L,CNAG_02476,459
CNAG_07583L,CNAG_07583,580
CNAG_02466L,CNAG_02466,483
CNAG_05112L,CNAG_05112,488
CNAG_03366L,CNAG_03366,681
CNAG_03977L,CNAG_03977,220
CNAG_04090L,CNAG_04090,691
CNAG_00791L,CNAG_00791,464
CNAG_06751L,CNAG_06751,388
CNAG_05375L,CNAG_05375,6191
CNAG_02516L,CNAG_02516,498
CNAG_04804L,CNAG_04804,475
CNAG_00627L,CNAG_00627,555
CNAG_07725L,CNAG_07725,663
CNAG_06203L,CNAG_06203,444
CNAG_00514L,CNAG_00514,1
CNAG_01883L,CNAG_01883,908
CNAG_03401L,CNAG_03401,483
CNAG_02435L,CNAG_02435,503
CNAG_05153L,CNAG_05153,4
CNAG_01708L,CNAG_01708,481
CNAG_03700L,CNAG_03700,524
CNAG_07320L,CNAG_07320,117
CNAG_05215L,CNAG_05215,387
CNAG_01438L,CNAG_01438,501
CNAG_07464L,CNAG_07464,386
CNAG_01858L,CNAG_01858,668
CNAG_04586L,CNAG_04586,591
CNAG_05093L,CNAG_05093,529
CNAG_05176L,CNAG_05176,485
CNAG_01014L,CNAG_01014,313
CNAG_00998L,CNAG_00998,372
CNAG_00039L,CNAG_00039,768
CNAG_07329L,CNAG_07329,35
CNAG_01454L,CNAG_01454,559
CNAG_02700L,CNAG_02700,44
CNAG_06327L,CNAG_06327,120
CNAG_03788L,CNAG_03788,445
CNAG_00871L,CNAG_00871,682
CNAG_00559L,CNAG_00559,12764
CNAG_07370L,CNAG_07370,639
CNAG_00732L,CNAG_00732,513
CNAG_04630L,CNAG_04630,615
CNAG_07940L,CNAG_07940,558
CNAG_02589L,CNAG_02589,573
CNAG_05067L,CNAG_05067,570
CNAG_01645L,CNAG_01645,1411
CNAG_06134L,CNAG_06134,102
CNAG_01242L,CNAG_01242,250
CNAG_02788L,CNAG_02788,17
CNAG_07435L,CNAG_07435,17
CNAG_03998L,CNAG_03998,205
CNAG_07924L,CNAG_07924,618
CNAG_01071L,CNAG_01071,447
CNAG_00883L,CNAG_00883,494
CNAG_03741L,CNAG_03741,478
CNAG_03745L,CNAG_03745,585
CNAG_00192L,CNAG_00192,497
CNAG_00670L,CNAG_00670,498
CNAG_06871L,CNAG_06871,710
CNAG_04457L,CNAG_04457,529
CNAG_02723L,CNAG_02723,509
CNAG_04588L,CNAG_04588,212
CNAG_01977L,CNAG_01977,453
CNAG_03894L,CNAG_03894,585
CNAG_04012L,CNAG_04012,580
CNAG_03561L,CNAG_03561,342
CNAG_05170L,CNAG_05170,419
CNAG_04041L,CNAG_04041,122
CNAG_02364L,CNAG_02364,511
CNAG_04093L,CNAG_04093,650
CNAG_02322L,CNAG_02322,496
CNAG_04184L,CNAG_04184,484
CNAG_05255L,CNAG_05255,556
CNAG_05642L,CNAG_05642,288
CNAG_03059L,CNAG_03059,373
CNAG_03018L,CNAG_03018,468
CNAG_07901L,CNAG_07901,381
CNAG_03086L,CNAG_03086,608
CNAG_04916L,CNAG_04916,338
CNAG_06097L,CNAG_06097,367
CNAG_03115L,CNAG_03115,484
CNAG_03132L,CNAG_03132,558
CNAG_04841L,CNAG_04841,462
CNAG_06136L,CNAG_06136,525
CNAG_03177L,CNAG_03177,1038
CNAG_03183L,CNAG_03183,192
CNAG_06188L,CNAG_06188,474
CNAG_02877L,CNAG_02877,458
CNAG_04359L,CNAG_04359,1070
CNAG_04774L,CNAG_04774,676
CNAG_04768L,CNAG_04768,527
CNAG_02066L,CNAG_02066,561
CNAG_07922L,CNAG_07922,501
CNAG_06276L,CNAG_06276,525
CNAG_05222L,CNAG_05222,37
CNAG_03409L,CNAG_03409,116
CNAG_05622L,CNAG_05622,1016
CNAG_04637L,CNAG_04637,413
CNAG_07680L,CNAG_07680,47
CNAG_02215L,CNAG_02215,38
CNAG_00564L,CNAG_00564,922
CNAG_02387L,CNAG_02387,669
CNAG_04086L,CNAG_04086,730
CNAG_05697L,CNAG_05697,795
CNAG_02697L,CNAG_02697,522
CNAG_06205L,CNAG_06205,449
CNAG_05372L,CNAG_05372,344
CNAG_04507L,CNAG_04507,481
CNAG_04506L,CNAG_04506,455
CNAG_00068L,CNAG_00068,5841
CNAG_05138L,CNAG_05138,331
CNAG_00733L,CNAG_00733,540
CNAG_03910L,CNAG_03910,504
CNAG_04059L,CNAG_04059,2303
CNAG_07491L,CNAG_07491,654
CNAG_05181L,CNAG_05181,502
CNAG_03915L,CNAG_03915,500
CNAG_03772L,CNAG_03772,520
CNAG_00445L,CNAG_00445,755
CNAG_01901L,CNAG_01901,786
CNAG_05313L,CNAG_05313,80
CNAG_05312L,CNAG_05312,504
CNAG_03012L,CNAG_03012,389
CNAG_03011L,CNAG_03011,477
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,851
CNAG_02682L,CNAG_02682,452
CNAG_02683L,CNAG_02683,472
CNAG_00442L,CNAG_00442,768
CNAG_00183L,CNAG_00183,303
CNAG_07548L,CNAG_07548,3899
CNAG_01277L,CNAG_01277,831
CNAG_07512L,CNAG_07512,825
CNAG_01230L,CNAG_01230,234
CNAG_05264L,CNAG_05264,605
CNAG_05263L,CNAG_05263,523
CNAG_01681L,CNAG_01681,433
CNAG_01040L,CNAG_01040,893
CNAG_00179L,CNAG_00179,536
CNAG_00547L,CNAG_00547,381
CNAG_00598L,CNAG_00598,549
CNAG_05229L,CNAG_05229,454
CNAG_01138L,CNAG_01138,531
CNAG_00597L,CNAG_00597,497
CNAG_02797L,CNAG_02797,192
CNAG_02219L,CNAG_02219,585
CNAG_02220L,CNAG_02220,516
CNAG_00674L,CNAG_00674,522
CNAG_03013L,CNAG_03013,137
CNAG_07540L,CNAG_07540,620
CNAG_04981L,CNAG_04981,467
CNAG_04980L,CNAG_04980,39
CNAG_00456L,CNAG_00456,464
CNAG_00455L,CNAG_00455,545
CNAG_02152L,CNAG_02152,534
CNAG_00107L,CNAG_00107,434
CNAG_00106L,CNAG_00106,1685
CNAG_01061L,CNAG_01061,598
CNAG_03847L,CNAG_03847,496
CNAG_03848L,CNAG_03848,446
CNAG_01013L,CNAG_01013,122
CNAG_02777L,CNAG_02777,457
CNAG_07523L,CNAG_07523,416
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,305
CNAG_00531L,CNAG_00531,389
CNAG_05159L,CNAG_05159,527
CNAG_05079L,CNAG_05079,757
CNAG_05080L,CNAG_05080,538
CNAG_04869L,CNAG_04869,513
CNAG_00164L,CNAG_00164,529
CNAG_04077L,CNAG_04077,538
CNAG_01082L,CNAG_01082,476
CNAG_04658L,CNAG_04658,493
