Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,422
CNAG_05387R,CNAG_05387,486
CNAG_05638R,CNAG_05638,356
CNAG_05639R,CNAG_05639,272
CNAG_06346R,CNAG_06346,344
CNAG_06347R,CNAG_06347,329
CNAG_06517R,CNAG_06517,487
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,278
CNAG_06104R,CNAG_06104,232
CNAG_07902R,CNAG_07902,323
CNAG_06241R,CNAG_06241,176
CNAG_06242R,CNAG_06242,165
CNAG_07911R,CNAG_07911,296
CNAG_01683R,CNAG_01683,300
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,4
CNAG_01680R,CNAG_01680,305
CNAG_01989R,CNAG_01989,236
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,33
CNAG_01925R,CNAG_01925,315
CNAG_04837R,CNAG_04837,332
CNAG_04836R,CNAG_04836,308
CNAG_04875R,CNAG_04875,236
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,106
CNAG_04753R,CNAG_04753,2
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,297
CNAG_04517R,CNAG_04517,348
CNAG_07770R,CNAG_07770,304
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,457
CNAG_07742R,CNAG_07742,637
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,227
CNAG_03566R,CNAG_03566,304
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,212
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,303
CNAG_02189R,CNAG_02189,351
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,282
CNAG_01069R,CNAG_01069,1
CNAG_06719R,CNAG_06719,261
CNAG_03669R,CNAG_03669,288
CNAG_07332R,CNAG_07332,262
CNAG_00285R,CNAG_00285,301
CNAG_00830R,CNAG_00830,315
CNAG_00841R,CNAG_00841,356
CNAG_06531R,CNAG_06531,574
CNAG_03279R,CNAG_03279,309
CNAG_03336R,CNAG_03336,445
CNAG_06339R,CNAG_06339,423
CNAG_03768R,CNAG_03768,371
CNAG_04534R,CNAG_04534,331
CNAG_01973R,CNAG_01973,397
CNAG_07867R,CNAG_07867,280
CNAG_05333R,CNAG_05333,343
CNAG_06425R,CNAG_06425,319
CNAG_03849R,CNAG_03849,344
CNAG_02603R,CNAG_02603,254
CNAG_02555R,CNAG_02555,419
CNAG_02525R,CNAG_02525,103
CNAG_03431R,CNAG_03431,276
CNAG_05049R,CNAG_05049,237
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,284
CNAG_02476R,CNAG_02476,310
CNAG_07583R,CNAG_07583,351
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,262
CNAG_03366R,CNAG_03366,427
CNAG_04090R,CNAG_04090,616
CNAG_00791R,CNAG_00791,283
CNAG_05375R,CNAG_05375,4377
CNAG_02516R,CNAG_02516,329
CNAG_04804R,CNAG_04804,304
CNAG_06203R,CNAG_06203,349
CNAG_01883R,CNAG_01883,656
CNAG_03401R,CNAG_03401,328
CNAG_02435R,CNAG_02435,332
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,287
CNAG_03700R,CNAG_03700,397
CNAG_05215R,CNAG_05215,225
CNAG_01438R,CNAG_01438,263
CNAG_07464R,CNAG_07464,399
CNAG_01858R,CNAG_01858,443
