Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,123
CNAG_05515L,CNAG_05515,485
CNAG_05641L,CNAG_05641,385
CNAG_05387L,CNAG_05387,527
CNAG_05590L,CNAG_05590,555
CNAG_07869L,CNAG_07869,514
CNAG_05340L,CNAG_05340,143
CNAG_05638L,CNAG_05638,415
CNAG_05639L,CNAG_05639,295
CNAG_06346L,CNAG_06346,442
CNAG_06347L,CNAG_06347,391
CNAG_06517L,CNAG_06517,534
CNAG_07939L,CNAG_07939,324
CNAG_06493L,CNAG_06493,333
CNAG_06201L,CNAG_06201,338
CNAG_06104L,CNAG_06104,251
CNAG_06081L,CNAG_06081,450
CNAG_07902L,CNAG_07902,349
CNAG_06241L,CNAG_06241,239
CNAG_06242L,CNAG_06242,195
CNAG_06186L,CNAG_06186,303
CNAG_07911L,CNAG_07911,347
CNAG_01551L,CNAG_01551,127
CNAG_01683L,CNAG_01683,352
CNAG_01983L,CNAG_01983,416
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,335
CNAG_01621L,CNAG_01621,336
CNAG_01988L,CNAG_01988,326
CNAG_01989L,CNAG_01989,356
CNAG_01939L,CNAG_01939,376
CNAG_01993L,CNAG_01993,293
CNAG_01992L,CNAG_01992,319
CNAG_01965L,CNAG_01965,347
CNAG_01562L,CNAG_01562,284
CNAG_01925L,CNAG_01925,391
CNAG_04756L,CNAG_04756,341
CNAG_04807L,CNAG_04807,411
CNAG_04837L,CNAG_04837,333
CNAG_04836L,CNAG_04836,315
CNAG_04737L,CNAG_04737,464
CNAG_04875L,CNAG_04875,242
CNAG_04874L,CNAG_04874,911
CNAG_04868L,CNAG_04868,122
CNAG_04752L,CNAG_04752,266
CNAG_04753L,CNAG_04753,1932
CNAG_04909L,CNAG_04909,317
CNAG_04908L,CNAG_04908,373
CNAG_04659L,CNAG_04659,300
CNAG_04623L,CNAG_04623,364
CNAG_04518L,CNAG_04518,346
CNAG_04517L,CNAG_04517,469
CNAG_07770L,CNAG_07770,384
CNAG_04436L,CNAG_04436,204
CNAG_04271L,CNAG_04271,220
CNAG_04270L,CNAG_04270,309
CNAG_03346L,CNAG_03346,423
CNAG_03433L,CNAG_03433,361
CNAG_03333L,CNAG_03333,523
CNAG_07742L,CNAG_07742,1003
CNAG_03438L,CNAG_03438,283
CNAG_03223L,CNAG_03223,334
CNAG_03142L,CNAG_03142,311
CNAG_03143L,CNAG_03143,328
CNAG_03545L,CNAG_03545,434
CNAG_03161L,CNAG_03161,61
CNAG_03566L,CNAG_03566,336
CNAG_05835L,CNAG_05835,364
CNAG_05864L,CNAG_05864,312
CNAG_06567L,CNAG_06567,394
CNAG_05742L,CNAG_05742,269
CNAG_05743L,CNAG_05743,93
CNAG_05867L,CNAG_05867,248
CNAG_05685L,CNAG_05685,978
CNAG_05684L,CNAG_05684,352
CNAG_05785L,CNAG_05785,278
CNAG_05843L,CNAG_05843,20
CNAG_06554L,CNAG_06554,375
CNAG_02189L,CNAG_02189,450
CNAG_02188L,CNAG_02188,359
CNAG_02182L,CNAG_02182,330
CNAG_07631L,CNAG_07631,428
CNAG_02371L,CNAG_02371,309
CNAG_07633L,CNAG_07633,462
CNAG_01069L,CNAG_01069,316
CNAG_00896L,CNAG_00896,969
CNAG_06719L,CNAG_06719,158
CNAG_03669L,CNAG_03669,335
CNAG_00031L,CNAG_00031,300
CNAG_07332L,CNAG_07332,297
CNAG_00285L,CNAG_00285,397
CNAG_00828L,CNAG_00828,338
CNAG_00830L,CNAG_00830,387
CNAG_00841L,CNAG_00841,328
CNAG_02774L,CNAG_02774,303
CNAG_06531L,CNAG_06531,625
CNAG_03279L,CNAG_03279,368
CNAG_03336L,CNAG_03336,500
CNAG_06339L,CNAG_06339,464
CNAG_03768L,CNAG_03768,451
CNAG_04534L,CNAG_04534,425
CNAG_01973L,CNAG_01973,1
CNAG_07867L,CNAG_07867,350
CNAG_05333L,CNAG_05333,375
CNAG_06425L,CNAG_06425,319
CNAG_03849L,CNAG_03849,821
CNAG_02603L,CNAG_02603,329
CNAG_02555L,CNAG_02555,446
CNAG_03431L,CNAG_03431,431
CNAG_05049L,CNAG_05049,271
CNAG_05380L,CNAG_05380,318
CNAG_03914L,CNAG_03914,409
CNAG_02476L,CNAG_02476,376
CNAG_07583L,CNAG_07583,387
CNAG_02466L,CNAG_02466,338
CNAG_05112L,CNAG_05112,423
CNAG_03366L,CNAG_03366,435
CNAG_03977L,CNAG_03977,168
CNAG_04090L,CNAG_04090,589
CNAG_00791L,CNAG_00791,312
CNAG_06751L,CNAG_06751,232
CNAG_05375L,CNAG_05375,4184
CNAG_02516L,CNAG_02516,357
CNAG_04804L,CNAG_04804,329
CNAG_00627L,CNAG_00627,434
CNAG_07725L,CNAG_07725,523
CNAG_06203L,CNAG_06203,391
CNAG_00193L,CNAG_00193,2
CNAG_00514L,CNAG_00514,5
