Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,301
CNAG_05387R,CNAG_05387,391
CNAG_05638R,CNAG_05638,285
CNAG_05639R,CNAG_05639,234
CNAG_06346R,CNAG_06346,323
CNAG_06347R,CNAG_06347,297
CNAG_06517R,CNAG_06517,362
CNAG_06201R,CNAG_06201,227
CNAG_06104R,CNAG_06104,258
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,316
CNAG_06241R,CNAG_06241,218
CNAG_06242R,CNAG_06242,247
CNAG_07911R,CNAG_07911,303
CNAG_01683R,CNAG_01683,326
CNAG_01902R,CNAG_01902,47
CNAG_01680R,CNAG_01680,254
CNAG_01989R,CNAG_01989,198
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,61
CNAG_01925R,CNAG_01925,259
CNAG_04837R,CNAG_04837,281
CNAG_04836R,CNAG_04836,313
CNAG_04875R,CNAG_04875,266
CNAG_04868R,CNAG_04868,127
CNAG_04753R,CNAG_04753,1
CNAG_04908R,CNAG_04908,1
CNAG_04659R,CNAG_04659,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,297
CNAG_04517R,CNAG_04517,263
CNAG_07770R,CNAG_07770,299
CNAG_04271R,CNAG_04271,1
CNAG_03333R,CNAG_03333,344
CNAG_07742R,CNAG_07742,692
CNAG_03142R,CNAG_03142,248
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,285
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,3
CNAG_05867R,CNAG_05867,199
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,285
CNAG_02189R,CNAG_02189,291
CNAG_02371R,CNAG_02371,239
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,218
CNAG_03669R,CNAG_03669,261
CNAG_07332R,CNAG_07332,210
CNAG_00285R,CNAG_00285,240
CNAG_00830R,CNAG_00830,320
CNAG_00841R,CNAG_00841,288
CNAG_06531R,CNAG_06531,499
CNAG_03279R,CNAG_03279,280
CNAG_03336R,CNAG_03336,406
CNAG_06339R,CNAG_06339,384
CNAG_03768R,CNAG_03768,275
CNAG_04534R,CNAG_04534,266
CNAG_01973R,CNAG_01973,309
CNAG_07867R,CNAG_07867,296
CNAG_05333R,CNAG_05333,291
CNAG_06425R,CNAG_06425,241
CNAG_03849R,CNAG_03849,324
CNAG_02603R,CNAG_02603,244
CNAG_02555R,CNAG_02555,403
CNAG_02525R,CNAG_02525,171
CNAG_03431R,CNAG_03431,145
CNAG_05049R,CNAG_05049,201
