Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,321
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,330
CNAG_05638R,CNAG_05638,252
CNAG_05639R,CNAG_05639,199
CNAG_06346R,CNAG_06346,253
CNAG_06347R,CNAG_06347,209
CNAG_06517R,CNAG_06517,304
CNAG_06201R,CNAG_06201,199
CNAG_06104R,CNAG_06104,185
CNAG_07902R,CNAG_07902,260
CNAG_06241R,CNAG_06241,156
CNAG_06242R,CNAG_06242,138
CNAG_07911R,CNAG_07911,252
CNAG_01683R,CNAG_01683,268
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,10
CNAG_01680R,CNAG_01680,255
CNAG_01989R,CNAG_01989,208
CNAG_01965R,CNAG_01965,29
CNAG_01925R,CNAG_01925,266
CNAG_04837R,CNAG_04837,257
CNAG_04836R,CNAG_04836,262
CNAG_04875R,CNAG_04875,169
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,75
CNAG_04753R,CNAG_04753,3
CNAG_04518R,CNAG_04518,225
CNAG_04517R,CNAG_04517,246
CNAG_07770R,CNAG_07770,259
CNAG_03333R,CNAG_03333,344
CNAG_07742R,CNAG_07742,519
CNAG_03223R,CNAG_03223,2
CNAG_03142R,CNAG_03142,170
CNAG_03566R,CNAG_03566,215
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,221
CNAG_05684R,CNAG_05684,352
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,282
CNAG_02371R,CNAG_02371,313
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,206
CNAG_03669R,CNAG_03669,255
CNAG_07332R,CNAG_07332,168
CNAG_00285R,CNAG_00285,281
CNAG_00830R,CNAG_00830,239
CNAG_00841R,CNAG_00841,323
CNAG_06531R,CNAG_06531,428
CNAG_03279R,CNAG_03279,275
CNAG_03336R,CNAG_03336,307
CNAG_06339R,CNAG_06339,328
