Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,127
CNAG_05515L,CNAG_05515,347
CNAG_05641L,CNAG_05641,245
CNAG_05387L,CNAG_05387,364
CNAG_05590L,CNAG_05590,447
CNAG_07869L,CNAG_07869,370
CNAG_05340L,CNAG_05340,241
CNAG_05638L,CNAG_05638,276
CNAG_05639L,CNAG_05639,226
CNAG_06346L,CNAG_06346,324
CNAG_06347L,CNAG_06347,279
CNAG_06517L,CNAG_06517,364
CNAG_07939L,CNAG_07939,224
CNAG_06493L,CNAG_06493,219
CNAG_06201L,CNAG_06201,254
CNAG_06104L,CNAG_06104,262
CNAG_06081L,CNAG_06081,294
CNAG_07902L,CNAG_07902,236
CNAG_06241L,CNAG_06241,134
CNAG_06242L,CNAG_06242,104
CNAG_06186L,CNAG_06186,309
CNAG_07911L,CNAG_07911,319
CNAG_01551L,CNAG_01551,313
CNAG_01683L,CNAG_01683,230
CNAG_01983L,CNAG_01983,333
CNAG_01902L,CNAG_01902,9
CNAG_01680L,CNAG_01680,302
CNAG_01621L,CNAG_01621,264
CNAG_01988L,CNAG_01988,203
CNAG_01989L,CNAG_01989,316
CNAG_01939L,CNAG_01939,287
CNAG_01993L,CNAG_01993,279
CNAG_01992L,CNAG_01992,285
CNAG_01965L,CNAG_01965,238
CNAG_01562L,CNAG_01562,257
CNAG_01925L,CNAG_01925,281
CNAG_04756L,CNAG_04756,336
CNAG_04807L,CNAG_04807,334
CNAG_04837L,CNAG_04837,287
CNAG_04836L,CNAG_04836,235
CNAG_04737L,CNAG_04737,356
CNAG_04875L,CNAG_04875,178
CNAG_04874L,CNAG_04874,613
CNAG_04868L,CNAG_04868,79
CNAG_04752L,CNAG_04752,230
CNAG_04753L,CNAG_04753,2092
CNAG_04909L,CNAG_04909,246
CNAG_04908L,CNAG_04908,333
CNAG_04659L,CNAG_04659,155
CNAG_04623L,CNAG_04623,282
CNAG_04518L,CNAG_04518,226
CNAG_04517L,CNAG_04517,269
CNAG_07770L,CNAG_07770,261
CNAG_04436L,CNAG_04436,158
CNAG_04271L,CNAG_04271,222
CNAG_04270L,CNAG_04270,304
CNAG_03346L,CNAG_03346,291
CNAG_03433L,CNAG_03433,277
CNAG_03333L,CNAG_03333,399
CNAG_07742L,CNAG_07742,804
CNAG_03438L,CNAG_03438,43
CNAG_03223L,CNAG_03223,295
CNAG_03142L,CNAG_03142,220
CNAG_03143L,CNAG_03143,242
CNAG_03545L,CNAG_03545,358
CNAG_03161L,CNAG_03161,115
CNAG_03566L,CNAG_03566,266
CNAG_05835L,CNAG_05835,548
CNAG_05864L,CNAG_05864,203
CNAG_06567L,CNAG_06567,279
CNAG_05742L,CNAG_05742,214
CNAG_05743L,CNAG_05743,95
CNAG_05867L,CNAG_05867,182
CNAG_05685L,CNAG_05685,753
CNAG_05684L,CNAG_05684,425
CNAG_05785L,CNAG_05785,251
CNAG_05843L,CNAG_05843,45
CNAG_06554L,CNAG_06554,249
CNAG_02189L,CNAG_02189,259
CNAG_02188L,CNAG_02188,298
CNAG_02182L,CNAG_02182,234
CNAG_07631L,CNAG_07631,250
CNAG_02371L,CNAG_02371,269
CNAG_07633L,CNAG_07633,324
CNAG_01069L,CNAG_01069,325
CNAG_00896L,CNAG_00896,986
CNAG_06719L,CNAG_06719,55
CNAG_03669L,CNAG_03669,272
CNAG_00031L,CNAG_00031,278
CNAG_07332L,CNAG_07332,210
CNAG_00285L,CNAG_00285,305
CNAG_00828L,CNAG_00828,256
CNAG_00830L,CNAG_00830,298
CNAG_00841L,CNAG_00841,286
CNAG_02774L,CNAG_02774,264
CNAG_06531L,CNAG_06531,419
CNAG_03279L,CNAG_03279,321
CNAG_03336L,CNAG_03336,361
CNAG_06339L,CNAG_06339,347
CNAG_03768L,CNAG_03768,274
CNAG_04534L,CNAG_04534,283
CNAG_07867L,CNAG_07867,234
CNAG_05333L,CNAG_05333,283
CNAG_06425L,CNAG_06425,212
CNAG_03849L,CNAG_03849,616
CNAG_02603L,CNAG_02603,243
CNAG_02555L,CNAG_02555,286
CNAG_03431L,CNAG_03431,282
CNAG_05049L,CNAG_05049,154
CNAG_05380L,CNAG_05380,428
CNAG_03914L,CNAG_03914,122
CNAG_02476L,CNAG_02476,239
CNAG_07583L,CNAG_07583,270
CNAG_02466L,CNAG_02466,229
CNAG_05112L,CNAG_05112,298
CNAG_03366L,CNAG_03366,381
CNAG_03977L,CNAG_03977,167
CNAG_04090L,CNAG_04090,644
CNAG_00791L,CNAG_00791,231
CNAG_06751L,CNAG_06751,196
CNAG_05375L,CNAG_05375,3220
CNAG_02516L,CNAG_02516,280
CNAG_04804L,CNAG_04804,230
CNAG_00627L,CNAG_00627,322
CNAG_07725L,CNAG_07725,339
CNAG_06203L,CNAG_06203,265
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,621
CNAG_03401L,CNAG_03401,232
CNAG_02435L,CNAG_02435,335
CNAG_05153L,CNAG_05153,12
CNAG_01708L,CNAG_01708,278
CNAG_02134L,CNAG_02134,1
CNAG_03700L,CNAG_03700,331
CNAG_07320L,CNAG_07320,72
CNAG_05215L,CNAG_05215,267
CNAG_01438L,CNAG_01438,142
CNAG_07464L,CNAG_07464,281
CNAG_01858L,CNAG_01858,396
CNAG_04586L,CNAG_04586,327
CNAG_05093L,CNAG_05093,300
CNAG_05176L,CNAG_05176,284
CNAG_01014L,CNAG_01014,238
CNAG_00998L,CNAG_00998,124
CNAG_00039L,CNAG_00039,584
CNAG_07329L,CNAG_07329,28
CNAG_01454L,CNAG_01454,267
CNAG_02700L,CNAG_02700,18
CNAG_06327L,CNAG_06327,37
CNAG_03788L,CNAG_03788,306
CNAG_00871L,CNAG_00871,322
CNAG_00559L,CNAG_00559,7541
CNAG_07370L,CNAG_07370,332
CNAG_00732L,CNAG_00732,239
CNAG_04630L,CNAG_04630,270
CNAG_07940L,CNAG_07940,308
CNAG_02589L,CNAG_02589,275
CNAG_05067L,CNAG_05067,302
CNAG_01645L,CNAG_01645,776
CNAG_06134L,CNAG_06134,85
CNAG_01242L,CNAG_01242,156
CNAG_02788L,CNAG_02788,81
CNAG_07435L,CNAG_07435,5
CNAG_03998L,CNAG_03998,126
CNAG_07924L,CNAG_07924,300
CNAG_01071L,CNAG_01071,237
CNAG_00883L,CNAG_00883,230
CNAG_03741L,CNAG_03741,299
CNAG_03745L,CNAG_03745,386
CNAG_00192L,CNAG_00192,272
CNAG_00670L,CNAG_00670,294
CNAG_06871L,CNAG_06871,391
CNAG_04457L,CNAG_04457,277
CNAG_02723L,CNAG_02723,266
CNAG_04588L,CNAG_04588,147
CNAG_01977L,CNAG_01977,237
CNAG_03894L,CNAG_03894,322
CNAG_04012L,CNAG_04012,289
CNAG_03561L,CNAG_03561,251
CNAG_05170L,CNAG_05170,170
CNAG_04041L,CNAG_04041,78
CNAG_02364L,CNAG_02364,299
CNAG_04093L,CNAG_04093,300
CNAG_02322L,CNAG_02322,289
CNAG_04184L,CNAG_04184,269
CNAG_05255L,CNAG_05255,300
CNAG_05642L,CNAG_05642,78
CNAG_03059L,CNAG_03059,231
CNAG_03018L,CNAG_03018,256
CNAG_07901L,CNAG_07901,255
CNAG_03086L,CNAG_03086,263
CNAG_04916L,CNAG_04916,215
CNAG_06097L,CNAG_06097,889
CNAG_03115L,CNAG_03115,305
CNAG_03132L,CNAG_03132,332
CNAG_04841L,CNAG_04841,273
CNAG_06136L,CNAG_06136,218
CNAG_03177L,CNAG_03177,561
CNAG_03183L,CNAG_03183,161
CNAG_06188L,CNAG_06188,261
CNAG_02877L,CNAG_02877,183
CNAG_04359L,CNAG_04359,675
CNAG_04774L,CNAG_04774,430
CNAG_04768L,CNAG_04768,247
CNAG_02066L,CNAG_02066,282
CNAG_07922L,CNAG_07922,248
CNAG_06276L,CNAG_06276,301
CNAG_05222L,CNAG_05222,179
CNAG_03409L,CNAG_03409,258
CNAG_05622L,CNAG_05622,532
CNAG_04637L,CNAG_04637,178
CNAG_07680L,CNAG_07680,12
CNAG_02215L,CNAG_02215,3
CNAG_00564L,CNAG_00564,357
CNAG_02387L,CNAG_02387,243
CNAG_04086L,CNAG_04086,425
CNAG_05697L,CNAG_05697,459
CNAG_02697L,CNAG_02697,267
CNAG_06205L,CNAG_06205,255
CNAG_05372L,CNAG_05372,160
CNAG_04507L,CNAG_04507,225
CNAG_04506L,CNAG_04506,320
CNAG_00068L,CNAG_00068,3363
CNAG_05138L,CNAG_05138,168
CNAG_00733L,CNAG_00733,305
CNAG_03910L,CNAG_03910,295
CNAG_04059L,CNAG_04059,1210
CNAG_07491L,CNAG_07491,236
CNAG_05181L,CNAG_05181,318
CNAG_03915L,CNAG_03915,254
CNAG_03772L,CNAG_03772,290
CNAG_00445L,CNAG_00445,512
CNAG_01901L,CNAG_01901,387
CNAG_05313L,CNAG_05313,278
CNAG_05312L,CNAG_05312,286
CNAG_03012L,CNAG_03012,204
CNAG_03011L,CNAG_03011,250
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,445
CNAG_02682L,CNAG_02682,220
CNAG_02683L,CNAG_02683,249
CNAG_00442L,CNAG_00442,389
CNAG_00183L,CNAG_00183,114
CNAG_07548L,CNAG_07548,2510
CNAG_01277L,CNAG_01277,407
CNAG_07512L,CNAG_07512,484
CNAG_01230L,CNAG_01230,149
CNAG_05264L,CNAG_05264,501
CNAG_05263L,CNAG_05263,246
CNAG_01681L,CNAG_01681,247
CNAG_01040L,CNAG_01040,556
CNAG_00179L,CNAG_00179,314
CNAG_00547L,CNAG_00547,275
CNAG_00598L,CNAG_00598,279
CNAG_05229L,CNAG_05229,230
CNAG_01138L,CNAG_01138,293
CNAG_00597L,CNAG_00597,278
CNAG_02797L,CNAG_02797,296
CNAG_02219L,CNAG_02219,346
CNAG_02220L,CNAG_02220,298
CNAG_00674L,CNAG_00674,278
CNAG_03013L,CNAG_03013,94
CNAG_07540L,CNAG_07540,390
CNAG_04981L,CNAG_04981,226
CNAG_04980L,CNAG_04980,36
CNAG_00456L,CNAG_00456,339
CNAG_00455L,CNAG_00455,347
CNAG_02152L,CNAG_02152,255
CNAG_00107L,CNAG_00107,241
CNAG_00106L,CNAG_00106,1306
CNAG_01061L,CNAG_01061,299
CNAG_03847L,CNAG_03847,252
CNAG_03848L,CNAG_03848,246
CNAG_01013L,CNAG_01013,50
CNAG_02777L,CNAG_02777,267
CNAG_07523L,CNAG_07523,250
CNAG_04991L,CNAG_04991,175
CNAG_00531L,CNAG_00531,265
CNAG_05159L,CNAG_05159,253
CNAG_05079L,CNAG_05079,376
CNAG_05080L,CNAG_05080,290
CNAG_04869L,CNAG_04869,316
CNAG_00164L,CNAG_00164,246
CNAG_04077L,CNAG_04077,260
CNAG_01082L,CNAG_01082,242
CNAG_04658L,CNAG_04658,249
CNAG_03727L,CNAG_03727,287
CNAG_03676L,CNAG_03676,291
CNAG_03677L,CNAG_03677,360
CNAG_03841L,CNAG_03841,147
CNAG_06761L,CNAG_06761,240
CNAG_06760L,CNAG_06760,233
CNAG_05076L,CNAG_05076,238
CNAG_05077L,CNAG_05077,315
CNAG_02553L,CNAG_02553,232
CNAG_02554L,CNAG_02554,1230
CNAG_00546L,CNAG_00546,308
CNAG_00702L,CNAG_00702,395
CNAG_00897L,CNAG_00897,204
CNAG_05148L,CNAG_05148,263
CNAG_05147L,CNAG_05147,273
CNAG_01126L,CNAG_01126,67
CNAG_00776L,CNAG_00776,60
CNAG_01446L,CNAG_01446,326
CNAG_04024L,CNAG_04024,309
CNAG_04025L,CNAG_04025,307
CNAG_02348L,CNAG_02348,7
CNAG_02347L,CNAG_02347,463
CNAG_00394L,CNAG_00394,218
CNAG_00393L,CNAG_00393,382
CNAG_06555L,CNAG_06555,310
CNAG_01019L,CNAG_01019,39
CNAG_01803L,CNAG_01803,352
CNAG_00374L,CNAG_00374,206
CNAG_00654L,CNAG_00654,310
CNAG_07541L,CNAG_07541,241
CNAG_07542L,CNAG_07542,330
CNAG_00363L,CNAG_00363,189
CNAG_05915L,CNAG_05915,306
CNAG_05916L,CNAG_05916,279
CNAG_00917L,CNAG_00917,1121
CNAG_00919L,CNAG_00919,283
CNAG_05458L,CNAG_05458,418
CNAG_05459L,CNAG_05459,347
CNAG_01985L,CNAG_01985,210
CNAG_00740L,CNAG_00740,56
CNAG_04163L,CNAG_04163,25
CNAG_04162L,CNAG_04162,108
CNAG_04755L,CNAG_04755,494
CNAG_01777L,CNAG_01777,210
CNAG_01778L,CNAG_01778,244
CNAG_05889L,CNAG_05889,310
CNAG_05888L,CNAG_05888,266
CNAG_04217L,CNAG_04217,277
CNAG_03173L,CNAG_03173,307
CNAG_03172L,CNAG_03172,331
CNAG_07388L,CNAG_07388,294
CNAG_07389L,CNAG_07389,334
CNAG_03644L,CNAG_03644,236
CNAG_06785L,CNAG_06785,231
CNAG_06060L,CNAG_06060,219
CNAG_00581L,CNAG_00581,167
CNAG_02044L,CNAG_02044,327
CNAG_02045L,CNAG_02045,367
CNAG_04950L,CNAG_04950,245
CNAG_04949L,CNAG_04949,244
CNAG_01865L,CNAG_01865,240
CNAG_05870L,CNAG_05870,218
