Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,260
CNAG_05387R,CNAG_05387,302
CNAG_05638R,CNAG_05638,218
CNAG_05639R,CNAG_05639,161
CNAG_06346R,CNAG_06346,226
CNAG_06347R,CNAG_06347,251
CNAG_06517R,CNAG_06517,252
CNAG_06201R,CNAG_06201,172
CNAG_06104R,CNAG_06104,145
CNAG_07902R,CNAG_07902,271
CNAG_06241R,CNAG_06241,148
CNAG_06242R,CNAG_06242,157
CNAG_07911R,CNAG_07911,178
CNAG_01683R,CNAG_01683,239
CNAG_01902R,CNAG_01902,4
CNAG_01680R,CNAG_01680,206
CNAG_01989R,CNAG_01989,169
CNAG_01965R,CNAG_01965,27
CNAG_01925R,CNAG_01925,184
CNAG_04837R,CNAG_04837,225
CNAG_04836R,CNAG_04836,215
CNAG_04875R,CNAG_04875,128
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,55
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,195
CNAG_04517R,CNAG_04517,230
CNAG_07770R,CNAG_07770,238
CNAG_03333R,CNAG_03333,306
CNAG_07742R,CNAG_07742,466
CNAG_03142R,CNAG_03142,171
CNAG_03566R,CNAG_03566,146
CNAG_05864R,CNAG_05864,2
CNAG_05743R,CNAG_05743,2
CNAG_05867R,CNAG_05867,136
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,191
CNAG_02189R,CNAG_02189,226
CNAG_02371R,CNAG_02371,168
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,193
CNAG_03669R,CNAG_03669,204
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,124
CNAG_00285R,CNAG_00285,218
CNAG_00830R,CNAG_00830,207
CNAG_00841R,CNAG_00841,245
CNAG_06531R,CNAG_06531,323
CNAG_03279R,CNAG_03279,222
CNAG_03336R,CNAG_03336,268
CNAG_06339R,CNAG_06339,268
CNAG_03768R,CNAG_03768,227
CNAG_04534R,CNAG_04534,219
CNAG_01973R,CNAG_01973,199
CNAG_07867R,CNAG_07867,206
CNAG_05333R,CNAG_05333,263
CNAG_06425R,CNAG_06425,185
CNAG_03849R,CNAG_03849,228
CNAG_02603R,CNAG_02603,203
CNAG_02555R,CNAG_02555,228
CNAG_02525R,CNAG_02525,79
CNAG_03431R,CNAG_03431,144
CNAG_05049R,CNAG_05049,156
CNAG_03914R,CNAG_03914,203
CNAG_02476R,CNAG_02476,188
CNAG_07583R,CNAG_07583,229
CNAG_05112R,CNAG_05112,183
CNAG_03366R,CNAG_03366,280
CNAG_04090R,CNAG_04090,249
CNAG_00791R,CNAG_00791,232
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,2767
CNAG_02516R,CNAG_02516,166
CNAG_04804R,CNAG_04804,20
CNAG_06203R,CNAG_06203,203
CNAG_01883R,CNAG_01883,338
CNAG_03401R,CNAG_03401,180
CNAG_02435R,CNAG_02435,251
CNAG_05153R,CNAG_05153,3
CNAG_01708R,CNAG_01708,196
CNAG_03700R,CNAG_03700,258
CNAG_05215R,CNAG_05215,152
CNAG_01438R,CNAG_01438,102
CNAG_07464R,CNAG_07464,90
CNAG_01858R,CNAG_01858,307
CNAG_04586R,CNAG_04586,206
CNAG_05093R,CNAG_05093,3
CNAG_05176R,CNAG_05176,179
CNAG_01014R,CNAG_01014,119
CNAG_01454R,CNAG_01454,219
CNAG_06327R,CNAG_06327,40
CNAG_03788R,CNAG_03788,240
CNAG_00871R,CNAG_00871,246
CNAG_00559R,CNAG_00559,4511
CNAG_07370R,CNAG_07370,249
CNAG_02589R,CNAG_02589,250
CNAG_01645R,CNAG_01645,412
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,138
CNAG_02788R,CNAG_02788,8
CNAG_07435R,CNAG_07435,5
CNAG_03998R,CNAG_03998,1
CNAG_07924R,CNAG_07924,209
CNAG_01071R,CNAG_01071,176
CNAG_00883R,CNAG_00883,212
CNAG_03741R,CNAG_03741,179
CNAG_03745R,CNAG_03745,219
CNAG_00192R,CNAG_00192,188
CNAG_00670R,CNAG_00670,228
CNAG_06871R,CNAG_06871,243
CNAG_04457R,CNAG_04457,246
CNAG_04588R,CNAG_04588,50
CNAG_03894R,CNAG_03894,265
CNAG_04012R,CNAG_04012,151
CNAG_01487R,CNAG_01487,224
CNAG_05170R,CNAG_05170,242
CNAG_02364R,CNAG_02364,192
CNAG_04093R,CNAG_04093,213
CNAG_02322R,CNAG_02322,208
CNAG_05255R,CNAG_05255,218
CNAG_03018R,CNAG_03018,210
CNAG_07901R,CNAG_07901,154
CNAG_03086R,CNAG_03086,244
CNAG_06097R,CNAG_06097,186
CNAG_06136R,CNAG_06136,190
CNAG_03177R,CNAG_03177,239
CNAG_03183R,CNAG_03183,79
CNAG_04774R,CNAG_04774,161
CNAG_04768R,CNAG_04768,260
CNAG_06276R,CNAG_06276,152
CNAG_05222R,CNAG_05222,53
CNAG_03409R,CNAG_03409,93
CNAG_05622R,CNAG_05622,246
CNAG_04637R,CNAG_04637,161
CNAG_07680R,CNAG_07680,16
CNAG_02215R,CNAG_02215,14
CNAG_02387R,CNAG_02387,269
CNAG_04086R,CNAG_04086,275
CNAG_05697R,CNAG_05697,310
CNAG_04507R,CNAG_04507,214
CNAG_04506R,CNAG_04506,219
CNAG_00068R,CNAG_00068,335
CNAG_00733R,CNAG_00733,190
CNAG_03910R,CNAG_03910,198
CNAG_04059R,CNAG_04059,181
CNAG_07491R,CNAG_07491,260
CNAG_05181R,CNAG_05181,242
CNAG_03772R,CNAG_03772,196
CNAG_00445R,CNAG_00445,288
CNAG_01901R,CNAG_01901,331
CNAG_05313R,CNAG_05313,86
CNAG_05312R,CNAG_05312,226
CNAG_00442R,CNAG_00442,288
CNAG_01277R,CNAG_01277,293
CNAG_01230R,CNAG_01230,243
CNAG_05263R,CNAG_05263,1
CNAG_00547R,CNAG_00547,153
CNAG_00598R,CNAG_00598,232
CNAG_02219R,CNAG_02219,335
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,42
CNAG_07540R,CNAG_07540,287
CNAG_04980R,CNAG_04980,18
CNAG_00456R,CNAG_00456,246
CNAG_00455R,CNAG_00455,204
CNAG_00107R,CNAG_00107,171
CNAG_01061R,CNAG_01061,217
CNAG_01013R,CNAG_01013,41
CNAG_02777R,CNAG_02777,1
CNAG_04991R,CNAG_04991,1
CNAG_05080R,CNAG_05080,190
CNAG_00164R,CNAG_00164,169
CNAG_04658R,CNAG_04658,2
CNAG_03677R,CNAG_03677,239
CNAG_05077R,CNAG_05077,224
CNAG_02553R,CNAG_02553,1
CNAG_02554R,CNAG_02554,1
CNAG_00776R,CNAG_00776,47
CNAG_04024R,CNAG_04024,264
CNAG_04025R,CNAG_04025,230
CNAG_02348R,CNAG_02348,1
CNAG_02347R,CNAG_02347,2
CNAG_01019R,CNAG_01019,13
CNAG_01803R,CNAG_01803,283
CNAG_07541R,CNAG_07541,191
CNAG_07542R,CNAG_07542,221
CNAG_05915R,CNAG_05915,212
CNAG_00917R,CNAG_00917,729
CNAG_00919R,CNAG_00919,249
CNAG_05458R,CNAG_05458,401
CNAG_05459R,CNAG_05459,305
CNAG_01985R,CNAG_01985,114
CNAG_00740R,CNAG_00740,37
CNAG_04163R,CNAG_04163,195
CNAG_04162R,CNAG_04162,81
CNAG_04755R,CNAG_04755,116
CNAG_01777R,CNAG_01777,169
CNAG_03173R,CNAG_03173,240
CNAG_03172R,CNAG_03172,227
CNAG_07388R,CNAG_07388,264
CNAG_07389R,CNAG_07389,278
CNAG_06060R,CNAG_06060,160
CNAG_00581R,CNAG_00581,132
CNAG_02045R,CNAG_02045,235
CNAG_04950R,CNAG_04950,176
CNAG_04949R,CNAG_04949,220
CNAG_01865R,CNAG_01865,206
CNAG_00717R,CNAG_00717,119
CNAG_06896R,CNAG_06896,193
CNAG_05812R,CNAG_05812,220
CNAG_06658R,CNAG_06658,212
CNAG_05994R,CNAG_05994,184
CNAG_02517R,CNAG_02517,222
CNAG_03329R,CNAG_03329,157
CNAG_04471R,CNAG_04471,238
CNAG_00699R,CNAG_00699,198
CNAG_02129R,CNAG_02129,260
CNAG_05352R,CNAG_05352,143
CNAG_01523R,CNAG_01523,2
CNAG_07486R,CNAG_07486,191
CNAG_00710R,CNAG_00710,173
CNAG_00709R,CNAG_00709,221
CNAG_04186R,CNAG_04186,2
CNAG_03689R,CNAG_03689,140
CNAG_01704R,CNAG_01704,174
CNAG_07827R,CNAG_07827,176
CNAG_07516R,CNAG_07516,143
CNAG_00157R,CNAG_00157,135
CNAG_04992R,CNAG_04992,3
CNAG_01776R,CNAG_01776,225
CNAG_07605R,CNAG_07605,198
CNAG_01846R,CNAG_01846,211
CNAG_02539R,CNAG_02539,1
CNAG_03572R,CNAG_03572,2
CNAG_00799R,CNAG_00799,98
CNAG_04657R,CNAG_04657,180
CNAG_04385R,CNAG_04385,218
CNAG_04386R,CNAG_04386,276
CNAG_07847R,CNAG_07847,197
CNAG_02226R,CNAG_02226,214
CNAG_02225R,CNAG_02225,240
CNAG_04860R,CNAG_04860,179
CNAG_01105R,CNAG_01105,267
CNAG_03524R,CNAG_03524,144
CNAG_03733R,CNAG_03733,205
CNAG_03732R,CNAG_03732,285
CNAG_03247R,CNAG_03247,243
CNAG_03193R,CNAG_03193,181
CNAG_03194R,CNAG_03194,195
CNAG_06574R,CNAG_06574,178
CNAG_04663R,CNAG_04663,167
CNAG_02944R,CNAG_02944,177
CNAG_05872R,CNAG_05872,63
CNAG_02775R,CNAG_02775,16
CNAG_07498R,CNAG_07498,274
CNAG_00475R,CNAG_00475,3442
CNAG_06501R,CNAG_06501,155
CNAG_06502R,CNAG_06502,218
CNAG_00587R,CNAG_00587,252
CNAG_04691R,CNAG_04691,240
CNAG_05522R,CNAG_05522,272
CNAG_01930R,CNAG_01930,252
CNAG_03002R,CNAG_03002,222
CNAG_01448R,CNAG_01448,178
CNAG_07685R,CNAG_07685,193
CNAG_03902R,CNAG_03902,26
CNAG_02010R,CNAG_02010,2348
CNAG_01642R,CNAG_01642,301
CNAG_04705R,CNAG_04705,331
CNAG_01420R,CNAG_01420,237
CNAG_07519R,CNAG_07519,511
CNAG_06240R,CNAG_06240,394
CNAG_00777R,CNAG_00777,378
CNAG_01118R,CNAG_01118,318
CNAG_03866R,CNAG_03866,261
CNAG_06595R,CNAG_06595,204
CNAG_00519R,CNAG_00519,11
CNAG_00588R,CNAG_00588,1
CNAG_01525R,CNAG_01525,1
CNAG_01524R,CNAG_01524,211
CNAG_04594R,CNAG_04594,216
CNAG_02588R,CNAG_02588,310
CNAG_06905R,CNAG_06905,198
CNAG_06904R,CNAG_06904,161
CNAG_02288R,CNAG_02288,178
CNAG_07729R,CNAG_07729,1
CNAG_01969R,CNAG_01969,1
CNAG_05114R,CNAG_05114,1
CNAG_07752R,CNAG_07752,257
CNAG_04587R,CNAG_04587,193
CNAG_02692R,CNAG_02692,204
CNAG_02776R,CNAG_02776,374
CNAG_04885R,CNAG_04885,197
CNAG_06662R,CNAG_06662,239
CNAG_02165R,CNAG_02165,267
CNAG_06092R,CNAG_06092,1
CNAG_02071R,CNAG_02071,258
CNAG_02070R,CNAG_02070,161
CNAG_02684R,CNAG_02684,173
CNAG_05420R,CNAG_05420,31
CNAG_05939R,CNAG_05939,399
CNAG_00765R,CNAG_00765,179
CNAG_00745R,CNAG_00745,50
CNAG_00744R,CNAG_00744,234
CNAG_00162R,CNAG_00162,183
CNAG_02658R,CNAG_02658,93
CNAG_06401R,CNAG_06401,258
CNAG_01960R,CNAG_01960,149
CNAG_01961R,CNAG_01961,496
CNAG_02930R,CNAG_02930,133
CNAG_01238R,CNAG_01238,1
CNAG_01239R,CNAG_01239,217
CNAG_00332R,CNAG_00332,147
CNAG_00333R,CNAG_00333,190
CNAG_05663R,CNAG_05663,93
CNAG_05664R,CNAG_05664,162
CNAG_01574R,CNAG_01574,278
CNAG_01573R,CNAG_01573,164
CNAG_06220R,CNAG_06220,1
CNAG_06963R,CNAG_06963,173
CNAG_03178R,CNAG_03178,1
CNAG_03719R,CNAG_03719,200
CNAG_02041R,CNAG_02041,176
CNAG_06889R,CNAG_06889,188
CNAG_04141R,CNAG_04141,217
CNAG_07415R,CNAG_07415,86
CNAG_05586R,CNAG_05586,214
CNAG_05686R,CNAG_05686,201
CNAG_00400R,CNAG_00400,261
CNAG_04213R,CNAG_04213,258
CNAG_04736R,CNAG_04736,252
CNAG_04735R,CNAG_04735,166
CNAG_05392R,CNAG_05392,258
CNAG_05393R,CNAG_05393,199
CNAG_06034R,CNAG_06034,182
CNAG_05250R,CNAG_05250,204
CNAG_04243R,CNAG_04243,4
CNAG_01773R,CNAG_01773,225
CNAG_01232R,CNAG_01232,52
CNAG_01578R,CNAG_01578,88
CNAG_01601R,CNAG_01601,70
CNAG_04963R,CNAG_04963,221
CNAG_04962R,CNAG_04962,162
CNAG_01231R,CNAG_01231,144
CNAG_06835R,CNAG_06835,106
CNAG_06836R,CNAG_06836,254
CNAG_06389R,CNAG_06389,182
CNAG_05640R,CNAG_05640,504
CNAG_01558R,CNAG_01558,212
CNAG_00903R,CNAG_00903,51
CNAG_06583R,CNAG_06583,153
CNAG_06428R,CNAG_06428,194
CNAG_06427R,CNAG_06427,178
CNAG_07745R,CNAG_07745,152
CNAG_03369R,CNAG_03369,119
CNAG_00130R,CNAG_00130,643
CNAG_00457R,CNAG_00457,313
CNAG_04730R,CNAG_04730,270
CNAG_03116R,CNAG_03116,84
CNAG_04622R,CNAG_04622,208
CNAG_04449R,CNAG_04449,196
CNAG_03874R,CNAG_03874,145
CNAG_03873R,CNAG_03873,305
CNAG_02475R,CNAG_02475,141
CNAG_00070R,CNAG_00070,166
CNAG_04862R,CNAG_04862,298
CNAG_02527R,CNAG_02527,243
CNAG_00194R,CNAG_00194,274
CNAG_03498R,CNAG_03498,204
CNAG_03426R,CNAG_03426,176
CNAG_00077R,CNAG_00077,142
CNAG_02965R,CNAG_02965,235
