Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,638
CNAG_05387R,CNAG_05387,538
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,392
CNAG_05639R,CNAG_05639,349
CNAG_06346R,CNAG_06346,420
CNAG_06347R,CNAG_06347,474
CNAG_06517R,CNAG_06517,545
CNAG_07939R,CNAG_07939,2
CNAG_06201R,CNAG_06201,365
CNAG_06104R,CNAG_06104,349
CNAG_07902R,CNAG_07902,472
CNAG_06241R,CNAG_06241,327
CNAG_06242R,CNAG_06242,395
CNAG_07911R,CNAG_07911,465
CNAG_01683R,CNAG_01683,465
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,448
CNAG_01621R,CNAG_01621,1
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,264
CNAG_01965R,CNAG_01965,53
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,383
CNAG_04837R,CNAG_04837,450
CNAG_04836R,CNAG_04836,380
CNAG_04875R,CNAG_04875,253
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,125
CNAG_04753R,CNAG_04753,3
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,399
CNAG_04517R,CNAG_04517,452
CNAG_07770R,CNAG_07770,497
CNAG_04436R,CNAG_04436,1
CNAG_04270R,CNAG_04270,1
CNAG_03346R,CNAG_03346,2
CNAG_03333R,CNAG_03333,559
CNAG_07742R,CNAG_07742,900
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,362
CNAG_03545R,CNAG_03545,1
CNAG_03161R,CNAG_03161,1
CNAG_03566R,CNAG_03566,360
CNAG_05867R,CNAG_05867,272
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,398
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,509
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,423
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,392
CNAG_03669R,CNAG_03669,437
CNAG_07332R,CNAG_07332,315
CNAG_00285R,CNAG_00285,467
CNAG_00830R,CNAG_00830,461
CNAG_00841R,CNAG_00841,448
CNAG_06531R,CNAG_06531,773
CNAG_03279R,CNAG_03279,436
CNAG_03336R,CNAG_03336,607
CNAG_06339R,CNAG_06339,569
CNAG_03768R,CNAG_03768,488
CNAG_04534R,CNAG_04534,441
CNAG_01973R,CNAG_01973,333
CNAG_07867R,CNAG_07867,385
CNAG_05333R,CNAG_05333,539
CNAG_06425R,CNAG_06425,329
CNAG_03849R,CNAG_03849,467
CNAG_02603R,CNAG_02603,383
CNAG_02555R,CNAG_02555,503
CNAG_02525R,CNAG_02525,142
CNAG_03431R,CNAG_03431,492
CNAG_05049R,CNAG_05049,312
CNAG_03914R,CNAG_03914,474
CNAG_02476R,CNAG_02476,401
CNAG_07583R,CNAG_07583,440
CNAG_05112R,CNAG_05112,368
CNAG_03366R,CNAG_03366,586
CNAG_04090R,CNAG_04090,733
CNAG_00791R,CNAG_00791,415
CNAG_05375R,CNAG_05375,5890
CNAG_02516R,CNAG_02516,407
CNAG_04804R,CNAG_04804,316
CNAG_06203R,CNAG_06203,392
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,893
CNAG_03401R,CNAG_03401,463
CNAG_02435R,CNAG_02435,386
CNAG_05153R,CNAG_05153,12
CNAG_01708R,CNAG_01708,362
CNAG_03700R,CNAG_03700,503
CNAG_07320R,CNAG_07320,1
CNAG_05215R,CNAG_05215,354
CNAG_01438R,CNAG_01438,258
CNAG_07464R,CNAG_07464,367
CNAG_01858R,CNAG_01858,642
CNAG_04586R,CNAG_04586,520
CNAG_05176R,CNAG_05176,457
CNAG_01014R,CNAG_01014,216
CNAG_01454R,CNAG_01454,462
CNAG_06327R,CNAG_06327,97
CNAG_03788R,CNAG_03788,483
CNAG_00871R,CNAG_00871,553
CNAG_00559R,CNAG_00559,11437
CNAG_07370R,CNAG_07370,528
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,429
CNAG_01645R,CNAG_01645,964
CNAG_01242R,CNAG_01242,305
CNAG_02788R,CNAG_02788,26
CNAG_07435R,CNAG_07435,20
CNAG_03998R,CNAG_03998,1
CNAG_07924R,CNAG_07924,416
CNAG_01071R,CNAG_01071,392
CNAG_00883R,CNAG_00883,416
CNAG_03741R,CNAG_03741,431
CNAG_03745R,CNAG_03745,488
CNAG_00192R,CNAG_00192,461
CNAG_00670R,CNAG_00670,444
