Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,600
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,623
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,424
CNAG_05639R,CNAG_05639,388
CNAG_06346R,CNAG_06346,467
CNAG_06347R,CNAG_06347,372
CNAG_06517R,CNAG_06517,595
CNAG_06201R,CNAG_06201,381
CNAG_06104R,CNAG_06104,382
CNAG_06081R,CNAG_06081,2
CNAG_07902R,CNAG_07902,389
CNAG_06241R,CNAG_06241,430
CNAG_06242R,CNAG_06242,632
CNAG_07911R,CNAG_07911,334
CNAG_01683R,CNAG_01683,459
CNAG_01902R,CNAG_01902,10
CNAG_01680R,CNAG_01680,424
CNAG_01989R,CNAG_01989,281
CNAG_01993R,CNAG_01993,2
CNAG_01965R,CNAG_01965,32
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,368
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,433
CNAG_04836R,CNAG_04836,353
CNAG_04875R,CNAG_04875,650
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,112
CNAG_04908R,CNAG_04908,2
CNAG_04518R,CNAG_04518,359
CNAG_04517R,CNAG_04517,495
CNAG_07770R,CNAG_07770,352
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,772
CNAG_07742R,CNAG_07742,923
CNAG_03438R,CNAG_03438,2
CNAG_03142R,CNAG_03142,352
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,423
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,290
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,345
CNAG_02189R,CNAG_02189,443
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,270
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,330
CNAG_03669R,CNAG_03669,440
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,311
CNAG_00285R,CNAG_00285,419
CNAG_00830R,CNAG_00830,557
CNAG_00841R,CNAG_00841,487
CNAG_06531R,CNAG_06531,891
CNAG_03279R,CNAG_03279,496
