Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,10
CNAG_05515L,CNAG_05515,547
CNAG_05641L,CNAG_05641,410
CNAG_05387L,CNAG_05387,545
CNAG_05590L,CNAG_05590,1287
CNAG_07869L,CNAG_07869,540
CNAG_05340L,CNAG_05340,475
CNAG_05638L,CNAG_05638,452
CNAG_05639L,CNAG_05639,417
CNAG_06346L,CNAG_06346,473
CNAG_06347L,CNAG_06347,418
CNAG_06517L,CNAG_06517,652
CNAG_07939L,CNAG_07939,410
CNAG_06493L,CNAG_06493,387
CNAG_06201L,CNAG_06201,432
CNAG_06104L,CNAG_06104,366
CNAG_06081L,CNAG_06081,484
CNAG_07902L,CNAG_07902,368
CNAG_06241L,CNAG_06241,404
CNAG_06242L,CNAG_06242,652
CNAG_06186L,CNAG_06186,208
CNAG_07911L,CNAG_07911,428
CNAG_01551L,CNAG_01551,219
CNAG_01683L,CNAG_01683,418
CNAG_01983L,CNAG_01983,464
CNAG_01902L,CNAG_01902,18
CNAG_01680L,CNAG_01680,451
CNAG_01621L,CNAG_01621,421
CNAG_01988L,CNAG_01988,410
CNAG_01989L,CNAG_01989,474
CNAG_01939L,CNAG_01939,393
CNAG_01993L,CNAG_01993,418
CNAG_01992L,CNAG_01992,409
CNAG_01965L,CNAG_01965,413
CNAG_01562L,CNAG_01562,261
CNAG_01925L,CNAG_01925,430
CNAG_04756L,CNAG_04756,348
CNAG_04807L,CNAG_04807,448
CNAG_04837L,CNAG_04837,405
CNAG_04836L,CNAG_04836,342
CNAG_04737L,CNAG_04737,509
CNAG_04875L,CNAG_04875,591
CNAG_04874L,CNAG_04874,1005
CNAG_04868L,CNAG_04868,130
CNAG_04752L,CNAG_04752,376
CNAG_04753L,CNAG_04753,490
CNAG_04909L,CNAG_04909,451
CNAG_04908L,CNAG_04908,562
CNAG_04659L,CNAG_04659,361
CNAG_04623L,CNAG_04623,366
CNAG_04518L,CNAG_04518,304
CNAG_04517L,CNAG_04517,470
CNAG_07770L,CNAG_07770,322
CNAG_04436L,CNAG_04436,204
CNAG_04271L,CNAG_04271,155
CNAG_04270L,CNAG_04270,184
CNAG_03346L,CNAG_03346,428
CNAG_03433L,CNAG_03433,467
CNAG_03333L,CNAG_03333,902
CNAG_07742L,CNAG_07742,1356
CNAG_03438L,CNAG_03438,667
CNAG_03223L,CNAG_03223,181
CNAG_03142L,CNAG_03142,332
CNAG_03143L,CNAG_03143,374
CNAG_03545L,CNAG_03545,500
CNAG_03161L,CNAG_03161,56
CNAG_03566L,CNAG_03566,409
CNAG_05835L,CNAG_05835,448
CNAG_05864L,CNAG_05864,237
CNAG_06567L,CNAG_06567,494
CNAG_05742L,CNAG_05742,7
CNAG_05743L,CNAG_05743,91
CNAG_05867L,CNAG_05867,295
CNAG_05685L,CNAG_05685,1444
CNAG_05684L,CNAG_05684,354
CNAG_05785L,CNAG_05785,398
CNAG_05843L,CNAG_05843,6
CNAG_06554L,CNAG_06554,422
CNAG_02189L,CNAG_02189,412
CNAG_02188L,CNAG_02188,440
CNAG_02182L,CNAG_02182,412
CNAG_07631L,CNAG_07631,602
CNAG_02371L,CNAG_02371,241
CNAG_07633L,CNAG_07633,96
CNAG_01069L,CNAG_01069,411
CNAG_00896L,CNAG_00896,1267
CNAG_06719L,CNAG_06719,144
CNAG_03669L,CNAG_03669,359
CNAG_00031L,CNAG_00031,411
CNAG_07332L,CNAG_07332,341
CNAG_00285L,CNAG_00285,397
CNAG_00828L,CNAG_00828,389
CNAG_00830L,CNAG_00830,522
CNAG_00841L,CNAG_00841,512
CNAG_02774L,CNAG_02774,434
CNAG_06531L,CNAG_06531,851
CNAG_03279L,CNAG_03279,485
CNAG_03336L,CNAG_03336,790
CNAG_06339L,CNAG_06339,508
CNAG_03768L,CNAG_03768,442
CNAG_04534L,CNAG_04534,517
CNAG_01973L,CNAG_01973,1
CNAG_07867L,CNAG_07867,454
CNAG_05333L,CNAG_05333,535
CNAG_06425L,CNAG_06425,557
CNAG_03849L,CNAG_03849,1112
CNAG_02603L,CNAG_02603,353
CNAG_02555L,CNAG_02555,519
CNAG_03431L,CNAG_03431,626
CNAG_05049L,CNAG_05049,308
CNAG_05380L,CNAG_05380,856
CNAG_03914L,CNAG_03914,379
CNAG_02476L,CNAG_02476,403
CNAG_07583L,CNAG_07583,399
CNAG_02466L,CNAG_02466,394
CNAG_05112L,CNAG_05112,405
CNAG_03366L,CNAG_03366,555
CNAG_03977L,CNAG_03977,182
CNAG_04090L,CNAG_04090,1443
CNAG_00791L,CNAG_00791,284
CNAG_06751L,CNAG_06751,9
CNAG_05375L,CNAG_05375,8355
CNAG_02516L,CNAG_02516,426
CNAG_04804L,CNAG_04804,10
CNAG_00627L,CNAG_00627,506
CNAG_07725L,CNAG_07725,556
CNAG_06203L,CNAG_06203,549
CNAG_01883L,CNAG_01883,1211
CNAG_03401L,CNAG_03401,395
CNAG_02435L,CNAG_02435,554
CNAG_01708L,CNAG_01708,314
CNAG_03700L,CNAG_03700,364
CNAG_07320L,CNAG_07320,66
CNAG_05215L,CNAG_05215,310
CNAG_01438L,CNAG_01438,289
CNAG_07464L,CNAG_07464,533
CNAG_01858L,CNAG_01858,580
CNAG_04586L,CNAG_04586,349
CNAG_05093L,CNAG_05093,428
CNAG_05176L,CNAG_05176,550
CNAG_01014L,CNAG_01014,163
CNAG_00998L,CNAG_00998,441
CNAG_00039L,CNAG_00039,907
CNAG_07329L,CNAG_07329,27
CNAG_01454L,CNAG_01454,361
CNAG_02700L,CNAG_02700,58
CNAG_06327L,CNAG_06327,51
CNAG_03788L,CNAG_03788,612
CNAG_00871L,CNAG_00871,552
CNAG_00559L,CNAG_00559,12121
CNAG_07370L,CNAG_07370,578
CNAG_00732L,CNAG_00732,225
CNAG_04630L,CNAG_04630,486
CNAG_07940L,CNAG_07940,552
CNAG_02589L,CNAG_02589,461
CNAG_05067L,CNAG_05067,423
CNAG_01645L,CNAG_01645,1139
CNAG_06134L,CNAG_06134,123
CNAG_01242L,CNAG_01242,327
CNAG_02788L,CNAG_02788,47
CNAG_07435L,CNAG_07435,8
CNAG_03998L,CNAG_03998,589
CNAG_07924L,CNAG_07924,304
CNAG_01071L,CNAG_01071,366
CNAG_00883L,CNAG_00883,725
CNAG_03741L,CNAG_03741,453
CNAG_03745L,CNAG_03745,563
CNAG_00192L,CNAG_00192,454
CNAG_00670L,CNAG_00670,395
CNAG_06871L,CNAG_06871,620
CNAG_04457L,CNAG_04457,477
CNAG_02723L,CNAG_02723,485
CNAG_04588L,CNAG_04588,81
CNAG_01977L,CNAG_01977,464
CNAG_03894L,CNAG_03894,482
CNAG_04012L,CNAG_04012,411
CNAG_03561L,CNAG_03561,291
CNAG_05170L,CNAG_05170,333
CNAG_04041L,CNAG_04041,62
CNAG_02364L,CNAG_02364,438
CNAG_04093L,CNAG_04093,472
CNAG_02322L,CNAG_02322,424
CNAG_04184L,CNAG_04184,402
CNAG_05255L,CNAG_05255,423
CNAG_05642L,CNAG_05642,164
