Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,540
CNAG_05387R,CNAG_05387,569
CNAG_05638R,CNAG_05638,345
CNAG_05639R,CNAG_05639,367
CNAG_06346R,CNAG_06346,418
CNAG_06347R,CNAG_06347,422
CNAG_06517R,CNAG_06517,570
CNAG_07939R,CNAG_07939,1
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,316
CNAG_06104R,CNAG_06104,711
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,462
CNAG_06241R,CNAG_06241,97
CNAG_06242R,CNAG_06242,81
CNAG_07911R,CNAG_07911,441
CNAG_01683R,CNAG_01683,474
CNAG_01983R,CNAG_01983,7
CNAG_01902R,CNAG_01902,12
CNAG_01680R,CNAG_01680,429
CNAG_01621R,CNAG_01621,2
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,299
CNAG_01965R,CNAG_01965,245
CNAG_01925R,CNAG_01925,359
CNAG_04837R,CNAG_04837,473
CNAG_04836R,CNAG_04836,430
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,227
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,87
CNAG_04752R,CNAG_04752,3
CNAG_04753R,CNAG_04753,2
CNAG_04908R,CNAG_04908,2
CNAG_04518R,CNAG_04518,359
CNAG_04517R,CNAG_04517,428
CNAG_07770R,CNAG_07770,475
CNAG_03346R,CNAG_03346,2
CNAG_03333R,CNAG_03333,661
CNAG_07742R,CNAG_07742,830
CNAG_03223R,CNAG_03223,2
CNAG_03142R,CNAG_03142,361
CNAG_03566R,CNAG_03566,294
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,292
CNAG_05685R,CNAG_05685,4
CNAG_05684R,CNAG_05684,387
CNAG_02189R,CNAG_02189,498
CNAG_02371R,CNAG_02371,434
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,364
CNAG_03669R,CNAG_03669,369
CNAG_07332R,CNAG_07332,279
CNAG_00285R,CNAG_00285,520
CNAG_00830R,CNAG_00830,415
CNAG_00841R,CNAG_00841,427
CNAG_06531R,CNAG_06531,718
CNAG_03279R,CNAG_03279,430
CNAG_03336R,CNAG_03336,421
CNAG_06339R,CNAG_06339,488
CNAG_03768R,CNAG_03768,462
CNAG_04534R,CNAG_04534,420
CNAG_01973R,CNAG_01973,220
CNAG_07867R,CNAG_07867,396
CNAG_05333R,CNAG_05333,532
CNAG_06425R,CNAG_06425,211
CNAG_03849R,CNAG_03849,484
CNAG_02603R,CNAG_02603,389
CNAG_02555R,CNAG_02555,517
CNAG_02525R,CNAG_02525,170
CNAG_03431R,CNAG_03431,455
CNAG_05049R,CNAG_05049,305
CNAG_03914R,CNAG_03914,302
CNAG_02476R,CNAG_02476,330
CNAG_07583R,CNAG_07583,378
CNAG_05112R,CNAG_05112,349
CNAG_03366R,CNAG_03366,573
CNAG_04090R,CNAG_04090,500
CNAG_00791R,CNAG_00791,306
CNAG_05375R,CNAG_05375,3911
CNAG_02516R,CNAG_02516,395
CNAG_04804R,CNAG_04804,2
CNAG_06203R,CNAG_06203,326
CNAG_01883R,CNAG_01883,928
CNAG_03401R,CNAG_03401,373
CNAG_02435R,CNAG_02435,404
CNAG_05153R,CNAG_05153,5
CNAG_01708R,CNAG_01708,384
CNAG_03700R,CNAG_03700,478
CNAG_05215R,CNAG_05215,320
CNAG_01438R,CNAG_01438,201
CNAG_07464R,CNAG_07464,328
CNAG_01858R,CNAG_01858,562
CNAG_04586R,CNAG_04586,286
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,453
CNAG_01014R,CNAG_01014,284
CNAG_01454R,CNAG_01454,332
CNAG_06327R,CNAG_06327,112
CNAG_03788R,CNAG_03788,386
CNAG_00871R,CNAG_00871,549
CNAG_00559R,CNAG_00559,9017
CNAG_07370R,CNAG_07370,469
CNAG_00732R,CNAG_00732,1
CNAG_02589R,CNAG_02589,397
CNAG_01645R,CNAG_01645,1016
CNAG_01242R,CNAG_01242,258
CNAG_02788R,CNAG_02788,1
CNAG_07435R,CNAG_07435,14
CNAG_07924R,CNAG_07924,282
CNAG_01071R,CNAG_01071,358
CNAG_00883R,CNAG_00883,405
CNAG_03741R,CNAG_03741,525
CNAG_03745R,CNAG_03745,451
CNAG_00192R,CNAG_00192,466
CNAG_00670R,CNAG_00670,443
CNAG_06871R,CNAG_06871,456
CNAG_04457R,CNAG_04457,461
CNAG_04588R,CNAG_04588,45
CNAG_03894R,CNAG_03894,461
CNAG_04012R,CNAG_04012,436
CNAG_01487R,CNAG_01487,409
CNAG_05170R,CNAG_05170,373
CNAG_02364R,CNAG_02364,377
CNAG_04093R,CNAG_04093,507
CNAG_02322R,CNAG_02322,386
CNAG_05255R,CNAG_05255,495
CNAG_03018R,CNAG_03018,414
CNAG_07901R,CNAG_07901,342
CNAG_03086R,CNAG_03086,388
CNAG_06097R,CNAG_06097,442
CNAG_03132R,CNAG_03132,1
CNAG_06136R,CNAG_06136,410
CNAG_03177R,CNAG_03177,448
CNAG_03183R,CNAG_03183,87
CNAG_04774R,CNAG_04774,233
CNAG_04768R,CNAG_04768,415
CNAG_06276R,CNAG_06276,419
CNAG_05222R,CNAG_05222,62
CNAG_03409R,CNAG_03409,137
CNAG_05622R,CNAG_05622,468
CNAG_04637R,CNAG_04637,377
CNAG_07680R,CNAG_07680,24
CNAG_02215R,CNAG_02215,22
CNAG_00564R,CNAG_00564,2
CNAG_02387R,CNAG_02387,413
