Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,204
CNAG_05515L,CNAG_05515,468
CNAG_05641L,CNAG_05641,346
CNAG_05387L,CNAG_05387,538
CNAG_05590L,CNAG_05590,183
CNAG_07869L,CNAG_07869,484
CNAG_05340L,CNAG_05340,178
CNAG_05638L,CNAG_05638,385
CNAG_05639L,CNAG_05639,331
CNAG_06346L,CNAG_06346,415
CNAG_06347L,CNAG_06347,450
CNAG_06517L,CNAG_06517,528
CNAG_07939L,CNAG_07939,404
CNAG_06493L,CNAG_06493,369
CNAG_06201L,CNAG_06201,438
CNAG_06104L,CNAG_06104,917
CNAG_06081L,CNAG_06081,395
CNAG_07902L,CNAG_07902,397
CNAG_06241L,CNAG_06241,95
CNAG_06242L,CNAG_06242,107
CNAG_06186L,CNAG_06186,379
CNAG_07911L,CNAG_07911,438
CNAG_01551L,CNAG_01551,231
CNAG_01683L,CNAG_01683,396
CNAG_01983L,CNAG_01983,484
CNAG_01902L,CNAG_01902,6
CNAG_01680L,CNAG_01680,405
CNAG_01621L,CNAG_01621,430
CNAG_01988L,CNAG_01988,312
CNAG_01989L,CNAG_01989,361
CNAG_01939L,CNAG_01939,451
CNAG_01993L,CNAG_01993,413
CNAG_01992L,CNAG_01992,393
CNAG_01965L,CNAG_01965,409
CNAG_01562L,CNAG_01562,308
CNAG_01925L,CNAG_01925,369
CNAG_04756L,CNAG_04756,478
CNAG_04807L,CNAG_04807,444
CNAG_04837L,CNAG_04837,429
CNAG_04836L,CNAG_04836,381
CNAG_04737L,CNAG_04737,539
CNAG_04875L,CNAG_04875,195
CNAG_04874L,CNAG_04874,939
CNAG_04868L,CNAG_04868,109
CNAG_04752L,CNAG_04752,374
CNAG_04753L,CNAG_04753,2198
CNAG_04909L,CNAG_04909,429
CNAG_04908L,CNAG_04908,469
CNAG_04659L,CNAG_04659,250
CNAG_04623L,CNAG_04623,369
CNAG_04518L,CNAG_04518,333
CNAG_04517L,CNAG_04517,397
CNAG_07770L,CNAG_07770,455
CNAG_04436L,CNAG_04436,279
CNAG_04271L,CNAG_04271,266
CNAG_04270L,CNAG_04270,333
CNAG_03346L,CNAG_03346,392
CNAG_03433L,CNAG_03433,436
CNAG_03333L,CNAG_03333,656
CNAG_07742L,CNAG_07742,1314
CNAG_03438L,CNAG_03438,197
CNAG_03223L,CNAG_03223,527
CNAG_03142L,CNAG_03142,342
CNAG_03143L,CNAG_03143,342
CNAG_03545L,CNAG_03545,490
CNAG_03161L,CNAG_03161,72
CNAG_03566L,CNAG_03566,248
CNAG_05835L,CNAG_05835,321
CNAG_05864L,CNAG_05864,353
CNAG_06567L,CNAG_06567,458
CNAG_05742L,CNAG_05742,4
CNAG_05743L,CNAG_05743,212
CNAG_05867L,CNAG_05867,265
CNAG_05685L,CNAG_05685,922
CNAG_05684L,CNAG_05684,328
CNAG_05785L,CNAG_05785,314
CNAG_05843L,CNAG_05843,4
CNAG_06554L,CNAG_06554,424
CNAG_02189L,CNAG_02189,452
CNAG_02188L,CNAG_02188,460
CNAG_02182L,CNAG_02182,344
CNAG_07631L,CNAG_07631,243
CNAG_02371L,CNAG_02371,367
CNAG_07633L,CNAG_07633,443
CNAG_01069L,CNAG_01069,431
CNAG_00896L,CNAG_00896,1270
CNAG_06719L,CNAG_06719,135
CNAG_03669L,CNAG_03669,441
CNAG_00031L,CNAG_00031,337
CNAG_07332L,CNAG_07332,312
CNAG_00285L,CNAG_00285,501
CNAG_00828L,CNAG_00828,356
CNAG_00830L,CNAG_00830,374
CNAG_00841L,CNAG_00841,434
CNAG_02774L,CNAG_02774,414
CNAG_06531L,CNAG_06531,711
CNAG_03279L,CNAG_03279,435
CNAG_03336L,CNAG_03336,457
CNAG_06339L,CNAG_06339,525
CNAG_03768L,CNAG_03768,466
CNAG_04534L,CNAG_04534,400
CNAG_01973L,CNAG_01973,3
CNAG_07867L,CNAG_07867,344
