Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,586
CNAG_05387R,CNAG_05387,590
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,376
CNAG_05639R,CNAG_05639,354
CNAG_06346R,CNAG_06346,403
CNAG_06347R,CNAG_06347,424
CNAG_06517R,CNAG_06517,478
CNAG_06201R,CNAG_06201,354
CNAG_06104R,CNAG_06104,771
CNAG_07902R,CNAG_07902,376
CNAG_06241R,CNAG_06241,234
CNAG_06242R,CNAG_06242,254
CNAG_07911R,CNAG_07911,342
CNAG_01683R,CNAG_01683,473
CNAG_01902R,CNAG_01902,8
CNAG_01680R,CNAG_01680,389
CNAG_01989R,CNAG_01989,357
CNAG_01965R,CNAG_01965,257
CNAG_01925R,CNAG_01925,359
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,459
CNAG_04836R,CNAG_04836,425
CNAG_04875R,CNAG_04875,284
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,99
CNAG_04518R,CNAG_04518,417
CNAG_04517R,CNAG_04517,393
CNAG_07770R,CNAG_07770,392
CNAG_04271R,CNAG_04271,1
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,507
CNAG_07742R,CNAG_07742,796
CNAG_03142R,CNAG_03142,318
CNAG_03161R,CNAG_03161,1
CNAG_03566R,CNAG_03566,384
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,271
CNAG_05684R,CNAG_05684,588
CNAG_02189R,CNAG_02189,368
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,376
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,350
CNAG_03669R,CNAG_03669,381
CNAG_07332R,CNAG_07332,272
CNAG_00285R,CNAG_00285,357
CNAG_00830R,CNAG_00830,396
CNAG_00841R,CNAG_00841,451
CNAG_06531R,CNAG_06531,667
CNAG_03279R,CNAG_03279,397
CNAG_03336R,CNAG_03336,573
CNAG_06339R,CNAG_06339,565
CNAG_03768R,CNAG_03768,429
CNAG_04534R,CNAG_04534,346
CNAG_01973R,CNAG_01973,260
CNAG_07867R,CNAG_07867,378
CNAG_05333R,CNAG_05333,462
CNAG_06425R,CNAG_06425,304
CNAG_03849R,CNAG_03849,558
CNAG_02603R,CNAG_02603,373
CNAG_02555R,CNAG_02555,464
CNAG_02525R,CNAG_02525,106
CNAG_03431R,CNAG_03431,399
CNAG_05049R,CNAG_05049,352
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,409
CNAG_02476R,CNAG_02476,349
CNAG_07583R,CNAG_07583,372
CNAG_05112R,CNAG_05112,391
CNAG_03366R,CNAG_03366,536
CNAG_04090R,CNAG_04090,917
CNAG_00791R,CNAG_00791,445
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,6617
CNAG_02516R,CNAG_02516,337
CNAG_04804R,CNAG_04804,57
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,364
CNAG_01883R,CNAG_01883,1021
CNAG_03401R,CNAG_03401,431
CNAG_02435R,CNAG_02435,331
CNAG_05153R,CNAG_05153,7
CNAG_01708R,CNAG_01708,374
CNAG_03700R,CNAG_03700,393
CNAG_05215R,CNAG_05215,379
CNAG_01438R,CNAG_01438,311
CNAG_07464R,CNAG_07464,438
CNAG_01858R,CNAG_01858,622
CNAG_04586R,CNAG_04586,348
CNAG_05176R,CNAG_05176,408
CNAG_01014R,CNAG_01014,244
CNAG_01454R,CNAG_01454,475
CNAG_06327R,CNAG_06327,18
CNAG_03788R,CNAG_03788,278
CNAG_00871R,CNAG_00871,409
CNAG_00559R,CNAG_00559,9212
CNAG_07370R,CNAG_07370,436
CNAG_04630R,CNAG_04630,1
CNAG_02589R,CNAG_02589,399
CNAG_01645R,CNAG_01645,1018
CNAG_01242R,CNAG_01242,184
CNAG_02788R,CNAG_02788,5
CNAG_07435R,CNAG_07435,14
CNAG_07924R,CNAG_07924,431
CNAG_01071R,CNAG_01071,371
CNAG_00883R,CNAG_00883,388
CNAG_03741R,CNAG_03741,351
CNAG_03745R,CNAG_03745,414
CNAG_00192R,CNAG_00192,387
CNAG_00670R,CNAG_00670,520
CNAG_06871R,CNAG_06871,486
CNAG_04457R,CNAG_04457,402
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,22
CNAG_03894R,CNAG_03894,485
CNAG_04012R,CNAG_04012,488
CNAG_01487R,CNAG_01487,416
CNAG_05170R,CNAG_05170,412
CNAG_02364R,CNAG_02364,429
CNAG_04093R,CNAG_04093,417
CNAG_02322R,CNAG_02322,450
CNAG_05255R,CNAG_05255,464
CNAG_03018R,CNAG_03018,391
CNAG_07901R,CNAG_07901,352
CNAG_03086R,CNAG_03086,367
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,319
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,449
CNAG_03177R,CNAG_03177,467
CNAG_03183R,CNAG_03183,122
CNAG_04359R,CNAG_04359,2
CNAG_04774R,CNAG_04774,501
CNAG_04768R,CNAG_04768,549
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,359
CNAG_05222R,CNAG_05222,61
CNAG_03409R,CNAG_03409,350
CNAG_05622R,CNAG_05622,486
CNAG_04637R,CNAG_04637,389
CNAG_07680R,CNAG_07680,14
CNAG_02215R,CNAG_02215,8
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,509
CNAG_04086R,CNAG_04086,509
CNAG_05697R,CNAG_05697,448
CNAG_06205R,CNAG_06205,2
CNAG_04507R,CNAG_04507,353
CNAG_04506R,CNAG_04506,380
CNAG_00068R,CNAG_00068,598
CNAG_00733R,CNAG_00733,385
CNAG_03910R,CNAG_03910,428
CNAG_04059R,CNAG_04059,363
CNAG_07491R,CNAG_07491,406
CNAG_05181R,CNAG_05181,292
CNAG_03772R,CNAG_03772,386
CNAG_00445R,CNAG_00445,518
CNAG_01901R,CNAG_01901,646
CNAG_05313R,CNAG_05313,551
CNAG_05312R,CNAG_05312,429
CNAG_00337R,CNAG_00337,1
CNAG_00442R,CNAG_00442,689
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,483
CNAG_01230R,CNAG_01230,355
CNAG_05264R,CNAG_05264,1
CNAG_01681R,CNAG_01681,1
CNAG_00179R,CNAG_00179,1
CNAG_00547R,CNAG_00547,361
CNAG_00598R,CNAG_00598,440
CNAG_02219R,CNAG_02219,586
CNAG_03013R,CNAG_03013,116
CNAG_07540R,CNAG_07540,698
CNAG_04980R,CNAG_04980,40
CNAG_00456R,CNAG_00456,424
CNAG_00455R,CNAG_00455,497
CNAG_02152R,CNAG_02152,1
CNAG_00107R,CNAG_00107,357
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,516
CNAG_03848R,CNAG_03848,2
CNAG_01013R,CNAG_01013,94
CNAG_05080R,CNAG_05080,412
CNAG_00164R,CNAG_00164,387
CNAG_03677R,CNAG_03677,433
CNAG_05077R,CNAG_05077,506
CNAG_02554R,CNAG_02554,1
CNAG_00546R,CNAG_00546,1
CNAG_00897R,CNAG_00897,1
CNAG_01125R,CNAG_01125,1
CNAG_00776R,CNAG_00776,44
CNAG_01446R,CNAG_01446,1
CNAG_04024R,CNAG_04024,442
CNAG_04025R,CNAG_04025,470
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,16
CNAG_01803R,CNAG_01803,568
CNAG_07541R,CNAG_07541,350
CNAG_07542R,CNAG_07542,520
CNAG_05915R,CNAG_05915,417
CNAG_00917R,CNAG_00917,1293
CNAG_00919R,CNAG_00919,440
CNAG_05458R,CNAG_05458,670
CNAG_05459R,CNAG_05459,508
CNAG_01985R,CNAG_01985,300
CNAG_00740R,CNAG_00740,76
CNAG_04163R,CNAG_04163,409
CNAG_04162R,CNAG_04162,188
CNAG_04755R,CNAG_04755,232
CNAG_01777R,CNAG_01777,324
CNAG_03173R,CNAG_03173,419
CNAG_03172R,CNAG_03172,475
CNAG_07388R,CNAG_07388,394
CNAG_07389R,CNAG_07389,526
CNAG_03644R,CNAG_03644,1
CNAG_06060R,CNAG_06060,292
CNAG_00581R,CNAG_00581,161
CNAG_02044R,CNAG_02044,2
CNAG_02045R,CNAG_02045,513
CNAG_04950R,CNAG_04950,341
CNAG_04949R,CNAG_04949,376
CNAG_01865R,CNAG_01865,413
CNAG_05870R,CNAG_05870,1
CNAG_00717R,CNAG_00717,158
CNAG_06896R,CNAG_06896,224
CNAG_04631R,CNAG_04631,1
CNAG_05812R,CNAG_05812,379
CNAG_00079R,CNAG_00079,1
CNAG_06658R,CNAG_06658,401
CNAG_05994R,CNAG_05994,335
CNAG_02517R,CNAG_02517,586
CNAG_07419R,CNAG_07419,1
CNAG_02040R,CNAG_02040,1
CNAG_03328R,CNAG_03328,1
CNAG_03329R,CNAG_03329,267
CNAG_04471R,CNAG_04471,394
CNAG_04472R,CNAG_04472,1
CNAG_00699R,CNAG_00699,396
CNAG_02129R,CNAG_02129,536
CNAG_05352R,CNAG_05352,196
CNAG_07441R,CNAG_07441,1
CNAG_01523R,CNAG_01523,1
CNAG_05415R,CNAG_05415,1
CNAG_03946R,CNAG_03946,1
CNAG_07486R,CNAG_07486,356
CNAG_00710R,CNAG_00710,348
CNAG_00709R,CNAG_00709,428
CNAG_04186R,CNAG_04186,4
CNAG_03689R,CNAG_03689,314
CNAG_01704R,CNAG_01704,424
CNAG_07827R,CNAG_07827,377
CNAG_07516R,CNAG_07516,342
CNAG_00157R,CNAG_00157,318
CNAG_02090R,CNAG_02090,1
CNAG_01776R,CNAG_01776,426
CNAG_07605R,CNAG_07605,299
CNAG_01846R,CNAG_01846,420
CNAG_03572R,CNAG_03572,1
CNAG_00799R,CNAG_00799,338
CNAG_04656R,CNAG_04656,1
CNAG_04657R,CNAG_04657,454
CNAG_04385R,CNAG_04385,396
CNAG_04386R,CNAG_04386,384
CNAG_07847R,CNAG_07847,365
CNAG_02226R,CNAG_02226,445
