Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,71
CNAG_05515L,CNAG_05515,478
CNAG_05641L,CNAG_05641,313
CNAG_05387L,CNAG_05387,400
CNAG_05590L,CNAG_05590,845
CNAG_07869L,CNAG_07869,416
CNAG_05340L,CNAG_05340,386
CNAG_05638L,CNAG_05638,299
CNAG_05639L,CNAG_05639,230
CNAG_06346L,CNAG_06346,372
CNAG_06347L,CNAG_06347,319
CNAG_06517L,CNAG_06517,427
CNAG_07939L,CNAG_07939,305
CNAG_06493L,CNAG_06493,257
CNAG_06201L,CNAG_06201,323
CNAG_06104L,CNAG_06104,698
CNAG_06081L,CNAG_06081,365
CNAG_07902L,CNAG_07902,310
CNAG_06241L,CNAG_06241,212
CNAG_06242L,CNAG_06242,193
CNAG_06186L,CNAG_06186,319
CNAG_07911L,CNAG_07911,305
CNAG_01551L,CNAG_01551,329
CNAG_01683L,CNAG_01683,304
CNAG_01983L,CNAG_01983,341
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,314
CNAG_01621L,CNAG_01621,293
CNAG_01988L,CNAG_01988,313
CNAG_01989L,CNAG_01989,378
CNAG_01939L,CNAG_01939,348
CNAG_01993L,CNAG_01993,274
CNAG_01992L,CNAG_01992,304
CNAG_01965L,CNAG_01965,299
CNAG_01562L,CNAG_01562,247
CNAG_01925L,CNAG_01925,272
CNAG_04756L,CNAG_04756,380
CNAG_04807L,CNAG_04807,418
CNAG_04837L,CNAG_04837,357
CNAG_04836L,CNAG_04836,257
CNAG_04737L,CNAG_04737,439
CNAG_04875L,CNAG_04875,201
CNAG_04874L,CNAG_04874,700
CNAG_04868L,CNAG_04868,79
CNAG_04752L,CNAG_04752,302
CNAG_04753L,CNAG_04753,1923
CNAG_04909L,CNAG_04909,310
CNAG_04908L,CNAG_04908,287
CNAG_04659L,CNAG_04659,258
CNAG_04623L,CNAG_04623,302
CNAG_04518L,CNAG_04518,296
CNAG_04517L,CNAG_04517,333
CNAG_07770L,CNAG_07770,323
CNAG_04436L,CNAG_04436,189
CNAG_04271L,CNAG_04271,243
CNAG_04270L,CNAG_04270,331
CNAG_03346L,CNAG_03346,308
CNAG_03433L,CNAG_03433,320
CNAG_03333L,CNAG_03333,404
CNAG_07742L,CNAG_07742,1090
CNAG_03438L,CNAG_03438,44
CNAG_03223L,CNAG_03223,239
CNAG_03142L,CNAG_03142,249
CNAG_03143L,CNAG_03143,284
CNAG_03545L,CNAG_03545,396
CNAG_03161L,CNAG_03161,146
CNAG_03566L,CNAG_03566,247
CNAG_05835L,CNAG_05835,314
CNAG_05864L,CNAG_05864,165
CNAG_06567L,CNAG_06567,300
CNAG_05742L,CNAG_05742,39
CNAG_05743L,CNAG_05743,178
CNAG_05867L,CNAG_05867,222
CNAG_05685L,CNAG_05685,805
CNAG_05684L,CNAG_05684,407
CNAG_05785L,CNAG_05785,248
CNAG_05843L,CNAG_05843,35
CNAG_06554L,CNAG_06554,283
CNAG_02189L,CNAG_02189,287
CNAG_02188L,CNAG_02188,346
CNAG_02182L,CNAG_02182,272
CNAG_07631L,CNAG_07631,416
CNAG_02371L,CNAG_02371,227
CNAG_07633L,CNAG_07633,425
CNAG_01069L,CNAG_01069,344
CNAG_00896L,CNAG_00896,1125
CNAG_06719L,CNAG_06719,85
CNAG_03669L,CNAG_03669,336
CNAG_00031L,CNAG_00031,302
CNAG_07332L,CNAG_07332,235
CNAG_00285L,CNAG_00285,331
CNAG_00828L,CNAG_00828,292
CNAG_00830L,CNAG_00830,352
CNAG_00841L,CNAG_00841,312
CNAG_02774L,CNAG_02774,284
CNAG_06531L,CNAG_06531,486
CNAG_03279L,CNAG_03279,346
CNAG_03336L,CNAG_03336,484
CNAG_06339L,CNAG_06339,373
CNAG_03768L,CNAG_03768,359
CNAG_04534L,CNAG_04534,312
CNAG_01973L,CNAG_01973,2
CNAG_07867L,CNAG_07867,309
CNAG_05333L,CNAG_05333,374
CNAG_06425L,CNAG_06425,211
CNAG_03849L,CNAG_03849,743
CNAG_02603L,CNAG_02603,304
CNAG_02555L,CNAG_02555,298
CNAG_03431L,CNAG_03431,355
CNAG_05049L,CNAG_05049,225
CNAG_05380L,CNAG_05380,391
CNAG_03914L,CNAG_03914,352
CNAG_02476L,CNAG_02476,287
CNAG_07583L,CNAG_07583,301
CNAG_02466L,CNAG_02466,256
CNAG_05112L,CNAG_05112,292
CNAG_07411L,CNAG_07411,4
CNAG_03366L,CNAG_03366,386
CNAG_03977L,CNAG_03977,172
CNAG_04090L,CNAG_04090,683
CNAG_00791L,CNAG_00791,287
CNAG_06751L,CNAG_06751,241
CNAG_05375L,CNAG_05375,4307
CNAG_02516L,CNAG_02516,345
CNAG_04804L,CNAG_04804,29
CNAG_00627L,CNAG_00627,338
CNAG_07725L,CNAG_07725,387
CNAG_06203L,CNAG_06203,357
CNAG_00514L,CNAG_00514,2
CNAG_01883L,CNAG_01883,785
CNAG_03401L,CNAG_03401,318
CNAG_02435L,CNAG_02435,230
CNAG_05153L,CNAG_05153,5
CNAG_01708L,CNAG_01708,254
CNAG_03700L,CNAG_03700,329
CNAG_07320L,CNAG_07320,96
CNAG_05215L,CNAG_05215,356
CNAG_01438L,CNAG_01438,327
