Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,350
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,287
CNAG_05638R,CNAG_05638,241
CNAG_05639R,CNAG_05639,239
CNAG_06346R,CNAG_06346,252
CNAG_06347R,CNAG_06347,219
CNAG_06517R,CNAG_06517,297
CNAG_06201R,CNAG_06201,204
CNAG_06104R,CNAG_06104,562
CNAG_07902R,CNAG_07902,325
CNAG_06241R,CNAG_06241,111
CNAG_06242R,CNAG_06242,105
CNAG_07911R,CNAG_07911,370
CNAG_01551R,CNAG_01551,5
CNAG_01683R,CNAG_01683,286
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,12
CNAG_01680R,CNAG_01680,270
CNAG_01989R,CNAG_01989,184
CNAG_01939R,CNAG_01939,1
CNAG_01965R,CNAG_01965,179
CNAG_01925R,CNAG_01925,202
CNAG_04837R,CNAG_04837,215
CNAG_04836R,CNAG_04836,263
CNAG_04875R,CNAG_04875,754
CNAG_04868R,CNAG_04868,129
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,6
CNAG_04518R,CNAG_04518,181
CNAG_04517R,CNAG_04517,285
CNAG_07770R,CNAG_07770,215
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,292
CNAG_07742R,CNAG_07742,467
CNAG_03142R,CNAG_03142,219
CNAG_03566R,CNAG_03566,138
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,209
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,273
CNAG_02189R,CNAG_02189,288
CNAG_02371R,CNAG_02371,372
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,210
CNAG_03669R,CNAG_03669,113
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,168
CNAG_00285R,CNAG_00285,259
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,190
CNAG_00841R,CNAG_00841,378
CNAG_06531R,CNAG_06531,452
CNAG_03279R,CNAG_03279,239
CNAG_03336R,CNAG_03336,341
CNAG_06339R,CNAG_06339,316
CNAG_03768R,CNAG_03768,288
CNAG_04534R,CNAG_04534,223
CNAG_01973R,CNAG_01973,218
CNAG_07867R,CNAG_07867,291
CNAG_05333R,CNAG_05333,281
CNAG_06425R,CNAG_06425,337
CNAG_03849R,CNAG_03849,255
CNAG_02603R,CNAG_02603,228
CNAG_02555R,CNAG_02555,257
CNAG_02525R,CNAG_02525,70
CNAG_03431R,CNAG_03431,329
CNAG_05049R,CNAG_05049,179
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,223
CNAG_02476R,CNAG_02476,210
CNAG_07583R,CNAG_07583,187
CNAG_05112R,CNAG_05112,204
CNAG_03366R,CNAG_03366,314
CNAG_04090R,CNAG_04090,1111
CNAG_00791R,CNAG_00791,182
CNAG_05375R,CNAG_05375,3937
CNAG_02516R,CNAG_02516,249
CNAG_04804R,CNAG_04804,34
CNAG_06203R,CNAG_06203,186
CNAG_01883R,CNAG_01883,707
CNAG_03401R,CNAG_03401,208
CNAG_02435R,CNAG_02435,254
CNAG_05153R,CNAG_05153,1
CNAG_01708R,CNAG_01708,262
CNAG_03700R,CNAG_03700,288
CNAG_05215R,CNAG_05215,270
CNAG_01438R,CNAG_01438,230
CNAG_07464R,CNAG_07464,391
CNAG_01858R,CNAG_01858,304
CNAG_04586R,CNAG_04586,50
CNAG_05176R,CNAG_05176,269
CNAG_01014R,CNAG_01014,45
CNAG_01454R,CNAG_01454,295
CNAG_06327R,CNAG_06327,14
CNAG_03788R,CNAG_03788,335
CNAG_00871R,CNAG_00871,286
CNAG_00559R,CNAG_00559,5242
CNAG_07370R,CNAG_07370,289
CNAG_02589R,CNAG_02589,241
CNAG_01645R,CNAG_01645,523
CNAG_01242R,CNAG_01242,125
CNAG_02788R,CNAG_02788,31
CNAG_07435R,CNAG_07435,47
CNAG_07924R,CNAG_07924,245
CNAG_01071R,CNAG_01071,245
CNAG_00883R,CNAG_00883,466
CNAG_03741R,CNAG_03741,234
CNAG_03745R,CNAG_03745,308
CNAG_00192R,CNAG_00192,278
CNAG_00670R,CNAG_00670,289
CNAG_06871R,CNAG_06871,318
CNAG_04457R,CNAG_04457,234
CNAG_04588R,CNAG_04588,80
CNAG_03894R,CNAG_03894,252
CNAG_04012R,CNAG_04012,259
CNAG_01487R,CNAG_01487,287
CNAG_03561R,CNAG_03561,1
CNAG_05170R,CNAG_05170,207
CNAG_02364R,CNAG_02364,272
CNAG_04093R,CNAG_04093,322
CNAG_02322R,CNAG_02322,319
CNAG_05255R,CNAG_05255,297
CNAG_03059R,CNAG_03059,1
CNAG_03018R,CNAG_03018,290
CNAG_07901R,CNAG_07901,237
CNAG_03086R,CNAG_03086,221
CNAG_06097R,CNAG_06097,1300
CNAG_06136R,CNAG_06136,255
CNAG_03177R,CNAG_03177,328
CNAG_03183R,CNAG_03183,81
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,430
CNAG_04768R,CNAG_04768,803
CNAG_06276R,CNAG_06276,232
CNAG_05222R,CNAG_05222,116
CNAG_03409R,CNAG_03409,680
CNAG_05622R,CNAG_05622,333
CNAG_04637R,CNAG_04637,205
CNAG_07680R,CNAG_07680,70
CNAG_02215R,CNAG_02215,41
CNAG_02387R,CNAG_02387,291
CNAG_04086R,CNAG_04086,302
CNAG_05697R,CNAG_05697,644
CNAG_04507R,CNAG_04507,248
CNAG_04506R,CNAG_04506,257
CNAG_00068R,CNAG_00068,308
CNAG_05138R,CNAG_05138,1
CNAG_00733R,CNAG_00733,231
CNAG_03910R,CNAG_03910,261
CNAG_04059R,CNAG_04059,199
CNAG_07491R,CNAG_07491,273
CNAG_05181R,CNAG_05181,225
CNAG_03772R,CNAG_03772,245
CNAG_00445R,CNAG_00445,1122
CNAG_01901R,CNAG_01901,325
CNAG_05313R,CNAG_05313,333
CNAG_05312R,CNAG_05312,264
CNAG_03012R,CNAG_03012,1
CNAG_00442R,CNAG_00442,233
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,282
CNAG_01230R,CNAG_01230,244
CNAG_00179R,CNAG_00179,1
CNAG_00547R,CNAG_00547,386
CNAG_00598R,CNAG_00598,298
CNAG_01138R,CNAG_01138,1
CNAG_02219R,CNAG_02219,267
CNAG_03013R,CNAG_03013,78
CNAG_07540R,CNAG_07540,1773
CNAG_04980R,CNAG_04980,175
CNAG_00456R,CNAG_00456,280
CNAG_00455R,CNAG_00455,333
CNAG_00107R,CNAG_00107,206
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,342
CNAG_03848R,CNAG_03848,1
CNAG_01013R,CNAG_01013,19
CNAG_00531R,CNAG_00531,1
CNAG_05080R,CNAG_05080,238
CNAG_04869R,CNAG_04869,1
CNAG_00164R,CNAG_00164,217
CNAG_01082R,CNAG_01082,1
CNAG_03727R,CNAG_03727,1
CNAG_03677R,CNAG_03677,289
CNAG_05077R,CNAG_05077,283
CNAG_02554R,CNAG_02554,1
CNAG_05147R,CNAG_05147,1
CNAG_00776R,CNAG_00776,21
CNAG_04024R,CNAG_04024,243
CNAG_04025R,CNAG_04025,249
CNAG_01019R,CNAG_01019,134
CNAG_01803R,CNAG_01803,349
CNAG_07541R,CNAG_07541,242
CNAG_07542R,CNAG_07542,311
CNAG_05915R,CNAG_05915,294
CNAG_00917R,CNAG_00917,1013
CNAG_00919R,CNAG_00919,289
CNAG_05458R,CNAG_05458,365
CNAG_05459R,CNAG_05459,264
CNAG_01985R,CNAG_01985,101
CNAG_00740R,CNAG_00740,190
CNAG_04163R,CNAG_04163,270
CNAG_04162R,CNAG_04162,135
CNAG_04755R,CNAG_04755,3958
CNAG_01777R,CNAG_01777,215
CNAG_04217R,CNAG_04217,2
CNAG_03173R,CNAG_03173,282
CNAG_03172R,CNAG_03172,315
CNAG_07388R,CNAG_07388,244
CNAG_07389R,CNAG_07389,304
CNAG_06060R,CNAG_06060,245
CNAG_00581R,CNAG_00581,156
CNAG_02045R,CNAG_02045,322
CNAG_04950R,CNAG_04950,274
CNAG_04949R,CNAG_04949,269
CNAG_01865R,CNAG_01865,292
CNAG_00717R,CNAG_00717,93
CNAG_06896R,CNAG_06896,433
CNAG_05812R,CNAG_05812,196
CNAG_00079R,CNAG_00079,1
CNAG_06658R,CNAG_06658,205
CNAG_05994R,CNAG_05994,258
CNAG_02517R,CNAG_02517,276
CNAG_03329R,CNAG_03329,199
CNAG_04471R,CNAG_04471,245
CNAG_00699R,CNAG_00699,236
CNAG_02129R,CNAG_02129,321
CNAG_05352R,CNAG_05352,119
CNAG_02293R,CNAG_02293,1
CNAG_07441R,CNAG_07441,1
CNAG_01523R,CNAG_01523,9
CNAG_03946R,CNAG_03946,1
CNAG_07486R,CNAG_07486,254
CNAG_00126R,CNAG_00126,1
CNAG_00710R,CNAG_00710,214
CNAG_00709R,CNAG_00709,312
CNAG_04186R,CNAG_04186,3
CNAG_03689R,CNAG_03689,216
CNAG_01704R,CNAG_01704,256
CNAG_07827R,CNAG_07827,225
CNAG_07516R,CNAG_07516,213
CNAG_00157R,CNAG_00157,207
CNAG_04891R,CNAG_04891,1
CNAG_01776R,CNAG_01776,235
CNAG_07605R,CNAG_07605,203
CNAG_01846R,CNAG_01846,261
CNAG_00799R,CNAG_00799,112
CNAG_04657R,CNAG_04657,292
CNAG_04385R,CNAG_04385,283
CNAG_04386R,CNAG_04386,268
CNAG_07847R,CNAG_07847,257
CNAG_02226R,CNAG_02226,227
CNAG_02225R,CNAG_02225,217
CNAG_04860R,CNAG_04860,160
CNAG_01105R,CNAG_01105,421
CNAG_03524R,CNAG_03524,230
CNAG_03733R,CNAG_03733,287
CNAG_03732R,CNAG_03732,302
CNAG_03247R,CNAG_03247,250
CNAG_03193R,CNAG_03193,213
CNAG_03194R,CNAG_03194,222
CNAG_06574R,CNAG_06574,275
CNAG_04663R,CNAG_04663,203
CNAG_02944R,CNAG_02944,249
CNAG_05872R,CNAG_05872,233
CNAG_02775R,CNAG_02775,28
CNAG_07498R,CNAG_07498,349
CNAG_00475R,CNAG_00475,4588
CNAG_04524R,CNAG_04524,2
CNAG_06501R,CNAG_06501,260
CNAG_06502R,CNAG_06502,296
CNAG_00587R,CNAG_00587,308
CNAG_04691R,CNAG_04691,288
CNAG_05522R,CNAG_05522,284
CNAG_01930R,CNAG_01930,378
CNAG_04983R,CNAG_04983,1
CNAG_03002R,CNAG_03002,292
CNAG_01448R,CNAG_01448,303
CNAG_07685R,CNAG_07685,225
CNAG_03902R,CNAG_03902,60
CNAG_02010R,CNAG_02010,3157
CNAG_05156R,CNAG_05156,1
CNAG_01642R,CNAG_01642,299
CNAG_04705R,CNAG_04705,329
CNAG_01420R,CNAG_01420,524
CNAG_07519R,CNAG_07519,378
CNAG_06240R,CNAG_06240,392
CNAG_00777R,CNAG_00777,247
CNAG_01118R,CNAG_01118,328
CNAG_03867R,CNAG_03867,1
CNAG_03866R,CNAG_03866,298
CNAG_06595R,CNAG_06595,239
CNAG_01524R,CNAG_01524,277
CNAG_04594R,CNAG_04594,253
CNAG_02588R,CNAG_02588,275
CNAG_06905R,CNAG_06905,274
CNAG_06904R,CNAG_06904,238
CNAG_02288R,CNAG_02288,194
CNAG_01970R,CNAG_01970,1
CNAG_01969R,CNAG_01969,1
CNAG_07752R,CNAG_07752,318
CNAG_04587R,CNAG_04587,242
CNAG_02692R,CNAG_02692,225
CNAG_02776R,CNAG_02776,440
CNAG_04885R,CNAG_04885,232
CNAG_06662R,CNAG_06662,257
CNAG_02165R,CNAG_02165,389
CNAG_06092R,CNAG_06092,3
CNAG_02071R,CNAG_02071,278
CNAG_02070R,CNAG_02070,216
CNAG_02684R,CNAG_02684,608
CNAG_02685R,CNAG_02685,1
CNAG_05420R,CNAG_05420,258
CNAG_05939R,CNAG_05939,498
CNAG_05940R,CNAG_05940,1
CNAG_00765R,CNAG_00765,142
CNAG_00745R,CNAG_00745,13
CNAG_00744R,CNAG_00744,293
CNAG_00162R,CNAG_00162,244
CNAG_02658R,CNAG_02658,76
CNAG_06401R,CNAG_06401,2746
CNAG_01960R,CNAG_01960,210
CNAG_01961R,CNAG_01961,721
CNAG_02930R,CNAG_02930,139
CNAG_01239R,CNAG_01239,287
CNAG_00332R,CNAG_00332,257
CNAG_00333R,CNAG_00333,202
CNAG_04801R,CNAG_04801,1
CNAG_05663R,CNAG_05663,36
CNAG_05664R,CNAG_05664,274
CNAG_01574R,CNAG_01574,676
CNAG_01573R,CNAG_01573,72
CNAG_06220R,CNAG_06220,2
CNAG_06963R,CNAG_06963,194
CNAG_03719R,CNAG_03719,235
