Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,287
CNAG_05387R,CNAG_05387,362
CNAG_05638R,CNAG_05638,273
CNAG_05639R,CNAG_05639,174
CNAG_06346R,CNAG_06346,267
CNAG_06347R,CNAG_06347,243
CNAG_06517R,CNAG_06517,339
CNAG_06201R,CNAG_06201,206
CNAG_06104R,CNAG_06104,664
CNAG_07902R,CNAG_07902,270
CNAG_06241R,CNAG_06241,131
CNAG_06242R,CNAG_06242,120
CNAG_07911R,CNAG_07911,344
CNAG_01683R,CNAG_01683,290
CNAG_01902R,CNAG_01902,7
CNAG_01680R,CNAG_01680,240
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,244
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,183
CNAG_01925R,CNAG_01925,250
CNAG_04756R,CNAG_04756,1
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,263
CNAG_04836R,CNAG_04836,235
CNAG_04875R,CNAG_04875,136
CNAG_04868R,CNAG_04868,62
CNAG_04753R,CNAG_04753,2
CNAG_04909R,CNAG_04909,1
CNAG_04518R,CNAG_04518,243
CNAG_04517R,CNAG_04517,204
CNAG_07770R,CNAG_07770,187
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,240
CNAG_07742R,CNAG_07742,440
CNAG_03142R,CNAG_03142,221
CNAG_03566R,CNAG_03566,198
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,187
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,286
CNAG_02189R,CNAG_02189,251
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,242
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,202
CNAG_03669R,CNAG_03669,196
CNAG_07332R,CNAG_07332,161
CNAG_00285R,CNAG_00285,257
CNAG_00830R,CNAG_00830,234
CNAG_00841R,CNAG_00841,280
CNAG_06531R,CNAG_06531,389
CNAG_03279R,CNAG_03279,222
CNAG_03336R,CNAG_03336,350
CNAG_06339R,CNAG_06339,320
CNAG_03768R,CNAG_03768,266
CNAG_04534R,CNAG_04534,235
CNAG_01973R,CNAG_01973,442
CNAG_07867R,CNAG_07867,246
CNAG_05333R,CNAG_05333,300
CNAG_06425R,CNAG_06425,241
CNAG_03849R,CNAG_03849,232
CNAG_02603R,CNAG_02603,245
CNAG_02555R,CNAG_02555,354
CNAG_02525R,CNAG_02525,63
CNAG_03431R,CNAG_03431,151
CNAG_05049R,CNAG_05049,208
CNAG_03914R,CNAG_03914,165
CNAG_02476R,CNAG_02476,214
CNAG_07583R,CNAG_07583,198
CNAG_05112R,CNAG_05112,204
CNAG_03366R,CNAG_03366,354
CNAG_04090R,CNAG_04090,555
CNAG_00791R,CNAG_00791,231
CNAG_05375R,CNAG_05375,4217
CNAG_02516R,CNAG_02516,249
CNAG_04804R,CNAG_04804,33
CNAG_06203R,CNAG_06203,202
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,282
CNAG_03401R,CNAG_03401,208
CNAG_02435R,CNAG_02435,256
CNAG_05153R,CNAG_05153,5
CNAG_01708R,CNAG_01708,96
CNAG_03700R,CNAG_03700,359
CNAG_05215R,CNAG_05215,355
CNAG_01438R,CNAG_01438,94
CNAG_07464R,CNAG_07464,86
CNAG_01858R,CNAG_01858,393
CNAG_04586R,CNAG_04586,291
CNAG_05176R,CNAG_05176,221
CNAG_01014R,CNAG_01014,128
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,229
CNAG_06327R,CNAG_06327,82
CNAG_03788R,CNAG_03788,325
CNAG_00871R,CNAG_00871,309
CNAG_00559R,CNAG_00559,3613
CNAG_07370R,CNAG_07370,286
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,279
CNAG_01645R,CNAG_01645,606
CNAG_01242R,CNAG_01242,166
CNAG_02788R,CNAG_02788,43
CNAG_07435R,CNAG_07435,18
CNAG_07924R,CNAG_07924,425
CNAG_01071R,CNAG_01071,232
CNAG_00883R,CNAG_00883,234
CNAG_03741R,CNAG_03741,249
CNAG_03745R,CNAG_03745,308
CNAG_00192R,CNAG_00192,301
CNAG_00670R,CNAG_00670,309
CNAG_06871R,CNAG_06871,289
CNAG_04457R,CNAG_04457,291
CNAG_04588R,CNAG_04588,127
CNAG_03894R,CNAG_03894,274
CNAG_04012R,CNAG_04012,300
CNAG_01487R,CNAG_01487,262
CNAG_05170R,CNAG_05170,255
CNAG_04041R,CNAG_04041,1
CNAG_02364R,CNAG_02364,290
CNAG_04093R,CNAG_04093,273
CNAG_02322R,CNAG_02322,249
CNAG_05255R,CNAG_05255,280
CNAG_03018R,CNAG_03018,254
CNAG_07901R,CNAG_07901,276
CNAG_03086R,CNAG_03086,254
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,487
CNAG_06136R,CNAG_06136,247
CNAG_03177R,CNAG_03177,306
CNAG_03183R,CNAG_03183,189
CNAG_04774R,CNAG_04774,303
CNAG_04768R,CNAG_04768,273
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,218
CNAG_05222R,CNAG_05222,70
CNAG_03409R,CNAG_03409,407
CNAG_05622R,CNAG_05622,299
CNAG_04637R,CNAG_04637,215
CNAG_07680R,CNAG_07680,40
CNAG_02215R,CNAG_02215,9
CNAG_02387R,CNAG_02387,345
CNAG_04086R,CNAG_04086,334
CNAG_05697R,CNAG_05697,347
CNAG_04507R,CNAG_04507,204
CNAG_04506R,CNAG_04506,229
CNAG_00068R,CNAG_00068,394
CNAG_00733R,CNAG_00733,321
CNAG_03910R,CNAG_03910,297
CNAG_04059R,CNAG_04059,278
CNAG_07491R,CNAG_07491,256
CNAG_05181R,CNAG_05181,287
CNAG_03772R,CNAG_03772,239
CNAG_00445R,CNAG_00445,487
CNAG_01901R,CNAG_01901,346
CNAG_05313R,CNAG_05313,552
CNAG_05312R,CNAG_05312,249
CNAG_00337R,CNAG_00337,1
CNAG_06200R,CNAG_06200,1
CNAG_02682R,CNAG_02682,1
CNAG_00442R,CNAG_00442,357
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,296
CNAG_01230R,CNAG_01230,195
CNAG_00547R,CNAG_00547,152
CNAG_00598R,CNAG_00598,279
CNAG_05229R,CNAG_05229,1
CNAG_00597R,CNAG_00597,2
CNAG_02797R,CNAG_02797,1
CNAG_02219R,CNAG_02219,360
CNAG_03013R,CNAG_03013,53
CNAG_07540R,CNAG_07540,470
CNAG_04980R,CNAG_04980,22
CNAG_00456R,CNAG_00456,276
CNAG_00455R,CNAG_00455,255
CNAG_00107R,CNAG_00107,232
CNAG_01061R,CNAG_01061,281
CNAG_03848R,CNAG_03848,1
CNAG_01013R,CNAG_01013,42
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,250
CNAG_00164R,CNAG_00164,245
CNAG_03677R,CNAG_03677,265
CNAG_03841R,CNAG_03841,1
CNAG_05077R,CNAG_05077,320
CNAG_05148R,CNAG_05148,1
CNAG_00776R,CNAG_00776,26
CNAG_04024R,CNAG_04024,324
CNAG_04025R,CNAG_04025,313
CNAG_01019R,CNAG_01019,10
CNAG_01803R,CNAG_01803,323
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,187
CNAG_07542R,CNAG_07542,258
CNAG_05915R,CNAG_05915,245
CNAG_00917R,CNAG_00917,1008
CNAG_00919R,CNAG_00919,289
CNAG_05458R,CNAG_05458,332
CNAG_05459R,CNAG_05459,293
CNAG_01985R,CNAG_01985,166
CNAG_00740R,CNAG_00740,161
CNAG_04163R,CNAG_04163,246
CNAG_04162R,CNAG_04162,101
CNAG_04755R,CNAG_04755,299
CNAG_01777R,CNAG_01777,214
CNAG_03173R,CNAG_03173,278
CNAG_03172R,CNAG_03172,332
CNAG_07388R,CNAG_07388,224
CNAG_07389R,CNAG_07389,267
CNAG_06060R,CNAG_06060,186
CNAG_00581R,CNAG_00581,186
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,346
CNAG_04950R,CNAG_04950,233
CNAG_04949R,CNAG_04949,259
CNAG_01865R,CNAG_01865,270
CNAG_00717R,CNAG_00717,100
CNAG_06896R,CNAG_06896,153
CNAG_05812R,CNAG_05812,192
CNAG_06657R,CNAG_06657,1
CNAG_06658R,CNAG_06658,202
CNAG_05994R,CNAG_05994,256
CNAG_02517R,CNAG_02517,265
CNAG_03329R,CNAG_03329,297
CNAG_04471R,CNAG_04471,314
CNAG_00699R,CNAG_00699,243
CNAG_02129R,CNAG_02129,335
CNAG_05352R,CNAG_05352,153
CNAG_02293R,CNAG_02293,8
CNAG_05415R,CNAG_05415,1
CNAG_03946R,CNAG_03946,1
CNAG_07486R,CNAG_07486,227
CNAG_07313R,CNAG_07313,1
CNAG_00710R,CNAG_00710,166
CNAG_00709R,CNAG_00709,297
CNAG_03689R,CNAG_03689,194
CNAG_01704R,CNAG_01704,273
CNAG_07827R,CNAG_07827,251
CNAG_07516R,CNAG_07516,185
CNAG_00157R,CNAG_00157,196
CNAG_01776R,CNAG_01776,259
CNAG_07605R,CNAG_07605,158
CNAG_01846R,CNAG_01846,229
CNAG_00799R,CNAG_00799,142
CNAG_04657R,CNAG_04657,276
CNAG_04385R,CNAG_04385,301
CNAG_04386R,CNAG_04386,277
CNAG_07847R,CNAG_07847,210
CNAG_02226R,CNAG_02226,233
CNAG_02225R,CNAG_02225,259
CNAG_04860R,CNAG_04860,222
CNAG_01105R,CNAG_01105,283
CNAG_03524R,CNAG_03524,210
CNAG_03733R,CNAG_03733,316
CNAG_03732R,CNAG_03732,353
CNAG_03247R,CNAG_03247,235
CNAG_03193R,CNAG_03193,244
CNAG_03194R,CNAG_03194,223
CNAG_06574R,CNAG_06574,215
CNAG_04663R,CNAG_04663,199
CNAG_02944R,CNAG_02944,223
CNAG_05872R,CNAG_05872,202
CNAG_02775R,CNAG_02775,6
CNAG_07498R,CNAG_07498,314
CNAG_00475R,CNAG_00475,4602
CNAG_06501R,CNAG_06501,203
CNAG_06502R,CNAG_06502,228
CNAG_00587R,CNAG_00587,346
CNAG_04691R,CNAG_04691,294
CNAG_01062R,CNAG_01062,1
CNAG_05522R,CNAG_05522,311
CNAG_01930R,CNAG_01930,269
CNAG_03002R,CNAG_03002,309
CNAG_01448R,CNAG_01448,202
CNAG_07685R,CNAG_07685,204
CNAG_03902R,CNAG_03902,79
CNAG_02010R,CNAG_02010,2747
CNAG_01642R,CNAG_01642,355
CNAG_05727R,CNAG_05727,1
CNAG_03857R,CNAG_03857,1
CNAG_04705R,CNAG_04705,328
CNAG_01420R,CNAG_01420,274
CNAG_07519R,CNAG_07519,381
CNAG_06240R,CNAG_06240,357
CNAG_00777R,CNAG_00777,416
CNAG_01118R,CNAG_01118,349
CNAG_03867R,CNAG_03867,1
CNAG_03866R,CNAG_03866,278
CNAG_06595R,CNAG_06595,222
CNAG_03168R,CNAG_03168,1
CNAG_01524R,CNAG_01524,312
CNAG_04594R,CNAG_04594,288
CNAG_02588R,CNAG_02588,271
CNAG_06905R,CNAG_06905,342
CNAG_06904R,CNAG_06904,203
CNAG_02288R,CNAG_02288,204
CNAG_07729R,CNAG_07729,4
CNAG_03408R,CNAG_03408,1
CNAG_07752R,CNAG_07752,261
CNAG_04587R,CNAG_04587,271
CNAG_02691R,CNAG_02691,2
CNAG_02692R,CNAG_02692,224
CNAG_02776R,CNAG_02776,407
CNAG_04885R,CNAG_04885,223
CNAG_06662R,CNAG_06662,231
CNAG_02165R,CNAG_02165,255
CNAG_02071R,CNAG_02071,329
CNAG_02070R,CNAG_02070,236
CNAG_02684R,CNAG_02684,340
CNAG_05420R,CNAG_05420,113
CNAG_05939R,CNAG_05939,528
CNAG_00765R,CNAG_00765,201
CNAG_00745R,CNAG_00745,27
