Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,131
CNAG_05515L,CNAG_05515,299
CNAG_05641L,CNAG_05641,335
CNAG_05387L,CNAG_05387,375
CNAG_05590L,CNAG_05590,305
CNAG_07869L,CNAG_07869,377
CNAG_05340L,CNAG_05340,232
CNAG_05638L,CNAG_05638,336
CNAG_05639L,CNAG_05639,200
CNAG_06346L,CNAG_06346,313
CNAG_06347L,CNAG_06347,302
CNAG_06517L,CNAG_06517,379
CNAG_07939L,CNAG_07939,280
CNAG_06493L,CNAG_06493,264
CNAG_06201L,CNAG_06201,297
CNAG_06104L,CNAG_06104,880
CNAG_06081L,CNAG_06081,369
CNAG_07902L,CNAG_07902,284
CNAG_06241L,CNAG_06241,125
CNAG_06242L,CNAG_06242,121
CNAG_06186L,CNAG_06186,394
CNAG_07911L,CNAG_07911,380
CNAG_01551L,CNAG_01551,489
CNAG_01683L,CNAG_01683,251
CNAG_01983L,CNAG_01983,290
CNAG_01902L,CNAG_01902,6
CNAG_01680L,CNAG_01680,283
CNAG_01621L,CNAG_01621,242
CNAG_01988L,CNAG_01988,270
CNAG_01989L,CNAG_01989,268
CNAG_01939L,CNAG_01939,342
CNAG_01993L,CNAG_01993,222
CNAG_01992L,CNAG_01992,273
CNAG_01965L,CNAG_01965,260
CNAG_01562L,CNAG_01562,264
CNAG_01925L,CNAG_01925,279
CNAG_04756L,CNAG_04756,356
CNAG_04807L,CNAG_04807,368
CNAG_04837L,CNAG_04837,290
CNAG_04836L,CNAG_04836,305
CNAG_04737L,CNAG_04737,401
CNAG_04875L,CNAG_04875,122
CNAG_04874L,CNAG_04874,737
CNAG_04868L,CNAG_04868,69
CNAG_04752L,CNAG_04752,196
CNAG_04753L,CNAG_04753,2069
CNAG_04909L,CNAG_04909,271
CNAG_04908L,CNAG_04908,423
CNAG_04659L,CNAG_04659,283
CNAG_04623L,CNAG_04623,278
CNAG_04518L,CNAG_04518,322
CNAG_04517L,CNAG_04517,284
CNAG_07770L,CNAG_07770,238
CNAG_04436L,CNAG_04436,235
CNAG_04271L,CNAG_04271,222
CNAG_04270L,CNAG_04270,344
CNAG_03346L,CNAG_03346,330
CNAG_03433L,CNAG_03433,318
CNAG_03333L,CNAG_03333,280
CNAG_07742L,CNAG_07742,981
CNAG_03438L,CNAG_03438,275
CNAG_03223L,CNAG_03223,259
CNAG_03142L,CNAG_03142,269
CNAG_03143L,CNAG_03143,244
CNAG_03545L,CNAG_03545,377
CNAG_03161L,CNAG_03161,116
CNAG_03566L,CNAG_03566,239
CNAG_05835L,CNAG_05835,782
CNAG_05864L,CNAG_05864,218
CNAG_06567L,CNAG_06567,319
CNAG_05742L,CNAG_05742,34
CNAG_05743L,CNAG_05743,165
CNAG_05867L,CNAG_05867,253
CNAG_05685L,CNAG_05685,786
CNAG_05684L,CNAG_05684,362
CNAG_05785L,CNAG_05785,318
CNAG_05843L,CNAG_05843,63
CNAG_06554L,CNAG_06554,296
CNAG_02189L,CNAG_02189,263
CNAG_02188L,CNAG_02188,330
CNAG_02182L,CNAG_02182,279
CNAG_07631L,CNAG_07631,379
CNAG_02371L,CNAG_02371,260
CNAG_07633L,CNAG_07633,175
CNAG_01069L,CNAG_01069,276
CNAG_00896L,CNAG_00896,1005
CNAG_06719L,CNAG_06719,126
CNAG_03669L,CNAG_03669,250
CNAG_00031L,CNAG_00031,237
CNAG_07332L,CNAG_07332,211
CNAG_00285L,CNAG_00285,315
CNAG_00828L,CNAG_00828,365
CNAG_00830L,CNAG_00830,217
CNAG_00841L,CNAG_00841,253
CNAG_02774L,CNAG_02774,309
CNAG_06531L,CNAG_06531,514
CNAG_03279L,CNAG_03279,312
CNAG_03336L,CNAG_03336,442
CNAG_06339L,CNAG_06339,350
CNAG_03768L,CNAG_03768,351
CNAG_04534L,CNAG_04534,268
CNAG_01973L,CNAG_01973,13
CNAG_07867L,CNAG_07867,226
CNAG_05333L,CNAG_05333,330
CNAG_06425L,CNAG_06425,257
CNAG_03849L,CNAG_03849,668
CNAG_02603L,CNAG_02603,322
CNAG_02555L,CNAG_02555,330
CNAG_03431L,CNAG_03431,164
CNAG_05049L,CNAG_05049,215
CNAG_05380L,CNAG_05380,322
CNAG_03914L,CNAG_03914,248
CNAG_02476L,CNAG_02476,278
CNAG_07583L,CNAG_07583,277
CNAG_02466L,CNAG_02466,282
CNAG_05112L,CNAG_05112,277
CNAG_03366L,CNAG_03366,355
CNAG_03977L,CNAG_03977,201
CNAG_04090L,CNAG_04090,664
CNAG_00791L,CNAG_00791,207
CNAG_06751L,CNAG_06751,175
CNAG_05375L,CNAG_05375,4410
CNAG_02516L,CNAG_02516,359
CNAG_04804L,CNAG_04804,27
CNAG_00627L,CNAG_00627,302
CNAG_07725L,CNAG_07725,415
CNAG_06203L,CNAG_06203,315
CNAG_00514L,CNAG_00514,7
CNAG_01883L,CNAG_01883,296
CNAG_03401L,CNAG_03401,243
CNAG_02435L,CNAG_02435,305
CNAG_05153L,CNAG_05153,25
CNAG_01708L,CNAG_01708,164
CNAG_03700L,CNAG_03700,454
CNAG_07320L,CNAG_07320,111
CNAG_05215L,CNAG_05215,441
CNAG_01438L,CNAG_01438,136
CNAG_07464L,CNAG_07464,115
CNAG_01858L,CNAG_01858,403
CNAG_04586L,CNAG_04586,309
CNAG_05093L,CNAG_05093,339
CNAG_05176L,CNAG_05176,248
CNAG_01014L,CNAG_01014,203
CNAG_00998L,CNAG_00998,292
CNAG_00039L,CNAG_00039,366
CNAG_07329L,CNAG_07329,15
CNAG_01454L,CNAG_01454,248
CNAG_02700L,CNAG_02700,15
CNAG_06327L,CNAG_06327,91
CNAG_03788L,CNAG_03788,363
CNAG_00871L,CNAG_00871,287
CNAG_00559L,CNAG_00559,4204
CNAG_07370L,CNAG_07370,388
CNAG_00732L,CNAG_00732,231
CNAG_04630L,CNAG_04630,327
CNAG_07940L,CNAG_07940,371
CNAG_02589L,CNAG_02589,320
CNAG_05067L,CNAG_05067,311
CNAG_01645L,CNAG_01645,832
CNAG_06134L,CNAG_06134,122
CNAG_01242L,CNAG_01242,192
CNAG_02788L,CNAG_02788,56
CNAG_07435L,CNAG_07435,13
CNAG_03998L,CNAG_03998,177
CNAG_07924L,CNAG_07924,589
CNAG_01071L,CNAG_01071,225
CNAG_00883L,CNAG_00883,300
CNAG_03741L,CNAG_03741,277
CNAG_03745L,CNAG_03745,363
CNAG_00192L,CNAG_00192,328
CNAG_00670L,CNAG_00670,306
CNAG_06871L,CNAG_06871,321
CNAG_04457L,CNAG_04457,300
CNAG_02723L,CNAG_02723,302
CNAG_04588L,CNAG_04588,154
CNAG_01977L,CNAG_01977,233
CNAG_03894L,CNAG_03894,334
CNAG_04012L,CNAG_04012,320
CNAG_03561L,CNAG_03561,339
CNAG_05170L,CNAG_05170,200
CNAG_04041L,CNAG_04041,61
CNAG_02364L,CNAG_02364,379
CNAG_04093L,CNAG_04093,302
