Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,334
CNAG_05387R,CNAG_05387,334
CNAG_05638R,CNAG_05638,233
CNAG_05639R,CNAG_05639,207
CNAG_06346R,CNAG_06346,279
CNAG_06347R,CNAG_06347,245
CNAG_06517R,CNAG_06517,335
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,181
CNAG_06104R,CNAG_06104,592
CNAG_07902R,CNAG_07902,282
CNAG_06241R,CNAG_06241,147
CNAG_06242R,CNAG_06242,185
CNAG_07911R,CNAG_07911,262
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,263
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,5
CNAG_01680R,CNAG_01680,292
CNAG_01989R,CNAG_01989,191
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,179
CNAG_01925R,CNAG_01925,259
CNAG_04837R,CNAG_04837,253
CNAG_04836R,CNAG_04836,279
CNAG_04737R,CNAG_04737,2
CNAG_04875R,CNAG_04875,206
CNAG_04868R,CNAG_04868,85
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,199
CNAG_04517R,CNAG_04517,247
CNAG_07770R,CNAG_07770,235
CNAG_03333R,CNAG_03333,317
CNAG_07742R,CNAG_07742,502
CNAG_03142R,CNAG_03142,205
CNAG_03566R,CNAG_03566,264
CNAG_06567R,CNAG_06567,1
CNAG_05742R,CNAG_05742,1
CNAG_05743R,CNAG_05743,2
CNAG_05867R,CNAG_05867,221
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,266
CNAG_05843R,CNAG_05843,2
CNAG_02189R,CNAG_02189,337
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,250
CNAG_06719R,CNAG_06719,211
CNAG_03669R,CNAG_03669,245
CNAG_07332R,CNAG_07332,193
CNAG_00285R,CNAG_00285,253
CNAG_00830R,CNAG_00830,281
CNAG_00841R,CNAG_00841,258
CNAG_06531R,CNAG_06531,430
CNAG_03279R,CNAG_03279,272
CNAG_03336R,CNAG_03336,334
CNAG_06339R,CNAG_06339,343
CNAG_03768R,CNAG_03768,287
CNAG_04534R,CNAG_04534,247
CNAG_01973R,CNAG_01973,235
CNAG_07867R,CNAG_07867,273
CNAG_05333R,CNAG_05333,292
CNAG_06425R,CNAG_06425,209
CNAG_03849R,CNAG_03849,285
CNAG_02603R,CNAG_02603,199
CNAG_02555R,CNAG_02555,338
CNAG_02525R,CNAG_02525,50
CNAG_03431R,CNAG_03431,229
CNAG_05049R,CNAG_05049,218
CNAG_03914R,CNAG_03914,273
CNAG_02476R,CNAG_02476,224
CNAG_07583R,CNAG_07583,220
CNAG_05112R,CNAG_05112,226
CNAG_03366R,CNAG_03366,326
CNAG_04090R,CNAG_04090,483
CNAG_00791R,CNAG_00791,206
CNAG_05375R,CNAG_05375,3949
CNAG_02516R,CNAG_02516,226
CNAG_04804R,CNAG_04804,208
CNAG_06203R,CNAG_06203,278
CNAG_01883R,CNAG_01883,513
CNAG_03401R,CNAG_03401,274
CNAG_02435R,CNAG_02435,244
CNAG_05153R,CNAG_05153,7
CNAG_01708R,CNAG_01708,224
CNAG_03700R,CNAG_03700,279
CNAG_05215R,CNAG_05215,225
CNAG_01438R,CNAG_01438,162
CNAG_07464R,CNAG_07464,220
CNAG_01858R,CNAG_01858,406
CNAG_04586R,CNAG_04586,202
CNAG_05176R,CNAG_05176,223
CNAG_01014R,CNAG_01014,166
CNAG_01454R,CNAG_01454,306
CNAG_06327R,CNAG_06327,56
CNAG_03788R,CNAG_03788,247
CNAG_00871R,CNAG_00871,248
CNAG_00559R,CNAG_00559,7169
CNAG_07370R,CNAG_07370,293
CNAG_00732R,CNAG_00732,1
CNAG_02589R,CNAG_02589,254
CNAG_01645R,CNAG_01645,607
CNAG_01242R,CNAG_01242,188
CNAG_02788R,CNAG_02788,19
CNAG_07435R,CNAG_07435,8
CNAG_07924R,CNAG_07924,250
CNAG_01071R,CNAG_01071,206
CNAG_00883R,CNAG_00883,237
CNAG_03741R,CNAG_03741,229
CNAG_03745R,CNAG_03745,319
CNAG_00192R,CNAG_00192,257
CNAG_00670R,CNAG_00670,256
CNAG_06871R,CNAG_06871,346
CNAG_04457R,CNAG_04457,268
CNAG_04588R,CNAG_04588,82
CNAG_03894R,CNAG_03894,312
CNAG_04012R,CNAG_04012,249
CNAG_01487R,CNAG_01487,287
CNAG_05170R,CNAG_05170,312
CNAG_02364R,CNAG_02364,312
CNAG_04093R,CNAG_04093,296
CNAG_02322R,CNAG_02322,208
CNAG_05255R,CNAG_05255,299
CNAG_03018R,CNAG_03018,266
CNAG_07901R,CNAG_07901,221
CNAG_03086R,CNAG_03086,251
CNAG_04916R,CNAG_04916,2
CNAG_06097R,CNAG_06097,222
CNAG_06136R,CNAG_06136,315
CNAG_03177R,CNAG_03177,316
CNAG_03183R,CNAG_03183,120
CNAG_04774R,CNAG_04774,327
CNAG_04768R,CNAG_04768,281
CNAG_06276R,CNAG_06276,224
CNAG_05222R,CNAG_05222,91
CNAG_03409R,CNAG_03409,168
CNAG_05622R,CNAG_05622,287
