Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,525
CNAG_05387R,CNAG_05387,303
CNAG_05638R,CNAG_05638,310
CNAG_05639R,CNAG_05639,187
CNAG_06346R,CNAG_06346,343
CNAG_06347R,CNAG_06347,215
CNAG_06517R,CNAG_06517,353
CNAG_06201R,CNAG_06201,296
CNAG_06104R,CNAG_06104,286
CNAG_07902R,CNAG_07902,302
CNAG_06241R,CNAG_06241,190
CNAG_06242R,CNAG_06242,258
CNAG_07911R,CNAG_07911,244
CNAG_01683R,CNAG_01683,313
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,247
CNAG_01989R,CNAG_01989,206
CNAG_01965R,CNAG_01965,268
CNAG_01925R,CNAG_01925,256
CNAG_04837R,CNAG_04837,516
CNAG_04836R,CNAG_04836,285
CNAG_04875R,CNAG_04875,364
CNAG_04868R,CNAG_04868,119
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,2
CNAG_04908R,CNAG_04908,2
CNAG_04518R,CNAG_04518,209
CNAG_04517R,CNAG_04517,297
CNAG_07770R,CNAG_07770,322
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,461
CNAG_07742R,CNAG_07742,602
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,200
CNAG_03566R,CNAG_03566,211
CNAG_05867R,CNAG_05867,99
CNAG_05684R,CNAG_05684,277
CNAG_05785R,CNAG_05785,1
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,306
CNAG_02371R,CNAG_02371,304
CNAG_01069R,CNAG_01069,1
CNAG_06719R,CNAG_06719,182
CNAG_03669R,CNAG_03669,301
CNAG_07332R,CNAG_07332,141
CNAG_00285R,CNAG_00285,398
CNAG_00830R,CNAG_00830,251
CNAG_00841R,CNAG_00841,324
CNAG_06531R,CNAG_06531,468
CNAG_03279R,CNAG_03279,363
CNAG_03336R,CNAG_03336,337
CNAG_06339R,CNAG_06339,423
CNAG_03768R,CNAG_03768,287
CNAG_04534R,CNAG_04534,255
CNAG_01973R,CNAG_01973,180
CNAG_07867R,CNAG_07867,230
CNAG_05333R,CNAG_05333,336
CNAG_06425R,CNAG_06425,279
CNAG_03849R,CNAG_03849,339
CNAG_02603R,CNAG_02603,236
CNAG_02555R,CNAG_02555,288
CNAG_02525R,CNAG_02525,31
CNAG_03431R,CNAG_03431,147
CNAG_05049R,CNAG_05049,274
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,356
CNAG_02476R,CNAG_02476,220
CNAG_07583R,CNAG_07583,264
CNAG_05112R,CNAG_05112,254
CNAG_03366R,CNAG_03366,318
CNAG_04090R,CNAG_04090,854
CNAG_00791R,CNAG_00791,324
CNAG_05375R,CNAG_05375,2714
CNAG_02516R,CNAG_02516,287
CNAG_04804R,CNAG_04804,2245
CNAG_06203R,CNAG_06203,403
CNAG_00193R,CNAG_00193,2
CNAG_01883R,CNAG_01883,216
CNAG_03401R,CNAG_03401,235
CNAG_02435R,CNAG_02435,268
CNAG_05153R,CNAG_05153,24
CNAG_01708R,CNAG_01708,173
CNAG_03700R,CNAG_03700,300
CNAG_05215R,CNAG_05215,230
CNAG_01438R,CNAG_01438,189
CNAG_07464R,CNAG_07464,124
CNAG_01858R,CNAG_01858,299
CNAG_04586R,CNAG_04586,120
CNAG_05176R,CNAG_05176,391
CNAG_01014R,CNAG_01014,174
CNAG_01454R,CNAG_01454,286
CNAG_06327R,CNAG_06327,153
CNAG_03788R,CNAG_03788,278
CNAG_00871R,CNAG_00871,294
CNAG_00559R,CNAG_00559,7939
CNAG_07370R,CNAG_07370,368
CNAG_00732R,CNAG_00732,1
CNAG_02589R,CNAG_02589,296
CNAG_01645R,CNAG_01645,753
CNAG_01242R,CNAG_01242,185
CNAG_02788R,CNAG_02788,18
CNAG_07435R,CNAG_07435,19
CNAG_07924R,CNAG_07924,184
CNAG_01071R,CNAG_01071,208
CNAG_00883R,CNAG_00883,327
CNAG_03741R,CNAG_03741,232
CNAG_03745R,CNAG_03745,280
CNAG_00192R,CNAG_00192,348
CNAG_00670R,CNAG_00670,288
CNAG_06871R,CNAG_06871,293
CNAG_04457R,CNAG_04457,304
CNAG_04588R,CNAG_04588,117
CNAG_03894R,CNAG_03894,415
CNAG_04012R,CNAG_04012,298
CNAG_01487R,CNAG_01487,311
CNAG_05170R,CNAG_05170,530
CNAG_02364R,CNAG_02364,291
CNAG_04093R,CNAG_04093,274
CNAG_02322R,CNAG_02322,344
CNAG_05255R,CNAG_05255,362
CNAG_03018R,CNAG_03018,96
CNAG_07901R,CNAG_07901,236
CNAG_03086R,CNAG_03086,286
CNAG_06097R,CNAG_06097,322
CNAG_06136R,CNAG_06136,434
CNAG_03177R,CNAG_03177,324
CNAG_03183R,CNAG_03183,222
CNAG_02877R,CNAG_02877,1
CNAG_04774R,CNAG_04774,295
CNAG_04768R,CNAG_04768,613
CNAG_06276R,CNAG_06276,310
CNAG_05222R,CNAG_05222,23
CNAG_03409R,CNAG_03409,79
CNAG_05622R,CNAG_05622,308
CNAG_04637R,CNAG_04637,195
CNAG_07680R,CNAG_07680,25
CNAG_02215R,CNAG_02215,18
CNAG_02387R,CNAG_02387,379
CNAG_04086R,CNAG_04086,318
CNAG_05697R,CNAG_05697,461
CNAG_04507R,CNAG_04507,271
CNAG_04506R,CNAG_04506,269
CNAG_00068R,CNAG_00068,306
CNAG_00733R,CNAG_00733,238
CNAG_03910R,CNAG_03910,318
CNAG_04059R,CNAG_04059,252
CNAG_07491R,CNAG_07491,363
CNAG_05181R,CNAG_05181,215
CNAG_03915R,CNAG_03915,1
CNAG_03772R,CNAG_03772,158
CNAG_00445R,CNAG_00445,1371
CNAG_01901R,CNAG_01901,392
CNAG_05313R,CNAG_05313,409
CNAG_05312R,CNAG_05312,326
CNAG_00442R,CNAG_00442,255
CNAG_01277R,CNAG_01277,325
CNAG_07512R,CNAG_07512,2
CNAG_01230R,CNAG_01230,454
CNAG_05264R,CNAG_05264,1
CNAG_01681R,CNAG_01681,1
CNAG_00547R,CNAG_00547,335
CNAG_00598R,CNAG_00598,314
CNAG_02219R,CNAG_02219,344
CNAG_03013R,CNAG_03013,79
CNAG_07540R,CNAG_07540,376
CNAG_04980R,CNAG_04980,24
CNAG_00456R,CNAG_00456,252
CNAG_00455R,CNAG_00455,289
CNAG_00107R,CNAG_00107,242
CNAG_01061R,CNAG_01061,299
CNAG_01013R,CNAG_01013,148
CNAG_07523R,CNAG_07523,1
CNAG_05080R,CNAG_05080,338
CNAG_00164R,CNAG_00164,229
CNAG_03677R,CNAG_03677,283
CNAG_06761R,CNAG_06761,2
CNAG_05077R,CNAG_05077,346
CNAG_00776R,CNAG_00776,50
CNAG_04024R,CNAG_04024,411
CNAG_04025R,CNAG_04025,312
CNAG_02348R,CNAG_02348,1
CNAG_01019R,CNAG_01019,112
CNAG_01803R,CNAG_01803,357
CNAG_07541R,CNAG_07541,220
CNAG_07542R,CNAG_07542,302
CNAG_00363R,CNAG_00363,1
CNAG_05915R,CNAG_05915,293
CNAG_00917R,CNAG_00917,1115
CNAG_00919R,CNAG_00919,340
CNAG_05458R,CNAG_05458,358
CNAG_05459R,CNAG_05459,499
CNAG_01985R,CNAG_01985,145
CNAG_00740R,CNAG_00740,81
CNAG_04163R,CNAG_04163,247
CNAG_04162R,CNAG_04162,123
CNAG_04755R,CNAG_04755,1562
CNAG_01777R,CNAG_01777,241
CNAG_05888R,CNAG_05888,1
CNAG_03173R,CNAG_03173,273
CNAG_03172R,CNAG_03172,369
CNAG_07388R,CNAG_07388,321
CNAG_07389R,CNAG_07389,327
CNAG_06060R,CNAG_06060,196
CNAG_00581R,CNAG_00581,186
CNAG_02044R,CNAG_02044,2
CNAG_02045R,CNAG_02045,376
CNAG_04950R,CNAG_04950,263
CNAG_04949R,CNAG_04949,341
CNAG_01865R,CNAG_01865,264
CNAG_00717R,CNAG_00717,173
CNAG_06896R,CNAG_06896,168
CNAG_05812R,CNAG_05812,292
CNAG_06658R,CNAG_06658,269
CNAG_05994R,CNAG_05994,231
CNAG_02517R,CNAG_02517,356
CNAG_02040R,CNAG_02040,1
CNAG_03329R,CNAG_03329,250
CNAG_04471R,CNAG_04471,343
CNAG_01919R,CNAG_01919,1
CNAG_00699R,CNAG_00699,257
CNAG_02129R,CNAG_02129,319
CNAG_05352R,CNAG_05352,198
CNAG_02293R,CNAG_02293,1
CNAG_07441R,CNAG_07441,1
CNAG_01523R,CNAG_01523,1
