Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,465
CNAG_05387R,CNAG_05387,537
CNAG_05638R,CNAG_05638,332
CNAG_05639R,CNAG_05639,226
CNAG_06346R,CNAG_06346,347
CNAG_06347R,CNAG_06347,341
CNAG_06517R,CNAG_06517,452
CNAG_06201R,CNAG_06201,339
CNAG_06104R,CNAG_06104,314
CNAG_07902R,CNAG_07902,318
CNAG_06241R,CNAG_06241,203
CNAG_06242R,CNAG_06242,263
CNAG_07911R,CNAG_07911,277
CNAG_01683R,CNAG_01683,337
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,280
CNAG_01989R,CNAG_01989,222
CNAG_01965R,CNAG_01965,321
CNAG_01925R,CNAG_01925,303
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,267
CNAG_04836R,CNAG_04836,318
CNAG_04875R,CNAG_04875,280
CNAG_04868R,CNAG_04868,110
CNAG_04753R,CNAG_04753,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,258
CNAG_04517R,CNAG_04517,385
CNAG_07770R,CNAG_07770,314
CNAG_03333R,CNAG_03333,469
CNAG_07742R,CNAG_07742,686
CNAG_03142R,CNAG_03142,241
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,236
CNAG_05867R,CNAG_05867,214
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,185
CNAG_02189R,CNAG_02189,414
CNAG_02371R,CNAG_02371,280
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,251
CNAG_03669R,CNAG_03669,329
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,208
CNAG_00285R,CNAG_00285,340
CNAG_00830R,CNAG_00830,303
CNAG_00841R,CNAG_00841,335
CNAG_06531R,CNAG_06531,734
CNAG_03279R,CNAG_03279,364
CNAG_03336R,CNAG_03336,435
CNAG_06339R,CNAG_06339,452
CNAG_03768R,CNAG_03768,408
CNAG_04534R,CNAG_04534,346
CNAG_01973R,CNAG_01973,263
CNAG_07867R,CNAG_07867,304
CNAG_05333R,CNAG_05333,382
CNAG_06425R,CNAG_06425,342
CNAG_03849R,CNAG_03849,392
CNAG_02603R,CNAG_02603,292
CNAG_02555R,CNAG_02555,410
CNAG_02525R,CNAG_02525,25
CNAG_03431R,CNAG_03431,287
CNAG_05049R,CNAG_05049,250
CNAG_03914R,CNAG_03914,347
CNAG_02476R,CNAG_02476,272
CNAG_07583R,CNAG_07583,344
CNAG_05112R,CNAG_05112,301
CNAG_03366R,CNAG_03366,406
CNAG_04090R,CNAG_04090,609
CNAG_00791R,CNAG_00791,303
CNAG_05375R,CNAG_05375,4999
CNAG_02516R,CNAG_02516,285
CNAG_04804R,CNAG_04804,135
CNAG_06203R,CNAG_06203,269
CNAG_00193R,CNAG_00193,3
CNAG_01883R,CNAG_01883,532
CNAG_03401R,CNAG_03401,365
CNAG_02435R,CNAG_02435,358
CNAG_05153R,CNAG_05153,13
CNAG_01708R,CNAG_01708,233
CNAG_03700R,CNAG_03700,367
CNAG_05215R,CNAG_05215,289
CNAG_01438R,CNAG_01438,249
CNAG_07464R,CNAG_07464,241
CNAG_01858R,CNAG_01858,447
CNAG_04586R,CNAG_04586,574
CNAG_05176R,CNAG_05176,333
CNAG_01014R,CNAG_01014,249
CNAG_01454R,CNAG_01454,387
CNAG_06327R,CNAG_06327,168
CNAG_03788R,CNAG_03788,315
CNAG_00871R,CNAG_00871,401
CNAG_00559R,CNAG_00559,8097
CNAG_07370R,CNAG_07370,459
CNAG_00732R,CNAG_00732,1
CNAG_02589R,CNAG_02589,351
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,818
CNAG_06134R,CNAG_06134,3
CNAG_01242R,CNAG_01242,175
CNAG_02788R,CNAG_02788,3
CNAG_07435R,CNAG_07435,1
CNAG_07924R,CNAG_07924,550
CNAG_01071R,CNAG_01071,232
CNAG_00883R,CNAG_00883,321
CNAG_03741R,CNAG_03741,281
CNAG_03745R,CNAG_03745,355
CNAG_00192R,CNAG_00192,333
CNAG_00670R,CNAG_00670,386
CNAG_06871R,CNAG_06871,344
CNAG_04457R,CNAG_04457,360
CNAG_04588R,CNAG_04588,48
CNAG_03894R,CNAG_03894,388
CNAG_04012R,CNAG_04012,395
CNAG_01487R,CNAG_01487,414
CNAG_05170R,CNAG_05170,347
CNAG_02364R,CNAG_02364,342
CNAG_04093R,CNAG_04093,379
CNAG_02322R,CNAG_02322,332
CNAG_05255R,CNAG_05255,429
CNAG_03018R,CNAG_03018,291
CNAG_07901R,CNAG_07901,274
CNAG_03086R,CNAG_03086,328
CNAG_06097R,CNAG_06097,284
CNAG_06136R,CNAG_06136,316
CNAG_03177R,CNAG_03177,361
CNAG_03183R,CNAG_03183,2
CNAG_04774R,CNAG_04774,413
CNAG_04768R,CNAG_04768,395
CNAG_06276R,CNAG_06276,424
CNAG_05222R,CNAG_05222,85
CNAG_03409R,CNAG_03409,161
CNAG_05622R,CNAG_05622,319
CNAG_04637R,CNAG_04637,249
CNAG_07680R,CNAG_07680,12
CNAG_02215R,CNAG_02215,2
CNAG_02387R,CNAG_02387,376
CNAG_04086R,CNAG_04086,409
CNAG_05697R,CNAG_05697,508
CNAG_06205R,CNAG_06205,1
CNAG_04507R,CNAG_04507,355
CNAG_04506R,CNAG_04506,372
CNAG_00068R,CNAG_00068,564
CNAG_00733R,CNAG_00733,318
CNAG_03910R,CNAG_03910,362
CNAG_04059R,CNAG_04059,286
CNAG_07491R,CNAG_07491,416
CNAG_05181R,CNAG_05181,336
CNAG_03772R,CNAG_03772,322
CNAG_00445R,CNAG_00445,631
CNAG_01901R,CNAG_01901,578
CNAG_05313R,CNAG_05313,214
CNAG_05312R,CNAG_05312,388
CNAG_06200R,CNAG_06200,2
CNAG_00442R,CNAG_00442,438
CNAG_01277R,CNAG_01277,419
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,341
CNAG_05264R,CNAG_05264,1
CNAG_05263R,CNAG_05263,1
CNAG_01681R,CNAG_01681,1
CNAG_00547R,CNAG_00547,231
CNAG_00598R,CNAG_00598,362
CNAG_01138R,CNAG_01138,1
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,442
CNAG_03013R,CNAG_03013,118
CNAG_07540R,CNAG_07540,420
CNAG_04980R,CNAG_04980,3
CNAG_00456R,CNAG_00456,355
CNAG_00455R,CNAG_00455,410
CNAG_00107R,CNAG_00107,300
CNAG_01061R,CNAG_01061,406
CNAG_01013R,CNAG_01013,36
CNAG_05080R,CNAG_05080,343
CNAG_00164R,CNAG_00164,286
CNAG_03727R,CNAG_03727,1
CNAG_03677R,CNAG_03677,372
CNAG_05077R,CNAG_05077,378
CNAG_00702R,CNAG_00702,1
CNAG_05147R,CNAG_05147,1
CNAG_00776R,CNAG_00776,113
CNAG_04024R,CNAG_04024,383
CNAG_04025R,CNAG_04025,436
CNAG_01019R,CNAG_01019,20
CNAG_01803R,CNAG_01803,388
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,261
CNAG_07542R,CNAG_07542,385
CNAG_05915R,CNAG_05915,326
CNAG_00917R,CNAG_00917,1097
CNAG_00919R,CNAG_00919,343
CNAG_05458R,CNAG_05458,503
CNAG_05459R,CNAG_05459,470
CNAG_01985R,CNAG_01985,213
CNAG_00740R,CNAG_00740,3
CNAG_04163R,CNAG_04163,293
CNAG_04162R,CNAG_04162,101
CNAG_04755R,CNAG_04755,262
CNAG_01777R,CNAG_01777,277
CNAG_01778R,CNAG_01778,1
CNAG_03173R,CNAG_03173,385
CNAG_03172R,CNAG_03172,380
CNAG_07388R,CNAG_07388,403
CNAG_07389R,CNAG_07389,383
CNAG_06060R,CNAG_06060,216
CNAG_00581R,CNAG_00581,176
CNAG_02045R,CNAG_02045,410
CNAG_04950R,CNAG_04950,272
CNAG_04949R,CNAG_04949,356
CNAG_01865R,CNAG_01865,313
CNAG_00717R,CNAG_00717,207
CNAG_06896R,CNAG_06896,261
CNAG_04631R,CNAG_04631,2
CNAG_05812R,CNAG_05812,391
CNAG_06658R,CNAG_06658,311
CNAG_05994R,CNAG_05994,354
CNAG_01318R,CNAG_01318,1
CNAG_02517R,CNAG_02517,459
