Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,98
CNAG_05515L,CNAG_05515,701
CNAG_05641L,CNAG_05641,478
CNAG_05387L,CNAG_05387,561
CNAG_05590L,CNAG_05590,818
CNAG_07869L,CNAG_07869,598
CNAG_05340L,CNAG_05340,432
CNAG_05638L,CNAG_05638,475
CNAG_05639L,CNAG_05639,291
CNAG_06346L,CNAG_06346,482
CNAG_06347L,CNAG_06347,424
CNAG_06517L,CNAG_06517,590
CNAG_07939L,CNAG_07939,506
CNAG_06493L,CNAG_06493,359
CNAG_06201L,CNAG_06201,479
CNAG_06104L,CNAG_06104,436
CNAG_06081L,CNAG_06081,490
CNAG_07902L,CNAG_07902,524
CNAG_06241L,CNAG_06241,337
CNAG_06242L,CNAG_06242,316
CNAG_06186L,CNAG_06186,513
CNAG_07911L,CNAG_07911,580
CNAG_01551L,CNAG_01551,422
CNAG_01683L,CNAG_01683,433
CNAG_01983L,CNAG_01983,635
CNAG_01902L,CNAG_01902,5
CNAG_01680L,CNAG_01680,552
CNAG_01621L,CNAG_01621,434
CNAG_01988L,CNAG_01988,423
CNAG_01989L,CNAG_01989,510
CNAG_01939L,CNAG_01939,599
CNAG_01993L,CNAG_01993,446
CNAG_01992L,CNAG_01992,398
CNAG_01965L,CNAG_01965,453
CNAG_01562L,CNAG_01562,281
CNAG_01925L,CNAG_01925,447
CNAG_04756L,CNAG_04756,472
CNAG_04807L,CNAG_04807,589
CNAG_04837L,CNAG_04837,313
CNAG_04836L,CNAG_04836,428
CNAG_04737L,CNAG_04737,698
CNAG_04875L,CNAG_04875,507
CNAG_04874L,CNAG_04874,1254
CNAG_04868L,CNAG_04868,170
CNAG_04752L,CNAG_04752,510
CNAG_04753L,CNAG_04753,2437
CNAG_04909L,CNAG_04909,465
CNAG_04908L,CNAG_04908,474
CNAG_04659L,CNAG_04659,286
CNAG_04623L,CNAG_04623,391
CNAG_04518L,CNAG_04518,337
CNAG_04517L,CNAG_04517,500
CNAG_07770L,CNAG_07770,483
CNAG_04436L,CNAG_04436,402
CNAG_04271L,CNAG_04271,345
CNAG_04270L,CNAG_04270,393
CNAG_03346L,CNAG_03346,616
CNAG_03433L,CNAG_03433,456
CNAG_03333L,CNAG_03333,626
CNAG_07742L,CNAG_07742,1392
CNAG_03438L,CNAG_03438,409
CNAG_03223L,CNAG_03223,374
CNAG_03142L,CNAG_03142,383
CNAG_03143L,CNAG_03143,382
CNAG_03545L,CNAG_03545,648
