Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,679
CNAG_05387R,CNAG_05387,394
CNAG_05638R,CNAG_05638,478
CNAG_05639R,CNAG_05639,368
CNAG_06346R,CNAG_06346,495
CNAG_06347R,CNAG_06347,474
CNAG_06517R,CNAG_06517,671
CNAG_07939R,CNAG_07939,1
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,402
CNAG_06104R,CNAG_06104,332
CNAG_07902R,CNAG_07902,469
CNAG_06241R,CNAG_06241,352
CNAG_06242R,CNAG_06242,342
CNAG_07911R,CNAG_07911,489
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,484
CNAG_01902R,CNAG_01902,8
CNAG_01680R,CNAG_01680,477
CNAG_01621R,CNAG_01621,1
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,346
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,68
CNAG_01925R,CNAG_01925,421
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,499
CNAG_04836R,CNAG_04836,446
CNAG_04875R,CNAG_04875,274
CNAG_04874R,CNAG_04874,4
CNAG_04868R,CNAG_04868,99
CNAG_04753R,CNAG_04753,6
CNAG_04908R,CNAG_04908,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,399
CNAG_04517R,CNAG_04517,476
CNAG_07770R,CNAG_07770,523
CNAG_04270R,CNAG_04270,1
CNAG_03346R,CNAG_03346,1
CNAG_03433R,CNAG_03433,2
CNAG_03333R,CNAG_03333,631
CNAG_07742R,CNAG_07742,993
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,362
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,436
CNAG_06567R,CNAG_06567,1
CNAG_05742R,CNAG_05742,1
CNAG_05743R,CNAG_05743,3
CNAG_05867R,CNAG_05867,318
CNAG_05684R,CNAG_05684,496
CNAG_02189R,CNAG_02189,508
CNAG_02188R,CNAG_02188,1
CNAG_02182R,CNAG_02182,1
CNAG_07631R,CNAG_07631,2
CNAG_02371R,CNAG_02371,442
CNAG_07633R,CNAG_07633,2
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,397
CNAG_03669R,CNAG_03669,508
CNAG_00031R,CNAG_00031,3
CNAG_07332R,CNAG_07332,314
CNAG_00285R,CNAG_00285,440
CNAG_00830R,CNAG_00830,469
CNAG_00841R,CNAG_00841,485
CNAG_06531R,CNAG_06531,869
CNAG_03279R,CNAG_03279,499
CNAG_03336R,CNAG_03336,650
CNAG_06339R,CNAG_06339,622
CNAG_03768R,CNAG_03768,601
CNAG_04534R,CNAG_04534,477
CNAG_01973R,CNAG_01973,397
CNAG_07867R,CNAG_07867,412
CNAG_05333R,CNAG_05333,509
CNAG_06425R,CNAG_06425,385
CNAG_03849R,CNAG_03849,500
CNAG_02603R,CNAG_02603,381
CNAG_02555R,CNAG_02555,582
CNAG_02525R,CNAG_02525,99
CNAG_03431R,CNAG_03431,466
CNAG_05049R,CNAG_05049,352
CNAG_03914R,CNAG_03914,480
CNAG_02476R,CNAG_02476,436
CNAG_07583R,CNAG_07583,462
CNAG_05112R,CNAG_05112,418
CNAG_03366R,CNAG_03366,516
CNAG_04090R,CNAG_04090,985
CNAG_00791R,CNAG_00791,452
CNAG_05375R,CNAG_05375,6606
CNAG_02516R,CNAG_02516,404
CNAG_04804R,CNAG_04804,280
CNAG_06203R,CNAG_06203,454
CNAG_01883R,CNAG_01883,1091
CNAG_03401R,CNAG_03401,407
CNAG_02435R,CNAG_02435,383
CNAG_05153R,CNAG_05153,4
CNAG_01708R,CNAG_01708,401
CNAG_03700R,CNAG_03700,552
CNAG_05215R,CNAG_05215,342
CNAG_01438R,CNAG_01438,262
CNAG_07464R,CNAG_07464,482
CNAG_01858R,CNAG_01858,562
CNAG_04586R,CNAG_04586,531
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,496
CNAG_01014R,CNAG_01014,227
CNAG_01454R,CNAG_01454,460
CNAG_06327R,CNAG_06327,158
CNAG_03788R,CNAG_03788,448
CNAG_00871R,CNAG_00871,521
CNAG_00559R,CNAG_00559,12526
CNAG_07370R,CNAG_07370,618
CNAG_00732R,CNAG_00732,1
CNAG_04630R,CNAG_04630,1
CNAG_02589R,CNAG_02589,498
CNAG_01645R,CNAG_01645,1154
CNAG_01242R,CNAG_01242,413
CNAG_02788R,CNAG_02788,14
CNAG_07435R,CNAG_07435,4
CNAG_07924R,CNAG_07924,502
CNAG_01071R,CNAG_01071,402
CNAG_00883R,CNAG_00883,394
CNAG_03741R,CNAG_03741,470
CNAG_03745R,CNAG_03745,533
CNAG_00192R,CNAG_00192,471
CNAG_00670R,CNAG_00670,461
CNAG_06871R,CNAG_06871,506
CNAG_04457R,CNAG_04457,553
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,101
CNAG_01977R,CNAG_01977,1
CNAG_03894R,CNAG_03894,642
CNAG_04012R,CNAG_04012,290
CNAG_01487R,CNAG_01487,537
CNAG_03561R,CNAG_03561,1
CNAG_05170R,CNAG_05170,508
CNAG_02364R,CNAG_02364,464
CNAG_04093R,CNAG_04093,531
CNAG_02322R,CNAG_02322,494
CNAG_04184R,CNAG_04184,1
CNAG_05255R,CNAG_05255,492
CNAG_03018R,CNAG_03018,456
CNAG_07901R,CNAG_07901,379
CNAG_03086R,CNAG_03086,442
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,412
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,439
CNAG_03177R,CNAG_03177,538
CNAG_03183R,CNAG_03183,146
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,610
CNAG_04768R,CNAG_04768,646
CNAG_02066R,CNAG_02066,1
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,354
CNAG_05222R,CNAG_05222,89
CNAG_03409R,CNAG_03409,258
CNAG_05622R,CNAG_05622,505
CNAG_04637R,CNAG_04637,345
CNAG_07680R,CNAG_07680,5
CNAG_02215R,CNAG_02215,7
CNAG_02387R,CNAG_02387,509
CNAG_04086R,CNAG_04086,624
CNAG_05697R,CNAG_05697,717
CNAG_02697R,CNAG_02697,1
CNAG_06205R,CNAG_06205,2
CNAG_04507R,CNAG_04507,495
CNAG_04506R,CNAG_04506,468
CNAG_00068R,CNAG_00068,722
CNAG_05138R,CNAG_05138,1
CNAG_00733R,CNAG_00733,443
CNAG_03910R,CNAG_03910,449
CNAG_04059R,CNAG_04059,403
CNAG_07491R,CNAG_07491,545
CNAG_05181R,CNAG_05181,371
CNAG_03772R,CNAG_03772,496
CNAG_00445R,CNAG_00445,634
CNAG_01901R,CNAG_01901,726
CNAG_05313R,CNAG_05313,222
CNAG_05312R,CNAG_05312,554
CNAG_03012R,CNAG_03012,1
CNAG_03011R,CNAG_03011,1
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,676
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,690
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,160
CNAG_05264R,CNAG_05264,2
CNAG_01681R,CNAG_01681,1
CNAG_00179R,CNAG_00179,2
CNAG_00547R,CNAG_00547,434
CNAG_00598R,CNAG_00598,479
CNAG_02219R,CNAG_02219,675
CNAG_03013R,CNAG_03013,191
CNAG_07540R,CNAG_07540,799
CNAG_04980R,CNAG_04980,43
CNAG_00456R,CNAG_00456,478
CNAG_00455R,CNAG_00455,575
CNAG_00107R,CNAG_00107,369
CNAG_00106R,CNAG_00106,3
CNAG_01061R,CNAG_01061,540
CNAG_01013R,CNAG_01013,106
CNAG_02777R,CNAG_02777,2
CNAG_05080R,CNAG_05080,446
CNAG_00164R,CNAG_00164,454
CNAG_04077R,CNAG_04077,1
CNAG_03727R,CNAG_03727,1
CNAG_03677R,CNAG_03677,566
CNAG_06761R,CNAG_06761,1
CNAG_05076R,CNAG_05076,1
CNAG_05077R,CNAG_05077,560
CNAG_02553R,CNAG_02553,1
CNAG_02554R,CNAG_02554,1
CNAG_05148R,CNAG_05148,1
CNAG_05147R,CNAG_05147,2
CNAG_00776R,CNAG_00776,74
CNAG_04024R,CNAG_04024,581
CNAG_04025R,CNAG_04025,558
CNAG_02348R,CNAG_02348,1
CNAG_02347R,CNAG_02347,2
CNAG_06555R,CNAG_06555,1
CNAG_01019R,CNAG_01019,31
CNAG_01803R,CNAG_01803,599
CNAG_07541R,CNAG_07541,416
CNAG_07542R,CNAG_07542,533
CNAG_05915R,CNAG_05915,491
CNAG_00917R,CNAG_00917,1732
CNAG_00919R,CNAG_00919,545
CNAG_05458R,CNAG_05458,647
CNAG_05459R,CNAG_05459,668
CNAG_01985R,CNAG_01985,200
CNAG_00740R,CNAG_00740,89
CNAG_04163R,CNAG_04163,442
CNAG_04162R,CNAG_04162,147
CNAG_04755R,CNAG_04755,605
CNAG_01777R,CNAG_01777,397
CNAG_03173R,CNAG_03173,545
CNAG_03172R,CNAG_03172,527
CNAG_07388R,CNAG_07388,571
CNAG_07389R,CNAG_07389,594
CNAG_06060R,CNAG_06060,384
CNAG_00581R,CNAG_00581,315
CNAG_02045R,CNAG_02045,566
CNAG_04950R,CNAG_04950,446
CNAG_04949R,CNAG_04949,449
CNAG_01865R,CNAG_01865,465
CNAG_00717R,CNAG_00717,190
CNAG_06896R,CNAG_06896,302
CNAG_04631R,CNAG_04631,1
CNAG_05812R,CNAG_05812,426
CNAG_00079R,CNAG_00079,1
CNAG_06658R,CNAG_06658,342
CNAG_05994R,CNAG_05994,435
CNAG_01318R,CNAG_01318,2
CNAG_02517R,CNAG_02517,505
CNAG_03329R,CNAG_03329,406
CNAG_04471R,CNAG_04471,488
CNAG_00699R,CNAG_00699,436
CNAG_02129R,CNAG_02129,596
CNAG_05352R,CNAG_05352,273
CNAG_02293R,CNAG_02293,3
CNAG_07441R,CNAG_07441,1
CNAG_07442R,CNAG_07442,1
CNAG_01523R,CNAG_01523,6
CNAG_03946R,CNAG_03946,1
CNAG_07486R,CNAG_07486,471
CNAG_07313R,CNAG_07313,1
CNAG_00710R,CNAG_00710,395
CNAG_00709R,CNAG_00709,530
CNAG_03689R,CNAG_03689,307
CNAG_01704R,CNAG_01704,510
CNAG_07827R,CNAG_07827,432
CNAG_07516R,CNAG_07516,399
CNAG_00157R,CNAG_00157,288
CNAG_01776R,CNAG_01776,504
CNAG_07605R,CNAG_07605,318
CNAG_01846R,CNAG_01846,458
CNAG_00798R,CNAG_00798,1
CNAG_00799R,CNAG_00799,210
CNAG_04657R,CNAG_04657,443
CNAG_04385R,CNAG_04385,402
CNAG_04386R,CNAG_04386,479
CNAG_07847R,CNAG_07847,379
CNAG_02226R,CNAG_02226,525
CNAG_02225R,CNAG_02225,472
CNAG_04860R,CNAG_04860,458
CNAG_01105R,CNAG_01105,589
CNAG_03524R,CNAG_03524,426
CNAG_03733R,CNAG_03733,523
CNAG_03732R,CNAG_03732,547
CNAG_03247R,CNAG_03247,510
CNAG_03193R,CNAG_03193,373
CNAG_03194R,CNAG_03194,436
CNAG_06574R,CNAG_06574,381
CNAG_04663R,CNAG_04663,395
CNAG_02944R,CNAG_02944,468
CNAG_05872R,CNAG_05872,75
CNAG_02775R,CNAG_02775,45
CNAG_07498R,CNAG_07498,609
CNAG_03754R,CNAG_03754,3
CNAG_00475R,CNAG_00475,8865
CNAG_00476R,CNAG_00476,1
CNAG_06501R,CNAG_06501,384
CNAG_06502R,CNAG_06502,468
CNAG_00587R,CNAG_00587,595
CNAG_04691R,CNAG_04691,500
CNAG_01062R,CNAG_01062,1
CNAG_05522R,CNAG_05522,581
CNAG_01930R,CNAG_01930,576
CNAG_04983R,CNAG_04983,1
CNAG_03002R,CNAG_03002,500
CNAG_01448R,CNAG_01448,325
CNAG_07685R,CNAG_07685,403
CNAG_03902R,CNAG_03902,54
CNAG_02011R,CNAG_02011,1
CNAG_02010R,CNAG_02010,5589
CNAG_01642R,CNAG_01642,631
CNAG_05727R,CNAG_05727,2
CNAG_04705R,CNAG_04705,553
CNAG_01420R,CNAG_01420,519
CNAG_07519R,CNAG_07519,1283
CNAG_00078R,CNAG_00078,1
CNAG_06240R,CNAG_06240,950
CNAG_00777R,CNAG_00777,827
CNAG_01118R,CNAG_01118,591
CNAG_03866R,CNAG_03866,514
CNAG_06594R,CNAG_06594,1
CNAG_06595R,CNAG_06595,429
CNAG_00519R,CNAG_00519,3
CNAG_00588R,CNAG_00588,1
CNAG_01525R,CNAG_01525,1
CNAG_01524R,CNAG_01524,393
CNAG_04594R,CNAG_04594,500
CNAG_06776R,CNAG_06776,1
CNAG_02588R,CNAG_02588,563
CNAG_06905R,CNAG_06905,457
CNAG_06904R,CNAG_06904,386
CNAG_03280R,CNAG_03280,1
CNAG_02288R,CNAG_02288,434
CNAG_07729R,CNAG_07729,7
CNAG_06282R,CNAG_06282,1
CNAG_01969R,CNAG_01969,1
CNAG_03526R,CNAG_03526,1
CNAG_07752R,CNAG_07752,571
CNAG_04587R,CNAG_04587,454
CNAG_02692R,CNAG_02692,515
CNAG_02776R,CNAG_02776,827
CNAG_04885R,CNAG_04885,422
CNAG_06662R,CNAG_06662,556
CNAG_02165R,CNAG_02165,589
CNAG_06092R,CNAG_06092,1
CNAG_02071R,CNAG_02071,661
CNAG_02070R,CNAG_02070,381
CNAG_02684R,CNAG_02684,744
CNAG_05420R,CNAG_05420,108
CNAG_05939R,CNAG_05939,919
CNAG_00765R,CNAG_00765,412
CNAG_00745R,CNAG_00745,72
CNAG_00744R,CNAG_00744,459
CNAG_00162R,CNAG_00162,506
CNAG_02658R,CNAG_02658,191
CNAG_06401R,CNAG_06401,283
CNAG_01960R,CNAG_01960,324
CNAG_01961R,CNAG_01961,1372
CNAG_02930R,CNAG_02930,222
CNAG_01239R,CNAG_01239,589
CNAG_00332R,CNAG_00332,326
CNAG_00333R,CNAG_00333,384
CNAG_05663R,CNAG_05663,134
CNAG_05664R,CNAG_05664,454
CNAG_01574R,CNAG_01574,810
CNAG_01573R,CNAG_01573,320
CNAG_06963R,CNAG_06963,388
CNAG_03719R,CNAG_03719,384
CNAG_02041R,CNAG_02041,404
CNAG_06889R,CNAG_06889,450
CNAG_04141R,CNAG_04141,555
CNAG_07415R,CNAG_07415,171
CNAG_05586R,CNAG_05586,508
CNAG_05686R,CNAG_05686,416
CNAG_00400R,CNAG_00400,607
CNAG_04213R,CNAG_04213,748
CNAG_04736R,CNAG_04736,509
CNAG_04735R,CNAG_04735,447
CNAG_05392R,CNAG_05392,509
CNAG_05393R,CNAG_05393,505
CNAG_06541R,CNAG_06541,1
CNAG_06034R,CNAG_06034,434
CNAG_05250R,CNAG_05250,410
CNAG_04243R,CNAG_04243,3
CNAG_01773R,CNAG_01773,646
CNAG_01232R,CNAG_01232,90
CNAG_01577R,CNAG_01577,2
CNAG_01578R,CNAG_01578,123
CNAG_01601R,CNAG_01601,132
CNAG_04963R,CNAG_04963,569
CNAG_04962R,CNAG_04962,348
CNAG_01231R,CNAG_01231,419
CNAG_06835R,CNAG_06835,140
CNAG_06836R,CNAG_06836,495
CNAG_07454R,CNAG_07454,1
CNAG_06389R,CNAG_06389,453
CNAG_06388R,CNAG_06388,1
CNAG_05640R,CNAG_05640,1041
CNAG_01558R,CNAG_01558,475
CNAG_00903R,CNAG_00903,100
CNAG_06583R,CNAG_06583,357
CNAG_06428R,CNAG_06428,435
CNAG_06427R,CNAG_06427,311
CNAG_07745R,CNAG_07745,295
CNAG_03369R,CNAG_03369,278
CNAG_03413R,CNAG_03413,1
CNAG_00130R,CNAG_00130,1680
CNAG_00457R,CNAG_00457,609
CNAG_00758R,CNAG_00758,1
CNAG_04730R,CNAG_04730,415
CNAG_00668R,CNAG_00668,1
CNAG_03116R,CNAG_03116,202
CNAG_04622R,CNAG_04622,405
CNAG_04449R,CNAG_04449,456
CNAG_03874R,CNAG_03874,312
CNAG_03873R,CNAG_03873,718
CNAG_02475R,CNAG_02475,280
CNAG_00070R,CNAG_00070,416
CNAG_04862R,CNAG_04862,568
CNAG_02527R,CNAG_02527,610
CNAG_04632R,CNAG_04632,1
CNAG_00194R,CNAG_00194,679
CNAG_03498R,CNAG_03498,478
CNAG_03426R,CNAG_03426,397
CNAG_00077R,CNAG_00077,317
CNAG_02965R,CNAG_02965,525
CNAG_02966R,CNAG_02966,2
CNAG_04546R,CNAG_04546,494
CNAG_04523R,CNAG_04523,410
CNAG_04522R,CNAG_04522,444
CNAG_07444R,CNAG_07444,399
CNAG_06576R,CNAG_06576,497
CNAG_03836R,CNAG_03836,710
CNAG_03400R,CNAG_03400,497
CNAG_02255R,CNAG_02255,405
CNAG_02254R,CNAG_02254,1
CNAG_05075R,CNAG_05075,771
CNAG_02550R,CNAG_02550,588
CNAG_02551R,CNAG_02551,441
CNAG_01995R,CNAG_01995,571
CNAG_01994R,CNAG_01994,614
CNAG_06277R,CNAG_06277,174
CNAG_07697R,CNAG_07697,518
CNAG_03140R,CNAG_03140,345
CNAG_00011R,CNAG_00011,758
CNAG_04681R,CNAG_04681,1
CNAG_04655R,CNAG_04655,468
CNAG_05934R,CNAG_05934,428
CNAG_02264R,CNAG_02264,588
CNAG_00189R,CNAG_00189,409
CNAG_00188R,CNAG_00188,331
CNAG_07873R,CNAG_07873,8
CNAG_05369R,CNAG_05369,499
CNAG_00864R,CNAG_00864,677
CNAG_05119R,CNAG_05119,400
CNAG_00407R,CNAG_00407,405
CNAG_05813R,CNAG_05813,435
CNAG_06310R,CNAG_06310,514
CNAG_02510R,CNAG_02510,278
CNAG_04953R,CNAG_04953,1
CNAG_06578R,CNAG_06578,1
CNAG_00122R,CNAG_00122,833
CNAG_01744R,CNAG_01744,5
CNAG_01745R,CNAG_01745,1
CNAG_06172R,CNAG_06172,1
CNAG_04104R,CNAG_04104,518
CNAG_04103R,CNAG_04103,603
CNAG_04015R,CNAG_04015,556
CNAG_00796R,CNAG_00796,471
CNAG_04283R,CNAG_04283,48
CNAG_00398R,CNAG_00398,454
