Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,144
CNAG_05515L,CNAG_05515,614
CNAG_05641L,CNAG_05641,358
CNAG_05387L,CNAG_05387,295
CNAG_05590L,CNAG_05590,1157
CNAG_07869L,CNAG_07869,507
CNAG_05340L,CNAG_05340,301
CNAG_05638L,CNAG_05638,492
CNAG_05639L,CNAG_05639,352
CNAG_06346L,CNAG_06346,441
CNAG_06347L,CNAG_06347,369
CNAG_06517L,CNAG_06517,538
CNAG_07939L,CNAG_07939,421
CNAG_06493L,CNAG_06493,346
CNAG_06201L,CNAG_06201,399
CNAG_06104L,CNAG_06104,357
CNAG_06081L,CNAG_06081,473
CNAG_07902L,CNAG_07902,408
CNAG_06241L,CNAG_06241,297
CNAG_06242L,CNAG_06242,318
CNAG_06186L,CNAG_06186,348
CNAG_07911L,CNAG_07911,435
CNAG_01551L,CNAG_01551,281
CNAG_01683L,CNAG_01683,397
CNAG_01983L,CNAG_01983,449
CNAG_01902L,CNAG_01902,5
CNAG_01680L,CNAG_01680,407
CNAG_01621L,CNAG_01621,353
CNAG_01988L,CNAG_01988,324
CNAG_01989L,CNAG_01989,438
CNAG_01939L,CNAG_01939,419
CNAG_01993L,CNAG_01993,380
CNAG_01992L,CNAG_01992,336
CNAG_01965L,CNAG_01965,382
CNAG_01562L,CNAG_01562,273
CNAG_01925L,CNAG_01925,430
CNAG_04756L,CNAG_04756,471
CNAG_04807L,CNAG_04807,499
CNAG_04837L,CNAG_04837,371
CNAG_04836L,CNAG_04836,333
CNAG_04737L,CNAG_04737,498
CNAG_04875L,CNAG_04875,267
CNAG_04874L,CNAG_04874,996
CNAG_04868L,CNAG_04868,116
CNAG_04752L,CNAG_04752,359
CNAG_04753L,CNAG_04753,3206
CNAG_04909L,CNAG_04909,400
CNAG_04908L,CNAG_04908,395
CNAG_04659L,CNAG_04659,303
CNAG_04623L,CNAG_04623,386
CNAG_04518L,CNAG_04518,305
CNAG_04517L,CNAG_04517,467
CNAG_07770L,CNAG_07770,452
CNAG_04436L,CNAG_04436,256
CNAG_04271L,CNAG_04271,299
CNAG_04270L,CNAG_04270,420
CNAG_03346L,CNAG_03346,509
CNAG_03433L,CNAG_03433,430
CNAG_03333L,CNAG_03333,562
CNAG_07742L,CNAG_07742,1006
CNAG_03438L,CNAG_03438,313
CNAG_03223L,CNAG_03223,439
CNAG_03142L,CNAG_03142,310
CNAG_03143L,CNAG_03143,392
CNAG_03545L,CNAG_03545,495
CNAG_03161L,CNAG_03161,164
CNAG_03566L,CNAG_03566,376
CNAG_05835L,CNAG_05835,302
CNAG_05864L,CNAG_05864,406
CNAG_06567L,CNAG_06567,503
CNAG_05742L,CNAG_05742,208
CNAG_05743L,CNAG_05743,106
CNAG_05867L,CNAG_05867,297
CNAG_05685L,CNAG_05685,1076
CNAG_05684L,CNAG_05684,436
CNAG_05785L,CNAG_05785,312
CNAG_05843L,CNAG_05843,18
CNAG_06554L,CNAG_06554,398
CNAG_02189L,CNAG_02189,464
CNAG_02188L,CNAG_02188,449
CNAG_02182L,CNAG_02182,354
CNAG_07631L,CNAG_07631,373
CNAG_02371L,CNAG_02371,427
CNAG_07633L,CNAG_07633,594
CNAG_01069L,CNAG_01069,421
CNAG_00896L,CNAG_00896,1319
CNAG_06719L,CNAG_06719,170
CNAG_03669L,CNAG_03669,451
CNAG_00031L,CNAG_00031,373
CNAG_07332L,CNAG_07332,322
CNAG_00285L,CNAG_00285,467
CNAG_00828L,CNAG_00828,413
CNAG_00830L,CNAG_00830,365
CNAG_00841L,CNAG_00841,418
CNAG_02774L,CNAG_02774,355
CNAG_06531L,CNAG_06531,740
CNAG_03279L,CNAG_03279,447
CNAG_03336L,CNAG_03336,567
CNAG_06339L,CNAG_06339,513
CNAG_03768L,CNAG_03768,534
CNAG_04534L,CNAG_04534,430
CNAG_01973L,CNAG_01973,1
CNAG_07867L,CNAG_07867,371
CNAG_05333L,CNAG_05333,512
CNAG_06425L,CNAG_06425,319
CNAG_03849L,CNAG_03849,952
CNAG_02603L,CNAG_02603,359
CNAG_02555L,CNAG_02555,430
CNAG_03431L,CNAG_03431,513
CNAG_05049L,CNAG_05049,295
CNAG_05380L,CNAG_05380,457
CNAG_03914L,CNAG_03914,372
CNAG_02476L,CNAG_02476,399
CNAG_07583L,CNAG_07583,425
CNAG_02466L,CNAG_02466,346
CNAG_05112L,CNAG_05112,437
CNAG_03366L,CNAG_03366,558
CNAG_03977L,CNAG_03977,214
CNAG_04090L,CNAG_04090,926
CNAG_00791L,CNAG_00791,403
CNAG_06751L,CNAG_06751,248
CNAG_05375L,CNAG_05375,5622
CNAG_02516L,CNAG_02516,416
CNAG_04804L,CNAG_04804,245
CNAG_00627L,CNAG_00627,445
CNAG_07725L,CNAG_07725,458
CNAG_06203L,CNAG_06203,433
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,979
CNAG_03401L,CNAG_03401,450
CNAG_02435L,CNAG_02435,387
CNAG_05153L,CNAG_05153,6
CNAG_01708L,CNAG_01708,380
CNAG_03700L,CNAG_03700,399
CNAG_07320L,CNAG_07320,86
CNAG_05215L,CNAG_05215,309
CNAG_01438L,CNAG_01438,240
CNAG_07464L,CNAG_07464,397
CNAG_01858L,CNAG_01858,602
CNAG_04586L,CNAG_04586,327
CNAG_05093L,CNAG_05093,401
CNAG_05176L,CNAG_05176,450
CNAG_01014L,CNAG_01014,214
CNAG_00998L,CNAG_00998,320
CNAG_00039L,CNAG_00039,931
CNAG_07329L,CNAG_07329,30
CNAG_01454L,CNAG_01454,376
CNAG_02700L,CNAG_02700,35
CNAG_06327L,CNAG_06327,145
CNAG_03788L,CNAG_03788,361
CNAG_00871L,CNAG_00871,495
CNAG_00559L,CNAG_00559,12268
CNAG_07370L,CNAG_07370,478
CNAG_00732L,CNAG_00732,412
CNAG_04630L,CNAG_04630,438
CNAG_07940L,CNAG_07940,510
CNAG_02589L,CNAG_02589,440
CNAG_05067L,CNAG_05067,478
CNAG_01645L,CNAG_01645,1146
CNAG_06134L,CNAG_06134,149
CNAG_01242L,CNAG_01242,378
