Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,672
CNAG_05387R,CNAG_05387,445
CNAG_05340R,CNAG_05340,1
CNAG_05638R,CNAG_05638,486
CNAG_05639R,CNAG_05639,443
CNAG_06346R,CNAG_06346,532
CNAG_06347R,CNAG_06347,435
CNAG_06517R,CNAG_06517,612
CNAG_06201R,CNAG_06201,419
CNAG_06104R,CNAG_06104,152
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,496
CNAG_06241R,CNAG_06241,360
CNAG_06242R,CNAG_06242,372
CNAG_07911R,CNAG_07911,432
CNAG_01683R,CNAG_01683,463
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,7
CNAG_01680R,CNAG_01680,437
CNAG_01989R,CNAG_01989,365
CNAG_01939R,CNAG_01939,1
CNAG_01965R,CNAG_01965,61
CNAG_01925R,CNAG_01925,463
CNAG_04837R,CNAG_04837,514
CNAG_04836R,CNAG_04836,485
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,383
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,126
CNAG_04753R,CNAG_04753,4
CNAG_04909R,CNAG_04909,1
CNAG_04518R,CNAG_04518,462
CNAG_04517R,CNAG_04517,479
CNAG_07770R,CNAG_07770,450
CNAG_03433R,CNAG_03433,3
CNAG_03333R,CNAG_03333,605
CNAG_07742R,CNAG_07742,1009
CNAG_03142R,CNAG_03142,406
CNAG_03566R,CNAG_03566,411
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,3
CNAG_05867R,CNAG_05867,324
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,538
CNAG_02189R,CNAG_02189,420
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,477
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,359
CNAG_03669R,CNAG_03669,457
CNAG_07332R,CNAG_07332,319
CNAG_00285R,CNAG_00285,433
CNAG_00830R,CNAG_00830,457
CNAG_00841R,CNAG_00841,495
CNAG_06531R,CNAG_06531,1008
CNAG_03279R,CNAG_03279,496
CNAG_03336R,CNAG_03336,574
CNAG_06339R,CNAG_06339,636
CNAG_03768R,CNAG_03768,540
CNAG_04534R,CNAG_04534,428
CNAG_01973R,CNAG_01973,331
CNAG_07867R,CNAG_07867,459
CNAG_05333R,CNAG_05333,589
CNAG_06425R,CNAG_06425,395
CNAG_03849R,CNAG_03849,502
CNAG_02603R,CNAG_02603,451
CNAG_02555R,CNAG_02555,574
CNAG_02525R,CNAG_02525,80
CNAG_03431R,CNAG_03431,457
CNAG_05049R,CNAG_05049,367
CNAG_03914R,CNAG_03914,439
CNAG_02476R,CNAG_02476,449
CNAG_07583R,CNAG_07583,516
CNAG_05112R,CNAG_05112,407
CNAG_03366R,CNAG_03366,643
CNAG_03977R,CNAG_03977,1
CNAG_04090R,CNAG_04090,851
CNAG_00791R,CNAG_00791,345
CNAG_05375R,CNAG_05375,6296
CNAG_02516R,CNAG_02516,429
CNAG_04804R,CNAG_04804,236
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,436
CNAG_01883R,CNAG_01883,920
CNAG_03401R,CNAG_03401,488
CNAG_02435R,CNAG_02435,425
CNAG_05153R,CNAG_05153,13
CNAG_01708R,CNAG_01708,263
CNAG_03700R,CNAG_03700,440
CNAG_05215R,CNAG_05215,362
CNAG_01438R,CNAG_01438,261
CNAG_07464R,CNAG_07464,354
CNAG_01858R,CNAG_01858,614
CNAG_04586R,CNAG_04586,511
CNAG_05176R,CNAG_05176,389
CNAG_01014R,CNAG_01014,227
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,507
CNAG_06327R,CNAG_06327,129
CNAG_03788R,CNAG_03788,664
CNAG_00871R,CNAG_00871,612
CNAG_00559R,CNAG_00559,12309
CNAG_07370R,CNAG_07370,588
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,525
CNAG_05067R,CNAG_05067,2
CNAG_01645R,CNAG_01645,1156
CNAG_01242R,CNAG_01242,173
CNAG_02788R,CNAG_02788,3
CNAG_07435R,CNAG_07435,20
CNAG_07924R,CNAG_07924,1123
CNAG_01071R,CNAG_01071,438
CNAG_00883R,CNAG_00883,391
CNAG_03741R,CNAG_03741,316
CNAG_03745R,CNAG_03745,542
CNAG_00192R,CNAG_00192,489
CNAG_00670R,CNAG_00670,549
CNAG_06871R,CNAG_06871,565
CNAG_04457R,CNAG_04457,499
CNAG_04588R,CNAG_04588,104
CNAG_03894R,CNAG_03894,675
CNAG_04012R,CNAG_04012,353
CNAG_01487R,CNAG_01487,532
CNAG_05170R,CNAG_05170,422
CNAG_04041R,CNAG_04041,1
CNAG_02364R,CNAG_02364,448
CNAG_04093R,CNAG_04093,520
CNAG_02322R,CNAG_02322,467
CNAG_05255R,CNAG_05255,567
CNAG_05642R,CNAG_05642,1
CNAG_03018R,CNAG_03018,473
CNAG_07901R,CNAG_07901,446
CNAG_03086R,CNAG_03086,478
CNAG_06097R,CNAG_06097,486
CNAG_03115R,CNAG_03115,2
CNAG_03132R,CNAG_03132,1
CNAG_06136R,CNAG_06136,451
CNAG_03177R,CNAG_03177,549
CNAG_03183R,CNAG_03183,316
CNAG_04359R,CNAG_04359,2
CNAG_04774R,CNAG_04774,644
CNAG_04768R,CNAG_04768,635
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,364
CNAG_05222R,CNAG_05222,39
CNAG_03409R,CNAG_03409,129
CNAG_05622R,CNAG_05622,564
CNAG_04637R,CNAG_04637,160
CNAG_07680R,CNAG_07680,39
CNAG_02215R,CNAG_02215,26
CNAG_02387R,CNAG_02387,585
CNAG_04086R,CNAG_04086,655
CNAG_05697R,CNAG_05697,642
CNAG_02697R,CNAG_02697,1
CNAG_06205R,CNAG_06205,1
CNAG_04507R,CNAG_04507,465
CNAG_04506R,CNAG_04506,449
CNAG_00068R,CNAG_00068,664
CNAG_00733R,CNAG_00733,512
CNAG_03910R,CNAG_03910,502
CNAG_04059R,CNAG_04059,418
CNAG_07491R,CNAG_07491,630
CNAG_05181R,CNAG_05181,383
CNAG_03772R,CNAG_03772,437
CNAG_00445R,CNAG_00445,584
CNAG_01901R,CNAG_01901,696
CNAG_05313R,CNAG_05313,316
CNAG_05312R,CNAG_05312,576
CNAG_03011R,CNAG_03011,3
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,613
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,638
CNAG_01230R,CNAG_01230,242
CNAG_05264R,CNAG_05264,1
CNAG_00547R,CNAG_00547,421
CNAG_00598R,CNAG_00598,513
CNAG_01138R,CNAG_01138,1
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,638
CNAG_03013R,CNAG_03013,222
CNAG_07540R,CNAG_07540,654
CNAG_04980R,CNAG_04980,37
CNAG_00456R,CNAG_00456,506
CNAG_00455R,CNAG_00455,496
CNAG_00107R,CNAG_00107,475
CNAG_00106R,CNAG_00106,4
CNAG_01061R,CNAG_01061,599
CNAG_03848R,CNAG_03848,1
CNAG_01013R,CNAG_01013,131
CNAG_07523R,CNAG_07523,1
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,491
CNAG_04869R,CNAG_04869,1
CNAG_00164R,CNAG_00164,462
CNAG_04077R,CNAG_04077,1
CNAG_03677R,CNAG_03677,519
CNAG_05077R,CNAG_05077,623
CNAG_02553R,CNAG_02553,1
CNAG_00702R,CNAG_00702,1
CNAG_00776R,CNAG_00776,54
CNAG_04024R,CNAG_04024,620
CNAG_04025R,CNAG_04025,577
CNAG_02347R,CNAG_02347,1
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,235
CNAG_01803R,CNAG_01803,576
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,390
CNAG_07542R,CNAG_07542,529
CNAG_05915R,CNAG_05915,498
CNAG_00917R,CNAG_00917,1626
CNAG_00919R,CNAG_00919,603
CNAG_05458R,CNAG_05458,717
CNAG_05459R,CNAG_05459,691
CNAG_01985R,CNAG_01985,228
CNAG_00740R,CNAG_00740,27
CNAG_04163R,CNAG_04163,481
CNAG_04162R,CNAG_04162,189
CNAG_04755R,CNAG_04755,223
CNAG_01777R,CNAG_01777,383
CNAG_04217R,CNAG_04217,1
CNAG_03173R,CNAG_03173,586
CNAG_03172R,CNAG_03172,562
CNAG_07388R,CNAG_07388,498
CNAG_07389R,CNAG_07389,646
CNAG_03644R,CNAG_03644,3
CNAG_06060R,CNAG_06060,335
CNAG_00581R,CNAG_00581,326
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,640
CNAG_04950R,CNAG_04950,530
CNAG_04949R,CNAG_04949,515
CNAG_01865R,CNAG_01865,501
CNAG_00717R,CNAG_00717,330
CNAG_06926R,CNAG_06926,2
CNAG_06896R,CNAG_06896,519
CNAG_05812R,CNAG_05812,420
CNAG_06657R,CNAG_06657,1
CNAG_06658R,CNAG_06658,376
CNAG_05994R,CNAG_05994,444
CNAG_05430R,CNAG_05430,1
CNAG_02517R,CNAG_02517,635
CNAG_07419R,CNAG_07419,1
CNAG_02040R,CNAG_02040,1
CNAG_03329R,CNAG_03329,375
CNAG_04471R,CNAG_04471,506
CNAG_03075R,CNAG_03075,1
CNAG_00699R,CNAG_00699,472
CNAG_02129R,CNAG_02129,613
CNAG_05352R,CNAG_05352,286
CNAG_02293R,CNAG_02293,3
CNAG_07441R,CNAG_07441,1
CNAG_07486R,CNAG_07486,474
CNAG_07313R,CNAG_07313,3
CNAG_00126R,CNAG_00126,1
CNAG_00710R,CNAG_00710,425
CNAG_00709R,CNAG_00709,479
CNAG_03689R,CNAG_03689,353
CNAG_01704R,CNAG_01704,386
CNAG_07827R,CNAG_07827,375
CNAG_07516R,CNAG_07516,392
CNAG_00157R,CNAG_00157,395
CNAG_01776R,CNAG_01776,480
CNAG_07605R,CNAG_07605,513
CNAG_01846R,CNAG_01846,414
CNAG_00799R,CNAG_00799,239
CNAG_04656R,CNAG_04656,1
CNAG_04657R,CNAG_04657,448
