Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,84
CNAG_05515L,CNAG_05515,549
CNAG_05641L,CNAG_05641,377
CNAG_05387L,CNAG_05387,282
CNAG_05590L,CNAG_05590,569
CNAG_07869L,CNAG_07869,476
CNAG_05340L,CNAG_05340,199
CNAG_05638L,CNAG_05638,358
CNAG_05639L,CNAG_05639,359
CNAG_06346L,CNAG_06346,386
CNAG_06347L,CNAG_06347,353
CNAG_06517L,CNAG_06517,494
CNAG_07939L,CNAG_07939,398
CNAG_06493L,CNAG_06493,306
CNAG_06201L,CNAG_06201,393
CNAG_06104L,CNAG_06104,139
CNAG_06081L,CNAG_06081,373
CNAG_07902L,CNAG_07902,367
CNAG_06241L,CNAG_06241,283
CNAG_06242L,CNAG_06242,237
CNAG_06186L,CNAG_06186,365
CNAG_07911L,CNAG_07911,356
CNAG_01551L,CNAG_01551,219
CNAG_01683L,CNAG_01683,307
CNAG_01983L,CNAG_01983,348
CNAG_01902L,CNAG_01902,9
CNAG_01680L,CNAG_01680,376
CNAG_01621L,CNAG_01621,332
CNAG_01988L,CNAG_01988,291
CNAG_01989L,CNAG_01989,413
CNAG_01939L,CNAG_01939,363
CNAG_01993L,CNAG_01993,342
CNAG_01992L,CNAG_01992,336
CNAG_01965L,CNAG_01965,342
CNAG_01562L,CNAG_01562,251
CNAG_01925L,CNAG_01925,354
CNAG_04756L,CNAG_04756,423
CNAG_04807L,CNAG_04807,425
CNAG_04837L,CNAG_04837,422
CNAG_04836L,CNAG_04836,326
CNAG_04737L,CNAG_04737,486
CNAG_04875L,CNAG_04875,268
CNAG_04874L,CNAG_04874,953
CNAG_04868L,CNAG_04868,112
CNAG_04752L,CNAG_04752,316
CNAG_04753L,CNAG_04753,1583
CNAG_04909L,CNAG_04909,399
CNAG_04908L,CNAG_04908,450
CNAG_04659L,CNAG_04659,246
CNAG_04623L,CNAG_04623,313
CNAG_04518L,CNAG_04518,314
CNAG_04517L,CNAG_04517,414
CNAG_07770L,CNAG_07770,374
CNAG_04436L,CNAG_04436,226
CNAG_04271L,CNAG_04271,238
CNAG_04270L,CNAG_04270,245
CNAG_03346L,CNAG_03346,353
CNAG_03433L,CNAG_03433,381
CNAG_03333L,CNAG_03333,551
CNAG_07742L,CNAG_07742,1123
CNAG_03438L,CNAG_03438,231
CNAG_03223L,CNAG_03223,231
CNAG_03142L,CNAG_03142,313
CNAG_03143L,CNAG_03143,319
CNAG_03545L,CNAG_03545,436
CNAG_03161L,CNAG_03161,30
CNAG_03566L,CNAG_03566,323
