Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,295
CNAG_05387R,CNAG_05387,461
CNAG_05638R,CNAG_05638,209
CNAG_05639R,CNAG_05639,84
CNAG_06346R,CNAG_06346,222
CNAG_06347R,CNAG_06347,242
CNAG_06517R,CNAG_06517,273
CNAG_06201R,CNAG_06201,169
CNAG_06104R,CNAG_06104,192
CNAG_07902R,CNAG_07902,216
CNAG_06241R,CNAG_06241,24
CNAG_06242R,CNAG_06242,26
CNAG_07911R,CNAG_07911,188
CNAG_01683R,CNAG_01683,254
CNAG_01902R,CNAG_01902,247
CNAG_01680R,CNAG_01680,131
CNAG_01989R,CNAG_01989,164
CNAG_01965R,CNAG_01965,237
CNAG_01925R,CNAG_01925,143
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,314
CNAG_04836R,CNAG_04836,186
CNAG_04875R,CNAG_04875,37
CNAG_04868R,CNAG_04868,44
CNAG_04752R,CNAG_04752,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,180
CNAG_04517R,CNAG_04517,194
CNAG_07770R,CNAG_07770,167
CNAG_03333R,CNAG_03333,290
CNAG_07742R,CNAG_07742,198
CNAG_03142R,CNAG_03142,173
CNAG_03566R,CNAG_03566,237
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,140
CNAG_05684R,CNAG_05684,79
CNAG_02189R,CNAG_02189,163
CNAG_02371R,CNAG_02371,268
CNAG_07633R,CNAG_07633,3
CNAG_06719R,CNAG_06719,131
CNAG_03669R,CNAG_03669,274
CNAG_07332R,CNAG_07332,127
CNAG_00285R,CNAG_00285,159
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,275
CNAG_00841R,CNAG_00841,203
CNAG_06531R,CNAG_06531,5
CNAG_03279R,CNAG_03279,184
CNAG_03336R,CNAG_03336,288
CNAG_06339R,CNAG_06339,124
CNAG_03768R,CNAG_03768,29
CNAG_04534R,CNAG_04534,244
CNAG_01973R,CNAG_01973,155
CNAG_07867R,CNAG_07867,205
CNAG_05333R,CNAG_05333,265
CNAG_06425R,CNAG_06425,192
CNAG_03849R,CNAG_03849,231
CNAG_02603R,CNAG_02603,178
CNAG_02555R,CNAG_02555,262
CNAG_02525R,CNAG_02525,30
CNAG_03431R,CNAG_03431,264
CNAG_05049R,CNAG_05049,122
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,3020
CNAG_02476R,CNAG_02476,171
CNAG_07583R,CNAG_07583,247
CNAG_05112R,CNAG_05112,138
CNAG_03366R,CNAG_03366,244
CNAG_04090R,CNAG_04090,625
CNAG_00791R,CNAG_00791,49
CNAG_05375R,CNAG_05375,2256
CNAG_02516R,CNAG_02516,196
CNAG_04804R,CNAG_04804,6
CNAG_07725R,CNAG_07725,3
CNAG_06203R,CNAG_06203,146
CNAG_00193R,CNAG_00193,3
CNAG_01883R,CNAG_01883,471
CNAG_03401R,CNAG_03401,154
CNAG_02435R,CNAG_02435,21
CNAG_05153R,CNAG_05153,11
CNAG_01708R,CNAG_01708,124
CNAG_03700R,CNAG_03700,235
CNAG_05215R,CNAG_05215,79
CNAG_01438R,CNAG_01438,266
CNAG_07464R,CNAG_07464,309
CNAG_01858R,CNAG_01858,212
CNAG_04586R,CNAG_04586,2747
CNAG_05176R,CNAG_05176,148
CNAG_01014R,CNAG_01014,302
CNAG_00998R,CNAG_00998,2
CNAG_01454R,CNAG_01454,223
CNAG_06327R,CNAG_06327,121
CNAG_03788R,CNAG_03788,201
CNAG_00871R,CNAG_00871,289
CNAG_00559R,CNAG_00559,2073
CNAG_07370R,CNAG_07370,234
CNAG_02589R,CNAG_02589,184
CNAG_01645R,CNAG_01645,429
CNAG_01242R,CNAG_01242,63
CNAG_02788R,CNAG_02788,71
CNAG_07435R,CNAG_07435,46
CNAG_07924R,CNAG_07924,1178
CNAG_01071R,CNAG_01071,125
CNAG_00883R,CNAG_00883,252
CNAG_03741R,CNAG_03741,157
CNAG_03745R,CNAG_03745,211
CNAG_00192R,CNAG_00192,188
CNAG_00670R,CNAG_00670,210
CNAG_06871R,CNAG_06871,226
CNAG_04457R,CNAG_04457,225
CNAG_04588R,CNAG_04588,14
