Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,28
CNAG_05515L,CNAG_05515,237
CNAG_05641L,CNAG_05641,171
CNAG_05387L,CNAG_05387,352
CNAG_05590L,CNAG_05590,131
CNAG_07869L,CNAG_07869,290
CNAG_05340L,CNAG_05340,1281
CNAG_05638L,CNAG_05638,199
CNAG_05639L,CNAG_05639,73
CNAG_06346L,CNAG_06346,214
CNAG_06347L,CNAG_06347,252
CNAG_06517L,CNAG_06517,301
CNAG_07939L,CNAG_07939,190
CNAG_06493L,CNAG_06493,138
CNAG_06201L,CNAG_06201,192
CNAG_06104L,CNAG_06104,149
CNAG_06081L,CNAG_06081,927
CNAG_07902L,CNAG_07902,201
CNAG_06241L,CNAG_06241,11
CNAG_06242L,CNAG_06242,34
CNAG_06186L,CNAG_06186,89
CNAG_07911L,CNAG_07911,201
CNAG_01551L,CNAG_01551,27
CNAG_01683L,CNAG_01683,196
CNAG_01983L,CNAG_01983,42
CNAG_01902L,CNAG_01902,301
CNAG_01680L,CNAG_01680,204
CNAG_01621L,CNAG_01621,141
CNAG_01988L,CNAG_01988,141
CNAG_01989L,CNAG_01989,219
CNAG_01939L,CNAG_01939,197
CNAG_01993L,CNAG_01993,179
CNAG_01992L,CNAG_01992,143
CNAG_01965L,CNAG_01965,196
CNAG_01562L,CNAG_01562,194
CNAG_01925L,CNAG_01925,221
CNAG_04756L,CNAG_04756,671
CNAG_04807L,CNAG_04807,97
CNAG_04837L,CNAG_04837,304
CNAG_04836L,CNAG_04836,139
CNAG_04737L,CNAG_04737,250
CNAG_04875L,CNAG_04875,44
CNAG_04874L,CNAG_04874,475
CNAG_04868L,CNAG_04868,54
CNAG_04752L,CNAG_04752,192
CNAG_04753L,CNAG_04753,696
CNAG_04909L,CNAG_04909,232
CNAG_04908L,CNAG_04908,663
CNAG_04659L,CNAG_04659,118
CNAG_04623L,CNAG_04623,138
CNAG_04518L,CNAG_04518,156
CNAG_04517L,CNAG_04517,210
CNAG_07770L,CNAG_07770,162
CNAG_04436L,CNAG_04436,240
CNAG_04271L,CNAG_04271,85
CNAG_04270L,CNAG_04270,88
CNAG_03346L,CNAG_03346,32
CNAG_03433L,CNAG_03433,172
CNAG_03333L,CNAG_03333,245
CNAG_07742L,CNAG_07742,336
