Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,304
CNAG_05387R,CNAG_05387,251
CNAG_05638R,CNAG_05638,208
CNAG_05639R,CNAG_05639,101
CNAG_06346R,CNAG_06346,186
CNAG_06347R,CNAG_06347,35
CNAG_06517R,CNAG_06517,193
CNAG_06201R,CNAG_06201,124
CNAG_06104R,CNAG_06104,158
CNAG_07902R,CNAG_07902,199
CNAG_06241R,CNAG_06241,77
CNAG_06242R,CNAG_06242,48
CNAG_07911R,CNAG_07911,134
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,206
CNAG_01902R,CNAG_01902,19
CNAG_01680R,CNAG_01680,139
CNAG_01989R,CNAG_01989,132
CNAG_01965R,CNAG_01965,183
CNAG_01925R,CNAG_01925,133
CNAG_04837R,CNAG_04837,141
CNAG_04836R,CNAG_04836,149
CNAG_04875R,CNAG_04875,568
CNAG_04868R,CNAG_04868,24
CNAG_04908R,CNAG_04908,1
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,148
CNAG_04517R,CNAG_04517,176
CNAG_07770R,CNAG_07770,201
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,127
CNAG_07742R,CNAG_07742,300
CNAG_03142R,CNAG_03142,134
CNAG_03566R,CNAG_03566,107
CNAG_05867R,CNAG_05867,91
CNAG_05684R,CNAG_05684,5337
CNAG_02189R,CNAG_02189,225
CNAG_02371R,CNAG_02371,308
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,123
CNAG_03669R,CNAG_03669,171
CNAG_07332R,CNAG_07332,108
CNAG_00285R,CNAG_00285,284
CNAG_00830R,CNAG_00830,316
CNAG_00841R,CNAG_00841,209
CNAG_06531R,CNAG_06531,332
CNAG_03279R,CNAG_03279,180
CNAG_03336R,CNAG_03336,182
CNAG_06339R,CNAG_06339,265
CNAG_03768R,CNAG_03768,187
CNAG_04534R,CNAG_04534,143
CNAG_01973R,CNAG_01973,144
CNAG_07867R,CNAG_07867,129
CNAG_05333R,CNAG_05333,206
CNAG_06425R,CNAG_06425,140
CNAG_03849R,CNAG_03849,175
CNAG_02603R,CNAG_02603,165
CNAG_02555R,CNAG_02555,235
CNAG_02525R,CNAG_02525,52
CNAG_03431R,CNAG_03431,84
CNAG_05049R,CNAG_05049,140
CNAG_03914R,CNAG_03914,65
CNAG_02476R,CNAG_02476,153
CNAG_07583R,CNAG_07583,159
CNAG_05112R,CNAG_05112,141
CNAG_03366R,CNAG_03366,203
CNAG_04090R,CNAG_04090,5573
CNAG_00791R,CNAG_00791,42
CNAG_05375R,CNAG_05375,3192
CNAG_02516R,CNAG_02516,179
CNAG_04804R,CNAG_04804,1
