Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,317
CNAG_05515L,CNAG_05515,317
CNAG_05641L,CNAG_05641,279
CNAG_05387L,CNAG_05387,342
CNAG_05590L,CNAG_05590,132
CNAG_07869L,CNAG_07869,307
CNAG_05340L,CNAG_05340,83
CNAG_05638L,CNAG_05638,247
CNAG_05639L,CNAG_05639,126
CNAG_06346L,CNAG_06346,236
CNAG_06347L,CNAG_06347,61
CNAG_06517L,CNAG_06517,334
CNAG_07939L,CNAG_07939,305
CNAG_06493L,CNAG_06493,163
CNAG_06201L,CNAG_06201,269
CNAG_06104L,CNAG_06104,285
CNAG_06081L,CNAG_06081,331
CNAG_07902L,CNAG_07902,284
CNAG_06241L,CNAG_06241,87
CNAG_06242L,CNAG_06242,98
CNAG_06186L,CNAG_06186,212
CNAG_07911L,CNAG_07911,281
CNAG_01551L,CNAG_01551,1114
CNAG_01683L,CNAG_01683,236
CNAG_01983L,CNAG_01983,558
CNAG_01902L,CNAG_01902,42
CNAG_01680L,CNAG_01680,220
CNAG_01621L,CNAG_01621,326
CNAG_01988L,CNAG_01988,172
CNAG_01989L,CNAG_01989,277
CNAG_01939L,CNAG_01939,259
CNAG_01993L,CNAG_01993,219
CNAG_01992L,CNAG_01992,236
CNAG_01965L,CNAG_01965,279
CNAG_01562L,CNAG_01562,225
CNAG_01925L,CNAG_01925,267
CNAG_04756L,CNAG_04756,224
CNAG_04807L,CNAG_04807,479
CNAG_04837L,CNAG_04837,172
CNAG_04836L,CNAG_04836,244
CNAG_04737L,CNAG_04737,605
CNAG_04875L,CNAG_04875,799
CNAG_04874L,CNAG_04874,583
CNAG_04868L,CNAG_04868,36
CNAG_04752L,CNAG_04752,253
CNAG_04753L,CNAG_04753,1164
CNAG_04909L,CNAG_04909,268
CNAG_04908L,CNAG_04908,1273
CNAG_04659L,CNAG_04659,199
CNAG_04623L,CNAG_04623,123
CNAG_04518L,CNAG_04518,161
CNAG_04517L,CNAG_04517,282
CNAG_07770L,CNAG_07770,265
