Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,519
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,445
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,351
CNAG_05639R,CNAG_05639,341
CNAG_06346R,CNAG_06346,415
CNAG_06347R,CNAG_06347,377
CNAG_06517R,CNAG_06517,466
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,326
CNAG_06104R,CNAG_06104,291
CNAG_07902R,CNAG_07902,399
CNAG_06241R,CNAG_06241,262
CNAG_06242R,CNAG_06242,308
CNAG_07911R,CNAG_07911,404
CNAG_01683R,CNAG_01683,390
CNAG_01902R,CNAG_01902,8
CNAG_01680R,CNAG_01680,366
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,258
CNAG_01965R,CNAG_01965,41
CNAG_01925R,CNAG_01925,368
CNAG_04837R,CNAG_04837,428
CNAG_04836R,CNAG_04836,334
CNAG_04875R,CNAG_04875,374
CNAG_04868R,CNAG_04868,101
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,278
CNAG_04517R,CNAG_04517,331
CNAG_07770R,CNAG_07770,370
CNAG_04436R,CNAG_04436,1
CNAG_04271R,CNAG_04271,1
CNAG_03346R,CNAG_03346,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,437
CNAG_07742R,CNAG_07742,747
CNAG_03142R,CNAG_03142,294
CNAG_03566R,CNAG_03566,285
CNAG_06567R,CNAG_06567,3
CNAG_05867R,CNAG_05867,277
CNAG_05684R,CNAG_05684,430
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,383
CNAG_02188R,CNAG_02188,1
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,401
CNAG_07633R,CNAG_07633,2
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,295
CNAG_03669R,CNAG_03669,350
CNAG_07332R,CNAG_07332,277
CNAG_00285R,CNAG_00285,332
CNAG_00830R,CNAG_00830,352
CNAG_00841R,CNAG_00841,366
CNAG_06531R,CNAG_06531,638
CNAG_03279R,CNAG_03279,422
CNAG_03336R,CNAG_03336,505
CNAG_06339R,CNAG_06339,505
CNAG_03768R,CNAG_03768,418
CNAG_04534R,CNAG_04534,377
CNAG_01973R,CNAG_01973,399
CNAG_07867R,CNAG_07867,381
CNAG_05333R,CNAG_05333,376
CNAG_06425R,CNAG_06425,377
CNAG_03849R,CNAG_03849,440
CNAG_02603R,CNAG_02603,315
CNAG_02555R,CNAG_02555,422
CNAG_02525R,CNAG_02525,101
CNAG_03431R,CNAG_03431,388
CNAG_05049R,CNAG_05049,273
CNAG_05380R,CNAG_05380,2
CNAG_03914R,CNAG_03914,397
CNAG_02476R,CNAG_02476,353
CNAG_07583R,CNAG_07583,345
CNAG_05112R,CNAG_05112,285
CNAG_03366R,CNAG_03366,456
CNAG_04090R,CNAG_04090,752
CNAG_00791R,CNAG_00791,337
CNAG_05375R,CNAG_05375,5688
CNAG_02516R,CNAG_02516,332
CNAG_04804R,CNAG_04804,103
CNAG_06203R,CNAG_06203,357
CNAG_01883R,CNAG_01883,830
CNAG_03401R,CNAG_03401,377
CNAG_02435R,CNAG_02435,311
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,263
CNAG_03700R,CNAG_03700,406
CNAG_05215R,CNAG_05215,286
CNAG_01438R,CNAG_01438,247
CNAG_07464R,CNAG_07464,301
CNAG_01858R,CNAG_01858,463
CNAG_04586R,CNAG_04586,205
CNAG_05176R,CNAG_05176,382
CNAG_01014R,CNAG_01014,237
CNAG_01454R,CNAG_01454,367
CNAG_06327R,CNAG_06327,128
CNAG_03788R,CNAG_03788,382
CNAG_00871R,CNAG_00871,480
CNAG_00559R,CNAG_00559,10270
CNAG_07370R,CNAG_07370,414
CNAG_00732R,CNAG_00732,2
CNAG_02589R,CNAG_02589,354
CNAG_01645R,CNAG_01645,870
CNAG_01242R,CNAG_01242,189
CNAG_02788R,CNAG_02788,2
CNAG_07435R,CNAG_07435,9
CNAG_07924R,CNAG_07924,395
CNAG_01071R,CNAG_01071,307
CNAG_00883R,CNAG_00883,344
CNAG_03741R,CNAG_03741,340
CNAG_03745R,CNAG_03745,407
CNAG_00192R,CNAG_00192,429
CNAG_00670R,CNAG_00670,418
CNAG_06871R,CNAG_06871,469
CNAG_04457R,CNAG_04457,375
CNAG_04588R,CNAG_04588,126
CNAG_03894R,CNAG_03894,488
CNAG_04012R,CNAG_04012,231
CNAG_01487R,CNAG_01487,428
CNAG_05170R,CNAG_05170,370
CNAG_02364R,CNAG_02364,374
CNAG_04093R,CNAG_04093,515
CNAG_02322R,CNAG_02322,386
CNAG_05255R,CNAG_05255,371
CNAG_03018R,CNAG_03018,416
CNAG_07901R,CNAG_07901,312
CNAG_03086R,CNAG_03086,387
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,397
CNAG_06136R,CNAG_06136,410
CNAG_03177R,CNAG_03177,415
CNAG_03183R,CNAG_03183,100
CNAG_02877R,CNAG_02877,1
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,559
CNAG_04768R,CNAG_04768,605
CNAG_06276R,CNAG_06276,328
CNAG_05222R,CNAG_05222,52
CNAG_03409R,CNAG_03409,232
CNAG_05622R,CNAG_05622,430
CNAG_04637R,CNAG_04637,282
CNAG_07680R,CNAG_07680,17
