Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,115
CNAG_05515L,CNAG_05515,765
CNAG_05641L,CNAG_05641,618
CNAG_05387L,CNAG_05387,583
CNAG_05590L,CNAG_05590,1825
CNAG_07869L,CNAG_07869,686
CNAG_05340L,CNAG_05340,371
CNAG_05638L,CNAG_05638,597
CNAG_05639L,CNAG_05639,556
CNAG_06346L,CNAG_06346,638
CNAG_06347L,CNAG_06347,553
CNAG_06517L,CNAG_06517,817
CNAG_07939L,CNAG_07939,536
CNAG_06493L,CNAG_06493,484
CNAG_06201L,CNAG_06201,646
CNAG_06104L,CNAG_06104,466
CNAG_06081L,CNAG_06081,677
CNAG_07902L,CNAG_07902,547
CNAG_06241L,CNAG_06241,449
CNAG_06242L,CNAG_06242,477
CNAG_06186L,CNAG_06186,573
CNAG_07911L,CNAG_07911,663
CNAG_01551L,CNAG_01551,342
CNAG_01683L,CNAG_01683,610
CNAG_01983L,CNAG_01983,640
CNAG_01902L,CNAG_01902,12
CNAG_01680L,CNAG_01680,566
CNAG_01621L,CNAG_01621,549
CNAG_01988L,CNAG_01988,470
CNAG_01989L,CNAG_01989,606
CNAG_01939L,CNAG_01939,659
CNAG_01993L,CNAG_01993,564
CNAG_01992L,CNAG_01992,608
CNAG_01965L,CNAG_01965,613
CNAG_01562L,CNAG_01562,403
CNAG_01925L,CNAG_01925,565
CNAG_04756L,CNAG_04756,555
CNAG_04807L,CNAG_04807,788
CNAG_04837L,CNAG_04837,672
CNAG_04836L,CNAG_04836,480
CNAG_04737L,CNAG_04737,783
CNAG_04875L,CNAG_04875,656
CNAG_04874L,CNAG_04874,1456
CNAG_04868L,CNAG_04868,184
CNAG_04752L,CNAG_04752,547
CNAG_04753L,CNAG_04753,4051
CNAG_04909L,CNAG_04909,639
CNAG_04908L,CNAG_04908,549
CNAG_04659L,CNAG_04659,412
CNAG_04623L,CNAG_04623,542
CNAG_04518L,CNAG_04518,403
CNAG_04517L,CNAG_04517,598
CNAG_07770L,CNAG_07770,582
CNAG_04436L,CNAG_04436,450
CNAG_04271L,CNAG_04271,406
CNAG_04270L,CNAG_04270,539
CNAG_03346L,CNAG_03346,831
CNAG_03433L,CNAG_03433,633
CNAG_03333L,CNAG_03333,797
CNAG_07742L,CNAG_07742,1531
CNAG_03438L,CNAG_03438,410
CNAG_03223L,CNAG_03223,465
CNAG_03142L,CNAG_03142,506
CNAG_03143L,CNAG_03143,478
CNAG_03545L,CNAG_03545,791
CNAG_03161L,CNAG_03161,190
CNAG_03566L,CNAG_03566,526
CNAG_05835L,CNAG_05835,604
CNAG_05864L,CNAG_05864,518
CNAG_06567L,CNAG_06567,836
CNAG_05742L,CNAG_05742,121
CNAG_05743L,CNAG_05743,143
CNAG_05867L,CNAG_05867,457
CNAG_05685L,CNAG_05685,1503
CNAG_05684L,CNAG_05684,636
CNAG_05785L,CNAG_05785,471
CNAG_05843L,CNAG_05843,41
CNAG_06554L,CNAG_06554,572
CNAG_02189L,CNAG_02189,598
CNAG_02188L,CNAG_02188,615
CNAG_02182L,CNAG_02182,545
CNAG_07631L,CNAG_07631,668
CNAG_02371L,CNAG_02371,562
CNAG_07633L,CNAG_07633,994
CNAG_01069L,CNAG_01069,590
CNAG_00896L,CNAG_00896,1946
CNAG_06719L,CNAG_06719,122
CNAG_03669L,CNAG_03669,534
CNAG_00031L,CNAG_00031,676
CNAG_07332L,CNAG_07332,446
CNAG_00285L,CNAG_00285,612
CNAG_00828L,CNAG_00828,587
CNAG_00830L,CNAG_00830,593
CNAG_00841L,CNAG_00841,576
CNAG_02774L,CNAG_02774,602
CNAG_06531L,CNAG_06531,1005
CNAG_03279L,CNAG_03279,575
CNAG_03336L,CNAG_03336,765
CNAG_06339L,CNAG_06339,711
CNAG_03768L,CNAG_03768,653
CNAG_04534L,CNAG_04534,631
CNAG_01973L,CNAG_01973,3
CNAG_07867L,CNAG_07867,534
CNAG_05333L,CNAG_05333,726
