Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,376
CNAG_05387R,CNAG_05387,408
CNAG_05341R,CNAG_05341,1
CNAG_05638R,CNAG_05638,278
CNAG_05639R,CNAG_05639,304
CNAG_06346R,CNAG_06346,297
CNAG_06347R,CNAG_06347,275
CNAG_06517R,CNAG_06517,398
CNAG_07939R,CNAG_07939,1
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,265
CNAG_06104R,CNAG_06104,263
CNAG_07902R,CNAG_07902,371
CNAG_06241R,CNAG_06241,207
CNAG_06242R,CNAG_06242,271
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,238
CNAG_01683R,CNAG_01683,319
CNAG_01902R,CNAG_01902,11
CNAG_01680R,CNAG_01680,302
CNAG_01989R,CNAG_01989,217
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,28
CNAG_01925R,CNAG_01925,267
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,314
CNAG_04836R,CNAG_04836,265
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,191
CNAG_04868R,CNAG_04868,53
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,7
CNAG_04659R,CNAG_04659,2
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,253
CNAG_04517R,CNAG_04517,252
CNAG_07770R,CNAG_07770,339
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,383
CNAG_07742R,CNAG_07742,590
CNAG_03142R,CNAG_03142,283
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,281
CNAG_05867R,CNAG_05867,207
CNAG_05684R,CNAG_05684,512
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,393
CNAG_02371R,CNAG_02371,338
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,248
CNAG_03669R,CNAG_03669,320
CNAG_07332R,CNAG_07332,223
CNAG_00285R,CNAG_00285,310
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,303
CNAG_00841R,CNAG_00841,319
CNAG_06531R,CNAG_06531,574
CNAG_03279R,CNAG_03279,329
CNAG_03336R,CNAG_03336,396
CNAG_06339R,CNAG_06339,347
CNAG_03768R,CNAG_03768,369
CNAG_04534R,CNAG_04534,276
CNAG_01973R,CNAG_01973,315
CNAG_07867R,CNAG_07867,274
CNAG_05333R,CNAG_05333,302
CNAG_06425R,CNAG_06425,245
CNAG_03849R,CNAG_03849,340
CNAG_02603R,CNAG_02603,246
CNAG_02555R,CNAG_02555,369
CNAG_02525R,CNAG_02525,90
CNAG_03431R,CNAG_03431,332
CNAG_05049R,CNAG_05049,227
CNAG_03914R,CNAG_03914,359
CNAG_02476R,CNAG_02476,263
CNAG_07583R,CNAG_07583,309
CNAG_05112R,CNAG_05112,271
CNAG_03366R,CNAG_03366,350
CNAG_04090R,CNAG_04090,440
CNAG_00791R,CNAG_00791,321
CNAG_05375R,CNAG_05375,4231
CNAG_02516R,CNAG_02516,301
CNAG_04804R,CNAG_04804,310
CNAG_06203R,CNAG_06203,309
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,636
CNAG_03401R,CNAG_03401,253
CNAG_02435R,CNAG_02435,235
CNAG_05153R,CNAG_05153,9
