Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,159
CNAG_05515L,CNAG_05515,503
CNAG_05641L,CNAG_05641,358
CNAG_05387L,CNAG_05387,87
CNAG_05590L,CNAG_05590,1165
CNAG_07869L,CNAG_07869,440
CNAG_05340L,CNAG_05340,307
CNAG_05638L,CNAG_05638,337
CNAG_05639L,CNAG_05639,312
CNAG_06346L,CNAG_06346,410
CNAG_06347L,CNAG_06347,297
CNAG_06517L,CNAG_06517,521
CNAG_07939L,CNAG_07939,382
CNAG_06493L,CNAG_06493,260
CNAG_06201L,CNAG_06201,372
CNAG_06104L,CNAG_06104,375
CNAG_06081L,CNAG_06081,396
CNAG_07902L,CNAG_07902,350
CNAG_06241L,CNAG_06241,237
CNAG_06242L,CNAG_06242,278
CNAG_06186L,CNAG_06186,117
CNAG_07911L,CNAG_07911,497
CNAG_01551L,CNAG_01551,1004
CNAG_01683L,CNAG_01683,324
CNAG_01983L,CNAG_01983,172
CNAG_01902L,CNAG_01902,40
CNAG_01680L,CNAG_01680,371
CNAG_01621L,CNAG_01621,516
CNAG_01988L,CNAG_01988,297
CNAG_01989L,CNAG_01989,384
CNAG_01939L,CNAG_01939,423
CNAG_01993L,CNAG_01993,257
CNAG_01992L,CNAG_01992,282
CNAG_01965L,CNAG_01965,381
CNAG_01562L,CNAG_01562,398
CNAG_01925L,CNAG_01925,407
CNAG_04756L,CNAG_04756,357
CNAG_04807L,CNAG_04807,984
CNAG_04837L,CNAG_04837,500
CNAG_04836L,CNAG_04836,308
CNAG_04737L,CNAG_04737,586
CNAG_04875L,CNAG_04875,1032
CNAG_04874L,CNAG_04874,1007
CNAG_04868L,CNAG_04868,112
CNAG_04752L,CNAG_04752,373
CNAG_04753L,CNAG_04753,7171
CNAG_04909L,CNAG_04909,358
CNAG_04908L,CNAG_04908,356
CNAG_04659L,CNAG_04659,256
CNAG_04623L,CNAG_04623,246
CNAG_04518L,CNAG_04518,560
CNAG_04517L,CNAG_04517,398
CNAG_07770L,CNAG_07770,332
CNAG_04436L,CNAG_04436,316
CNAG_04271L,CNAG_04271,518
CNAG_04270L,CNAG_04270,1764
CNAG_03346L,CNAG_03346,278
CNAG_03433L,CNAG_03433,361
CNAG_03333L,CNAG_03333,616
CNAG_07742L,CNAG_07742,1006
CNAG_03438L,CNAG_03438,363
CNAG_03223L,CNAG_03223,311
CNAG_03142L,CNAG_03142,289
CNAG_03143L,CNAG_03143,300
CNAG_03545L,CNAG_03545,408
CNAG_03161L,CNAG_03161,200
CNAG_03566L,CNAG_03566,162
CNAG_05835L,CNAG_05835,71
CNAG_05864L,CNAG_05864,229
CNAG_06567L,CNAG_06567,481
CNAG_05742L,CNAG_05742,2121
CNAG_05743L,CNAG_05743,98
CNAG_05867L,CNAG_05867,43
CNAG_05685L,CNAG_05685,986
CNAG_05684L,CNAG_05684,71
CNAG_05785L,CNAG_05785,3294
CNAG_05843L,CNAG_05843,28
CNAG_06554L,CNAG_06554,321
CNAG_02189L,CNAG_02189,393
CNAG_02188L,CNAG_02188,672
CNAG_02182L,CNAG_02182,339
CNAG_07631L,CNAG_07631,444
CNAG_02371L,CNAG_02371,439
CNAG_07633L,CNAG_07633,99
CNAG_01069L,CNAG_01069,395
CNAG_00896L,CNAG_00896,939
CNAG_06719L,CNAG_06719,105
CNAG_03669L,CNAG_03669,325
CNAG_00031L,CNAG_00031,334
CNAG_07332L,CNAG_07332,261
CNAG_00285L,CNAG_00285,389
CNAG_00828L,CNAG_00828,313
CNAG_00830L,CNAG_00830,395
CNAG_00841L,CNAG_00841,354
CNAG_02774L,CNAG_02774,358
CNAG_06531L,CNAG_06531,680
CNAG_03279L,CNAG_03279,427
CNAG_03336L,CNAG_03336,462
CNAG_06339L,CNAG_06339,383
CNAG_03768L,CNAG_03768,408
CNAG_04534L,CNAG_04534,379
CNAG_01973L,CNAG_01973,19
CNAG_07867L,CNAG_07867,311
CNAG_05333L,CNAG_05333,358
CNAG_06425L,CNAG_06425,316
CNAG_03849L,CNAG_03849,823
CNAG_02603L,CNAG_02603,323
CNAG_02555L,CNAG_02555,378
CNAG_03431L,CNAG_03431,54
CNAG_05049L,CNAG_05049,251
CNAG_05380L,CNAG_05380,1966
CNAG_03914L,CNAG_03914,292
CNAG_02476L,CNAG_02476,346
CNAG_07583L,CNAG_07583,389
CNAG_02466L,CNAG_02466,323
CNAG_05112L,CNAG_05112,371
CNAG_03366L,CNAG_03366,502
CNAG_03977L,CNAG_03977,195
CNAG_04090L,CNAG_04090,1890
CNAG_00791L,CNAG_00791,1259
CNAG_06751L,CNAG_06751,264
CNAG_05375L,CNAG_05375,3159
CNAG_02516L,CNAG_02516,332
CNAG_04804L,CNAG_04804,2218
CNAG_00627L,CNAG_00627,438
CNAG_07725L,CNAG_07725,456
CNAG_06203L,CNAG_06203,459
CNAG_00193L,CNAG_00193,17
CNAG_00514L,CNAG_00514,36
CNAG_01883L,CNAG_01883,115
CNAG_03401L,CNAG_03401,346
CNAG_02435L,CNAG_02435,695
CNAG_05153L,CNAG_05153,67
CNAG_01708L,CNAG_01708,176
CNAG_03700L,CNAG_03700,377
CNAG_07320L,CNAG_07320,164
CNAG_05215L,CNAG_05215,263
CNAG_01438L,CNAG_01438,91
CNAG_07464L,CNAG_07464,19
CNAG_01858L,CNAG_01858,503
CNAG_04586L,CNAG_04586,214
CNAG_05093L,CNAG_05093,373
CNAG_05176L,CNAG_05176,314
CNAG_01014L,CNAG_01014,244
CNAG_00998L,CNAG_00998,282
CNAG_00039L,CNAG_00039,71
CNAG_07329L,CNAG_07329,350
CNAG_01454L,CNAG_01454,594
CNAG_02700L,CNAG_02700,9
CNAG_06327L,CNAG_06327,437
CNAG_03788L,CNAG_03788,289
CNAG_00871L,CNAG_00871,408
CNAG_00559L,CNAG_00559,9637
CNAG_07370L,CNAG_07370,434
CNAG_00732L,CNAG_00732,589
CNAG_04630L,CNAG_04630,493
CNAG_07940L,CNAG_07940,360
CNAG_02589L,CNAG_02589,441
CNAG_05067L,CNAG_05067,449
CNAG_01645L,CNAG_01645,833
CNAG_06134L,CNAG_06134,189
CNAG_01242L,CNAG_01242,237
CNAG_02788L,CNAG_02788,425
CNAG_07435L,CNAG_07435,24
CNAG_03998L,CNAG_03998,952
CNAG_07924L,CNAG_07924,121
CNAG_01071L,CNAG_01071,360
CNAG_00883L,CNAG_00883,318
CNAG_03741L,CNAG_03741,278
CNAG_03745L,CNAG_03745,440
CNAG_00192L,CNAG_00192,321
CNAG_00670L,CNAG_00670,360
CNAG_06871L,CNAG_06871,348
CNAG_04457L,CNAG_04457,384
CNAG_02723L,CNAG_02723,351
CNAG_04588L,CNAG_04588,146
CNAG_01977L,CNAG_01977,333
CNAG_03894L,CNAG_03894,477
CNAG_04012L,CNAG_04012,361
CNAG_03561L,CNAG_03561,740
CNAG_05170L,CNAG_05170,1020
CNAG_04041L,CNAG_04041,860
CNAG_02364L,CNAG_02364,367
CNAG_04093L,CNAG_04093,424
CNAG_02322L,CNAG_02322,345
CNAG_04184L,CNAG_04184,367
CNAG_05255L,CNAG_05255,438
CNAG_05642L,CNAG_05642,251
CNAG_03059L,CNAG_03059,307
CNAG_03018L,CNAG_03018,224
CNAG_07901L,CNAG_07901,287
CNAG_03086L,CNAG_03086,267
CNAG_04916L,CNAG_04916,233
CNAG_06097L,CNAG_06097,278
CNAG_03115L,CNAG_03115,329
CNAG_03132L,CNAG_03132,388
CNAG_04841L,CNAG_04841,406
CNAG_06136L,CNAG_06136,1327
CNAG_03177L,CNAG_03177,450
CNAG_03183L,CNAG_03183,374
CNAG_06188L,CNAG_06188,894
CNAG_02877L,CNAG_02877,168
CNAG_04359L,CNAG_04359,653
CNAG_04774L,CNAG_04774,435
CNAG_04768L,CNAG_04768,595
CNAG_02066L,CNAG_02066,417
CNAG_07922L,CNAG_07922,353
CNAG_06276L,CNAG_06276,362
CNAG_05222L,CNAG_05222,31
CNAG_03409L,CNAG_03409,1210
CNAG_05622L,CNAG_05622,793
CNAG_04637L,CNAG_04637,329
CNAG_07680L,CNAG_07680,47
CNAG_02215L,CNAG_02215,38
CNAG_00564L,CNAG_00564,1510
CNAG_02387L,CNAG_02387,413
CNAG_04086L,CNAG_04086,610
CNAG_05697L,CNAG_05697,619
CNAG_02697L,CNAG_02697,334
CNAG_06205L,CNAG_06205,308
CNAG_05372L,CNAG_05372,214
CNAG_04507L,CNAG_04507,419
CNAG_04506L,CNAG_04506,501
CNAG_00068L,CNAG_00068,4377
CNAG_05138L,CNAG_05138,202
CNAG_00733L,CNAG_00733,333
CNAG_03910L,CNAG_03910,451
CNAG_04059L,CNAG_04059,1559
CNAG_07491L,CNAG_07491,450
CNAG_05181L,CNAG_05181,793
CNAG_03915L,CNAG_03915,310
CNAG_03772L,CNAG_03772,627
CNAG_00445L,CNAG_00445,1782
CNAG_01901L,CNAG_01901,546
CNAG_05313L,CNAG_05313,569
CNAG_05312L,CNAG_05312,333
CNAG_03012L,CNAG_03012,256
CNAG_03011L,CNAG_03011,334
CNAG_06200L,CNAG_06200,119
CNAG_02682L,CNAG_02682,301
CNAG_02683L,CNAG_02683,397
CNAG_00442L,CNAG_00442,487
CNAG_00183L,CNAG_00183,60
CNAG_07548L,CNAG_07548,1383
CNAG_01277L,CNAG_01277,405
CNAG_07512L,CNAG_07512,1946
CNAG_01230L,CNAG_01230,515
CNAG_05264L,CNAG_05264,1277
CNAG_05263L,CNAG_05263,344
CNAG_01681L,CNAG_01681,295
CNAG_01040L,CNAG_01040,128
CNAG_00179L,CNAG_00179,339
CNAG_00547L,CNAG_00547,537
CNAG_00598L,CNAG_00598,316
CNAG_05229L,CNAG_05229,323
CNAG_01138L,CNAG_01138,354
CNAG_00597L,CNAG_00597,336
CNAG_02797L,CNAG_02797,471
CNAG_02219L,CNAG_02219,484
CNAG_02220L,CNAG_02220,365
CNAG_00674L,CNAG_00674,624
CNAG_03013L,CNAG_03013,66
CNAG_07540L,CNAG_07540,557
CNAG_04981L,CNAG_04981,339
CNAG_04980L,CNAG_04980,113
CNAG_00456L,CNAG_00456,344
CNAG_00455L,CNAG_00455,309
CNAG_02152L,CNAG_02152,392
CNAG_00107L,CNAG_00107,297
CNAG_00106L,CNAG_00106,169
CNAG_01061L,CNAG_01061,438
CNAG_03847L,CNAG_03847,324
CNAG_03848L,CNAG_03848,342
CNAG_01013L,CNAG_01013,272
CNAG_02777L,CNAG_02777,299
CNAG_07523L,CNAG_07523,303
CNAG_04990L,CNAG_04990,9
CNAG_04991L,CNAG_04991,104
CNAG_00531L,CNAG_00531,378
CNAG_05159L,CNAG_05159,317
CNAG_05079L,CNAG_05079,533
CNAG_05080L,CNAG_05080,421
CNAG_04869L,CNAG_04869,355
CNAG_00164L,CNAG_00164,363
CNAG_04077L,CNAG_04077,405
CNAG_01082L,CNAG_01082,394
CNAG_04658L,CNAG_04658,354
CNAG_03727L,CNAG_03727,249
CNAG_03676L,CNAG_03676,390
CNAG_03677L,CNAG_03677,378
CNAG_03841L,CNAG_03841,90
CNAG_06761L,CNAG_06761,302
CNAG_06760L,CNAG_06760,318
CNAG_05076L,CNAG_05076,439
CNAG_05077L,CNAG_05077,427
CNAG_02553L,CNAG_02553,1736
CNAG_02554L,CNAG_02554,1031
CNAG_00546L,CNAG_00546,229
CNAG_00702L,CNAG_00702,343
CNAG_00897L,CNAG_00897,261
CNAG_05148L,CNAG_05148,218
CNAG_05147L,CNAG_05147,305
CNAG_01126L,CNAG_01126,4
CNAG_00776L,CNAG_00776,12
CNAG_01446L,CNAG_01446,536
CNAG_04024L,CNAG_04024,481
CNAG_04025L,CNAG_04025,484
CNAG_02348L,CNAG_02348,379
CNAG_02347L,CNAG_02347,547
CNAG_00394L,CNAG_00394,62
CNAG_00393L,CNAG_00393,526
CNAG_06555L,CNAG_06555,403
CNAG_01019L,CNAG_01019,275
CNAG_01803L,CNAG_01803,511
CNAG_00374L,CNAG_00374,349
CNAG_00654L,CNAG_00654,286
CNAG_07541L,CNAG_07541,280
CNAG_07542L,CNAG_07542,426
CNAG_00363L,CNAG_00363,305
CNAG_05915L,CNAG_05915,434
CNAG_05916L,CNAG_05916,295
