Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,337
CNAG_05387R,CNAG_05387,68
CNAG_05638R,CNAG_05638,247
CNAG_05639R,CNAG_05639,157
CNAG_06346R,CNAG_06346,252
CNAG_06347R,CNAG_06347,206
CNAG_06517R,CNAG_06517,311
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,189
CNAG_06104R,CNAG_06104,250
CNAG_07902R,CNAG_07902,196
CNAG_06241R,CNAG_06241,153
CNAG_06242R,CNAG_06242,170
CNAG_07911R,CNAG_07911,182
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,251
CNAG_01902R,CNAG_01902,8
CNAG_01680R,CNAG_01680,203
CNAG_01989R,CNAG_01989,127
CNAG_01965R,CNAG_01965,238
CNAG_01925R,CNAG_01925,180
CNAG_04837R,CNAG_04837,379
CNAG_04836R,CNAG_04836,194
CNAG_04875R,CNAG_04875,558
CNAG_04868R,CNAG_04868,95
CNAG_04518R,CNAG_04518,322
CNAG_04517R,CNAG_04517,226
CNAG_07770R,CNAG_07770,201
CNAG_03333R,CNAG_03333,377
CNAG_07742R,CNAG_07742,428
CNAG_03142R,CNAG_03142,157
CNAG_03566R,CNAG_03566,114
CNAG_05742R,CNAG_05742,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,12
CNAG_05684R,CNAG_05684,34
CNAG_02189R,CNAG_02189,246
CNAG_02371R,CNAG_02371,238
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,147
CNAG_03669R,CNAG_03669,208
CNAG_07332R,CNAG_07332,189
CNAG_00285R,CNAG_00285,207
CNAG_00830R,CNAG_00830,187
CNAG_00841R,CNAG_00841,213
CNAG_06531R,CNAG_06531,387
CNAG_03279R,CNAG_03279,216
CNAG_03336R,CNAG_03336,359
CNAG_06339R,CNAG_06339,275
CNAG_03768R,CNAG_03768,259
CNAG_04534R,CNAG_04534,192
CNAG_01973R,CNAG_01973,147
CNAG_07867R,CNAG_07867,177
CNAG_05333R,CNAG_05333,247
CNAG_06425R,CNAG_06425,184
CNAG_03849R,CNAG_03849,248
CNAG_02603R,CNAG_02603,175
CNAG_02555R,CNAG_02555,225
CNAG_02525R,CNAG_02525,51
CNAG_03431R,CNAG_03431,34
CNAG_05049R,CNAG_05049,167
CNAG_03914R,CNAG_03914,214
CNAG_02476R,CNAG_02476,178
CNAG_07583R,CNAG_07583,240
CNAG_05112R,CNAG_05112,156
CNAG_03366R,CNAG_03366,249
CNAG_04090R,CNAG_04090,1066
CNAG_00791R,CNAG_00791,604
CNAG_05375R,CNAG_05375,2138
CNAG_02516R,CNAG_02516,209
CNAG_04804R,CNAG_04804,1424
CNAG_06203R,CNAG_06203,283
CNAG_00193R,CNAG_00193,7
CNAG_01883R,CNAG_01883,56
CNAG_03401R,CNAG_03401,256
CNAG_02435R,CNAG_02435,360
CNAG_05153R,CNAG_05153,15
CNAG_01708R,CNAG_01708,101
CNAG_03700R,CNAG_03700,297
CNAG_05215R,CNAG_05215,175
CNAG_01438R,CNAG_01438,45
CNAG_07464R,CNAG_07464,18
CNAG_01858R,CNAG_01858,309
CNAG_04586R,CNAG_04586,98
CNAG_05176R,CNAG_05176,191
CNAG_01014R,CNAG_01014,117
CNAG_01454R,CNAG_01454,366
CNAG_06327R,CNAG_06327,199
CNAG_03788R,CNAG_03788,174
CNAG_00871R,CNAG_00871,189
CNAG_00559R,CNAG_00559,5630
CNAG_07370R,CNAG_07370,274
CNAG_02589R,CNAG_02589,279
CNAG_01645R,CNAG_01645,514
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,175
CNAG_02788R,CNAG_02788,162
CNAG_07435R,CNAG_07435,9
CNAG_07924R,CNAG_07924,90
CNAG_01071R,CNAG_01071,180
CNAG_00883R,CNAG_00883,219
CNAG_03741R,CNAG_03741,201
CNAG_03745R,CNAG_03745,216
CNAG_00192R,CNAG_00192,282
CNAG_00670R,CNAG_00670,237
CNAG_06871R,CNAG_06871,236
CNAG_04457R,CNAG_04457,218
CNAG_04588R,CNAG_04588,83
CNAG_03894R,CNAG_03894,302
CNAG_04012R,CNAG_04012,293
CNAG_01487R,CNAG_01487,291
CNAG_03561R,CNAG_03561,1
CNAG_05170R,CNAG_05170,547
CNAG_02364R,CNAG_02364,223
CNAG_04093R,CNAG_04093,248
CNAG_02322R,CNAG_02322,202
CNAG_05255R,CNAG_05255,245
CNAG_03018R,CNAG_03018,171
CNAG_07901R,CNAG_07901,191
CNAG_03086R,CNAG_03086,138
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,189
CNAG_06136R,CNAG_06136,464
CNAG_03177R,CNAG_03177,184
CNAG_03183R,CNAG_03183,199
CNAG_04774R,CNAG_04774,213
CNAG_04768R,CNAG_04768,341
CNAG_06276R,CNAG_06276,249
CNAG_05222R,CNAG_05222,7
CNAG_03409R,CNAG_03409,581
CNAG_05622R,CNAG_05622,280
CNAG_04637R,CNAG_04637,166
CNAG_07680R,CNAG_07680,28
CNAG_02215R,CNAG_02215,11
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,198
CNAG_04086R,CNAG_04086,280
CNAG_05697R,CNAG_05697,325
CNAG_04507R,CNAG_04507,273
CNAG_04506R,CNAG_04506,242
CNAG_00068R,CNAG_00068,355
CNAG_00733R,CNAG_00733,203
CNAG_03910R,CNAG_03910,229
CNAG_04059R,CNAG_04059,193
CNAG_07491R,CNAG_07491,235
CNAG_05181R,CNAG_05181,380
CNAG_03772R,CNAG_03772,464
CNAG_00445R,CNAG_00445,941
CNAG_01901R,CNAG_01901,318
CNAG_05313R,CNAG_05313,443
CNAG_05312R,CNAG_05312,239
CNAG_03012R,CNAG_03012,1
CNAG_00442R,CNAG_00442,266
CNAG_07548R,CNAG_07548,1
CNAG_01277R,CNAG_01277,298
CNAG_01230R,CNAG_01230,289
CNAG_00179R,CNAG_00179,1
CNAG_00547R,CNAG_00547,188
CNAG_00598R,CNAG_00598,165
CNAG_01138R,CNAG_01138,1
CNAG_02797R,CNAG_02797,1
CNAG_02219R,CNAG_02219,320
CNAG_02220R,CNAG_02220,1
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,17
CNAG_07540R,CNAG_07540,302
CNAG_04980R,CNAG_04980,48
CNAG_00456R,CNAG_00456,240
CNAG_00455R,CNAG_00455,191
CNAG_00107R,CNAG_00107,225
CNAG_01061R,CNAG_01061,251
CNAG_01013R,CNAG_01013,158
CNAG_05080R,CNAG_05080,220
CNAG_00164R,CNAG_00164,190
CNAG_03677R,CNAG_03677,212
CNAG_05077R,CNAG_05077,269
CNAG_02554R,CNAG_02554,1
CNAG_00776R,CNAG_00776,1
CNAG_04024R,CNAG_04024,273
CNAG_04025R,CNAG_04025,282
CNAG_01019R,CNAG_01019,163
CNAG_01803R,CNAG_01803,286
CNAG_07541R,CNAG_07541,166
CNAG_07542R,CNAG_07542,232
