Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,663
CNAG_05387R,CNAG_05387,580
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,342
CNAG_05639R,CNAG_05639,411
CNAG_06346R,CNAG_06346,423
CNAG_06347R,CNAG_06347,376
CNAG_06517R,CNAG_06517,511
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,409
CNAG_06104R,CNAG_06104,365
CNAG_07902R,CNAG_07902,486
CNAG_06241R,CNAG_06241,308
CNAG_06242R,CNAG_06242,362
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,492
CNAG_01683R,CNAG_01683,498
CNAG_01983R,CNAG_01983,2
CNAG_01902R,CNAG_01902,10
CNAG_01680R,CNAG_01680,462
CNAG_01989R,CNAG_01989,314
CNAG_01993R,CNAG_01993,2
CNAG_01965R,CNAG_01965,51
CNAG_01925R,CNAG_01925,366
CNAG_04837R,CNAG_04837,475
CNAG_04836R,CNAG_04836,437
CNAG_04875R,CNAG_04875,357
CNAG_04868R,CNAG_04868,128
CNAG_04753R,CNAG_04753,2
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,340
CNAG_04517R,CNAG_04517,371
CNAG_07770R,CNAG_07770,488
CNAG_03333R,CNAG_03333,538
CNAG_07742R,CNAG_07742,877
CNAG_03142R,CNAG_03142,366
CNAG_03566R,CNAG_03566,379
CNAG_05864R,CNAG_05864,2
CNAG_06567R,CNAG_06567,2
CNAG_05867R,CNAG_05867,304
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,402
CNAG_02189R,CNAG_02189,460
CNAG_02371R,CNAG_02371,443
CNAG_07633R,CNAG_07633,2
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,324
CNAG_03669R,CNAG_03669,421
CNAG_07332R,CNAG_07332,284
CNAG_00285R,CNAG_00285,449
CNAG_00828R,CNAG_00828,2
CNAG_00830R,CNAG_00830,463
CNAG_00841R,CNAG_00841,467
CNAG_06531R,CNAG_06531,784
CNAG_03279R,CNAG_03279,480
CNAG_03336R,CNAG_03336,539
CNAG_06339R,CNAG_06339,595
CNAG_03768R,CNAG_03768,537
CNAG_04534R,CNAG_04534,389
CNAG_01973R,CNAG_01973,472
CNAG_07867R,CNAG_07867,466
CNAG_05333R,CNAG_05333,488
CNAG_06425R,CNAG_06425,410
CNAG_03849R,CNAG_03849,494
CNAG_02603R,CNAG_02603,369
CNAG_02555R,CNAG_02555,524
CNAG_02525R,CNAG_02525,104
CNAG_03431R,CNAG_03431,543
CNAG_05049R,CNAG_05049,279
CNAG_03914R,CNAG_03914,508
CNAG_02476R,CNAG_02476,373
CNAG_07583R,CNAG_07583,410
CNAG_05112R,CNAG_05112,406
CNAG_03366R,CNAG_03366,546
CNAG_04090R,CNAG_04090,862
CNAG_00791R,CNAG_00791,371
CNAG_05375R,CNAG_05375,6583
CNAG_02516R,CNAG_02516,392
CNAG_04804R,CNAG_04804,277
CNAG_06203R,CNAG_06203,411
CNAG_00193R,CNAG_00193,2
CNAG_01883R,CNAG_01883,1095
CNAG_03401R,CNAG_03401,433
CNAG_02435R,CNAG_02435,417
CNAG_05153R,CNAG_05153,9
CNAG_01708R,CNAG_01708,369
CNAG_03700R,CNAG_03700,436
CNAG_05215R,CNAG_05215,318
CNAG_01438R,CNAG_01438,192
CNAG_07464R,CNAG_07464,259
CNAG_01858R,CNAG_01858,557
CNAG_04586R,CNAG_04586,80
CNAG_05176R,CNAG_05176,443
CNAG_01014R,CNAG_01014,279
CNAG_01454R,CNAG_01454,439
CNAG_06327R,CNAG_06327,170
CNAG_03788R,CNAG_03788,422
CNAG_00871R,CNAG_00871,472
CNAG_00559R,CNAG_00559,12500
CNAG_07370R,CNAG_07370,500
CNAG_00732R,CNAG_00732,1
CNAG_02589R,CNAG_02589,445
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,1158
CNAG_01242R,CNAG_01242,257
CNAG_02788R,CNAG_02788,35
CNAG_07435R,CNAG_07435,2
CNAG_07924R,CNAG_07924,505
CNAG_01071R,CNAG_01071,421
CNAG_00883R,CNAG_00883,420
CNAG_03741R,CNAG_03741,412
CNAG_03745R,CNAG_03745,470
CNAG_00192R,CNAG_00192,459
CNAG_00670R,CNAG_00670,503
CNAG_06871R,CNAG_06871,563
CNAG_04457R,CNAG_04457,454
CNAG_04588R,CNAG_04588,101
CNAG_03894R,CNAG_03894,519
CNAG_04012R,CNAG_04012,270
CNAG_01487R,CNAG_01487,430
CNAG_05170R,CNAG_05170,457
CNAG_02364R,CNAG_02364,454
CNAG_04093R,CNAG_04093,555
CNAG_02322R,CNAG_02322,429
CNAG_04184R,CNAG_04184,1
CNAG_05255R,CNAG_05255,499
CNAG_03018R,CNAG_03018,430
CNAG_07901R,CNAG_07901,406
CNAG_03086R,CNAG_03086,478
CNAG_06097R,CNAG_06097,418
CNAG_03132R,CNAG_03132,1
CNAG_06136R,CNAG_06136,420
CNAG_03177R,CNAG_03177,482
CNAG_03183R,CNAG_03183,173
CNAG_06188R,CNAG_06188,1
CNAG_04774R,CNAG_04774,666
CNAG_04768R,CNAG_04768,699
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,382
CNAG_05222R,CNAG_05222,34
CNAG_03409R,CNAG_03409,312
CNAG_05622R,CNAG_05622,520
CNAG_04637R,CNAG_04637,340
CNAG_07680R,CNAG_07680,5
CNAG_02387R,CNAG_02387,536
CNAG_04086R,CNAG_04086,563
CNAG_05697R,CNAG_05697,723
CNAG_04507R,CNAG_04507,404
CNAG_04506R,CNAG_04506,437
CNAG_00068R,CNAG_00068,654
CNAG_00733R,CNAG_00733,472
CNAG_03910R,CNAG_03910,424
CNAG_04059R,CNAG_04059,412
CNAG_07491R,CNAG_07491,466
CNAG_05181R,CNAG_05181,323
CNAG_03772R,CNAG_03772,450
CNAG_00445R,CNAG_00445,472
CNAG_01901R,CNAG_01901,621
CNAG_05313R,CNAG_05313,343
CNAG_05312R,CNAG_05312,478
CNAG_03011R,CNAG_03011,1
CNAG_00442R,CNAG_00442,539
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,646
CNAG_01230R,CNAG_01230,319
CNAG_05264R,CNAG_05264,1
CNAG_05263R,CNAG_05263,1
CNAG_00547R,CNAG_00547,424
CNAG_00598R,CNAG_00598,502
CNAG_02219R,CNAG_02219,609
CNAG_03013R,CNAG_03013,331
CNAG_07540R,CNAG_07540,851
CNAG_04981R,CNAG_04981,1
CNAG_04980R,CNAG_04980,55
CNAG_00456R,CNAG_00456,446
CNAG_00455R,CNAG_00455,488
CNAG_00107R,CNAG_00107,348
CNAG_01061R,CNAG_01061,501
CNAG_01013R,CNAG_01013,62
CNAG_07523R,CNAG_07523,2
CNAG_05080R,CNAG_05080,377
CNAG_00164R,CNAG_00164,378
CNAG_03677R,CNAG_03677,468
CNAG_05077R,CNAG_05077,486
CNAG_02554R,CNAG_02554,1
CNAG_00897R,CNAG_00897,1
CNAG_00776R,CNAG_00776,80
CNAG_04024R,CNAG_04024,557
CNAG_04025R,CNAG_04025,490
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,37
CNAG_01803R,CNAG_01803,522
CNAG_00654R,CNAG_00654,1
CNAG_07541R,CNAG_07541,398
CNAG_07542R,CNAG_07542,499
