Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,13
CNAG_05515L,CNAG_05515,17
CNAG_05641L,CNAG_05641,22
CNAG_05387L,CNAG_05387,29
CNAG_05590L,CNAG_05590,35
CNAG_07869L,CNAG_07869,16
CNAG_05340L,CNAG_05340,13
CNAG_05638L,CNAG_05638,13
CNAG_05639L,CNAG_05639,40
CNAG_06346L,CNAG_06346,19
CNAG_06347L,CNAG_06347,5
CNAG_06517L,CNAG_06517,25
CNAG_07939L,CNAG_07939,16
CNAG_06493L,CNAG_06493,15
CNAG_06201L,CNAG_06201,19
CNAG_06104L,CNAG_06104,16
CNAG_06081L,CNAG_06081,22
CNAG_07902L,CNAG_07902,15
CNAG_06241L,CNAG_06241,16
CNAG_06242L,CNAG_06242,15
CNAG_06186L,CNAG_06186,9
CNAG_07911L,CNAG_07911,21
CNAG_01551L,CNAG_01551,33
CNAG_01683L,CNAG_01683,20
CNAG_01983L,CNAG_01983,34
CNAG_01680L,CNAG_01680,25
CNAG_01621L,CNAG_01621,27
CNAG_01988L,CNAG_01988,15
CNAG_01989L,CNAG_01989,24
CNAG_01939L,CNAG_01939,20
CNAG_01993L,CNAG_01993,14
CNAG_01992L,CNAG_01992,19
CNAG_01965L,CNAG_01965,17
CNAG_01562L,CNAG_01562,23
CNAG_01925L,CNAG_01925,21
CNAG_04756L,CNAG_04756,22
CNAG_04807L,CNAG_04807,32
CNAG_04837L,CNAG_04837,14
CNAG_04836L,CNAG_04836,15
CNAG_04737L,CNAG_04737,20
CNAG_04875L,CNAG_04875,40
CNAG_04874L,CNAG_04874,25
CNAG_04868L,CNAG_04868,1
CNAG_04752L,CNAG_04752,23
CNAG_04753L,CNAG_04753,66
CNAG_04909L,CNAG_04909,10
CNAG_04908L,CNAG_04908,35
CNAG_04659L,CNAG_04659,10
CNAG_04623L,CNAG_04623,19
CNAG_04518L,CNAG_04518,31
CNAG_04517L,CNAG_04517,14
CNAG_07770L,CNAG_07770,14
CNAG_04436L,CNAG_04436,22
CNAG_04271L,CNAG_04271,6
CNAG_04270L,CNAG_04270,10
CNAG_03346L,CNAG_03346,466
CNAG_03433L,CNAG_03433,23
CNAG_03333L,CNAG_03333,13
CNAG_07742L,CNAG_07742,49
CNAG_03438L,CNAG_03438,25
CNAG_03223L,CNAG_03223,11
CNAG_03142L,CNAG_03142,14
CNAG_03143L,CNAG_03143,18
CNAG_03545L,CNAG_03545,23
CNAG_03161L,CNAG_03161,4
CNAG_03566L,CNAG_03566,18
CNAG_05835L,CNAG_05835,44
CNAG_05864L,CNAG_05864,12
CNAG_06567L,CNAG_06567,15
CNAG_05742L,CNAG_05742,32
CNAG_05743L,CNAG_05743,2
CNAG_05867L,CNAG_05867,12
CNAG_05685L,CNAG_05685,45
CNAG_05684L,CNAG_05684,18
CNAG_05785L,CNAG_05785,9
CNAG_05843L,CNAG_05843,8
CNAG_06554L,CNAG_06554,17
CNAG_02189L,CNAG_02189,21
CNAG_02188L,CNAG_02188,23
CNAG_02182L,CNAG_02182,11
CNAG_07631L,CNAG_07631,17
CNAG_02371L,CNAG_02371,15
CNAG_07633L,CNAG_07633,3
CNAG_01069L,CNAG_01069,8
CNAG_00896L,CNAG_00896,77
CNAG_06719L,CNAG_06719,3
CNAG_03669L,CNAG_03669,15
CNAG_00031L,CNAG_00031,19
CNAG_07332L,CNAG_07332,15
CNAG_00285L,CNAG_00285,27
CNAG_00828L,CNAG_00828,27
CNAG_00830L,CNAG_00830,40
CNAG_00841L,CNAG_00841,21
CNAG_02774L,CNAG_02774,17
CNAG_06531L,CNAG_06531,30
CNAG_03279L,CNAG_03279,12
CNAG_03336L,CNAG_03336,30
CNAG_06339L,CNAG_06339,17
CNAG_03768L,CNAG_03768,24
CNAG_04534L,CNAG_04534,18
CNAG_01973L,CNAG_01973,1
CNAG_07867L,CNAG_07867,10
CNAG_05333L,CNAG_05333,22
CNAG_06425L,CNAG_06425,15
CNAG_03849L,CNAG_03849,44
CNAG_02603L,CNAG_02603,16
CNAG_02555L,CNAG_02555,42
CNAG_03431L,CNAG_03431,3
CNAG_05049L,CNAG_05049,16
CNAG_05380L,CNAG_05380,23
CNAG_03914L,CNAG_03914,16
CNAG_02476L,CNAG_02476,19
CNAG_07583L,CNAG_07583,25
CNAG_02466L,CNAG_02466,14
CNAG_05112L,CNAG_05112,20
CNAG_03366L,CNAG_03366,25
CNAG_03977L,CNAG_03977,9
