Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,710
CNAG_05387R,CNAG_05387,612
CNAG_05638R,CNAG_05638,475
CNAG_05639R,CNAG_05639,430
CNAG_06346R,CNAG_06346,477
CNAG_06347R,CNAG_06347,427
CNAG_06517R,CNAG_06517,605
CNAG_06201R,CNAG_06201,446
CNAG_06104R,CNAG_06104,378
CNAG_07902R,CNAG_07902,515
CNAG_06241R,CNAG_06241,361
CNAG_06242R,CNAG_06242,383
CNAG_07911R,CNAG_07911,512
CNAG_01683R,CNAG_01683,526
CNAG_01902R,CNAG_01902,6
CNAG_01680R,CNAG_01680,438
CNAG_01989R,CNAG_01989,323
CNAG_01965R,CNAG_01965,63
CNAG_01925R,CNAG_01925,398
CNAG_04837R,CNAG_04837,535
CNAG_04836R,CNAG_04836,435
CNAG_04875R,CNAG_04875,549
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,127
CNAG_04753R,CNAG_04753,4
CNAG_04908R,CNAG_04908,1
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,342
CNAG_04517R,CNAG_04517,487
CNAG_07770R,CNAG_07770,512
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,645
CNAG_07742R,CNAG_07742,958
CNAG_03142R,CNAG_03142,429
CNAG_03143R,CNAG_03143,1
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,402
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,349
CNAG_05684R,CNAG_05684,479
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,464
CNAG_02371R,CNAG_02371,437
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,340
CNAG_03669R,CNAG_03669,466
CNAG_07332R,CNAG_07332,293
CNAG_00285R,CNAG_00285,522
CNAG_00830R,CNAG_00830,472
CNAG_00841R,CNAG_00841,546
CNAG_06531R,CNAG_06531,733
CNAG_03279R,CNAG_03279,530
CNAG_03336R,CNAG_03336,644
CNAG_06339R,CNAG_06339,667
CNAG_03768R,CNAG_03768,547
CNAG_04534R,CNAG_04534,473
CNAG_01973R,CNAG_01973,545
CNAG_07867R,CNAG_07867,494
CNAG_05333R,CNAG_05333,583
CNAG_06425R,CNAG_06425,396
CNAG_03849R,CNAG_03849,554
CNAG_02603R,CNAG_02603,411
CNAG_02555R,CNAG_02555,536
CNAG_02525R,CNAG_02525,135
CNAG_03431R,CNAG_03431,502
CNAG_05049R,CNAG_05049,355
CNAG_03914R,CNAG_03914,519
CNAG_02476R,CNAG_02476,451
CNAG_07583R,CNAG_07583,415
CNAG_02466R,CNAG_02466,3
CNAG_05112R,CNAG_05112,463
CNAG_03366R,CNAG_03366,604
CNAG_04090R,CNAG_04090,1038
CNAG_00791R,CNAG_00791,458
CNAG_05375R,CNAG_05375,7404
CNAG_02516R,CNAG_02516,448
CNAG_04804R,CNAG_04804,164
CNAG_06203R,CNAG_06203,455
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,1116
CNAG_03401R,CNAG_03401,475
CNAG_02435R,CNAG_02435,449
CNAG_05153R,CNAG_05153,14
CNAG_01708R,CNAG_01708,329
CNAG_03700R,CNAG_03700,498
CNAG_05215R,CNAG_05215,345
CNAG_01438R,CNAG_01438,278
CNAG_07464R,CNAG_07464,370
CNAG_01858R,CNAG_01858,598
CNAG_04586R,CNAG_04586,145
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,558
CNAG_01014R,CNAG_01014,263
CNAG_01454R,CNAG_01454,519
CNAG_06327R,CNAG_06327,181
CNAG_03788R,CNAG_03788,486
CNAG_00871R,CNAG_00871,503
CNAG_00559R,CNAG_00559,12776
CNAG_07370R,CNAG_07370,582
CNAG_02589R,CNAG_02589,476
CNAG_01645R,CNAG_01645,1238
CNAG_01242R,CNAG_01242,278
CNAG_02788R,CNAG_02788,3
CNAG_07435R,CNAG_07435,6
CNAG_03998R,CNAG_03998,1
CNAG_07924R,CNAG_07924,584
CNAG_01071R,CNAG_01071,457
CNAG_00883R,CNAG_00883,407
CNAG_03741R,CNAG_03741,413
CNAG_03745R,CNAG_03745,468
CNAG_00192R,CNAG_00192,462
CNAG_00670R,CNAG_00670,543
CNAG_06871R,CNAG_06871,625
CNAG_04457R,CNAG_04457,540
CNAG_04588R,CNAG_04588,165
CNAG_03894R,CNAG_03894,642
CNAG_04012R,CNAG_04012,303
CNAG_01487R,CNAG_01487,539
CNAG_05170R,CNAG_05170,492
CNAG_02364R,CNAG_02364,509
CNAG_04093R,CNAG_04093,562
CNAG_02322R,CNAG_02322,496
CNAG_04184R,CNAG_04184,1
CNAG_05255R,CNAG_05255,558
CNAG_05642R,CNAG_05642,1
CNAG_03018R,CNAG_03018,503
CNAG_07901R,CNAG_07901,411
CNAG_03086R,CNAG_03086,447
CNAG_06097R,CNAG_06097,468
CNAG_03115R,CNAG_03115,1
CNAG_03132R,CNAG_03132,1
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,505
CNAG_03177R,CNAG_03177,584
CNAG_03183R,CNAG_03183,121
CNAG_02877R,CNAG_02877,1
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,737
CNAG_04768R,CNAG_04768,870
CNAG_06276R,CNAG_06276,394
CNAG_05222R,CNAG_05222,89
CNAG_03409R,CNAG_03409,336
CNAG_05622R,CNAG_05622,549
CNAG_04637R,CNAG_04637,383
CNAG_07680R,CNAG_07680,8
CNAG_02215R,CNAG_02215,5
CNAG_02387R,CNAG_02387,591
