Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,91
CNAG_05515L,CNAG_05515,499
CNAG_05641L,CNAG_05641,383
CNAG_05387L,CNAG_05387,424
CNAG_05590L,CNAG_05590,1044
CNAG_07869L,CNAG_07869,477
CNAG_05340L,CNAG_05340,252
CNAG_05638L,CNAG_05638,376
CNAG_05639L,CNAG_05639,325
CNAG_06346L,CNAG_06346,409
CNAG_06347L,CNAG_06347,293
CNAG_06517L,CNAG_06517,458
CNAG_07939L,CNAG_07939,337
CNAG_06493L,CNAG_06493,254
CNAG_06201L,CNAG_06201,421
CNAG_06104L,CNAG_06104,313
CNAG_06081L,CNAG_06081,377
CNAG_07902L,CNAG_07902,310
CNAG_06241L,CNAG_06241,205
CNAG_06242L,CNAG_06242,262
CNAG_06186L,CNAG_06186,382
CNAG_07911L,CNAG_07911,425
CNAG_01551L,CNAG_01551,250
CNAG_01683L,CNAG_01683,360
CNAG_01983L,CNAG_01983,346
CNAG_01902L,CNAG_01902,5
CNAG_01680L,CNAG_01680,351
CNAG_01621L,CNAG_01621,298
CNAG_01988L,CNAG_01988,334
CNAG_01989L,CNAG_01989,399
CNAG_01939L,CNAG_01939,404
CNAG_01993L,CNAG_01993,336
CNAG_01992L,CNAG_01992,326
CNAG_01965L,CNAG_01965,380
CNAG_01562L,CNAG_01562,232
CNAG_01925L,CNAG_01925,312
CNAG_04756L,CNAG_04756,360
CNAG_04807L,CNAG_04807,461
CNAG_04837L,CNAG_04837,437
CNAG_04836L,CNAG_04836,287
CNAG_04737L,CNAG_04737,417
CNAG_04875L,CNAG_04875,354
CNAG_04874L,CNAG_04874,801
CNAG_04868L,CNAG_04868,85
CNAG_04752L,CNAG_04752,354
CNAG_04753L,CNAG_04753,2620
CNAG_04909L,CNAG_04909,355
CNAG_04908L,CNAG_04908,362
CNAG_04659L,CNAG_04659,256
CNAG_04623L,CNAG_04623,326
CNAG_04518L,CNAG_04518,218
CNAG_04517L,CNAG_04517,367
CNAG_07770L,CNAG_07770,343
CNAG_04436L,CNAG_04436,231
CNAG_04271L,CNAG_04271,249
CNAG_04270L,CNAG_04270,335
CNAG_03346L,CNAG_03346,464
CNAG_03433L,CNAG_03433,416
CNAG_03333L,CNAG_03333,455
CNAG_07742L,CNAG_07742,1014
CNAG_03438L,CNAG_03438,258
CNAG_03223L,CNAG_03223,254
CNAG_03142L,CNAG_03142,280
CNAG_03143L,CNAG_03143,304
CNAG_03545L,CNAG_03545,438
CNAG_03161L,CNAG_03161,134
CNAG_03566L,CNAG_03566,294
CNAG_05835L,CNAG_05835,284
CNAG_05864L,CNAG_05864,300
CNAG_06567L,CNAG_06567,478
CNAG_05742L,CNAG_05742,101
CNAG_05743L,CNAG_05743,95
CNAG_05867L,CNAG_05867,251
CNAG_05685L,CNAG_05685,915
CNAG_05684L,CNAG_05684,368
CNAG_05785L,CNAG_05785,276
CNAG_05843L,CNAG_05843,31
CNAG_06554L,CNAG_06554,340
CNAG_02189L,CNAG_02189,304
CNAG_02188L,CNAG_02188,379
CNAG_02182L,CNAG_02182,316
CNAG_07631L,CNAG_07631,398
CNAG_02371L,CNAG_02371,339
CNAG_07633L,CNAG_07633,572
CNAG_01069L,CNAG_01069,355
CNAG_00896L,CNAG_00896,1229
CNAG_06719L,CNAG_06719,109
CNAG_03669L,CNAG_03669,348
CNAG_00031L,CNAG_00031,351
CNAG_07332L,CNAG_07332,231
CNAG_00285L,CNAG_00285,385
CNAG_00828L,CNAG_00828,317
CNAG_00830L,CNAG_00830,392
CNAG_00841L,CNAG_00841,344
CNAG_02774L,CNAG_02774,365
CNAG_06531L,CNAG_06531,613
CNAG_03279L,CNAG_03279,381
CNAG_03336L,CNAG_03336,470
CNAG_06339L,CNAG_06339,426
CNAG_03768L,CNAG_03768,385
CNAG_04534L,CNAG_04534,381
CNAG_01973L,CNAG_01973,3
CNAG_07867L,CNAG_07867,354
CNAG_05333L,CNAG_05333,406
CNAG_06425L,CNAG_06425,276
CNAG_03849L,CNAG_03849,822
CNAG_02603L,CNAG_02603,304
CNAG_02555L,CNAG_02555,347
CNAG_03431L,CNAG_03431,333
CNAG_05049L,CNAG_05049,268
CNAG_05380L,CNAG_05380,354
CNAG_03914L,CNAG_03914,413
CNAG_02476L,CNAG_02476,383
CNAG_07583L,CNAG_07583,341
CNAG_02466L,CNAG_02466,311
CNAG_05112L,CNAG_05112,329
CNAG_03366L,CNAG_03366,439
CNAG_03977L,CNAG_03977,197
CNAG_04090L,CNAG_04090,793
CNAG_00791L,CNAG_00791,309
CNAG_06751L,CNAG_06751,275
CNAG_05375L,CNAG_05375,4822
CNAG_02516L,CNAG_02516,408
CNAG_04804L,CNAG_04804,104
CNAG_00627L,CNAG_00627,405
CNAG_07725L,CNAG_07725,437
CNAG_06203L,CNAG_06203,342
CNAG_00514L,CNAG_00514,7
CNAG_01883L,CNAG_01883,754
CNAG_03401L,CNAG_03401,357
CNAG_02435L,CNAG_02435,317
CNAG_05153L,CNAG_05153,13
CNAG_01708L,CNAG_01708,249
CNAG_03700L,CNAG_03700,326
CNAG_07320L,CNAG_07320,82
CNAG_05215L,CNAG_05215,256
CNAG_01438L,CNAG_01438,244
CNAG_07464L,CNAG_07464,284
CNAG_01858L,CNAG_01858,449
CNAG_04586L,CNAG_04586,121
CNAG_05093L,CNAG_05093,333
CNAG_05176L,CNAG_05176,361
CNAG_01014L,CNAG_01014,226
CNAG_00998L,CNAG_00998,255
CNAG_00039L,CNAG_00039,686
CNAG_07329L,CNAG_07329,25
CNAG_01454L,CNAG_01454,340
CNAG_02700L,CNAG_02700,35
CNAG_06327L,CNAG_06327,139
CNAG_03788L,CNAG_03788,286
CNAG_00871L,CNAG_00871,414
CNAG_00559L,CNAG_00559,9837
CNAG_07370L,CNAG_07370,459
CNAG_00732L,CNAG_00732,472
CNAG_04630L,CNAG_04630,409
CNAG_07940L,CNAG_07940,458
CNAG_02589L,CNAG_02589,382
CNAG_05067L,CNAG_05067,412
CNAG_01645L,CNAG_01645,953
CNAG_06134L,CNAG_06134,151
CNAG_01242L,CNAG_01242,221
CNAG_02788L,CNAG_02788,2
CNAG_07435L,CNAG_07435,4
CNAG_03998L,CNAG_03998,150
CNAG_07924L,CNAG_07924,499
CNAG_01071L,CNAG_01071,330
CNAG_00883L,CNAG_00883,323
CNAG_03741L,CNAG_03741,272
CNAG_03745L,CNAG_03745,464
CNAG_00192L,CNAG_00192,293
CNAG_00670L,CNAG_00670,349
CNAG_06871L,CNAG_06871,412
CNAG_04457L,CNAG_04457,352
CNAG_02723L,CNAG_02723,388
CNAG_04588L,CNAG_04588,109
CNAG_01977L,CNAG_01977,344
CNAG_03894L,CNAG_03894,435
CNAG_04012L,CNAG_04012,413
CNAG_03561L,CNAG_03561,240
CNAG_05170L,CNAG_05170,278
CNAG_04041L,CNAG_04041,142
CNAG_02364L,CNAG_02364,368
CNAG_04093L,CNAG_04093,391
CNAG_02322L,CNAG_02322,409
CNAG_04184L,CNAG_04184,318
CNAG_05255L,CNAG_05255,394
CNAG_05642L,CNAG_05642,215
CNAG_03059L,CNAG_03059,327
CNAG_03018L,CNAG_03018,354
CNAG_07901L,CNAG_07901,280
CNAG_03086L,CNAG_03086,362
CNAG_04916L,CNAG_04916,251
CNAG_06097L,CNAG_06097,312
CNAG_03115L,CNAG_03115,346
CNAG_03132L,CNAG_03132,404
CNAG_04841L,CNAG_04841,355
CNAG_06136L,CNAG_06136,337
CNAG_03177L,CNAG_03177,757
CNAG_03183L,CNAG_03183,102
CNAG_06188L,CNAG_06188,341
CNAG_02877L,CNAG_02877,238
CNAG_04359L,CNAG_04359,740
CNAG_04774L,CNAG_04774,690
CNAG_04768L,CNAG_04768,574
CNAG_02066L,CNAG_02066,368
CNAG_07922L,CNAG_07922,365
CNAG_06276L,CNAG_06276,371
CNAG_05222L,CNAG_05222,85
CNAG_03409L,CNAG_03409,227
CNAG_05622L,CNAG_05622,683
CNAG_04637L,CNAG_04637,255
CNAG_07680L,CNAG_07680,6
CNAG_02215L,CNAG_02215,5
CNAG_00564L,CNAG_00564,305
CNAG_02387L,CNAG_02387,460
CNAG_04086L,CNAG_04086,484
CNAG_05697L,CNAG_05697,689
CNAG_02697L,CNAG_02697,354
CNAG_06205L,CNAG_06205,355
CNAG_05372L,CNAG_05372,212
CNAG_04507L,CNAG_04507,332
CNAG_04506L,CNAG_04506,455
CNAG_00068L,CNAG_00068,3737
CNAG_05138L,CNAG_05138,232
