Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,455
CNAG_05387R,CNAG_05387,436
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,318
CNAG_05639R,CNAG_05639,289
CNAG_06346R,CNAG_06346,379
CNAG_06347R,CNAG_06347,344
CNAG_06517R,CNAG_06517,461
CNAG_06201R,CNAG_06201,280
CNAG_06104R,CNAG_06104,223
CNAG_07902R,CNAG_07902,346
CNAG_06241R,CNAG_06241,200
CNAG_06242R,CNAG_06242,177
CNAG_07911R,CNAG_07911,269
CNAG_01683R,CNAG_01683,290
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,278
CNAG_01989R,CNAG_01989,214
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,351
CNAG_01925R,CNAG_01925,280
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,330
CNAG_04836R,CNAG_04836,290
CNAG_04875R,CNAG_04875,207
CNAG_04868R,CNAG_04868,73
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,269
CNAG_04517R,CNAG_04517,284
CNAG_07770R,CNAG_07770,340
CNAG_03333R,CNAG_03333,445
CNAG_07742R,CNAG_07742,549
CNAG_03142R,CNAG_03142,256
CNAG_03566R,CNAG_03566,236
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,2
CNAG_05867R,CNAG_05867,237
CNAG_05684R,CNAG_05684,242
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,290
CNAG_02188R,CNAG_02188,2
CNAG_02371R,CNAG_02371,251
CNAG_06719R,CNAG_06719,256
CNAG_03669R,CNAG_03669,325
CNAG_07332R,CNAG_07332,190
CNAG_00285R,CNAG_00285,259
CNAG_00830R,CNAG_00830,308
CNAG_00841R,CNAG_00841,308
CNAG_06531R,CNAG_06531,524
CNAG_03279R,CNAG_03279,300
CNAG_03336R,CNAG_03336,397
CNAG_06339R,CNAG_06339,429
CNAG_03768R,CNAG_03768,352
CNAG_04534R,CNAG_04534,314
CNAG_01973R,CNAG_01973,313
CNAG_07867R,CNAG_07867,273
CNAG_05333R,CNAG_05333,432
CNAG_06425R,CNAG_06425,214
CNAG_03849R,CNAG_03849,293
CNAG_02603R,CNAG_02603,280
CNAG_02555R,CNAG_02555,357
CNAG_02525R,CNAG_02525,125
CNAG_03431R,CNAG_03431,259
CNAG_05049R,CNAG_05049,111
CNAG_03914R,CNAG_03914,365
CNAG_02476R,CNAG_02476,317
CNAG_07583R,CNAG_07583,303
CNAG_05112R,CNAG_05112,259
CNAG_03366R,CNAG_03366,371
CNAG_04090R,CNAG_04090,500
CNAG_00791R,CNAG_00791,259
CNAG_05375R,CNAG_05375,4403
CNAG_02516R,CNAG_02516,283
CNAG_04804R,CNAG_04804,186
