Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,126
CNAG_05515L,CNAG_05515,346
CNAG_05641L,CNAG_05641,301
CNAG_05387L,CNAG_05387,313
CNAG_05590L,CNAG_05590,657
CNAG_07869L,CNAG_07869,347
CNAG_05340L,CNAG_05340,198
CNAG_05638L,CNAG_05638,265
CNAG_05639L,CNAG_05639,241
CNAG_06346L,CNAG_06346,272
CNAG_06347L,CNAG_06347,284
CNAG_06517L,CNAG_06517,377
CNAG_07939L,CNAG_07939,270
CNAG_06493L,CNAG_06493,229
CNAG_06201L,CNAG_06201,264
CNAG_06104L,CNAG_06104,242
CNAG_06081L,CNAG_06081,332
CNAG_07902L,CNAG_07902,296
CNAG_06241L,CNAG_06241,180
CNAG_06242L,CNAG_06242,153
CNAG_06186L,CNAG_06186,227
CNAG_07911L,CNAG_07911,315
CNAG_01551L,CNAG_01551,169
CNAG_01683L,CNAG_01683,262
CNAG_01983L,CNAG_01983,340
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,276
CNAG_01621L,CNAG_01621,221
CNAG_01988L,CNAG_01988,236
CNAG_01989L,CNAG_01989,290
CNAG_01939L,CNAG_01939,283
CNAG_01993L,CNAG_01993,221
CNAG_01992L,CNAG_01992,235
CNAG_01965L,CNAG_01965,246
CNAG_01562L,CNAG_01562,220
CNAG_01925L,CNAG_01925,285
CNAG_04756L,CNAG_04756,289
CNAG_04807L,CNAG_04807,302
CNAG_04837L,CNAG_04837,258
CNAG_04836L,CNAG_04836,274
CNAG_04737L,CNAG_04737,374
CNAG_04875L,CNAG_04875,187
CNAG_04874L,CNAG_04874,714
CNAG_04868L,CNAG_04868,75
CNAG_04752L,CNAG_04752,233
CNAG_04753L,CNAG_04753,1186
CNAG_04909L,CNAG_04909,294
CNAG_04908L,CNAG_04908,304
CNAG_04659L,CNAG_04659,190
CNAG_04623L,CNAG_04623,316
CNAG_04518L,CNAG_04518,228
CNAG_04517L,CNAG_04517,315
CNAG_07770L,CNAG_07770,294
CNAG_04436L,CNAG_04436,229
CNAG_04271L,CNAG_04271,177
CNAG_04270L,CNAG_04270,264
CNAG_03346L,CNAG_03346,274
CNAG_03433L,CNAG_03433,303
CNAG_03333L,CNAG_03333,377
CNAG_07742L,CNAG_07742,785
CNAG_03438L,CNAG_03438,110
CNAG_03223L,CNAG_03223,303
CNAG_03142L,CNAG_03142,184
CNAG_03143L,CNAG_03143,224
CNAG_03545L,CNAG_03545,325
CNAG_03161L,CNAG_03161,99
CNAG_03566L,CNAG_03566,224
