Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,174
CNAG_05515L,CNAG_05515,342
CNAG_05641L,CNAG_05641,263
CNAG_05387L,CNAG_05387,357
CNAG_05590L,CNAG_05590,555
CNAG_07869L,CNAG_07869,367
CNAG_05340L,CNAG_05340,196
CNAG_05638L,CNAG_05638,287
CNAG_05639L,CNAG_05639,221
CNAG_06346L,CNAG_06346,343
CNAG_06347L,CNAG_06347,353
CNAG_06517L,CNAG_06517,433
CNAG_07939L,CNAG_07939,296
CNAG_06493L,CNAG_06493,240
CNAG_06201L,CNAG_06201,247
CNAG_06104L,CNAG_06104,173
CNAG_06081L,CNAG_06081,356
CNAG_07902L,CNAG_07902,261
CNAG_06241L,CNAG_06241,146
CNAG_06242L,CNAG_06242,119
CNAG_06186L,CNAG_06186,263
CNAG_07911L,CNAG_07911,332
CNAG_01551L,CNAG_01551,206
CNAG_01683L,CNAG_01683,234
CNAG_01983L,CNAG_01983,326
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,304
CNAG_01621L,CNAG_01621,313
CNAG_01988L,CNAG_01988,260
CNAG_01989L,CNAG_01989,319
CNAG_01939L,CNAG_01939,300
CNAG_01993L,CNAG_01993,276
CNAG_01992L,CNAG_01992,244
CNAG_01965L,CNAG_01965,253
CNAG_01562L,CNAG_01562,225
CNAG_01925L,CNAG_01925,323
CNAG_04756L,CNAG_04756,344
CNAG_04807L,CNAG_04807,396
CNAG_04837L,CNAG_04837,274
CNAG_04836L,CNAG_04836,271
CNAG_04737L,CNAG_04737,357
CNAG_04875L,CNAG_04875,184
CNAG_04874L,CNAG_04874,706
CNAG_04868L,CNAG_04868,66
CNAG_04752L,CNAG_04752,258
CNAG_04753L,CNAG_04753,2045
CNAG_04909L,CNAG_04909,285
CNAG_04908L,CNAG_04908,280
CNAG_04659L,CNAG_04659,202
CNAG_04623L,CNAG_04623,274
CNAG_04518L,CNAG_04518,261
CNAG_04517L,CNAG_04517,302
CNAG_07770L,CNAG_07770,296
CNAG_04436L,CNAG_04436,201
CNAG_04271L,CNAG_04271,207
CNAG_04270L,CNAG_04270,322
CNAG_03346L,CNAG_03346,275
CNAG_03433L,CNAG_03433,314
CNAG_03333L,CNAG_03333,431
CNAG_07742L,CNAG_07742,819
CNAG_03438L,CNAG_03438,270
CNAG_03223L,CNAG_03223,469
CNAG_03142L,CNAG_03142,205
CNAG_03143L,CNAG_03143,243
CNAG_03545L,CNAG_03545,330
CNAG_03161L,CNAG_03161,175
CNAG_03566L,CNAG_03566,264
CNAG_05835L,CNAG_05835,276
CNAG_05864L,CNAG_05864,259
CNAG_06567L,CNAG_06567,424
CNAG_05742L,CNAG_05742,196
CNAG_05743L,CNAG_05743,46
CNAG_05867L,CNAG_05867,217
CNAG_05685L,CNAG_05685,742
CNAG_05684L,CNAG_05684,153
CNAG_05785L,CNAG_05785,278
CNAG_05843L,CNAG_05843,26
CNAG_06554L,CNAG_06554,246
CNAG_02189L,CNAG_02189,382
CNAG_02188L,CNAG_02188,312
CNAG_02182L,CNAG_02182,272
CNAG_07631L,CNAG_07631,329
CNAG_02371L,CNAG_02371,283
CNAG_07633L,CNAG_07633,260
CNAG_01069L,CNAG_01069,302
CNAG_00896L,CNAG_00896,882
CNAG_06719L,CNAG_06719,83
CNAG_03669L,CNAG_03669,334
CNAG_00031L,CNAG_00031,251
CNAG_07332L,CNAG_07332,251
CNAG_00285L,CNAG_00285,361
CNAG_00828L,CNAG_00828,292
CNAG_00830L,CNAG_00830,263
CNAG_00841L,CNAG_00841,343
CNAG_02774L,CNAG_02774,280
CNAG_06531L,CNAG_06531,475
CNAG_03279L,CNAG_03279,370
CNAG_03336L,CNAG_03336,462
CNAG_06339L,CNAG_06339,363
CNAG_03768L,CNAG_03768,386
CNAG_04534L,CNAG_04534,327
CNAG_01973L,CNAG_01973,42
CNAG_07867L,CNAG_07867,270
CNAG_05333L,CNAG_05333,305
CNAG_06425L,CNAG_06425,281
CNAG_03849L,CNAG_03849,666
CNAG_02603L,CNAG_02603,274
CNAG_02555L,CNAG_02555,357
CNAG_03431L,CNAG_03431,330
CNAG_05049L,CNAG_05049,217
CNAG_05380L,CNAG_05380,245
CNAG_03914L,CNAG_03914,258
CNAG_02476L,CNAG_02476,271
CNAG_07583L,CNAG_07583,318
CNAG_02466L,CNAG_02466,290
CNAG_05112L,CNAG_05112,290
CNAG_03366L,CNAG_03366,363
CNAG_03977L,CNAG_03977,165
CNAG_04090L,CNAG_04090,549
CNAG_00791L,CNAG_00791,281
CNAG_06751L,CNAG_06751,151
CNAG_05375L,CNAG_05375,3887
CNAG_02516L,CNAG_02516,342
CNAG_04804L,CNAG_04804,241
CNAG_00627L,CNAG_00627,408
CNAG_07725L,CNAG_07725,378
CNAG_06203L,CNAG_06203,262
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,683
CNAG_03401L,CNAG_03401,375
CNAG_02435L,CNAG_02435,282
CNAG_05153L,CNAG_05153,9
CNAG_01708L,CNAG_01708,284
CNAG_03700L,CNAG_03700,386
CNAG_07320L,CNAG_07320,54
CNAG_05215L,CNAG_05215,266
CNAG_01438L,CNAG_01438,152
CNAG_07464L,CNAG_07464,218
CNAG_01858L,CNAG_01858,426
CNAG_04586L,CNAG_04586,291
CNAG_05093L,CNAG_05093,294
CNAG_05176L,CNAG_05176,372
CNAG_01014L,CNAG_01014,127
CNAG_00998L,CNAG_00998,242
CNAG_00039L,CNAG_00039,612
CNAG_07329L,CNAG_07329,16
CNAG_01454L,CNAG_01454,296
CNAG_02700L,CNAG_02700,26
CNAG_06327L,CNAG_06327,105
CNAG_03788L,CNAG_03788,300
CNAG_00871L,CNAG_00871,279
CNAG_00559L,CNAG_00559,8982
CNAG_07370L,CNAG_07370,375
CNAG_00732L,CNAG_00732,298
CNAG_04630L,CNAG_04630,333
CNAG_07940L,CNAG_07940,311
CNAG_02589L,CNAG_02589,327
CNAG_05067L,CNAG_05067,299
CNAG_01645L,CNAG_01645,751
CNAG_06134L,CNAG_06134,54
CNAG_01242L,CNAG_01242,339
CNAG_02788L,CNAG_02788,28
CNAG_07435L,CNAG_07435,69
CNAG_03998L,CNAG_03998,182
CNAG_07924L,CNAG_07924,431
CNAG_01071L,CNAG_01071,245
CNAG_00883L,CNAG_00883,273
CNAG_03741L,CNAG_03741,400
CNAG_03745L,CNAG_03745,378
CNAG_00192L,CNAG_00192,281
CNAG_00670L,CNAG_00670,300
CNAG_06871L,CNAG_06871,436
