Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,29
CNAG_05515L,CNAG_05515,145
CNAG_05641L,CNAG_05641,99
CNAG_05387L,CNAG_05387,139
CNAG_05590L,CNAG_05590,121
CNAG_07869L,CNAG_07869,146
CNAG_05340L,CNAG_05340,103
CNAG_05638L,CNAG_05638,175
CNAG_05639L,CNAG_05639,55
CNAG_06346L,CNAG_06346,117
CNAG_06347L,CNAG_06347,139
CNAG_06517L,CNAG_06517,209
CNAG_07939L,CNAG_07939,120
CNAG_06493L,CNAG_06493,79
CNAG_06201L,CNAG_06201,86
CNAG_06104L,CNAG_06104,109
CNAG_06081L,CNAG_06081,129
CNAG_07902L,CNAG_07902,104
CNAG_06241L,CNAG_06241,33
CNAG_06242L,CNAG_06242,24
CNAG_06186L,CNAG_06186,90
CNAG_07911L,CNAG_07911,110
CNAG_01551L,CNAG_01551,17
CNAG_01683L,CNAG_01683,97
CNAG_01983L,CNAG_01983,204
CNAG_01680L,CNAG_01680,106
CNAG_01621L,CNAG_01621,107
CNAG_01988L,CNAG_01988,97
CNAG_01989L,CNAG_01989,109
CNAG_01939L,CNAG_01939,94
CNAG_01993L,CNAG_01993,84
CNAG_01992L,CNAG_01992,70
CNAG_01965L,CNAG_01965,123
CNAG_01562L,CNAG_01562,123
CNAG_01925L,CNAG_01925,104
CNAG_04756L,CNAG_04756,122
CNAG_04807L,CNAG_04807,72
CNAG_04837L,CNAG_04837,106
CNAG_04836L,CNAG_04836,83
CNAG_04737L,CNAG_04737,96
CNAG_04875L,CNAG_04875,22
CNAG_04874L,CNAG_04874,308
CNAG_04868L,CNAG_04868,34
CNAG_04752L,CNAG_04752,103
CNAG_04753L,CNAG_04753,181
CNAG_04909L,CNAG_04909,93
CNAG_04908L,CNAG_04908,123
CNAG_04659L,CNAG_04659,70
CNAG_04623L,CNAG_04623,96
CNAG_04518L,CNAG_04518,93
CNAG_04517L,CNAG_04517,171
CNAG_07770L,CNAG_07770,93
CNAG_04436L,CNAG_04436,93
CNAG_04271L,CNAG_04271,36
CNAG_04270L,CNAG_04270,408
CNAG_03346L,CNAG_03346,125
CNAG_03433L,CNAG_03433,91
CNAG_03333L,CNAG_03333,154
CNAG_07742L,CNAG_07742,278
CNAG_03438L,CNAG_03438,72
CNAG_03223L,CNAG_03223,248
CNAG_03142L,CNAG_03142,69
CNAG_03143L,CNAG_03143,53
CNAG_03545L,CNAG_03545,136
CNAG_03161L,CNAG_03161,16
CNAG_03566L,CNAG_03566,96
CNAG_05835L,CNAG_05835,627
CNAG_05864L,CNAG_05864,68
CNAG_06567L,CNAG_06567,140
CNAG_05742L,CNAG_05742,56
CNAG_05743L,CNAG_05743,39
CNAG_05867L,CNAG_05867,64
CNAG_05685L,CNAG_05685,254
CNAG_05684L,CNAG_05684,118
CNAG_05785L,CNAG_05785,86
CNAG_05843L,CNAG_05843,8
CNAG_06554L,CNAG_06554,122
CNAG_02189L,CNAG_02189,224
CNAG_02188L,CNAG_02188,129
CNAG_02182L,CNAG_02182,99
CNAG_07631L,CNAG_07631,78
CNAG_02371L,CNAG_02371,112
CNAG_07633L,CNAG_07633,27
CNAG_01069L,CNAG_01069,98
CNAG_00896L,CNAG_00896,237
CNAG_06719L,CNAG_06719,26
CNAG_03669L,CNAG_03669,179
CNAG_00031L,CNAG_00031,101
CNAG_07332L,CNAG_07332,109
CNAG_00285L,CNAG_00285,104
CNAG_00828L,CNAG_00828,96
CNAG_00830L,CNAG_00830,133
CNAG_00841L,CNAG_00841,118
CNAG_02774L,CNAG_02774,85
CNAG_06531L,CNAG_06531,170
CNAG_03279L,CNAG_03279,127
CNAG_03336L,CNAG_03336,163
CNAG_06339L,CNAG_06339,144
CNAG_03768L,CNAG_03768,100
CNAG_04534L,CNAG_04534,196
CNAG_01973L,CNAG_01973,17
CNAG_07867L,CNAG_07867,78
CNAG_05333L,CNAG_05333,113
CNAG_06425L,CNAG_06425,79
CNAG_03849L,CNAG_03849,215
CNAG_02603L,CNAG_02603,133
CNAG_02555L,CNAG_02555,165
CNAG_03431L,CNAG_03431,39
CNAG_05049L,CNAG_05049,76
CNAG_05380L,CNAG_05380,334
CNAG_03914L,CNAG_03914,57
CNAG_02476L,CNAG_02476,152
CNAG_07583L,CNAG_07583,127
CNAG_02466L,CNAG_02466,89
CNAG_05112L,CNAG_05112,91
CNAG_03366L,CNAG_03366,159
CNAG_03977L,CNAG_03977,31
CNAG_04090L,CNAG_04090,77
CNAG_00791L,CNAG_00791,87
CNAG_06751L,CNAG_06751,68
CNAG_05375L,CNAG_05375,892
CNAG_02516L,CNAG_02516,133
CNAG_04804L,CNAG_04804,100
CNAG_00627L,CNAG_00627,164
CNAG_07725L,CNAG_07725,164
CNAG_06203L,CNAG_06203,125
CNAG_01883L,CNAG_01883,62
CNAG_03401L,CNAG_03401,97
CNAG_02435L,CNAG_02435,219
CNAG_05153L,CNAG_05153,1
CNAG_01708L,CNAG_01708,88
CNAG_03700L,CNAG_03700,205
CNAG_07320L,CNAG_07320,9
CNAG_05215L,CNAG_05215,80
CNAG_01438L,CNAG_01438,26
CNAG_07464L,CNAG_07464,11
CNAG_01858L,CNAG_01858,180
CNAG_04586L,CNAG_04586,1186
CNAG_05093L,CNAG_05093,179
CNAG_05176L,CNAG_05176,176
CNAG_01014L,CNAG_01014,43
CNAG_00998L,CNAG_00998,65
CNAG_00039L,CNAG_00039,66
CNAG_07329L,CNAG_07329,12
CNAG_01454L,CNAG_01454,122
CNAG_02700L,CNAG_02700,3
CNAG_06327L,CNAG_06327,37
CNAG_03788L,CNAG_03788,80
CNAG_00871L,CNAG_00871,84
CNAG_00559L,CNAG_00559,4859
CNAG_07370L,CNAG_07370,157
CNAG_00732L,CNAG_00732,26
CNAG_04630L,CNAG_04630,142
CNAG_07940L,CNAG_07940,183
