Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,399
CNAG_05387R,CNAG_05387,333
CNAG_05638R,CNAG_05638,336
CNAG_05639R,CNAG_05639,168
CNAG_06346R,CNAG_06346,409
CNAG_06347R,CNAG_06347,389
CNAG_06517R,CNAG_06517,469
CNAG_06201R,CNAG_06201,204
CNAG_06104R,CNAG_06104,289
CNAG_07902R,CNAG_07902,223
CNAG_06241R,CNAG_06241,100
CNAG_06242R,CNAG_06242,53
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,213
CNAG_01683R,CNAG_01683,298
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,212
CNAG_01989R,CNAG_01989,172
CNAG_01965R,CNAG_01965,251
CNAG_01925R,CNAG_01925,236
CNAG_04837R,CNAG_04837,241
CNAG_04836R,CNAG_04836,245
CNAG_04875R,CNAG_04875,47
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,49
CNAG_04518R,CNAG_04518,219
CNAG_04517R,CNAG_04517,282
CNAG_07770R,CNAG_07770,229
CNAG_03333R,CNAG_03333,441
CNAG_07742R,CNAG_07742,405
CNAG_03142R,CNAG_03142,214
CNAG_03566R,CNAG_03566,161
CNAG_05835R,CNAG_05835,4
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,121
CNAG_05684R,CNAG_05684,217
CNAG_02189R,CNAG_02189,594
CNAG_02188R,CNAG_02188,1
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,216
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,212
CNAG_03669R,CNAG_03669,382
CNAG_07332R,CNAG_07332,207
CNAG_00285R,CNAG_00285,268
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,322
CNAG_00841R,CNAG_00841,282
CNAG_06531R,CNAG_06531,416
CNAG_03279R,CNAG_03279,249
CNAG_03336R,CNAG_03336,341
CNAG_06339R,CNAG_06339,263
CNAG_03768R,CNAG_03768,343
CNAG_04534R,CNAG_04534,318
CNAG_01973R,CNAG_01973,378
CNAG_07867R,CNAG_07867,193
CNAG_05333R,CNAG_05333,252
CNAG_06425R,CNAG_06425,116
CNAG_03849R,CNAG_03849,241
CNAG_02603R,CNAG_02603,234
CNAG_02555R,CNAG_02555,440
CNAG_02525R,CNAG_02525,49
CNAG_03431R,CNAG_03431,118
CNAG_05049R,CNAG_05049,239
CNAG_03914R,CNAG_03914,148
CNAG_02476R,CNAG_02476,263
CNAG_07583R,CNAG_07583,304
CNAG_05112R,CNAG_05112,179
CNAG_03366R,CNAG_03366,377
CNAG_04090R,CNAG_04090,204
CNAG_00791R,CNAG_00791,185
CNAG_05375R,CNAG_05375,2537
CNAG_02516R,CNAG_02516,228
CNAG_04804R,CNAG_04804,191
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,302
CNAG_01883R,CNAG_01883,132
CNAG_03401R,CNAG_03401,280
CNAG_02435R,CNAG_02435,460
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,210
CNAG_03700R,CNAG_03700,378
CNAG_05215R,CNAG_05215,191
CNAG_01438R,CNAG_01438,74
CNAG_07464R,CNAG_07464,38
CNAG_01858R,CNAG_01858,509
CNAG_04586R,CNAG_04586,2997
CNAG_05176R,CNAG_05176,411
CNAG_01014R,CNAG_01014,100
CNAG_01454R,CNAG_01454,424
CNAG_06327R,CNAG_06327,98
CNAG_03788R,CNAG_03788,151
CNAG_00871R,CNAG_00871,286
CNAG_00559R,CNAG_00559,12072
CNAG_07370R,CNAG_07370,317
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,385
CNAG_01645R,CNAG_01645,474
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,244
CNAG_02788R,CNAG_02788,1
CNAG_07435R,CNAG_07435,18
CNAG_07924R,CNAG_07924,287
CNAG_01071R,CNAG_01071,235
CNAG_00883R,CNAG_00883,272
CNAG_03741R,CNAG_03741,395
CNAG_03745R,CNAG_03745,279
CNAG_00192R,CNAG_00192,259
CNAG_00670R,CNAG_00670,221
CNAG_06871R,CNAG_06871,398
CNAG_04457R,CNAG_04457,298
CNAG_04588R,CNAG_04588,74
CNAG_03894R,CNAG_03894,278
CNAG_04012R,CNAG_04012,286
CNAG_01487R,CNAG_01487,350
CNAG_05170R,CNAG_05170,190
CNAG_02364R,CNAG_02364,235
CNAG_04093R,CNAG_04093,269
CNAG_02322R,CNAG_02322,319
CNAG_04184R,CNAG_04184,2
CNAG_05255R,CNAG_05255,390
CNAG_03059R,CNAG_03059,1
CNAG_03018R,CNAG_03018,308
CNAG_07901R,CNAG_07901,213
CNAG_03086R,CNAG_03086,318
CNAG_06097R,CNAG_06097,208
CNAG_03115R,CNAG_03115,1
CNAG_03132R,CNAG_03132,1
CNAG_06136R,CNAG_06136,268
CNAG_03177R,CNAG_03177,167
CNAG_03183R,CNAG_03183,86
CNAG_04774R,CNAG_04774,558
CNAG_04768R,CNAG_04768,323
CNAG_06276R,CNAG_06276,207
CNAG_05222R,CNAG_05222,207
CNAG_03409R,CNAG_03409,179
CNAG_05622R,CNAG_05622,306
CNAG_04637R,CNAG_04637,163
CNAG_07680R,CNAG_07680,47
