Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,201
CNAG_05387R,CNAG_05387,281
CNAG_05638R,CNAG_05638,219
CNAG_05639R,CNAG_05639,183
CNAG_06346R,CNAG_06346,218
CNAG_06347R,CNAG_06347,223
CNAG_06517R,CNAG_06517,307
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,161
CNAG_06104R,CNAG_06104,139
CNAG_07902R,CNAG_07902,254
CNAG_06241R,CNAG_06241,106
CNAG_06242R,CNAG_06242,94
CNAG_07911R,CNAG_07911,213
CNAG_01683R,CNAG_01683,239
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,188
CNAG_01989R,CNAG_01989,180
CNAG_01965R,CNAG_01965,203
CNAG_01925R,CNAG_01925,183
CNAG_04756R,CNAG_04756,2
CNAG_04837R,CNAG_04837,237
CNAG_04836R,CNAG_04836,214
CNAG_04875R,CNAG_04875,42
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,42
CNAG_04753R,CNAG_04753,4
CNAG_04518R,CNAG_04518,186
CNAG_04517R,CNAG_04517,201
CNAG_07770R,CNAG_07770,227
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,289
CNAG_07742R,CNAG_07742,397
CNAG_03142R,CNAG_03142,150
CNAG_03566R,CNAG_03566,172
CNAG_05867R,CNAG_05867,144
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,174
CNAG_02189R,CNAG_02189,238
CNAG_02371R,CNAG_02371,266
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,153
CNAG_03669R,CNAG_03669,213
CNAG_07332R,CNAG_07332,136
CNAG_00285R,CNAG_00285,227
CNAG_00830R,CNAG_00830,194
CNAG_00841R,CNAG_00841,201
CNAG_06531R,CNAG_06531,338
CNAG_03279R,CNAG_03279,185
CNAG_03336R,CNAG_03336,307
CNAG_06339R,CNAG_06339,264
CNAG_03768R,CNAG_03768,231
CNAG_04534R,CNAG_04534,186
