Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,90
CNAG_05515L,CNAG_05515,112
CNAG_05641L,CNAG_05641,132
CNAG_05387L,CNAG_05387,152
CNAG_05590L,CNAG_05590,99
CNAG_07869L,CNAG_07869,166
CNAG_05340L,CNAG_05340,118
CNAG_05638L,CNAG_05638,143
CNAG_05639L,CNAG_05639,76
CNAG_06346L,CNAG_06346,126
CNAG_06347L,CNAG_06347,138
CNAG_06517L,CNAG_06517,175
CNAG_07939L,CNAG_07939,127
CNAG_06493L,CNAG_06493,106
CNAG_06201L,CNAG_06201,128
CNAG_06104L,CNAG_06104,92
CNAG_06081L,CNAG_06081,164
CNAG_07902L,CNAG_07902,116
CNAG_06241L,CNAG_06241,67
CNAG_06242L,CNAG_06242,50
CNAG_06186L,CNAG_06186,116
CNAG_07911L,CNAG_07911,128
CNAG_01551L,CNAG_01551,59
CNAG_01683L,CNAG_01683,114
CNAG_01983L,CNAG_01983,215
CNAG_01902L,CNAG_01902,1
CNAG_01680L,CNAG_01680,124
CNAG_01621L,CNAG_01621,121
CNAG_01988L,CNAG_01988,98
CNAG_01989L,CNAG_01989,102
CNAG_01939L,CNAG_01939,117
CNAG_01993L,CNAG_01993,120
CNAG_01992L,CNAG_01992,108
CNAG_01965L,CNAG_01965,127
CNAG_01562L,CNAG_01562,115
CNAG_01925L,CNAG_01925,119
CNAG_04756L,CNAG_04756,132
CNAG_04807L,CNAG_04807,117
CNAG_04837L,CNAG_04837,105
CNAG_04836L,CNAG_04836,97
CNAG_04737L,CNAG_04737,137
CNAG_04875L,CNAG_04875,33
CNAG_04874L,CNAG_04874,303
CNAG_04868L,CNAG_04868,30
CNAG_04752L,CNAG_04752,138
CNAG_04753L,CNAG_04753,1276
CNAG_04909L,CNAG_04909,102
CNAG_04908L,CNAG_04908,172
CNAG_04659L,CNAG_04659,84
CNAG_04623L,CNAG_04623,82
CNAG_04518L,CNAG_04518,103
CNAG_04517L,CNAG_04517,131
CNAG_07770L,CNAG_07770,145
CNAG_04436L,CNAG_04436,70
CNAG_04271L,CNAG_04271,70
CNAG_04270L,CNAG_04270,68
CNAG_03346L,CNAG_03346,116
CNAG_03433L,CNAG_03433,133
CNAG_03333L,CNAG_03333,176
CNAG_07742L,CNAG_07742,308
CNAG_03438L,CNAG_03438,66
CNAG_03223L,CNAG_03223,161
CNAG_03142L,CNAG_03142,97
CNAG_03143L,CNAG_03143,95
CNAG_03545L,CNAG_03545,138
CNAG_03161L,CNAG_03161,26
CNAG_03566L,CNAG_03566,92
CNAG_05835L,CNAG_05835,379
CNAG_05864L,CNAG_05864,96
CNAG_06567L,CNAG_06567,170
CNAG_05743L,CNAG_05743,60
CNAG_05867L,CNAG_05867,77
CNAG_05685L,CNAG_05685,299
CNAG_05684L,CNAG_05684,119
CNAG_05785L,CNAG_05785,86
CNAG_05843L,CNAG_05843,2
CNAG_06554L,CNAG_06554,142
CNAG_02189L,CNAG_02189,181
CNAG_02188L,CNAG_02188,108
CNAG_02182L,CNAG_02182,118
CNAG_07631L,CNAG_07631,131
CNAG_02371L,CNAG_02371,135
CNAG_07633L,CNAG_07633,80
CNAG_01069L,CNAG_01069,95
CNAG_00896L,CNAG_00896,293
CNAG_06719L,CNAG_06719,37
CNAG_03669L,CNAG_03669,151
CNAG_00031L,CNAG_00031,103
CNAG_07332L,CNAG_07332,103
CNAG_00285L,CNAG_00285,122
CNAG_00828L,CNAG_00828,140
CNAG_00830L,CNAG_00830,149
CNAG_00841L,CNAG_00841,119
CNAG_02774L,CNAG_02774,101
CNAG_06531L,CNAG_06531,223
CNAG_03279L,CNAG_03279,125
CNAG_03336L,CNAG_03336,187
CNAG_06339L,CNAG_06339,141
CNAG_03768L,CNAG_03768,138
CNAG_04534L,CNAG_04534,163
CNAG_01973L,CNAG_01973,8
CNAG_07867L,CNAG_07867,118
CNAG_05333L,CNAG_05333,132
CNAG_06425L,CNAG_06425,86
CNAG_03849L,CNAG_03849,257
CNAG_02603L,CNAG_02603,127
CNAG_02555L,CNAG_02555,152
CNAG_03431L,CNAG_03431,38
CNAG_05049L,CNAG_05049,78
CNAG_05380L,CNAG_05380,207
CNAG_03914L,CNAG_03914,110
CNAG_02476L,CNAG_02476,117
CNAG_07583L,CNAG_07583,148
CNAG_02466L,CNAG_02466,134
CNAG_05112L,CNAG_05112,108
CNAG_03366L,CNAG_03366,200
CNAG_03977L,CNAG_03977,46
CNAG_04090L,CNAG_04090,181
CNAG_00791L,CNAG_00791,98
CNAG_06751L,CNAG_06751,54
CNAG_05375L,CNAG_05375,1356
CNAG_02516L,CNAG_02516,142
CNAG_04804L,CNAG_04804,3
CNAG_00627L,CNAG_00627,169
CNAG_07725L,CNAG_07725,153
CNAG_06203L,CNAG_06203,125
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,84
CNAG_03401L,CNAG_03401,146
CNAG_02435L,CNAG_02435,132
CNAG_05153L,CNAG_05153,3
CNAG_01708L,CNAG_01708,121
CNAG_03700L,CNAG_03700,195
CNAG_07320L,CNAG_07320,26
CNAG_05215L,CNAG_05215,113
CNAG_01438L,CNAG_01438,91
CNAG_07464L,CNAG_07464,23
CNAG_01858L,CNAG_01858,160
CNAG_04586L,CNAG_04586,511
CNAG_05093L,CNAG_05093,185
CNAG_05176L,CNAG_05176,125
CNAG_01014L,CNAG_01014,114
CNAG_00998L,CNAG_00998,68
CNAG_00039L,CNAG_00039,59
CNAG_07329L,CNAG_07329,13
CNAG_01454L,CNAG_01454,148
CNAG_02700L,CNAG_02700,7
CNAG_06327L,CNAG_06327,8
CNAG_03788L,CNAG_03788,119
CNAG_00871L,CNAG_00871,175
CNAG_00559L,CNAG_00559,4748
CNAG_07370L,CNAG_07370,163
CNAG_00732L,CNAG_00732,66
CNAG_04630L,CNAG_04630,132
CNAG_07940L,CNAG_07940,112
CNAG_02589L,CNAG_02589,138
CNAG_05067L,CNAG_05067,161
CNAG_01645L,CNAG_01645,337
CNAG_06134L,CNAG_06134,60
CNAG_01242L,CNAG_01242,180
CNAG_02788L,CNAG_02788,16
CNAG_07435L,CNAG_07435,8
CNAG_03998L,CNAG_03998,77
CNAG_07924L,CNAG_07924,115
CNAG_01071L,CNAG_01071,106
