Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,323
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,362
CNAG_05638R,CNAG_05638,236
CNAG_05639R,CNAG_05639,205
CNAG_06346R,CNAG_06346,235
CNAG_06347R,CNAG_06347,291
CNAG_06517R,CNAG_06517,414
CNAG_06201R,CNAG_06201,207
CNAG_06104R,CNAG_06104,240
CNAG_07902R,CNAG_07902,241
CNAG_06241R,CNAG_06241,23
CNAG_06242R,CNAG_06242,11
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,235
CNAG_01683R,CNAG_01683,235
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,192
CNAG_01989R,CNAG_01989,166
CNAG_01939R,CNAG_01939,1
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,200
CNAG_01925R,CNAG_01925,217
CNAG_04837R,CNAG_04837,237
CNAG_04836R,CNAG_04836,232
CNAG_04875R,CNAG_04875,78
CNAG_04868R,CNAG_04868,101
CNAG_04753R,CNAG_04753,3
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,219
CNAG_04517R,CNAG_04517,268
CNAG_07770R,CNAG_07770,263
CNAG_03333R,CNAG_03333,555
CNAG_07742R,CNAG_07742,397
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,203
CNAG_03566R,CNAG_03566,196
CNAG_05867R,CNAG_05867,127
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,253
CNAG_02189R,CNAG_02189,304
CNAG_02371R,CNAG_02371,301
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,208
CNAG_03669R,CNAG_03669,184
CNAG_07332R,CNAG_07332,163
CNAG_00285R,CNAG_00285,263
CNAG_00830R,CNAG_00830,297
CNAG_00841R,CNAG_00841,270
CNAG_06531R,CNAG_06531,415
CNAG_03279R,CNAG_03279,244
CNAG_03336R,CNAG_03336,335
CNAG_06339R,CNAG_06339,330
CNAG_03768R,CNAG_03768,271
CNAG_04534R,CNAG_04534,255
CNAG_01973R,CNAG_01973,195
CNAG_07867R,CNAG_07867,222
CNAG_05333R,CNAG_05333,284
CNAG_06425R,CNAG_06425,152
CNAG_03849R,CNAG_03849,257
CNAG_02603R,CNAG_02603,207
CNAG_02555R,CNAG_02555,299
CNAG_02525R,CNAG_02525,69
CNAG_03431R,CNAG_03431,182
CNAG_05049R,CNAG_05049,186
CNAG_05380R,CNAG_05380,2
CNAG_03914R,CNAG_03914,169
CNAG_02476R,CNAG_02476,281
