Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,724
CNAG_05387R,CNAG_05387,696
CNAG_05638R,CNAG_05638,428
CNAG_05639R,CNAG_05639,380
CNAG_06346R,CNAG_06346,543
CNAG_06347R,CNAG_06347,440
CNAG_06517R,CNAG_06517,610
CNAG_07939R,CNAG_07939,2
CNAG_06201R,CNAG_06201,345
CNAG_06104R,CNAG_06104,421
CNAG_07902R,CNAG_07902,504
CNAG_06241R,CNAG_06241,279
CNAG_06242R,CNAG_06242,246
CNAG_07911R,CNAG_07911,473
CNAG_01683R,CNAG_01683,605
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,511
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,332
CNAG_01993R,CNAG_01993,2
CNAG_01965R,CNAG_01965,349
CNAG_01925R,CNAG_01925,437
CNAG_04756R,CNAG_04756,1
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,607
CNAG_04836R,CNAG_04836,446
CNAG_04875R,CNAG_04875,701
CNAG_04874R,CNAG_04874,3
CNAG_04868R,CNAG_04868,139
CNAG_04753R,CNAG_04753,2
CNAG_04908R,CNAG_04908,2
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,414
CNAG_04517R,CNAG_04517,429
CNAG_07770R,CNAG_07770,508
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,587
CNAG_07742R,CNAG_07742,937
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,394
CNAG_03545R,CNAG_03545,3
CNAG_03566R,CNAG_03566,482
CNAG_05835R,CNAG_05835,1
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,380
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,492
CNAG_02189R,CNAG_02189,416
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,366
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,424
CNAG_03669R,CNAG_03669,401
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,323
