Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,186
CNAG_05515L,CNAG_05515,743
CNAG_05641L,CNAG_05641,461
CNAG_05387L,CNAG_05387,525
CNAG_05590L,CNAG_05590,770
CNAG_07869L,CNAG_07869,512
CNAG_05340L,CNAG_05340,138
CNAG_05638L,CNAG_05638,434
CNAG_05639L,CNAG_05639,431
CNAG_06346L,CNAG_06346,542
CNAG_06347L,CNAG_06347,422
CNAG_06517L,CNAG_06517,537
CNAG_07939L,CNAG_07939,384
CNAG_06493L,CNAG_06493,371
CNAG_06201L,CNAG_06201,377
CNAG_06104L,CNAG_06104,366
CNAG_06081L,CNAG_06081,499
CNAG_07902L,CNAG_07902,443
CNAG_06241L,CNAG_06241,134
CNAG_06242L,CNAG_06242,155
CNAG_06186L,CNAG_06186,403
CNAG_07911L,CNAG_07911,465
CNAG_01551L,CNAG_01551,403
CNAG_01683L,CNAG_01683,338
CNAG_01983L,CNAG_01983,354
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,439
CNAG_01621L,CNAG_01621,349
CNAG_01988L,CNAG_01988,385
CNAG_01989L,CNAG_01989,463
CNAG_01939L,CNAG_01939,483
CNAG_01993L,CNAG_01993,479
CNAG_01992L,CNAG_01992,408
CNAG_01965L,CNAG_01965,405
CNAG_01562L,CNAG_01562,304
CNAG_01925L,CNAG_01925,422
CNAG_04756L,CNAG_04756,424
CNAG_04807L,CNAG_04807,663
CNAG_04837L,CNAG_04837,384
CNAG_04836L,CNAG_04836,366
CNAG_04737L,CNAG_04737,625
CNAG_04875L,CNAG_04875,333
CNAG_04874L,CNAG_04874,1045
CNAG_04868L,CNAG_04868,103
CNAG_04752L,CNAG_04752,392
CNAG_04753L,CNAG_04753,1816
CNAG_04909L,CNAG_04909,351
CNAG_04908L,CNAG_04908,575
CNAG_04659L,CNAG_04659,331
CNAG_04623L,CNAG_04623,447
CNAG_04518L,CNAG_04518,369
CNAG_04517L,CNAG_04517,450
CNAG_07770L,CNAG_07770,329
CNAG_04436L,CNAG_04436,145
CNAG_04271L,CNAG_04271,351
CNAG_04270L,CNAG_04270,286
CNAG_03346L,CNAG_03346,526
CNAG_03433L,CNAG_03433,435
CNAG_03333L,CNAG_03333,509
CNAG_07742L,CNAG_07742,1334
CNAG_03438L,CNAG_03438,378
CNAG_03223L,CNAG_03223,258
CNAG_03142L,CNAG_03142,410
CNAG_03143L,CNAG_03143,422
CNAG_03545L,CNAG_03545,608
CNAG_03161L,CNAG_03161,203
CNAG_03566L,CNAG_03566,399
CNAG_05835L,CNAG_05835,340
CNAG_05864L,CNAG_05864,380
CNAG_06567L,CNAG_06567,365
CNAG_05742L,CNAG_05742,265
CNAG_05743L,CNAG_05743,125
CNAG_05867L,CNAG_05867,339
CNAG_05685L,CNAG_05685,1069
CNAG_05684L,CNAG_05684,378
CNAG_05785L,CNAG_05785,369
CNAG_05843L,CNAG_05843,9
CNAG_06554L,CNAG_06554,506
CNAG_02189L,CNAG_02189,324
CNAG_02188L,CNAG_02188,514
CNAG_02182L,CNAG_02182,356
CNAG_07631L,CNAG_07631,566
CNAG_02371L,CNAG_02371,291
CNAG_07633L,CNAG_07633,329
CNAG_01069L,CNAG_01069,432
CNAG_00896L,CNAG_00896,1415
CNAG_06719L,CNAG_06719,111
CNAG_03669L,CNAG_03669,413
CNAG_00031L,CNAG_00031,361
CNAG_07332L,CNAG_07332,315
CNAG_00285L,CNAG_00285,405
CNAG_00828L,CNAG_00828,406
CNAG_00830L,CNAG_00830,464
CNAG_00841L,CNAG_00841,448
CNAG_02774L,CNAG_02774,413
CNAG_06531L,CNAG_06531,685
CNAG_03279L,CNAG_03279,516
CNAG_03336L,CNAG_03336,660
CNAG_06339L,CNAG_06339,495
CNAG_03768L,CNAG_03768,435
CNAG_04534L,CNAG_04534,404
CNAG_01973L,CNAG_01973,13
CNAG_07867L,CNAG_07867,366
CNAG_05333L,CNAG_05333,418
CNAG_06425L,CNAG_06425,449
CNAG_03849L,CNAG_03849,881
CNAG_02603L,CNAG_02603,439
CNAG_02555L,CNAG_02555,407
CNAG_03431L,CNAG_03431,284
CNAG_05049L,CNAG_05049,286
CNAG_05380L,CNAG_05380,406
CNAG_03914L,CNAG_03914,554
CNAG_02476L,CNAG_02476,428
CNAG_07583L,CNAG_07583,330
CNAG_02466L,CNAG_02466,411
CNAG_05112L,CNAG_05112,435
CNAG_03366L,CNAG_03366,464
CNAG_03977L,CNAG_03977,151
CNAG_04090L,CNAG_04090,533
CNAG_00791L,CNAG_00791,350
CNAG_06751L,CNAG_06751,318
CNAG_05375L,CNAG_05375,6515
CNAG_02516L,CNAG_02516,451
CNAG_04804L,CNAG_04804,310
CNAG_00627L,CNAG_00627,480
CNAG_07725L,CNAG_07725,592
CNAG_06203L,CNAG_06203,401
CNAG_00193L,CNAG_00193,196
CNAG_00514L,CNAG_00514,2
CNAG_01883L,CNAG_01883,646
CNAG_03401L,CNAG_03401,326
CNAG_02435L,CNAG_02435,361
CNAG_05153L,CNAG_05153,13
CNAG_01708L,CNAG_01708,284
CNAG_03700L,CNAG_03700,526
CNAG_07320L,CNAG_07320,85
CNAG_05215L,CNAG_05215,404
CNAG_01438L,CNAG_01438,434
CNAG_07464L,CNAG_07464,497
CNAG_01858L,CNAG_01858,553
CNAG_04586L,CNAG_04586,455
CNAG_05093L,CNAG_05093,464
CNAG_05176L,CNAG_05176,344
CNAG_01014L,CNAG_01014,288
CNAG_00998L,CNAG_00998,279
CNAG_00039L,CNAG_00039,760
CNAG_07329L,CNAG_07329,16
CNAG_01454L,CNAG_01454,458
CNAG_02700L,CNAG_02700,47
CNAG_06327L,CNAG_06327,172
CNAG_03788L,CNAG_03788,456
CNAG_00871L,CNAG_00871,501
CNAG_00559L,CNAG_00559,11201
CNAG_07370L,CNAG_07370,519
CNAG_00732L,CNAG_00732,556
CNAG_04630L,CNAG_04630,410
CNAG_07940L,CNAG_07940,558
CNAG_02589L,CNAG_02589,450
CNAG_05067L,CNAG_05067,499
CNAG_01645L,CNAG_01645,1155
CNAG_06134L,CNAG_06134,12
CNAG_01242L,CNAG_01242,297
CNAG_02788L,CNAG_02788,196
CNAG_07435L,CNAG_07435,77
CNAG_03998L,CNAG_03998,536
CNAG_07924L,CNAG_07924,602
CNAG_01071L,CNAG_01071,358
CNAG_00883L,CNAG_00883,237
CNAG_03741L,CNAG_03741,343
CNAG_03745L,CNAG_03745,484
CNAG_00192L,CNAG_00192,408
CNAG_00670L,CNAG_00670,476
CNAG_06871L,CNAG_06871,472
CNAG_04457L,CNAG_04457,481
CNAG_02723L,CNAG_02723,445
CNAG_04588L,CNAG_04588,151
CNAG_01977L,CNAG_01977,413
CNAG_03894L,CNAG_03894,461
CNAG_04012L,CNAG_04012,442
CNAG_03561L,CNAG_03561,379
CNAG_05170L,CNAG_05170,358
CNAG_04041L,CNAG_04041,269
CNAG_02364L,CNAG_02364,490
CNAG_04093L,CNAG_04093,394
CNAG_02322L,CNAG_02322,713
CNAG_04184L,CNAG_04184,496
CNAG_05255L,CNAG_05255,473
CNAG_05642L,CNAG_05642,266
CNAG_03059L,CNAG_03059,336
CNAG_03018L,CNAG_03018,384
CNAG_07901L,CNAG_07901,460
CNAG_03086L,CNAG_03086,422
CNAG_04916L,CNAG_04916,343
CNAG_06097L,CNAG_06097,394
CNAG_03115L,CNAG_03115,360
CNAG_03132L,CNAG_03132,537
CNAG_04841L,CNAG_04841,573
CNAG_06136L,CNAG_06136,393
CNAG_03177L,CNAG_03177,782
CNAG_03183L,CNAG_03183,299
CNAG_06188L,CNAG_06188,397
CNAG_02877L,CNAG_02877,244
CNAG_04359L,CNAG_04359,911
CNAG_04774L,CNAG_04774,557
CNAG_04768L,CNAG_04768,416
CNAG_02066L,CNAG_02066,434
CNAG_07922L,CNAG_07922,423
CNAG_06276L,CNAG_06276,415
CNAG_05222L,CNAG_05222,41
CNAG_03409L,CNAG_03409,84
CNAG_05622L,CNAG_05622,789
CNAG_04637L,CNAG_04637,254
CNAG_07680L,CNAG_07680,138
CNAG_02215L,CNAG_02215,38
CNAG_00564L,CNAG_00564,723
CNAG_02387L,CNAG_02387,486
CNAG_04086L,CNAG_04086,572
CNAG_05697L,CNAG_05697,634
CNAG_02697L,CNAG_02697,353
CNAG_06205L,CNAG_06205,498
CNAG_05372L,CNAG_05372,350
CNAG_04507L,CNAG_04507,453
CNAG_04506L,CNAG_04506,479
CNAG_00068L,CNAG_00068,5143
CNAG_05138L,CNAG_05138,293
CNAG_00733L,CNAG_00733,518
CNAG_03910L,CNAG_03910,510
CNAG_04059L,CNAG_04059,1896
CNAG_07491L,CNAG_07491,788
CNAG_05181L,CNAG_05181,417
CNAG_03915L,CNAG_03915,348
CNAG_03772L,CNAG_03772,472
CNAG_00445L,CNAG_00445,472
CNAG_01901L,CNAG_01901,612
CNAG_05313L,CNAG_05313,256
CNAG_05312L,CNAG_05312,402
CNAG_03012L,CNAG_03012,440
CNAG_03011L,CNAG_03011,396
CNAG_06200L,CNAG_06200,756
CNAG_02682L,CNAG_02682,368
CNAG_02683L,CNAG_02683,425
CNAG_00442L,CNAG_00442,748
CNAG_00183L,CNAG_00183,168
CNAG_07548L,CNAG_07548,2653
CNAG_01277L,CNAG_01277,599
CNAG_07512L,CNAG_07512,801
CNAG_01230L,CNAG_01230,424
CNAG_05264L,CNAG_05264,647
CNAG_05263L,CNAG_05263,481
CNAG_01681L,CNAG_01681,471
CNAG_01040L,CNAG_01040,784
CNAG_00179L,CNAG_00179,532
CNAG_00547L,CNAG_00547,452
CNAG_00598L,CNAG_00598,550
CNAG_05229L,CNAG_05229,408
CNAG_01138L,CNAG_01138,484
CNAG_00597L,CNAG_00597,399
CNAG_02797L,CNAG_02797,108
CNAG_02219L,CNAG_02219,533
CNAG_02220L,CNAG_02220,436
CNAG_00674L,CNAG_00674,373
CNAG_03013L,CNAG_03013,97
CNAG_07540L,CNAG_07540,540
CNAG_04981L,CNAG_04981,465
CNAG_04980L,CNAG_04980,18
CNAG_00456L,CNAG_00456,445
CNAG_00455L,CNAG_00455,368
CNAG_02152L,CNAG_02152,430
CNAG_00107L,CNAG_00107,450
CNAG_00106L,CNAG_00106,991
CNAG_01061L,CNAG_01061,494
CNAG_03847L,CNAG_03847,288
CNAG_03848L,CNAG_03848,436
CNAG_01013L,CNAG_01013,31
CNAG_02777L,CNAG_02777,395
CNAG_07523L,CNAG_07523,392
CNAG_04990L,CNAG_04990,40
CNAG_04991L,CNAG_04991,276
CNAG_00531L,CNAG_00531,401
CNAG_05159L,CNAG_05159,469
CNAG_05079L,CNAG_05079,710
CNAG_05080L,CNAG_05080,445
CNAG_04869L,CNAG_04869,525
CNAG_00164L,CNAG_00164,364
CNAG_04077L,CNAG_04077,406
CNAG_01082L,CNAG_01082,468
CNAG_04658L,CNAG_04658,548
CNAG_03727L,CNAG_03727,355
CNAG_03676L,CNAG_03676,411
CNAG_03677L,CNAG_03677,515
CNAG_03841L,CNAG_03841,189
CNAG_06761L,CNAG_06761,382
CNAG_06760L,CNAG_06760,388
CNAG_05076L,CNAG_05076,315
CNAG_05077L,CNAG_05077,522
CNAG_02553L,CNAG_02553,409
CNAG_02554L,CNAG_02554,2160
CNAG_00546L,CNAG_00546,306
CNAG_00702L,CNAG_00702,1005
CNAG_00897L,CNAG_00897,361
CNAG_05148L,CNAG_05148,348
CNAG_05147L,CNAG_05147,321
CNAG_01126L,CNAG_01126,215
CNAG_00776L,CNAG_00776,118
CNAG_01446L,CNAG_01446,571
CNAG_04024L,CNAG_04024,583
CNAG_04025L,CNAG_04025,516
CNAG_02348L,CNAG_02348,427
CNAG_02347L,CNAG_02347,735
CNAG_00394L,CNAG_00394,238
CNAG_00393L,CNAG_00393,670
CNAG_06555L,CNAG_06555,482
CNAG_01019L,CNAG_01019,166
CNAG_01803L,CNAG_01803,604
CNAG_00374L,CNAG_00374,386
CNAG_00654L,CNAG_00654,422
CNAG_07541L,CNAG_07541,429
CNAG_07542L,CNAG_07542,535
CNAG_00363L,CNAG_00363,119
CNAG_05915L,CNAG_05915,512
CNAG_05916L,CNAG_05916,434
CNAG_00917L,CNAG_00917,1769
CNAG_00919L,CNAG_00919,544
CNAG_05458L,CNAG_05458,612
CNAG_05459L,CNAG_05459,579
CNAG_01985L,CNAG_01985,317
CNAG_00740L,CNAG_00740,235
CNAG_04163L,CNAG_04163,78
CNAG_04162L,CNAG_04162,227
CNAG_04755L,CNAG_04755,157
CNAG_01777L,CNAG_01777,338
CNAG_01778L,CNAG_01778,428
CNAG_05889L,CNAG_05889,441
CNAG_05888L,CNAG_05888,361
CNAG_04217L,CNAG_04217,391
CNAG_03173L,CNAG_03173,492
CNAG_03172L,CNAG_03172,480
CNAG_07388L,CNAG_07388,377
CNAG_07389L,CNAG_07389,450
CNAG_03644L,CNAG_03644,353
CNAG_06785L,CNAG_06785,414
CNAG_06060L,CNAG_06060,310
CNAG_00581L,CNAG_00581,255
CNAG_02044L,CNAG_02044,418
CNAG_02045L,CNAG_02045,575
CNAG_04950L,CNAG_04950,374
CNAG_04949L,CNAG_04949,469
CNAG_01865L,CNAG_01865,375
CNAG_05870L,CNAG_05870,416
CNAG_00717L,CNAG_00717,102
CNAG_06926L,CNAG_06926,482
CNAG_06896L,CNAG_06896,428
CNAG_04631L,CNAG_04631,391
CNAG_05812L,CNAG_05812,430
CNAG_00079L,CNAG_00079,475
CNAG_06657L,CNAG_06657,339
CNAG_06658L,CNAG_06658,393
CNAG_05993L,CNAG_05993,404
CNAG_05994L,CNAG_05994,396
CNAG_04675L,CNAG_04675,5
CNAG_01318L,CNAG_01318,418
CNAG_05430L,CNAG_05430,455
CNAG_05429L,CNAG_05429,56
CNAG_02517L,CNAG_02517,557
CNAG_07419L,CNAG_07419,299
CNAG_02040L,CNAG_02040,399
CNAG_03328L,CNAG_03328,76
CNAG_03329L,CNAG_03329,320
CNAG_04471L,CNAG_04471,525
CNAG_04472L,CNAG_04472,532
CNAG_01920L,CNAG_01920,435
CNAG_01919L,CNAG_01919,611
CNAG_03075L,CNAG_03075,34
CNAG_03884L,CNAG_03884,104
CNAG_00699L,CNAG_00699,446
CNAG_02129L,CNAG_02129,558
CNAG_05352L,CNAG_05352,185
CNAG_02293L,CNAG_02293,1
CNAG_02292L,CNAG_02292,189
CNAG_07441L,CNAG_07441,501
CNAG_07442L,CNAG_07442,264
CNAG_01523L,CNAG_01523,3
CNAG_05415L,CNAG_05415,265
CNAG_03946L,CNAG_03946,348
CNAG_07486L,CNAG_07486,449
CNAG_07313L,CNAG_07313,316
CNAG_00126L,CNAG_00126,2151
CNAG_00710L,CNAG_00710,375
CNAG_00709L,CNAG_00709,524
CNAG_04186L,CNAG_04186,560
CNAG_03689L,CNAG_03689,360
CNAG_01704L,CNAG_01704,556
CNAG_04618L,CNAG_04618,492
CNAG_05290L,CNAG_05290,62
CNAG_07827L,CNAG_07827,420
CNAG_07516L,CNAG_07516,347
CNAG_02849L,CNAG_02849,382
CNAG_00156L,CNAG_00156,1157
CNAG_00157L,CNAG_00157,267
CNAG_04891L,CNAG_04891,421
CNAG_04992L,CNAG_04992,371
CNAG_02090L,CNAG_02090,548
CNAG_01776L,CNAG_01776,514
CNAG_07605L,CNAG_07605,295
CNAG_01846L,CNAG_01846,490
CNAG_02539L,CNAG_02539,391
CNAG_02540L,CNAG_02540,435
CNAG_01701L,CNAG_01701,411
CNAG_03572L,CNAG_03572,411
CNAG_00798L,CNAG_00798,368
CNAG_00799L,CNAG_00799,305
CNAG_02850L,CNAG_02850,110
CNAG_04656L,CNAG_04656,492
CNAG_04657L,CNAG_04657,406
CNAG_04385L,CNAG_04385,486
CNAG_04386L,CNAG_04386,389
CNAG_07847L,CNAG_07847,443
CNAG_02226L,CNAG_02226,473
CNAG_02225L,CNAG_02225,961
CNAG_04860L,CNAG_04860,428
CNAG_01105L,CNAG_01105,547
CNAG_03524L,CNAG_03524,279
CNAG_03733L,CNAG_03733,501
CNAG_03732L,CNAG_03732,478
CNAG_03247L,CNAG_03247,488
CNAG_03193L,CNAG_03193,428
CNAG_03194L,CNAG_03194,460
CNAG_06574L,CNAG_06574,398
CNAG_04663L,CNAG_04663,387
CNAG_02944L,CNAG_02944,384
CNAG_05872L,CNAG_05872,293
CNAG_02775L,CNAG_02775,7
CNAG_01113L,CNAG_01113,46
CNAG_01112L,CNAG_01112,344
CNAG_06973L,CNAG_06973,385
CNAG_07498L,CNAG_07498,584
CNAG_03754L,CNAG_03754,477
CNAG_00475L,CNAG_00475,8559
CNAG_04524L,CNAG_04524,536
CNAG_06501L,CNAG_06501,447
CNAG_06502L,CNAG_06502,535
CNAG_00587L,CNAG_00587,575
CNAG_04691L,CNAG_04691,521
CNAG_01062L,CNAG_01062,428
CNAG_05522L,CNAG_05522,538
CNAG_02830L,CNAG_02830,31
CNAG_04633L,CNAG_04633,508
CNAG_01930L,CNAG_01930,379
CNAG_00737L,CNAG_00737,312
CNAG_04983L,CNAG_04983,462
CNAG_04982L,CNAG_04982,292
CNAG_03002L,CNAG_03002,150
CNAG_01448L,CNAG_01448,692
CNAG_02526L,CNAG_02526,331
CNAG_07685L,CNAG_07685,367
CNAG_03902L,CNAG_03902,71
CNAG_02011L,CNAG_02011,321
CNAG_02010L,CNAG_02010,3556
CNAG_05156L,CNAG_05156,487
CNAG_01643L,CNAG_01643,255
CNAG_01642L,CNAG_01642,552
CNAG_05727L,CNAG_05727,514
CNAG_03857L,CNAG_03857,310
CNAG_04705L,CNAG_04705,564
CNAG_01420L,CNAG_01420,580
CNAG_07519L,CNAG_07519,467
CNAG_00078L,CNAG_00078,515
CNAG_06240L,CNAG_06240,688
CNAG_00777L,CNAG_00777,439
CNAG_01118L,CNAG_01118,537
CNAG_03867L,CNAG_03867,543
CNAG_03866L,CNAG_03866,519
CNAG_06594L,CNAG_06594,303
CNAG_06595L,CNAG_06595,384
CNAG_00519L,CNAG_00519,8
CNAG_00588L,CNAG_00588,635
CNAG_03168L,CNAG_03168,77
CNAG_01525L,CNAG_01525,67
CNAG_01524L,CNAG_01524,8
CNAG_04594L,CNAG_04594,500
CNAG_06993L,CNAG_06993,554
CNAG_06776L,CNAG_06776,544
CNAG_02588L,CNAG_02588,552
CNAG_06905L,CNAG_06905,571
CNAG_06904L,CNAG_06904,425
CNAG_03280L,CNAG_03280,411
CNAG_02288L,CNAG_02288,444
CNAG_07729L,CNAG_07729,4242
CNAG_03408L,CNAG_03408,1259
CNAG_06282L,CNAG_06282,418
CNAG_01970L,CNAG_01970,567
CNAG_01969L,CNAG_01969,362
CNAG_03525L,CNAG_03525,116
CNAG_03526L,CNAG_03526,320
CNAG_05114L,CNAG_05114,489
CNAG_07752L,CNAG_07752,453
CNAG_04587L,CNAG_04587,354
CNAG_02691L,CNAG_02691,434
CNAG_02692L,CNAG_02692,371
CNAG_02776L,CNAG_02776,329
CNAG_04885L,CNAG_04885,356
CNAG_06662L,CNAG_06662,405
CNAG_07647L,CNAG_07647,12
CNAG_02165L,CNAG_02165,430
CNAG_02071L,CNAG_02071,427
CNAG_02070L,CNAG_02070,342
CNAG_02684L,CNAG_02684,529
CNAG_02685L,CNAG_02685,494
CNAG_05420L,CNAG_05420,94
CNAG_05939L,CNAG_05939,408
CNAG_05940L,CNAG_05940,244
CNAG_07743L,CNAG_07743,558
CNAG_00765L,CNAG_00765,435
CNAG_00745L,CNAG_00745,55
CNAG_00744L,CNAG_00744,482
CNAG_00162L,CNAG_00162,458
CNAG_02658L,CNAG_02658,314
CNAG_06401L,CNAG_06401,209
CNAG_01960L,CNAG_01960,369
CNAG_01961L,CNAG_01961,350
CNAG_02930L,CNAG_02930,296
CNAG_01238L,CNAG_01238,107
CNAG_01239L,CNAG_01239,579
CNAG_00332L,CNAG_00332,343
CNAG_00333L,CNAG_00333,343
CNAG_04801L,CNAG_04801,350
CNAG_05663L,CNAG_05663,156
CNAG_05664L,CNAG_05664,294
CNAG_01574L,CNAG_01574,655
CNAG_01573L,CNAG_01573,331
CNAG_06220L,CNAG_06220,374
CNAG_00165L,CNAG_00165,296
CNAG_06963L,CNAG_06963,72
CNAG_03178L,CNAG_03178,339
CNAG_03719L,CNAG_03719,357
CNAG_02041L,CNAG_02041,330
CNAG_06889L,CNAG_06889,348
CNAG_04141L,CNAG_04141,484
CNAG_07415L,CNAG_07415,149
CNAG_05586L,CNAG_05586,489
CNAG_05686L,CNAG_05686,405
CNAG_00400L,CNAG_00400,476
CNAG_00399L,CNAG_00399,378
CNAG_04215L,CNAG_04215,46
CNAG_04213L,CNAG_04213,428
CNAG_05913L,CNAG_05913,463
CNAG_05914L,CNAG_05914,397
CNAG_04736L,CNAG_04736,461
CNAG_04735L,CNAG_04735,398
CNAG_05392L,CNAG_05392,418
CNAG_05393L,CNAG_05393,427
CNAG_06541L,CNAG_06541,488
CNAG_06034L,CNAG_06034,361
CNAG_05250L,CNAG_05250,261
CNAG_01773L,CNAG_01773,301
CNAG_01772L,CNAG_01772,334
CNAG_01232L,CNAG_01232,104
CNAG_01577L,CNAG_01577,114
CNAG_01578L,CNAG_01578,263
CNAG_01601L,CNAG_01601,47
CNAG_04963L,CNAG_04963,395
CNAG_04962L,CNAG_04962,346
CNAG_01231L,CNAG_01231,366
CNAG_06835L,CNAG_06835,332
CNAG_06836L,CNAG_06836,587
CNAG_00879L,CNAG_00879,349
CNAG_07454L,CNAG_07454,445
CNAG_06389L,CNAG_06389,396
CNAG_06388L,CNAG_06388,420
CNAG_00264L,CNAG_00264,375
CNAG_05640L,CNAG_05640,920
CNAG_01558L,CNAG_01558,455
CNAG_00903L,CNAG_00903,373
CNAG_06583L,CNAG_06583,411
CNAG_06428L,CNAG_06428,399
CNAG_06427L,CNAG_06427,329
CNAG_07745L,CNAG_07745,383
CNAG_03369L,CNAG_03369,280
CNAG_03413L,CNAG_03413,268
CNAG_00130L,CNAG_00130,1606
CNAG_00874L,CNAG_00874,192
CNAG_00758L,CNAG_00758,432
CNAG_04730L,CNAG_04730,488
CNAG_03997L,CNAG_03997,382
CNAG_02822L,CNAG_02822,381
CNAG_00668L,CNAG_00668,381
CNAG_02990L,CNAG_02990,218
CNAG_03116L,CNAG_03116,128
CNAG_07711L,CNAG_07711,360
CNAG_04622L,CNAG_04622,431
CNAG_04449L,CNAG_04449,396
CNAG_03874L,CNAG_03874,291
CNAG_03873L,CNAG_03873,543
CNAG_04105L,CNAG_04105,428
CNAG_01635L,CNAG_01635,388
CNAG_07626L,CNAG_07626,356
CNAG_02475L,CNAG_02475,496
CNAG_00070L,CNAG_00070,334
CNAG_04862L,CNAG_04862,541
CNAG_02527L,CNAG_02527,505
CNAG_04632L,CNAG_04632,484
CNAG_00194L,CNAG_00194,455
CNAG_03498L,CNAG_03498,400
CNAG_03426L,CNAG_03426,342
CNAG_00077L,CNAG_00077,187
CNAG_02965L,CNAG_02965,519
CNAG_02966L,CNAG_02966,335
CNAG_01041L,CNAG_01041,2333
CNAG_07780L,CNAG_07780,74
CNAG_04546L,CNAG_04546,523
CNAG_04523L,CNAG_04523,344
CNAG_04522L,CNAG_04522,372
CNAG_07444L,CNAG_07444,295
CNAG_06576L,CNAG_06576,567
CNAG_06577L,CNAG_06577,435
CNAG_03836L,CNAG_03836,420
CNAG_04140L,CNAG_04140,267
CNAG_04139L,CNAG_04139,268
CNAG_03400L,CNAG_03400,381
CNAG_02255L,CNAG_02255,339
CNAG_02254L,CNAG_02254,403
CNAG_06230L,CNAG_06230,2
CNAG_05075L,CNAG_05075,667
CNAG_02550L,CNAG_02550,443
CNAG_02551L,CNAG_02551,297
CNAG_01995L,CNAG_01995,489
CNAG_01994L,CNAG_01994,517
CNAG_06277L,CNAG_06277,102
CNAG_07697L,CNAG_07697,502
CNAG_06099L,CNAG_06099,414
CNAG_06098L,CNAG_06098,400
CNAG_06278L,CNAG_06278,432
CNAG_03140L,CNAG_03140,333
CNAG_00011L,CNAG_00011,546
CNAG_05160L,CNAG_05160,510
CNAG_05161L,CNAG_05161,340
CNAG_07917L,CNAG_07917,229
CNAG_06610L,CNAG_06610,448
CNAG_01229L,CNAG_01229,356
CNAG_04681L,CNAG_04681,330
CNAG_04655L,CNAG_04655,496
CNAG_05934L,CNAG_05934,310
CNAG_02264L,CNAG_02264,609
CNAG_00189L,CNAG_00189,508
CNAG_00188L,CNAG_00188,363
CNAG_07873L,CNAG_07873,9
CNAG_05369L,CNAG_05369,542
CNAG_00864L,CNAG_00864,468
CNAG_07457L,CNAG_07457,392
CNAG_05119L,CNAG_05119,414
CNAG_00407L,CNAG_00407,497
CNAG_05813L,CNAG_05813,379
CNAG_06310L,CNAG_06310,539
CNAG_06309L,CNAG_06309,529
CNAG_02510L,CNAG_02510,370
CNAG_04953L,CNAG_04953,376
