Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,394
CNAG_05387R,CNAG_05387,376
CNAG_05638R,CNAG_05638,291
CNAG_05639R,CNAG_05639,235
CNAG_06346R,CNAG_06346,315
CNAG_06347R,CNAG_06347,262
CNAG_06517R,CNAG_06517,342
CNAG_06201R,CNAG_06201,231
CNAG_06104R,CNAG_06104,210
CNAG_07902R,CNAG_07902,281
CNAG_06241R,CNAG_06241,80
CNAG_06242R,CNAG_06242,95
CNAG_07911R,CNAG_07911,200
CNAG_01683R,CNAG_01683,374
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,273
CNAG_01989R,CNAG_01989,174
CNAG_01939R,CNAG_01939,1
CNAG_01965R,CNAG_01965,281
CNAG_01925R,CNAG_01925,268
CNAG_04837R,CNAG_04837,333
CNAG_04836R,CNAG_04836,322
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,209
CNAG_04868R,CNAG_04868,42
CNAG_04518R,CNAG_04518,197
CNAG_04517R,CNAG_04517,314
CNAG_07770R,CNAG_07770,307
CNAG_03333R,CNAG_03333,391
CNAG_07742R,CNAG_07742,505
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,239
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,186
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,2
CNAG_05867R,CNAG_05867,217
CNAG_05684R,CNAG_05684,205
CNAG_02189R,CNAG_02189,462
CNAG_02371R,CNAG_02371,298
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,201
CNAG_03669R,CNAG_03669,314
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,233
CNAG_00285R,CNAG_00285,314
CNAG_00830R,CNAG_00830,269
CNAG_00841R,CNAG_00841,311
CNAG_06531R,CNAG_06531,467
CNAG_03279R,CNAG_03279,304
CNAG_03336R,CNAG_03336,438
CNAG_06339R,CNAG_06339,396
CNAG_03768R,CNAG_03768,338
CNAG_04534R,CNAG_04534,251
CNAG_01973R,CNAG_01973,245
CNAG_07867R,CNAG_07867,287
CNAG_05333R,CNAG_05333,301
CNAG_06425R,CNAG_06425,250
CNAG_03849R,CNAG_03849,343
CNAG_02603R,CNAG_02603,253
CNAG_02555R,CNAG_02555,330
CNAG_02525R,CNAG_02525,30
CNAG_03431R,CNAG_03431,203
CNAG_05049R,CNAG_05049,231
CNAG_03914R,CNAG_03914,214
CNAG_02476R,CNAG_02476,255
CNAG_07583R,CNAG_07583,308
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,264
CNAG_03366R,CNAG_03366,432
CNAG_04090R,CNAG_04090,1053
CNAG_00791R,CNAG_00791,225
CNAG_05375R,CNAG_05375,6042
CNAG_02516R,CNAG_02516,265
CNAG_04804R,CNAG_04804,126
CNAG_06203R,CNAG_06203,251
CNAG_00193R,CNAG_00193,63
CNAG_01883R,CNAG_01883,362
CNAG_03401R,CNAG_03401,303
CNAG_02435R,CNAG_02435,86
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,334
CNAG_03700R,CNAG_03700,293
CNAG_05215R,CNAG_05215,255
CNAG_01438R,CNAG_01438,154
CNAG_07464R,CNAG_07464,225
CNAG_01858R,CNAG_01858,445
CNAG_04586R,CNAG_04586,173
CNAG_05176R,CNAG_05176,169
CNAG_01014R,CNAG_01014,157
CNAG_01454R,CNAG_01454,339
CNAG_06327R,CNAG_06327,115
CNAG_03788R,CNAG_03788,273
CNAG_00871R,CNAG_00871,296
CNAG_00559R,CNAG_00559,11485
CNAG_07370R,CNAG_07370,340
CNAG_02589R,CNAG_02589,357
CNAG_01645R,CNAG_01645,776
CNAG_01242R,CNAG_01242,156
CNAG_02788R,CNAG_02788,165
CNAG_07435R,CNAG_07435,54
CNAG_07924R,CNAG_07924,421
CNAG_01071R,CNAG_01071,228
CNAG_00883R,CNAG_00883,267
CNAG_03741R,CNAG_03741,398
CNAG_03745R,CNAG_03745,313
CNAG_00192R,CNAG_00192,334
CNAG_00670R,CNAG_00670,336
CNAG_06871R,CNAG_06871,343
CNAG_04457R,CNAG_04457,290
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,152
CNAG_03894R,CNAG_03894,213
CNAG_04012R,CNAG_04012,302
CNAG_01487R,CNAG_01487,272
CNAG_05170R,CNAG_05170,281
CNAG_04041R,CNAG_04041,1
CNAG_02364R,CNAG_02364,259
CNAG_04093R,CNAG_04093,324
CNAG_02322R,CNAG_02322,335
CNAG_05255R,CNAG_05255,334
CNAG_03018R,CNAG_03018,313
CNAG_07901R,CNAG_07901,278
CNAG_03086R,CNAG_03086,265
CNAG_06097R,CNAG_06097,271
CNAG_06136R,CNAG_06136,273
CNAG_03177R,CNAG_03177,324
CNAG_03183R,CNAG_03183,157
CNAG_04774R,CNAG_04774,332
CNAG_04768R,CNAG_04768,415
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,324
CNAG_05222R,CNAG_05222,151
CNAG_07460R,CNAG_07460,1
CNAG_03409R,CNAG_03409,78
CNAG_05622R,CNAG_05622,312
CNAG_04637R,CNAG_04637,169
CNAG_07680R,CNAG_07680,92
CNAG_02215R,CNAG_02215,65
CNAG_02387R,CNAG_02387,360
CNAG_04086R,CNAG_04086,421
CNAG_05697R,CNAG_05697,491
CNAG_06205R,CNAG_06205,1
CNAG_04507R,CNAG_04507,359
CNAG_04506R,CNAG_04506,270
CNAG_00068R,CNAG_00068,553
CNAG_05138R,CNAG_05138,1
CNAG_00733R,CNAG_00733,289
CNAG_03910R,CNAG_03910,340
CNAG_04059R,CNAG_04059,226
CNAG_07491R,CNAG_07491,413
CNAG_05181R,CNAG_05181,86
CNAG_03915R,CNAG_03915,1
CNAG_03772R,CNAG_03772,313
CNAG_00445R,CNAG_00445,569
CNAG_01901R,CNAG_01901,506
CNAG_05313R,CNAG_05313,213
CNAG_05312R,CNAG_05312,349
