Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,148
CNAG_05515L,CNAG_05515,472
CNAG_05641L,CNAG_05641,423
CNAG_05387L,CNAG_05387,510
CNAG_05590L,CNAG_05590,743
CNAG_07869L,CNAG_07869,417
CNAG_05340L,CNAG_05340,299
CNAG_05638L,CNAG_05638,344
CNAG_05639L,CNAG_05639,340
CNAG_06346L,CNAG_06346,324
CNAG_06347L,CNAG_06347,317
CNAG_06517L,CNAG_06517,398
CNAG_07939L,CNAG_07939,419
CNAG_06493L,CNAG_06493,308
CNAG_06201L,CNAG_06201,422
CNAG_06104L,CNAG_06104,223
CNAG_06081L,CNAG_06081,446
CNAG_07902L,CNAG_07902,387
CNAG_06241L,CNAG_06241,79
CNAG_06242L,CNAG_06242,99
CNAG_06186L,CNAG_06186,343
CNAG_07911L,CNAG_07911,457
CNAG_01551L,CNAG_01551,904
CNAG_01683L,CNAG_01683,357
CNAG_01983L,CNAG_01983,65
CNAG_01680L,CNAG_01680,364
CNAG_01621L,CNAG_01621,332
CNAG_01988L,CNAG_01988,314
CNAG_01989L,CNAG_01989,394
CNAG_01939L,CNAG_01939,483
CNAG_01993L,CNAG_01993,355
CNAG_01992L,CNAG_01992,330
CNAG_01965L,CNAG_01965,363
CNAG_01562L,CNAG_01562,221
CNAG_01925L,CNAG_01925,371
CNAG_04756L,CNAG_04756,317
CNAG_04807L,CNAG_04807,440
CNAG_04837L,CNAG_04837,369
CNAG_04836L,CNAG_04836,394
CNAG_04737L,CNAG_04737,529
CNAG_04875L,CNAG_04875,323
CNAG_04874L,CNAG_04874,881
CNAG_04868L,CNAG_04868,69
CNAG_04752L,CNAG_04752,346
CNAG_04753L,CNAG_04753,927
CNAG_04909L,CNAG_04909,357
CNAG_04908L,CNAG_04908,471
CNAG_04659L,CNAG_04659,273
CNAG_04623L,CNAG_04623,376
CNAG_04518L,CNAG_04518,263
CNAG_04517L,CNAG_04517,437
CNAG_07770L,CNAG_07770,318
CNAG_04436L,CNAG_04436,308
CNAG_04271L,CNAG_04271,361
CNAG_04270L,CNAG_04270,63
CNAG_03346L,CNAG_03346,361
CNAG_03433L,CNAG_03433,377
CNAG_03333L,CNAG_03333,511
CNAG_07742L,CNAG_07742,855
CNAG_03438L,CNAG_03438,217
CNAG_03223L,CNAG_03223,303
CNAG_03142L,CNAG_03142,338
CNAG_03143L,CNAG_03143,309
CNAG_03545L,CNAG_03545,511
CNAG_03161L,CNAG_03161,441
CNAG_03566L,CNAG_03566,245
CNAG_05835L,CNAG_05835,93
CNAG_05864L,CNAG_05864,402
CNAG_06567L,CNAG_06567,441
CNAG_05742L,CNAG_05742,111
CNAG_05743L,CNAG_05743,89
CNAG_05867L,CNAG_05867,295
CNAG_05685L,CNAG_05685,1173
CNAG_05684L,CNAG_05684,200
CNAG_05785L,CNAG_05785,345
CNAG_06554L,CNAG_06554,383
CNAG_02189L,CNAG_02189,534
CNAG_02188L,CNAG_02188,355
CNAG_02182L,CNAG_02182,360
CNAG_07631L,CNAG_07631,492
CNAG_02371L,CNAG_02371,323
CNAG_07633L,CNAG_07633,226
CNAG_01069L,CNAG_01069,334
CNAG_00896L,CNAG_00896,1161
CNAG_06719L,CNAG_06719,58
CNAG_03669L,CNAG_03669,417
CNAG_00031L,CNAG_00031,401
CNAG_07332L,CNAG_07332,305
CNAG_00285L,CNAG_00285,311
CNAG_00828L,CNAG_00828,273
CNAG_00830L,CNAG_00830,320
CNAG_00841L,CNAG_00841,384
CNAG_02774L,CNAG_02774,353
CNAG_06531L,CNAG_06531,551
CNAG_03279L,CNAG_03279,370
CNAG_03336L,CNAG_03336,487
CNAG_06339L,CNAG_06339,409
CNAG_03768L,CNAG_03768,371
CNAG_04534L,CNAG_04534,386
CNAG_01973L,CNAG_01973,23
CNAG_07867L,CNAG_07867,329
CNAG_05333L,CNAG_05333,323
CNAG_06425L,CNAG_06425,331
CNAG_03849L,CNAG_03849,825
CNAG_02603L,CNAG_02603,384
CNAG_02555L,CNAG_02555,365
CNAG_03431L,CNAG_03431,167
CNAG_05049L,CNAG_05049,279
CNAG_05380L,CNAG_05380,311
CNAG_03914L,CNAG_03914,351
CNAG_02476L,CNAG_02476,442
CNAG_07583L,CNAG_07583,329
CNAG_02466L,CNAG_02466,311
CNAG_05112L,CNAG_05112,326
CNAG_03366L,CNAG_03366,426
CNAG_03977L,CNAG_03977,155
CNAG_04090L,CNAG_04090,1151
CNAG_00791L,CNAG_00791,283
CNAG_06751L,CNAG_06751,150
CNAG_05375L,CNAG_05375,7425
CNAG_02516L,CNAG_02516,350
CNAG_04804L,CNAG_04804,144
CNAG_00627L,CNAG_00627,370
CNAG_07725L,CNAG_07725,415
CNAG_06203L,CNAG_06203,333
CNAG_00193L,CNAG_00193,45
CNAG_01883L,CNAG_01883,361
CNAG_03401L,CNAG_03401,348
CNAG_02435L,CNAG_02435,82
CNAG_05153L,CNAG_05153,6
CNAG_01708L,CNAG_01708,343
CNAG_03700L,CNAG_03700,355
CNAG_07320L,CNAG_07320,64
CNAG_05215L,CNAG_05215,409
CNAG_01438L,CNAG_01438,190
CNAG_07464L,CNAG_07464,209
CNAG_01858L,CNAG_01858,471
CNAG_04586L,CNAG_04586,256
CNAG_05093L,CNAG_05093,336
CNAG_05176L,CNAG_05176,223
CNAG_01014L,CNAG_01014,202
CNAG_00998L,CNAG_00998,269
CNAG_00039L,CNAG_00039,409
CNAG_07329L,CNAG_07329,12
CNAG_01454L,CNAG_01454,442
CNAG_02700L,CNAG_02700,9
CNAG_06327L,CNAG_06327,165
CNAG_03788L,CNAG_03788,350
CNAG_00871L,CNAG_00871,439
CNAG_00559L,CNAG_00559,14955
CNAG_07370L,CNAG_07370,482
