Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,199
CNAG_05515L,CNAG_05515,579
CNAG_05641L,CNAG_05641,447
CNAG_05387L,CNAG_05387,476
CNAG_05590L,CNAG_05590,1024
CNAG_07869L,CNAG_07869,493
CNAG_05340L,CNAG_05340,346
CNAG_05638L,CNAG_05638,389
CNAG_05639L,CNAG_05639,350
CNAG_06346L,CNAG_06346,424
CNAG_06347L,CNAG_06347,383
CNAG_06517L,CNAG_06517,466
CNAG_07939L,CNAG_07939,447
CNAG_06493L,CNAG_06493,366
CNAG_06201L,CNAG_06201,470
CNAG_06104L,CNAG_06104,267
CNAG_06081L,CNAG_06081,462
CNAG_07902L,CNAG_07902,398
CNAG_06241L,CNAG_06241,42
CNAG_06242L,CNAG_06242,23
CNAG_06186L,CNAG_06186,326
CNAG_07911L,CNAG_07911,477
CNAG_01551L,CNAG_01551,692
CNAG_01683L,CNAG_01683,427
CNAG_01983L,CNAG_01983,645
CNAG_01680L,CNAG_01680,399
CNAG_01621L,CNAG_01621,428
CNAG_01988L,CNAG_01988,323
CNAG_01989L,CNAG_01989,414
CNAG_01939L,CNAG_01939,458
CNAG_01993L,CNAG_01993,350
CNAG_01992L,CNAG_01992,396
CNAG_01965L,CNAG_01965,416
CNAG_01562L,CNAG_01562,267
CNAG_01925L,CNAG_01925,445
CNAG_04756L,CNAG_04756,445
CNAG_04807L,CNAG_04807,470
CNAG_04837L,CNAG_04837,447
CNAG_04836L,CNAG_04836,371
CNAG_04737L,CNAG_04737,628
CNAG_04875L,CNAG_04875,599
CNAG_04874L,CNAG_04874,938
CNAG_04868L,CNAG_04868,99
CNAG_04752L,CNAG_04752,369
CNAG_04753L,CNAG_04753,1580
CNAG_04909L,CNAG_04909,415
CNAG_04908L,CNAG_04908,393
CNAG_04659L,CNAG_04659,317
CNAG_04623L,CNAG_04623,389
CNAG_04518L,CNAG_04518,316
CNAG_04517L,CNAG_04517,470
CNAG_07770L,CNAG_07770,483
CNAG_04436L,CNAG_04436,333
CNAG_04271L,CNAG_04271,316
CNAG_04270L,CNAG_04270,259
CNAG_03346L,CNAG_03346,439
CNAG_03433L,CNAG_03433,404
CNAG_03333L,CNAG_03333,558
CNAG_07742L,CNAG_07742,1315
CNAG_03438L,CNAG_03438,268
CNAG_03223L,CNAG_03223,474
CNAG_03142L,CNAG_03142,333
CNAG_03143L,CNAG_03143,323
CNAG_03545L,CNAG_03545,531
CNAG_03161L,CNAG_03161,224
CNAG_03566L,CNAG_03566,315
CNAG_05835L,CNAG_05835,588
CNAG_05864L,CNAG_05864,482
CNAG_06567L,CNAG_06567,597
CNAG_05742L,CNAG_05742,139
CNAG_05743L,CNAG_05743,109
CNAG_05867L,CNAG_05867,318
CNAG_05685L,CNAG_05685,1458
CNAG_05684L,CNAG_05684,225
CNAG_05785L,CNAG_05785,367
CNAG_05843L,CNAG_05843,18
CNAG_06554L,CNAG_06554,370
CNAG_02189L,CNAG_02189,551
CNAG_02188L,CNAG_02188,420
CNAG_02182L,CNAG_02182,333
CNAG_07631L,CNAG_07631,545
CNAG_02371L,CNAG_02371,387
CNAG_07633L,CNAG_07633,282
CNAG_01069L,CNAG_01069,415
CNAG_00896L,CNAG_00896,1462
CNAG_06719L,CNAG_06719,95
CNAG_03669L,CNAG_03669,403
CNAG_00031L,CNAG_00031,438
CNAG_07332L,CNAG_07332,299
CNAG_00285L,CNAG_00285,419
CNAG_00828L,CNAG_00828,421
CNAG_00830L,CNAG_00830,452
CNAG_00841L,CNAG_00841,413
CNAG_02774L,CNAG_02774,396
CNAG_06531L,CNAG_06531,648
CNAG_03279L,CNAG_03279,469
CNAG_03336L,CNAG_03336,650
CNAG_06339L,CNAG_06339,573
CNAG_03768L,CNAG_03768,452
CNAG_04534L,CNAG_04534,398
CNAG_01973L,CNAG_01973,14
CNAG_07867L,CNAG_07867,351
CNAG_05333L,CNAG_05333,377
CNAG_06425L,CNAG_06425,371
CNAG_03849L,CNAG_03849,1090
CNAG_02603L,CNAG_02603,391
CNAG_02555L,CNAG_02555,402
CNAG_03431L,CNAG_03431,233
CNAG_05049L,CNAG_05049,280
CNAG_05380L,CNAG_05380,387
CNAG_03914L,CNAG_03914,391
CNAG_02476L,CNAG_02476,405
CNAG_07583L,CNAG_07583,371
CNAG_02466L,CNAG_02466,384
