Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,526
CNAG_05387R,CNAG_05387,527
CNAG_05638R,CNAG_05638,332
CNAG_05639R,CNAG_05639,304
CNAG_06346R,CNAG_06346,312
CNAG_06347R,CNAG_06347,327
CNAG_06517R,CNAG_06517,296
CNAG_06201R,CNAG_06201,328
CNAG_06104R,CNAG_06104,223
CNAG_07902R,CNAG_07902,531
CNAG_06241R,CNAG_06241,42
CNAG_06242R,CNAG_06242,69
CNAG_07911R,CNAG_07911,277
CNAG_01683R,CNAG_01683,395
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,323
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,184
CNAG_01965R,CNAG_01965,394
CNAG_01925R,CNAG_01925,291
CNAG_04837R,CNAG_04837,377
CNAG_04836R,CNAG_04836,374
CNAG_04875R,CNAG_04875,196
CNAG_04868R,CNAG_04868,67
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,192
CNAG_04517R,CNAG_04517,399
CNAG_07770R,CNAG_07770,337
CNAG_03333R,CNAG_03333,457
CNAG_07742R,CNAG_07742,490
CNAG_03142R,CNAG_03142,263
CNAG_03566R,CNAG_03566,202
CNAG_05864R,CNAG_05864,1
CNAG_05867R,CNAG_05867,245
CNAG_05684R,CNAG_05684,108
CNAG_02189R,CNAG_02189,683
CNAG_02371R,CNAG_02371,399
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,231
CNAG_03669R,CNAG_03669,358
CNAG_07332R,CNAG_07332,241
CNAG_00285R,CNAG_00285,327
CNAG_00830R,CNAG_00830,325
CNAG_00841R,CNAG_00841,371
CNAG_06531R,CNAG_06531,528
CNAG_03279R,CNAG_03279,354
CNAG_03336R,CNAG_03336,509
CNAG_06339R,CNAG_06339,465
CNAG_03768R,CNAG_03768,397
CNAG_04534R,CNAG_04534,323
CNAG_01973R,CNAG_01973,303
CNAG_07867R,CNAG_07867,338
CNAG_05333R,CNAG_05333,441
CNAG_06425R,CNAG_06425,210
CNAG_03849R,CNAG_03849,407
CNAG_02603R,CNAG_02603,348
CNAG_02555R,CNAG_02555,452
CNAG_02525R,CNAG_02525,35
CNAG_03431R,CNAG_03431,218
CNAG_05049R,CNAG_05049,265
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,300
CNAG_02476R,CNAG_02476,284
CNAG_07583R,CNAG_07583,346
CNAG_05112R,CNAG_05112,324
CNAG_03366R,CNAG_03366,454
CNAG_04090R,CNAG_04090,1786
CNAG_00791R,CNAG_00791,231
CNAG_05375R,CNAG_05375,6711
CNAG_02516R,CNAG_02516,348
CNAG_04804R,CNAG_04804,122
CNAG_06203R,CNAG_06203,297
CNAG_00193R,CNAG_00193,43
CNAG_01883R,CNAG_01883,437
CNAG_03401R,CNAG_03401,424
CNAG_02435R,CNAG_02435,28
CNAG_05153R,CNAG_05153,4
CNAG_01708R,CNAG_01708,374
CNAG_03700R,CNAG_03700,339
CNAG_05215R,CNAG_05215,321
CNAG_01438R,CNAG_01438,159
CNAG_07464R,CNAG_07464,191
CNAG_01858R,CNAG_01858,465
CNAG_04586R,CNAG_04586,228
CNAG_05176R,CNAG_05176,199
CNAG_01014R,CNAG_01014,166
CNAG_01454R,CNAG_01454,362
CNAG_06327R,CNAG_06327,194
CNAG_03788R,CNAG_03788,341
CNAG_00871R,CNAG_00871,388
CNAG_00559R,CNAG_00559,13507
CNAG_07370R,CNAG_07370,392
CNAG_02589R,CNAG_02589,442
CNAG_05067R,CNAG_05067,2
CNAG_01645R,CNAG_01645,924
CNAG_01242R,CNAG_01242,164
CNAG_02788R,CNAG_02788,193
CNAG_07435R,CNAG_07435,44
CNAG_07924R,CNAG_07924,419
CNAG_01071R,CNAG_01071,268
CNAG_00883R,CNAG_00883,527
CNAG_03741R,CNAG_03741,385
CNAG_03745R,CNAG_03745,399
CNAG_00192R,CNAG_00192,321
CNAG_00670R,CNAG_00670,412
CNAG_06871R,CNAG_06871,334
CNAG_04457R,CNAG_04457,338
CNAG_04588R,CNAG_04588,145
CNAG_03894R,CNAG_03894,22
CNAG_04012R,CNAG_04012,417
CNAG_01487R,CNAG_01487,397
CNAG_05170R,CNAG_05170,291
CNAG_02364R,CNAG_02364,356
CNAG_04093R,CNAG_04093,380
CNAG_02322R,CNAG_02322,471
CNAG_05255R,CNAG_05255,440
