Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,158
CNAG_05515L,CNAG_05515,524
CNAG_05641L,CNAG_05641,414
CNAG_05387L,CNAG_05387,487
CNAG_05590L,CNAG_05590,617
CNAG_07869L,CNAG_07869,503
CNAG_05340L,CNAG_05340,237
CNAG_05638L,CNAG_05638,402
CNAG_05639L,CNAG_05639,314
CNAG_06346L,CNAG_06346,377
CNAG_06347L,CNAG_06347,380
CNAG_06517L,CNAG_06517,486
CNAG_07939L,CNAG_07939,404
CNAG_06493L,CNAG_06493,334
CNAG_06201L,CNAG_06201,396
CNAG_06104L,CNAG_06104,295
CNAG_06081L,CNAG_06081,413
CNAG_07902L,CNAG_07902,374
CNAG_06241L,CNAG_06241,148
CNAG_06242L,CNAG_06242,148
CNAG_06186L,CNAG_06186,281
CNAG_07911L,CNAG_07911,431
CNAG_01551L,CNAG_01551,461
CNAG_01683L,CNAG_01683,366
CNAG_01983L,CNAG_01983,430
CNAG_01902L,CNAG_01902,7
CNAG_01680L,CNAG_01680,327
CNAG_01621L,CNAG_01621,364
CNAG_01988L,CNAG_01988,288
CNAG_01989L,CNAG_01989,343
CNAG_01939L,CNAG_01939,415
CNAG_01993L,CNAG_01993,328
CNAG_01992L,CNAG_01992,341
CNAG_01965L,CNAG_01965,351
CNAG_01562L,CNAG_01562,309
CNAG_01925L,CNAG_01925,372
CNAG_04756L,CNAG_04756,445
CNAG_04807L,CNAG_04807,490
CNAG_04837L,CNAG_04837,407
CNAG_04836L,CNAG_04836,332
CNAG_04737L,CNAG_04737,491
CNAG_04875L,CNAG_04875,352
CNAG_04874L,CNAG_04874,907
CNAG_04868L,CNAG_04868,57
CNAG_04752L,CNAG_04752,319
CNAG_04753L,CNAG_04753,1202
CNAG_04909L,CNAG_04909,336
CNAG_04908L,CNAG_04908,323
CNAG_04659L,CNAG_04659,260
CNAG_04623L,CNAG_04623,330
CNAG_04518L,CNAG_04518,312
CNAG_04517L,CNAG_04517,432
CNAG_07770L,CNAG_07770,274
CNAG_04436L,CNAG_04436,264
CNAG_04271L,CNAG_04271,286
CNAG_04270L,CNAG_04270,354
CNAG_03346L,CNAG_03346,414
CNAG_03433L,CNAG_03433,363
CNAG_03333L,CNAG_03333,501
CNAG_07742L,CNAG_07742,1169
CNAG_03438L,CNAG_03438,304
CNAG_03223L,CNAG_03223,501
CNAG_03142L,CNAG_03142,301
CNAG_03143L,CNAG_03143,284
CNAG_03545L,CNAG_03545,473
CNAG_03161L,CNAG_03161,209
CNAG_03566L,CNAG_03566,304
CNAG_05835L,CNAG_05835,345
CNAG_05864L,CNAG_05864,536
CNAG_06567L,CNAG_06567,431
CNAG_05742L,CNAG_05742,177
CNAG_05743L,CNAG_05743,102
CNAG_05867L,CNAG_05867,271
CNAG_05685L,CNAG_05685,1094
CNAG_05684L,CNAG_05684,247
CNAG_05785L,CNAG_05785,284
CNAG_05843L,CNAG_05843,14
CNAG_06554L,CNAG_06554,368
CNAG_02189L,CNAG_02189,496
CNAG_02188L,CNAG_02188,432
CNAG_02182L,CNAG_02182,353
CNAG_07631L,CNAG_07631,473
CNAG_02371L,CNAG_02371,267
CNAG_07633L,CNAG_07633,159
CNAG_01069L,CNAG_01069,352
CNAG_00896L,CNAG_00896,1219
CNAG_06719L,CNAG_06719,106
CNAG_03669L,CNAG_03669,326
CNAG_00031L,CNAG_00031,360
CNAG_07332L,CNAG_07332,259
CNAG_00285L,CNAG_00285,372
CNAG_00828L,CNAG_00828,317
CNAG_00830L,CNAG_00830,386
CNAG_00841L,CNAG_00841,383
CNAG_02774L,CNAG_02774,303
CNAG_06531L,CNAG_06531,508
CNAG_03279L,CNAG_03279,337
CNAG_03336L,CNAG_03336,529
CNAG_06339L,CNAG_06339,446
CNAG_03768L,CNAG_03768,392
CNAG_04534L,CNAG_04534,376
CNAG_01973L,CNAG_01973,23
CNAG_07867L,CNAG_07867,297
CNAG_05333L,CNAG_05333,384
CNAG_06425L,CNAG_06425,392
CNAG_03849L,CNAG_03849,861
CNAG_02603L,CNAG_02603,401
CNAG_02555L,CNAG_02555,376
CNAG_03431L,CNAG_03431,246
CNAG_05049L,CNAG_05049,262
CNAG_05380L,CNAG_05380,552
CNAG_03914L,CNAG_03914,366
CNAG_02476L,CNAG_02476,411
CNAG_07583L,CNAG_07583,324
CNAG_02466L,CNAG_02466,309
CNAG_05112L,CNAG_05112,421
CNAG_03366L,CNAG_03366,470
CNAG_03977L,CNAG_03977,169
CNAG_04090L,CNAG_04090,898
CNAG_00791L,CNAG_00791,252
CNAG_06751L,CNAG_06751,269
CNAG_05375L,CNAG_05375,7129
CNAG_02516L,CNAG_02516,324
