Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,449
CNAG_05387R,CNAG_05387,480
CNAG_05638R,CNAG_05638,286
CNAG_05639R,CNAG_05639,291
CNAG_06346R,CNAG_06346,353
CNAG_06347R,CNAG_06347,286
CNAG_06517R,CNAG_06517,326
CNAG_06201R,CNAG_06201,286
CNAG_06104R,CNAG_06104,207
CNAG_07902R,CNAG_07902,345
CNAG_06241R,CNAG_06241,92
CNAG_06242R,CNAG_06242,97
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,266
CNAG_01551R,CNAG_01551,2
CNAG_01683R,CNAG_01683,324
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,258
CNAG_01989R,CNAG_01989,232
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,312
CNAG_01925R,CNAG_01925,267
CNAG_04837R,CNAG_04837,340
CNAG_04836R,CNAG_04836,264
CNAG_04875R,CNAG_04875,244
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,45
CNAG_04518R,CNAG_04518,248
CNAG_04517R,CNAG_04517,297
CNAG_07770R,CNAG_07770,291
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,415
CNAG_07742R,CNAG_07742,573
CNAG_03142R,CNAG_03142,228
CNAG_03545R,CNAG_03545,2
CNAG_03566R,CNAG_03566,202
CNAG_05867R,CNAG_05867,206
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,171
CNAG_02189R,CNAG_02189,417
CNAG_02371R,CNAG_02371,248
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,259
CNAG_03669R,CNAG_03669,340
CNAG_07332R,CNAG_07332,207
CNAG_00285R,CNAG_00285,283
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,340
CNAG_00841R,CNAG_00841,304
CNAG_06531R,CNAG_06531,461
CNAG_03279R,CNAG_03279,267
CNAG_03336R,CNAG_03336,413
CNAG_06339R,CNAG_06339,406
CNAG_03768R,CNAG_03768,369
CNAG_04534R,CNAG_04534,336
CNAG_01973R,CNAG_01973,293
CNAG_07867R,CNAG_07867,269
CNAG_05333R,CNAG_05333,339
CNAG_06425R,CNAG_06425,262
CNAG_03849R,CNAG_03849,377
CNAG_02603R,CNAG_02603,269
CNAG_02555R,CNAG_02555,387
CNAG_02525R,CNAG_02525,44
CNAG_03431R,CNAG_03431,158
CNAG_05049R,CNAG_05049,230
CNAG_03914R,CNAG_03914,245
CNAG_02476R,CNAG_02476,280
CNAG_07583R,CNAG_07583,301
CNAG_05112R,CNAG_05112,273
CNAG_03366R,CNAG_03366,392
CNAG_04090R,CNAG_04090,1011
CNAG_00791R,CNAG_00791,194
CNAG_05375R,CNAG_05375,6951
CNAG_02516R,CNAG_02516,310
CNAG_04804R,CNAG_04804,137
CNAG_06203R,CNAG_06203,243
CNAG_00193R,CNAG_00193,14
CNAG_01883R,CNAG_01883,383
CNAG_03401R,CNAG_03401,377
CNAG_02435R,CNAG_02435,53
CNAG_05153R,CNAG_05153,8
CNAG_01708R,CNAG_01708,259
CNAG_03700R,CNAG_03700,293
CNAG_05215R,CNAG_05215,384
CNAG_01438R,CNAG_01438,149
CNAG_07464R,CNAG_07464,146
CNAG_01858R,CNAG_01858,432
CNAG_04586R,CNAG_04586,220
CNAG_05176R,CNAG_05176,202
CNAG_01014R,CNAG_01014,156
CNAG_01454R,CNAG_01454,305
CNAG_06327R,CNAG_06327,102
CNAG_03788R,CNAG_03788,287
CNAG_00871R,CNAG_00871,296
CNAG_00559R,CNAG_00559,11735
CNAG_07370R,CNAG_07370,430
CNAG_02589R,CNAG_02589,362
CNAG_01645R,CNAG_01645,823
